Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.620327e1,1.732626e1,16,907,103,0.014,false
QQN-GoldenSection,1,1.793850e1,4.564952e0,17,913,109,0.014,false
QQN-GoldenSection,2,1.637667e1,4.898811e0,17,936,109,0.015,false
QQN-GoldenSection,3,8.803102e0,8.864595e0,17,901,109,0.014,false
QQN-GoldenSection,4,1.515767e1,9.664593e0,17,928,109,0.015,false
QQN-GoldenSection,5,1.798312e1,5.122294e0,17,914,109,0.014,false
QQN-GoldenSection,6,1.698212e1,5.348728e0,17,910,109,0.014,false
QQN-GoldenSection,7,1.373855e1,1.254925e1,17,923,109,0.015,false
QQN-GoldenSection,8,3.111015e0,4.890838e0,18,923,115,0.015,false
QQN-GoldenSection,9,1.767863e1,5.500694e0,17,910,109,0.014,false
QQN-GoldenSection,10,1.677817e1,5.233723e0,17,938,109,0.015,false
QQN-GoldenSection,11,1.629210e1,6.094448e0,17,923,109,0.014,false
QQN-GoldenSection,12,3.657175e-1,1.190194e0,19,932,121,0.015,false
QQN-GoldenSection,13,2.404464e0,8.564938e0,20,919,127,0.015,false
QQN-GoldenSection,14,4.618420e-1,1.400322e0,18,891,115,0.015,false
QQN-GoldenSection,15,1.464107e1,7.493200e0,17,915,109,0.014,false
QQN-GoldenSection,16,7.537578e0,8.657141e0,18,930,115,0.015,false
QQN-GoldenSection,17,1.686018e1,6.465804e0,17,923,109,0.014,false
QQN-GoldenSection,18,1.766981e1,4.411710e0,17,913,109,0.014,false
QQN-GoldenSection,19,1.176891e1,5.791879e0,17,913,109,0.014,false
QQN-Bisection-1,0,1.837938e1,4.689350e0,15,441,591,0.012,false
QQN-Bisection-1,1,1.709970e1,6.096938e0,15,431,593,0.012,false
QQN-Bisection-1,2,1.798447e1,4.678288e0,15,441,589,0.012,false
QQN-Bisection-1,3,1.879814e1,1.004705e1,15,451,591,0.012,false
QQN-Bisection-1,4,1.702319e1,1.316805e1,16,422,601,0.011,false
QQN-Bisection-1,5,1.850384e1,4.595473e0,15,441,591,0.012,false
QQN-Bisection-1,6,1.836984e1,4.719784e0,15,461,589,0.011,false
QQN-Bisection-1,7,1.829240e1,6.396578e0,16,442,605,0.012,false
QQN-Bisection-1,8,1.449409e1,7.928491e0,17,455,547,0.011,false
QQN-Bisection-1,9,1.293222e1,8.337133e0,17,455,547,0.011,false
QQN-Bisection-1,10,1.455552e1,6.864883e0,16,453,570,0.012,false
QQN-Bisection-1,11,1.816902e1,6.517453e0,16,442,605,0.012,false
QQN-Bisection-1,12,9.230366e0,1.852794e1,19,476,596,0.012,false
QQN-Bisection-1,13,1.626059e1,9.688326e0,16,472,603,0.012,false
QQN-Bisection-1,14,1.733575e1,4.492692e0,16,452,603,0.012,false
QQN-Bisection-1,15,1.474370e1,7.166298e0,15,472,562,0.011,false
QQN-Bisection-1,16,1.480495e1,5.849004e0,16,443,568,0.011,false
QQN-Bisection-1,17,1.804713e1,4.709035e0,16,452,601,0.012,false
QQN-Bisection-1,18,1.343068e1,7.628694e0,17,474,578,0.012,false
QQN-Bisection-1,19,1.890646e1,4.550408e0,15,451,591,0.012,false
QQN-CubicQuadraticInterpolation,0,9.953516e0,1.656338e1,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,1,1.149217e1,3.874214e1,13,382,624,0.014,false
QQN-CubicQuadraticInterpolation,2,9.170489e0,1.010007e1,13,405,670,0.014,false
QQN-CubicQuadraticInterpolation,3,1.844614e1,4.783008e1,13,387,634,0.013,false
QQN-CubicQuadraticInterpolation,4,8.361555e0,5.596600e0,13,385,630,0.013,false
QQN-CubicQuadraticInterpolation,5,1.184555e1,2.949780e1,13,385,630,0.013,false
QQN-CubicQuadraticInterpolation,6,1.837703e1,4.165705e0,13,384,628,0.014,false
QQN-CubicQuadraticInterpolation,7,1.702457e1,7.199760e0,14,393,636,0.014,false
QQN-CubicQuadraticInterpolation,8,1.426784e1,1.138773e1,13,382,624,0.013,false
QQN-CubicQuadraticInterpolation,9,1.897082e1,8.397893e0,13,384,628,0.013,false
QQN-CubicQuadraticInterpolation,10,1.798131e1,7.594892e0,13,384,628,0.013,false
QQN-CubicQuadraticInterpolation,11,1.001434e1,9.965495e0,14,393,638,0.014,false
QQN-CubicQuadraticInterpolation,12,1.433978e1,5.854296e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,13,1.577364e1,2.440377e1,13,406,674,0.015,false
QQN-CubicQuadraticInterpolation,14,5.028214e0,3.375630e1,13,381,622,0.013,false
QQN-CubicQuadraticInterpolation,15,1.691959e1,5.801106e0,13,408,676,0.014,false
QQN-CubicQuadraticInterpolation,16,1.068654e1,1.234486e1,14,389,630,0.013,false
QQN-CubicQuadraticInterpolation,17,1.814836e1,5.665901e0,14,395,642,0.014,false
QQN-CubicQuadraticInterpolation,18,1.142414e1,2.688975e1,13,402,664,0.014,false
QQN-CubicQuadraticInterpolation,19,1.072692e1,5.395583e0,13,405,670,0.014,false
L-BFGS-Aggressive,0,7.362529e1,3.071096e2,77,777,236,0.010,false
L-BFGS-Aggressive,1,7.440625e1,3.065226e2,77,777,236,0.010,false
L-BFGS-Aggressive,2,5.253532e1,2.266850e2,77,777,236,0.009,false
L-BFGS-Aggressive,3,4.459386e1,1.969666e2,77,777,236,0.009,false
L-BFGS-Aggressive,4,4.717933e1,2.082740e2,77,777,236,0.009,false
L-BFGS-Aggressive,5,5.167065e1,2.304841e2,77,777,236,0.009,false
L-BFGS-Aggressive,6,6.267634e1,2.648416e2,77,777,236,0.008,false
L-BFGS-Aggressive,7,7.124251e1,2.917407e2,77,777,236,0.009,false
L-BFGS-Aggressive,8,6.699631e1,2.814790e2,77,777,236,0.009,false
L-BFGS-Aggressive,9,6.288249e1,2.657018e2,77,777,236,0.009,false
L-BFGS-Aggressive,10,6.678793e1,2.719997e2,77,777,236,0.009,false
L-BFGS-Aggressive,11,6.432335e1,2.636075e2,77,777,236,0.009,false
L-BFGS-Aggressive,12,3.653321e2,1.058086e3,76,772,233,0.007,false
L-BFGS-Aggressive,13,6.257821e1,2.649147e2,77,777,236,0.010,false
L-BFGS-Aggressive,14,5.158004e1,2.360228e2,77,777,236,0.010,false
L-BFGS-Aggressive,15,5.333684e1,2.421235e2,77,777,236,0.009,false
L-BFGS-Aggressive,16,4.000789e1,1.836347e2,77,777,236,0.008,false
L-BFGS-Aggressive,17,6.340807e1,2.706280e2,77,777,236,0.009,false
L-BFGS-Aggressive,18,5.870793e1,2.537737e2,77,777,236,0.008,false
L-BFGS-Aggressive,19,6.389963e1,2.780631e2,77,777,236,0.010,false
Adam-Fast,0,2.852228e-1,2.036461e1,121,245,244,0.005,false
Adam-Fast,1,4.308875e-1,2.729776e1,124,251,250,0.005,false
Adam-Fast,2,4.410660e-1,2.922345e1,118,239,238,0.005,false
Adam-Fast,3,2.692602e-2,4.423817e0,120,243,242,0.005,false
Adam-Fast,4,5.862041e-1,2.432777e1,82,167,166,0.003,false
Adam-Fast,5,7.991335e-1,3.660885e1,102,207,206,0.004,false
Adam-Fast,6,2.555232e-1,1.821337e1,116,235,234,0.005,false
Adam-Fast,7,7.500319e-1,2.420072e1,86,175,174,0.004,false
Adam-Fast,8,2.512031e-1,2.001269e1,98,199,198,0.004,false
Adam-Fast,9,1.893307e-1,1.490928e1,118,239,238,0.005,false
Adam-Fast,10,4.253268e-1,1.898144e1,95,193,192,0.004,false
Adam-Fast,11,2.728044e-1,1.606366e1,103,209,208,0.004,false
Adam-Fast,12,7.247237e-1,2.780511e1,98,199,198,0.004,false
Adam-Fast,13,9.410831e-1,3.535179e1,92,187,186,0.004,false
Adam-Fast,14,1.590359e-1,1.633706e1,119,241,240,0.005,false
Adam-Fast,15,8.982834e-1,4.163662e1,128,259,258,0.005,false
Adam-Fast,16,6.244664e-1,3.129527e1,110,223,222,0.005,false
Adam-Fast,17,4.268456e-1,2.002241e1,103,209,208,0.004,false
Adam-Fast,18,8.432408e-1,3.938812e1,103,209,208,0.005,false
Adam-Fast,19,5.073528e-1,2.189149e1,111,225,224,0.005,false
GD,0,1.485434e0,2.303645e1,332,335,668,0.009,false
GD,1,1.553926e0,2.211325e1,332,335,668,0.009,false
GD,2,1.557508e0,2.241647e1,332,335,668,0.009,false
GD,3,1.614752e0,2.034088e1,332,335,668,0.009,false
GD,4,1.444801e0,2.321323e1,332,335,668,0.009,false
GD,5,1.707120e0,2.016312e1,332,335,668,0.009,false
GD,6,1.551952e0,2.144188e1,332,335,668,0.009,false
GD,7,1.457401e0,2.330765e1,332,335,668,0.009,false
GD,8,2.118779e1,5.344768e1,9,12,20,0.000,false
GD,9,1.471727e0,2.291784e1,332,335,668,0.009,false
GD,10,1.418067e0,2.462658e1,332,335,668,0.009,false
GD,11,1.749152e0,2.050544e1,332,335,668,0.009,false
GD,12,2.138780e1,4.141509e1,9,12,20,0.000,false
GD,13,2.182921e1,6.797747e1,10,13,22,0.000,false
GD,14,1.576807e0,2.247924e1,332,335,668,0.009,false
GD,15,1.563537e0,2.290211e1,332,335,668,0.009,false
GD,16,1.529937e0,2.201835e1,332,335,668,0.009,false
GD,17,1.471895e0,2.244220e1,332,335,668,0.009,false
GD,18,1.531454e0,2.207630e1,332,335,668,0.009,false
GD,19,1.522820e0,2.436317e1,332,335,668,0.009,false
QQN-GoldenSection,0,6.631062e0,8.648858e0,18,894,115,0.014,false
QQN-GoldenSection,1,3.498126e0,4.765780e0,20,921,127,0.015,false
QQN-GoldenSection,2,9.342061e0,2.201782e1,18,935,115,0.015,false
QQN-GoldenSection,3,1.603739e1,4.919544e0,17,895,109,0.014,false
QQN-GoldenSection,4,1.555579e1,1.621412e1,18,942,115,0.015,false
QQN-GoldenSection,5,4.755245e0,6.767086e0,19,919,121,0.015,false
QQN-GoldenSection,6,1.345396e1,1.208656e1,18,927,115,0.015,false
QQN-GoldenSection,7,1.678693e1,5.745820e0,18,926,115,0.015,false
QQN-GoldenSection,8,2.828943e0,7.812217e0,18,890,115,0.014,false
QQN-GoldenSection,9,2.836149e0,1.737069e1,20,901,127,0.015,false
QQN-GoldenSection,10,1.353302e1,5.834048e0,18,936,115,0.015,false
QQN-GoldenSection,11,6.910526e0,7.819519e0,19,938,121,0.015,false
QQN-GoldenSection,12,1.108280e1,1.040119e1,18,912,115,0.015,false
QQN-GoldenSection,13,3.876433e0,7.499305e0,20,901,127,0.015,false
QQN-GoldenSection,14,1.719438e1,5.633445e0,18,936,115,0.015,false
QQN-GoldenSection,15,1.517295e1,6.462895e0,18,927,115,0.015,false
QQN-GoldenSection,16,2.854961e0,1.207608e1,20,921,127,0.015,false
QQN-GoldenSection,17,1.345029e1,4.937048e0,17,894,109,0.014,false
QQN-GoldenSection,18,1.519994e1,6.366496e0,18,937,115,0.015,false
QQN-GoldenSection,19,1.830624e1,5.072310e0,18,936,115,0.015,false
QQN-Bisection-1,0,1.694359e1,2.361164e1,16,449,576,0.011,false
QQN-Bisection-1,1,1.856906e1,1.495351e1,15,468,570,0.011,false
QQN-Bisection-1,2,1.677731e1,1.491390e1,17,430,578,0.011,false
QQN-Bisection-1,3,1.877790e1,1.558828e1,15,468,570,0.011,false
QQN-Bisection-1,4,9.944053e0,2.105350e1,18,462,549,0.011,false
QQN-Bisection-1,5,1.624939e1,1.582944e1,17,430,578,0.010,false
QQN-Bisection-1,6,7.814157e0,9.296663e0,19,473,559,0.011,false
QQN-Bisection-1,7,1.843240e1,1.182265e1,15,468,570,0.011,false
QQN-Bisection-1,8,1.270924e1,1.268950e1,18,451,584,0.011,false
QQN-Bisection-1,9,1.209380e1,1.025957e1,17,470,572,0.011,false
QQN-Bisection-1,10,7.604469e0,1.041127e1,21,485,579,0.011,false
