Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.659336e-13,8.146990e-7,2,47,9,0.000,true
QQN-GoldenSection,1,1.697350e-13,8.239781e-7,2,47,9,0.000,true
QQN-GoldenSection,2,1.822700e-13,8.538619e-7,2,47,9,0.000,true
QQN-GoldenSection,3,1.651451e-13,8.127610e-7,2,47,9,0.000,true
QQN-GoldenSection,4,1.679135e-13,8.195449e-7,2,47,9,0.000,true
QQN-GoldenSection,5,1.755181e-13,8.378976e-7,2,47,9,0.000,true
QQN-GoldenSection,6,1.722548e-13,8.300718e-7,2,47,9,0.000,true
QQN-GoldenSection,7,1.628607e-13,8.071200e-7,2,47,9,0.000,true
QQN-GoldenSection,8,1.599553e-13,7.998882e-7,2,47,9,0.000,true
QQN-GoldenSection,9,1.662087e-13,8.153740e-7,2,47,9,0.000,true
QQN-GoldenSection,10,1.608487e-13,8.021191e-7,2,47,9,0.000,true
QQN-GoldenSection,11,1.578933e-13,7.947159e-7,2,47,9,0.000,true
QQN-GoldenSection,12,1.640593e-13,8.100848e-7,2,47,9,0.000,true
QQN-GoldenSection,13,1.822596e-13,8.538375e-7,2,47,9,0.000,true
QQN-GoldenSection,14,1.472663e-13,7.675059e-7,2,47,9,0.000,true
QQN-GoldenSection,15,1.600236e-13,8.000591e-7,2,47,9,0.000,true
QQN-GoldenSection,16,1.520377e-13,7.798403e-7,2,47,9,0.000,true
QQN-GoldenSection,17,1.662044e-13,8.153636e-7,2,47,9,0.000,true
QQN-GoldenSection,18,1.615116e-13,8.037700e-7,2,47,9,0.000,true
QQN-GoldenSection,19,1.598389e-13,7.995971e-7,2,47,9,0.000,true
QQN-Bisection-1,0,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,1,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,2,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,3,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,4,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,5,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,6,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,7,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,8,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,9,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,10,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,11,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,12,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,13,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,14,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,15,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,16,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,17,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,18,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-Bisection-1,19,0.000000e0,0.000000e0,2,16,13,0.000,true
QQN-CubicQuadraticInterpolation,0,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,1,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,2,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,3,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,4,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,5,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,6,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,7,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,8,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,9,0.000000e0,0.000000e0,2,13,11,0.000,true
QQN-CubicQuadraticInterpolation,10,0.000000e0,0.000000e0,2,13,11,0.000,true
