Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,-7.833233e1,9.369069e-7,6,223,33,0.003,true
QQN-GoldenSection,1,-7.833233e1,2.927402e-7,11,310,63,0.004,true
QQN-GoldenSection,2,-7.833233e1,5.074493e-8,7,238,39,0.003,true
QQN-GoldenSection,3,-7.833233e1,7.313277e-8,8,279,45,0.004,true
QQN-GoldenSection,4,-7.833233e1,3.135937e-11,7,231,39,0.003,true
QQN-GoldenSection,5,-6.419561e1,6.119262e-12,7,195,39,0.003,false
QQN-GoldenSection,6,-7.833233e1,2.157084e-9,7,196,39,0.003,true
QQN-GoldenSection,7,-7.833233e1,4.967084e-7,5,153,27,0.002,true
QQN-GoldenSection,8,-7.833233e1,4.771291e-8,6,222,33,0.003,true
QQN-GoldenSection,9,-6.419561e1,3.672689e-7,7,229,39,0.003,false
QQN-GoldenSection,10,-6.419561e1,7.246153e-10,7,195,39,0.003,false
QQN-GoldenSection,11,-6.419561e1,2.495314e-9,7,254,39,0.003,false
QQN-GoldenSection,12,-7.833233e1,2.085820e-11,8,246,45,0.003,true
QQN-GoldenSection,13,-7.833233e1,4.720674e-10,7,195,39,0.003,true
QQN-GoldenSection,14,-7.833233e1,9.139462e-7,6,221,33,0.003,true
QQN-GoldenSection,15,-7.833233e1,2.959286e-7,9,321,51,0.004,true
QQN-GoldenSection,16,-7.833233e1,6.843428e-9,8,313,45,0.004,true
QQN-GoldenSection,17,-7.833233e1,1.401320e-8,11,337,63,0.005,true
QQN-GoldenSection,18,-7.833233e1,7.979149e-8,7,250,39,0.003,true
QQN-GoldenSection,19,-7.833233e1,2.717121e-7,11,370,63,0.005,true
QQN-Bisection-1,0,-7.833233e1,5.461885e-8,10,136,172,0.002,true
QQN-Bisection-1,1,-7.833233e1,3.357862e-8,11,137,186,0.003,true
QQN-Bisection-1,2,-6.416544e1,1.453035e0,13,510,494,0.008,false
QQN-Bisection-1,3,-6.419561e1,1.134668e-7,11,226,247,0.004,false
QQN-Bisection-1,4,-7.832724e1,5.963269e-1,14,551,510,0.008,false
QQN-Bisection-1,5,-6.419561e1,3.618741e-8,12,254,274,0.004,false
QQN-Bisection-1,6,-6.418118e1,9.829736e-1,14,510,517,0.008,false
QQN-Bisection-1,7,-7.833233e1,3.282255e-8,10,126,170,0.003,true
QQN-Bisection-1,8,-6.419561e1,8.102008e-7,12,244,276,0.004,false
QQN-Bisection-1,9,-7.833233e1,5.192976e-9,14,258,280,0.005,true
QQN-Bisection-1,10,-7.833233e1,4.252747e-8,13,247,268,0.004,true
QQN-Bisection-1,11,-7.833233e1,6.671412e-8,10,145,189,0.003,true
QQN-Bisection-1,12,-7.833233e1,4.991548e-8,12,247,293,0.005,true
QQN-Bisection-1,13,-7.663741e1,1.065823e1,15,490,538,0.007,false
QQN-Bisection-1,14,-7.833233e1,1.206207e-7,9,115,160,0.002,true
QQN-Bisection-1,15,-7.833233e1,3.898667e-8,7,104,143,0.002,true
QQN-Bisection-1,16,-6.419561e1,9.169609e-9,10,155,197,0.003,false
QQN-Bisection-1,17,-7.833233e1,7.995750e-7,10,166,170,0.003,true
QQN-Bisection-1,18,-7.833233e1,7.556724e-7,10,232,268,0.004,true
QQN-Bisection-1,19,-7.833233e1,3.523085e-7,14,354,404,0.008,true
QQN-CubicQuadraticInterpolation,0,-7.833233e1,7.071840e-7,11,185,256,0.005,true
QQN-CubicQuadraticInterpolation,1,-6.419561e1,2.546566e-7,11,183,252,0.005,false
QQN-CubicQuadraticInterpolation,2,-7.833233e1,5.714202e-8,9,122,142,0.003,true
QQN-CubicQuadraticInterpolation,3,-7.833233e1,4.898672e-8,10,151,196,0.004,true
QQN-CubicQuadraticInterpolation,4,-6.419561e1,1.428142e-5,12,209,287,0.006,false
QQN-CubicQuadraticInterpolation,5,-7.833233e1,1.717230e-7,13,149,164,0.004,true
QQN-CubicQuadraticInterpolation,6,-7.833233e1,7.237146e-9,11,142,170,0.003,true
QQN-CubicQuadraticInterpolation,7,-7.833233e1,8.918145e-8,13,248,366,0.007,true
QQN-CubicQuadraticInterpolation,8,-7.833233e1,6.373981e-7,7,80,78,0.001,true
QQN-CubicQuadraticInterpolation,9,-7.833233e1,6.815428e-8,9,121,144,0.003,true
QQN-CubicQuadraticInterpolation,10,-6.419561e1,1.131864e-10,15,224,302,0.006,false
QQN-CubicQuadraticInterpolation,11,-6.419561e1,4.248233e-7,14,284,430,0.009,false
QQN-CubicQuadraticInterpolation,12,-7.833233e1,3.323705e-8,10,152,194,0.004,true
QQN-CubicQuadraticInterpolation,13,-7.833233e1,9.788724e-7,10,197,288,0.005,true
QQN-CubicQuadraticInterpolation,14,-7.833233e1,5.772467e-7,11,181,248,0.005,true
QQN-CubicQuadraticInterpolation,15,-6.419561e1,8.064956e-6,10,208,303,0.006,false
QQN-CubicQuadraticInterpolation,16,-7.833233e1,1.602242e-6,10,217,321,0.007,false
QQN-CubicQuadraticInterpolation,17,-7.833233e1,3.937825e-8,15,289,428,0.009,true
QQN-CubicQuadraticInterpolation,18,-7.833233e1,6.257930e-8,9,120,138,0.003,true
QQN-CubicQuadraticInterpolation,19,-7.833233e1,1.177819e-6,15,400,638,0.014,false
L-BFGS-Aggressive,0,-3.223316e1,1.761560e1,77,778,236,0.008,false
L-BFGS-Aggressive,1,-4.876307e1,2.702848e1,77,777,236,0.007,false
L-BFGS-Aggressive,2,-3.158404e1,1.887402e1,77,777,236,0.007,false
L-BFGS-Aggressive,3,-4.432352e1,2.575132e1,77,777,236,0.007,false
L-BFGS-Aggressive,4,-5.434829e1,2.591804e1,77,778,236,0.007,false
L-BFGS-Aggressive,5,-3.497894e1,1.564967e1,77,773,236,0.009,false
L-BFGS-Aggressive,6,-7.458599e1,1.841458e1,79,767,242,0.010,false
L-BFGS-Aggressive,7,-3.211216e1,2.218349e1,77,776,236,0.007,false
L-BFGS-Aggressive,8,-2.922687e1,1.842102e1,77,777,236,0.007,false
L-BFGS-Aggressive,9,-4.120646e1,2.520245e1,77,777,236,0.007,false
L-BFGS-Aggressive,10,-3.370208e1,1.801131e1,77,778,236,0.008,false
L-BFGS-Aggressive,11,-3.082175e1,1.954469e1,77,777,236,0.007,false
L-BFGS-Aggressive,12,-3.273426e1,1.779807e1,77,778,236,0.008,false
L-BFGS-Aggressive,13,-4.895967e1,2.542881e1,77,778,236,0.007,false
L-BFGS-Aggressive,14,-4.001073e1,5.586619e0,78,765,238,0.010,false
L-BFGS-Aggressive,15,-4.120967e1,2.288737e1,77,778,236,0.007,false
L-BFGS-Aggressive,16,-3.589285e1,2.101295e1,77,778,236,0.007,false
L-BFGS-Aggressive,17,-4.854000e1,2.685096e1,77,777,236,0.007,false
L-BFGS-Aggressive,18,-2.978826e1,1.872018e1,77,777,236,0.007,false
L-BFGS-Aggressive,19,-3.489328e1,2.046829e1,77,778,236,0.007,false
Adam-Fast,0,-7.493665e1,1.686360e1,35,73,72,0.001,false
Adam-Fast,1,-7.498496e1,1.673193e1,34,71,70,0.001,true
Adam-Fast,2,-7.491432e1,1.692455e1,35,73,72,0.001,true
Adam-Fast,3,-7.506431e1,1.651510e1,33,69,68,0.001,true
Adam-Fast,4,-7.490159e1,1.695985e1,35,73,72,0.001,true
