Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.257044e-1,8.869616e-1,19,940,121,0.017,false
QQN-GoldenSection,1,1.907798e-4,8.211285e-2,19,889,121,0.016,false
QQN-GoldenSection,2,5.262166e-3,7.670974e-1,20,919,127,0.016,false
QQN-GoldenSection,3,3.053854e-5,4.159519e-2,20,931,127,0.016,false
QQN-GoldenSection,4,1.478539e-3,4.313212e-1,20,906,127,0.016,false
QQN-GoldenSection,5,6.839754e-3,9.746874e-1,20,906,127,0.016,false
QQN-GoldenSection,6,5.815105e-3,1.330879e-1,20,918,127,0.016,false
QQN-GoldenSection,7,1.187369e-3,2.784092e-1,20,918,127,0.016,false
QQN-GoldenSection,8,7.594483e-4,3.519339e-1,20,919,127,0.017,false
QQN-GoldenSection,9,1.362961e-1,1.049962e0,18,934,115,0.016,false
QQN-GoldenSection,10,2.545604e-3,3.307234e-1,20,930,127,0.017,false
QQN-GoldenSection,11,3.377345e-3,7.318280e-1,20,906,127,0.016,false
QQN-GoldenSection,12,9.276195e-3,9.950293e-1,20,906,127,0.016,false
QQN-GoldenSection,13,5.991445e-7,7.340058e-3,20,918,127,0.016,false
QQN-GoldenSection,14,1.989491e-2,1.544052e0,17,897,109,0.015,false
QQN-GoldenSection,15,2.240664e-2,1.184198e0,20,906,127,0.016,false
QQN-GoldenSection,16,2.001634e-5,5.890725e-2,20,906,127,0.016,false
QQN-GoldenSection,17,3.547985e-2,6.753725e-1,20,931,127,0.016,false
QQN-GoldenSection,18,4.295240e-3,6.719720e-1,20,906,127,0.016,false
QQN-GoldenSection,19,2.934826e-2,5.755322e-1,19,890,121,0.016,false
QQN-Bisection-1,0,4.508278e-2,3.374181e-1,25,481,542,0.015,false
QQN-Bisection-1,1,8.573892e-12,2.618713e-5,33,482,523,0.015,false
QQN-Bisection-1,2,2.894545e-10,1.513481e-4,39,500,519,0.015,false
QQN-Bisection-1,3,2.667070e-13,2.251799e-6,36,511,493,0.015,false
QQN-Bisection-1,4,2.637872e-13,6.275331e-6,35,514,545,0.015,false
QQN-Bisection-1,5,1.002392e-2,4.928747e-1,27,474,529,0.015,false
QQN-Bisection-1,6,4.653751e-15,7.011313e-7,39,451,468,0.014,true
QQN-Bisection-1,7,1.197342e-13,6.410737e-6,39,500,519,0.015,false
QQN-Bisection-1,8,1.041127e-11,4.333619e-5,36,486,520,0.015,false
QQN-Bisection-1,9,3.824384e-10,1.271793e-4,33,482,523,0.015,false
QQN-Bisection-1,10,7.952453e-15,6.631359e-7,38,468,490,0.014,true
QQN-Bisection-1,11,1.062895e-2,4.798943e-1,18,451,567,0.015,false
QQN-Bisection-1,12,5.167669e-15,6.935081e-7,33,395,410,0.012,true
QQN-Bisection-1,13,2.494197e-2,5.321476e-1,24,509,565,0.015,false
QQN-Bisection-1,14,8.281262e-2,5.489699e-1,31,507,578,0.016,false
QQN-Bisection-1,15,3.772506e-15,6.120201e-7,37,487,514,0.015,true
QQN-Bisection-1,16,7.897127e-2,1.873131e-1,27,508,531,0.015,false
QQN-Bisection-1,17,1.459619e-13,4.652374e-6,33,492,525,0.015,false
QQN-Bisection-1,18,3.017578e-14,1.429582e-6,37,502,501,0.014,false
QQN-Bisection-1,19,3.167636e-2,4.201646e-1,23,468,555,0.015,false
QQN-CubicQuadraticInterpolation,0,4.693951e-2,4.206920e-1,12,394,656,0.018,false
QQN-CubicQuadraticInterpolation,1,4.226077e-1,3.411417e0,11,386,648,0.017,false
QQN-CubicQuadraticInterpolation,2,4.990242e-2,3.000803e-1,11,386,648,0.017,false
QQN-CubicQuadraticInterpolation,3,4.027491e-2,6.685132e-1,11,386,648,0.018,false
QQN-CubicQuadraticInterpolation,4,2.507067e-2,5.020712e-1,12,394,656,0.017,false
