Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.272987e-17,1.330064e-8,5,188,27,0.002,true
QQN-GoldenSection,1,9.540757e-16,9.089772e-8,5,188,27,0.002,true
QQN-GoldenSection,2,8.601316e-18,8.566778e-9,5,188,27,0.002,true
QQN-GoldenSection,3,1.257553e-20,3.289910e-10,5,189,27,0.002,true
QQN-GoldenSection,4,9.267410e-17,2.851981e-8,5,189,27,0.002,true
QQN-GoldenSection,5,1.207337e-19,1.014073e-9,5,189,27,0.002,true
QQN-GoldenSection,6,7.623406e-18,7.971279e-9,5,188,27,0.002,true
QQN-GoldenSection,7,6.879285e-16,7.777844e-8,5,189,27,0.002,true
QQN-GoldenSection,8,6.335364e-23,2.273623e-11,5,189,27,0.002,true
QQN-GoldenSection,9,1.635818e-16,3.593982e-8,5,188,27,0.002,true
QQN-GoldenSection,10,5.490124e-20,6.866438e-10,5,189,27,0.002,true
QQN-GoldenSection,11,5.839941e-18,7.138798e-9,5,189,27,0.002,true
QQN-GoldenSection,12,3.559822e-17,1.753235e-8,5,188,27,0.002,true
QQN-GoldenSection,13,1.867613e-19,1.259189e-9,5,189,27,0.002,true
QQN-GoldenSection,14,9.702988e-18,9.271932e-9,5,189,27,0.002,true
QQN-GoldenSection,15,7.444690e-17,2.524193e-8,5,188,27,0.002,true
QQN-GoldenSection,16,3.183003e-15,1.650225e-7,5,188,27,0.002,true
QQN-GoldenSection,17,1.736047e-14,3.891654e-7,5,188,27,0.002,true
QQN-GoldenSection,18,1.881725e-15,1.283177e-7,5,188,27,0.002,true
QQN-GoldenSection,19,1.279638e-16,3.309576e-8,5,188,27,0.002,true
QQN-Bisection-1,0,5.436747e-20,6.994877e-10,7,133,184,0.003,true
QQN-Bisection-1,1,1.072708e-20,3.106890e-10,7,133,184,0.003,true
QQN-Bisection-1,2,1.331456e-16,3.461655e-8,6,122,174,0.002,true
QQN-Bisection-1,3,6.177498e-19,2.357733e-9,7,133,184,0.003,true
QQN-Bisection-1,4,4.575882e-14,6.417385e-7,6,123,175,0.002,true
QQN-Bisection-1,5,5.898048e-21,2.303948e-10,7,134,185,0.003,true
QQN-Bisection-1,6,5.575562e-22,7.083386e-11,7,133,184,0.003,true
QQN-Bisection-1,7,8.348883e-14,8.667965e-7,6,122,174,0.002,true
QQN-Bisection-1,8,1.353313e-17,1.103621e-8,6,123,175,0.002,true
QQN-Bisection-1,9,9.005301e-22,9.002602e-11,7,134,185,0.002,true
QQN-Bisection-1,10,1.147554e-15,1.016265e-7,6,123,175,0.002,true
QQN-Bisection-1,11,2.048843e-22,4.294129e-11,7,134,185,0.003,true
QQN-Bisection-1,12,4.545556e-15,2.022615e-7,6,123,175,0.002,true
QQN-Bisection-1,13,4.763065e-14,6.547328e-7,6,123,175,0.002,true
QQN-Bisection-1,14,7.195058e-23,2.544706e-11,7,134,185,0.002,true
QQN-Bisection-1,15,1.139729e-20,3.202601e-10,7,133,184,0.003,true
QQN-Bisection-1,16,6.137561e-14,7.432135e-7,6,122,174,0.002,true
QQN-Bisection-1,17,1.241359e-20,3.342451e-10,7,134,185,0.002,true
QQN-Bisection-1,18,4.056956e-22,6.042543e-11,7,134,185,0.003,true
QQN-Bisection-1,19,7.141471e-19,2.535156e-9,7,133,184,0.002,true
QQN-CubicQuadraticInterpolation,0,1.843297e-13,8.771876e-7,8,111,136,0.003,true
QQN-CubicQuadraticInterpolation,1,4.356623e-14,4.904391e-7,11,181,252,0.005,true
QQN-CubicQuadraticInterpolation,2,1.613397e-19,8.148834e-10,9,97,100,0.002,true
QQN-CubicQuadraticInterpolation,3,1.216296e-15,9.429891e-8,10,149,196,0.004,true
QQN-CubicQuadraticInterpolation,4,4.168607e-16,5.164046e-8,10,149,196,0.004,true
QQN-CubicQuadraticInterpolation,5,5.289409e-16,5.810977e-8,10,149,196,0.004,true
QQN-CubicQuadraticInterpolation,6,1.191158e-15,9.351363e-8,10,125,148,0.003,true
QQN-CubicQuadraticInterpolation,7,6.058788e-16,5.597339e-8,8,111,136,0.003,true
QQN-CubicQuadraticInterpolation,8,1.074445e-16,2.905312e-8,11,157,204,0.004,true
QQN-CubicQuadraticInterpolation,9,5.007505e-14,5.438841e-7,9,141,188,0.004,true
QQN-CubicQuadraticInterpolation,10,1.507576e-14,2.457005e-7,11,204,298,0.006,true
QQN-CubicQuadraticInterpolation,11,1.721606e-16,3.487237e-8,10,149,196,0.004,true
