Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
Barrier_10D_mu0.1,QQN-Backtracking,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,Trust Region-Adaptive,Computational_Cost,QQN-Backtracking,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-Backtracking,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,Adam-Fast,Computational_Cost,QQN-Backtracking,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-Backtracking,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,GD-Momentum,Computational_Cost,QQN-Backtracking,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-Backtracking,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Backtracking,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,L-BFGS-Conservative,Computational_Cost,QQN-Backtracking,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-Backtracking,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,Trust Region-Standard,Computational_Cost,QQN-Backtracking,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-Backtracking,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,GD-WeightDecay,Computational_Cost,QQN-Backtracking,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-Backtracking,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,GD,Computational_Cost,QQN-Backtracking,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-Backtracking,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Backtracking,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-StrongWolfe,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,Trust Region-Adaptive,Computational_Cost,QQN-StrongWolfe,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-StrongWolfe,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,Adam-Fast,Computational_Cost,QQN-StrongWolfe,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-StrongWolfe,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,GD-Momentum,Computational_Cost,QQN-StrongWolfe,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-StrongWolfe,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS-Conservative,Computational_Cost,QQN-StrongWolfe,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-StrongWolfe,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,Trust Region-Standard,Computational_Cost,QQN-StrongWolfe,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-StrongWolfe,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,GD-WeightDecay,Computational_Cost,QQN-StrongWolfe,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-StrongWolfe,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,GD,Computational_Cost,QQN-StrongWolfe,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Adaptive,Computational_Cost,QQN-GoldenSection,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-Fast,Computational_Cost,QQN-GoldenSection,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-Momentum,Computational_Cost,QQN-GoldenSection,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Conservative,Computational_Cost,QQN-GoldenSection,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-GoldenSection,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Standard,Computational_Cost,QQN-GoldenSection,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-GoldenSection,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-WeightDecay,Computational_Cost,QQN-GoldenSection,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-GoldenSection,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD,Computational_Cost,QQN-GoldenSection,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Adaptive,Computational_Cost,QQN-Bisection-1,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-Fast,Computational_Cost,QQN-Bisection-1,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-Momentum,Computational_Cost,QQN-Bisection-1,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Conservative,Computational_Cost,QQN-Bisection-1,-26.622423,0.001000,true,8.418749
