Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.455434e0
QQN-GoldenSection,51,4.455434e0
QQN-GoldenSection,102,3.582736e0
QQN-GoldenSection,150,3.574466e0
QQN-GoldenSection,164,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,226,3.574452e0
QQN-GoldenSection,230,3.574452e0
QQN-GoldenSection,2,4.279827e0
QQN-GoldenSection,51,4.279827e0
QQN-GoldenSection,102,3.581679e0
QQN-GoldenSection,160,3.574470e0
QQN-GoldenSection,174,3.574452e0
QQN-GoldenSection,222,3.574452e0
QQN-GoldenSection,226,3.574452e0
QQN-GoldenSection,2,4.164368e0
QQN-GoldenSection,51,4.164368e0
QQN-GoldenSection,102,3.587415e0
QQN-GoldenSection,150,3.574469e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.430866e0
QQN-GoldenSection,51,4.430866e0
QQN-GoldenSection,102,3.589069e0
QQN-GoldenSection,150,3.574472e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.088434e0
QQN-GoldenSection,51,4.088434e0
QQN-GoldenSection,102,3.584423e0
QQN-GoldenSection,150,3.574471e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.125004e0
QQN-GoldenSection,52,4.125004e0
QQN-GoldenSection,103,3.577886e0
QQN-GoldenSection,151,3.574458e0
QQN-GoldenSection,165,3.574452e0
QQN-GoldenSection,179,3.574452e0
QQN-GoldenSection,183,3.574452e0
QQN-GoldenSection,2,3.908131e0
QQN-GoldenSection,52,3.908131e0
QQN-GoldenSection,103,3.579375e0
QQN-GoldenSection,151,3.574459e0
QQN-GoldenSection,165,3.574452e0
QQN-GoldenSection,179,3.574452e0
QQN-GoldenSection,183,3.574452e0
QQN-GoldenSection,2,4.458648e0
QQN-GoldenSection,51,4.458648e0
QQN-GoldenSection,102,3.586416e0
QQN-GoldenSection,150,3.574472e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.163448e0
QQN-GoldenSection,51,4.163448e0
QQN-GoldenSection,102,3.581864e0
QQN-GoldenSection,150,3.574463e0
QQN-GoldenSection,164,3.574452e0
QQN-GoldenSection,178,3.574452e0
QQN-GoldenSection,192,3.574452e0
QQN-GoldenSection,206,3.574452e0
QQN-GoldenSection,210,3.574452e0
QQN-GoldenSection,2,4.473630e0
QQN-GoldenSection,51,4.473630e0
QQN-GoldenSection,102,3.579931e0
QQN-GoldenSection,160,3.574462e0
QQN-GoldenSection,208,3.574452e0
QQN-GoldenSection,222,3.574452e0
QQN-GoldenSection,226,3.574452e0
QQN-GoldenSection,2,4.090138e0
QQN-GoldenSection,51,4.090138e0
QQN-GoldenSection,102,3.580674e0
QQN-GoldenSection,160,3.574466e0
QQN-GoldenSection,174,3.574452e0
QQN-GoldenSection,188,3.574452e0
QQN-GoldenSection,192,3.574452e0
QQN-GoldenSection,2,3.938315e0
QQN-GoldenSection,52,3.938315e0
QQN-GoldenSection,103,3.575468e0
QQN-GoldenSection,161,3.574454e0
QQN-GoldenSection,175,3.574452e0
QQN-GoldenSection,179,3.574452e0
QQN-GoldenSection,2,4.012017e0
QQN-GoldenSection,51,4.012017e0
QQN-GoldenSection,102,3.580377e0
QQN-GoldenSection,150,3.574464e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.121447e0
QQN-GoldenSection,51,4.121447e0
QQN-GoldenSection,102,3.591676e0
QQN-GoldenSection,150,3.574470e0
QQN-GoldenSection,164,3.574452e0
QQN-GoldenSection,178,3.574452e0
QQN-GoldenSection,226,3.574452e0
QQN-GoldenSection,240,3.574452e0
QQN-GoldenSection,244,3.574452e0
QQN-GoldenSection,2,4.315112e0
QQN-GoldenSection,51,4.315112e0
QQN-GoldenSection,102,3.577212e0
QQN-GoldenSection,160,3.574455e0
QQN-GoldenSection,208,3.574452e0
QQN-GoldenSection,222,3.574452e0
QQN-GoldenSection,226,3.574452e0
QQN-GoldenSection,2,4.206768e0
QQN-GoldenSection,51,4.206768e0
QQN-GoldenSection,102,3.579687e0
QQN-GoldenSection,150,3.574459e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.169089e0
QQN-GoldenSection,51,4.169089e0
QQN-GoldenSection,102,3.578105e0
QQN-GoldenSection,150,3.574459e0
QQN-GoldenSection,164,3.574452e0
QQN-GoldenSection,178,3.574452e0
QQN-GoldenSection,182,3.574452e0
QQN-GoldenSection,2,4.040585e0
QQN-GoldenSection,51,4.040585e0
QQN-GoldenSection,102,3.592285e0
QQN-GoldenSection,150,3.574480e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.697596e0
QQN-GoldenSection,51,4.697596e0
QQN-GoldenSection,102,3.595762e0
QQN-GoldenSection,150,3.574498e0
QQN-GoldenSection,198,3.574452e0
QQN-GoldenSection,212,3.574452e0
QQN-GoldenSection,216,3.574452e0
QQN-GoldenSection,2,4.570979e0
QQN-GoldenSection,49,4.570979e0
QQN-GoldenSection,99,2.655435e0
QQN-GoldenSection,148,1.805796e0
QQN-GoldenSection,196,1.717760e0
QQN-GoldenSection,244,1.652299e0
QQN-GoldenSection,292,1.646363e0
QQN-GoldenSection,340,1.646227e0
QQN-GoldenSection,388,1.646224e0
QQN-GoldenSection,402,1.646224e0
QQN-GoldenSection,406,1.646224e0
QQN-Bisection-1,2,4.571031e0
QQN-Bisection-1,61,4.571031e0
QQN-Bisection-1,101,3.521049e0
QQN-Bisection-1,122,3.468993e0
QQN-Bisection-1,143,2.309488e0
QQN-Bisection-1,222,2.019120e0
QQN-Bisection-1,291,1.885209e0
QQN-Bisection-1,370,1.655173e0
QQN-Bisection-1,391,1.649859e0
QQN-Bisection-1,470,1.647894e0
QQN-Bisection-1,491,1.646862e0
QQN-Bisection-1,512,1.646238e0
QQN-Bisection-1,533,1.646236e0
QQN-Bisection-1,554,1.646227e0
QQN-Bisection-1,575,1.646224e0
QQN-Bisection-1,596,1.646224e0
QQN-Bisection-1,617,1.646224e0
QQN-Bisection-1,621,1.646224e0
QQN-Bisection-1,2,3.976309e0
QQN-Bisection-1,65,3.976309e0
QQN-Bisection-1,138,3.583802e0
QQN-Bisection-1,178,3.579887e0
QQN-Bisection-1,199,3.574465e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.508672e0
QQN-Bisection-1,65,4.508672e0
QQN-Bisection-1,138,3.603243e0
QQN-Bisection-1,178,3.591634e0
QQN-Bisection-1,199,3.574646e0
QQN-Bisection-1,220,3.574453e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,262,3.574452e0
QQN-Bisection-1,266,3.574452e0
QQN-Bisection-1,2,4.248431e0
QQN-Bisection-1,65,4.248431e0
QQN-Bisection-1,138,3.577851e0
QQN-Bisection-1,178,3.576369e0
QQN-Bisection-1,199,3.574453e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.144852e0
QQN-Bisection-1,65,4.144852e0
QQN-Bisection-1,138,3.590388e0
QQN-Bisection-1,178,3.583788e0
QQN-Bisection-1,199,3.574498e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.512536e0
QQN-Bisection-1,61,4.512536e0
QQN-Bisection-1,132,3.312219e0
QQN-Bisection-1,193,2.522789e0
QQN-Bisection-1,253,2.477343e0
QQN-Bisection-1,313,2.378489e0
QQN-Bisection-1,384,2.367853e0
QQN-Bisection-1,455,2.345377e0
QQN-Bisection-1,526,2.332628e0
QQN-Bisection-1,597,2.325524e0
QQN-Bisection-1,668,2.321604e0
QQN-Bisection-1,739,2.319452e0
QQN-Bisection-1,810,2.318273e0
QQN-Bisection-1,881,2.317628e0
QQN-Bisection-1,952,2.317275e0
QQN-Bisection-1,1023,2.317082e0
QQN-Bisection-1,2,4.305927e0
QQN-Bisection-1,65,4.305927e0
QQN-Bisection-1,138,3.585636e0
QQN-Bisection-1,178,3.580893e0
QQN-Bisection-1,199,3.574474e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,3.917188e0
QQN-Bisection-1,67,3.917188e0
QQN-Bisection-1,140,3.578288e0
QQN-Bisection-1,180,3.576658e0
QQN-Bisection-1,201,3.574454e0
QQN-Bisection-1,222,3.574452e0
QQN-Bisection-1,243,3.574452e0
QQN-Bisection-1,247,3.574452e0
QQN-Bisection-1,2,4.552621e0
QQN-Bisection-1,65,4.552621e0
QQN-Bisection-1,138,3.584788e0
QQN-Bisection-1,178,3.580306e0
QQN-Bisection-1,199,3.574465e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,3.855222e0
QQN-Bisection-1,67,3.855222e0
QQN-Bisection-1,140,3.575395e0
QQN-Bisection-1,180,3.574973e0
QQN-Bisection-1,201,3.574452e0
QQN-Bisection-1,222,3.574452e0
QQN-Bisection-1,226,3.574452e0
QQN-Bisection-1,2,4.308422e0
QQN-Bisection-1,65,4.308422e0
QQN-Bisection-1,138,3.577315e0
QQN-Bisection-1,178,3.576030e0
QQN-Bisection-1,199,3.574452e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.370515e0
QQN-Bisection-1,65,4.370515e0
QQN-Bisection-1,138,3.602580e0
QQN-Bisection-1,178,3.591355e0
QQN-Bisection-1,199,3.574641e0
QQN-Bisection-1,220,3.574453e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,262,3.574452e0
QQN-Bisection-1,266,3.574452e0
QQN-Bisection-1,2,4.029544e0
QQN-Bisection-1,65,4.029544e0
QQN-Bisection-1,138,3.582098e0
QQN-Bisection-1,178,3.578840e0
QQN-Bisection-1,199,3.574460e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.385167e0
QQN-Bisection-1,65,4.385167e0
QQN-Bisection-1,138,3.584299e0
QQN-Bisection-1,178,3.580158e0
QQN-Bisection-1,199,3.574468e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.157951e0
QQN-Bisection-1,65,4.157951e0
QQN-Bisection-1,138,3.583364e0
QQN-Bisection-1,178,3.579621e0
QQN-Bisection-1,199,3.574465e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.100526e0
QQN-Bisection-1,65,4.100526e0
QQN-Bisection-1,138,3.579381e0
QQN-Bisection-1,178,3.577218e0
QQN-Bisection-1,199,3.574454e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.050328e0
QQN-Bisection-1,67,4.050328e0
QQN-Bisection-1,140,3.575984e0
QQN-Bisection-1,180,3.575298e0
QQN-Bisection-1,201,3.574452e0
QQN-Bisection-1,222,3.574452e0
QQN-Bisection-1,226,3.574452e0
QQN-Bisection-1,2,3.983100e0
QQN-Bisection-1,67,3.983100e0
QQN-Bisection-1,140,3.578998e0
QQN-Bisection-1,180,3.577044e0
QQN-Bisection-1,201,3.574454e0
QQN-Bisection-1,222,3.574452e0
QQN-Bisection-1,243,3.574452e0
QQN-Bisection-1,247,3.574452e0
QQN-Bisection-1,2,4.524076e0
QQN-Bisection-1,65,4.524076e0
QQN-Bisection-1,138,3.583107e0
QQN-Bisection-1,178,3.579398e0
QQN-Bisection-1,199,3.574462e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-Bisection-1,2,4.220101e0
QQN-Bisection-1,65,4.220101e0
QQN-Bisection-1,138,3.584106e0
QQN-Bisection-1,178,3.580080e0
QQN-Bisection-1,199,3.574466e0
QQN-Bisection-1,220,3.574452e0
QQN-Bisection-1,241,3.574452e0
QQN-Bisection-1,245,3.574452e0
QQN-CubicQuadraticInterpolation,2,4.285348e0
QQN-CubicQuadraticInterpolation,64,4.285348e0
QQN-CubicQuadraticInterpolation,152,4.272762e0
QQN-CubicQuadraticInterpolation,174,3.067480e0
QQN-CubicQuadraticInterpolation,190,2.825577e0
QQN-CubicQuadraticInterpolation,206,2.813934e0
QQN-CubicQuadraticInterpolation,294,2.813627e0
QQN-CubicQuadraticInterpolation,382,2.813600e0
QQN-CubicQuadraticInterpolation,470,2.813597e0
QQN-CubicQuadraticInterpolation,558,2.813597e0
QQN-CubicQuadraticInterpolation,646,2.813597e0
QQN-CubicQuadraticInterpolation,661,2.813597e0
QQN-CubicQuadraticInterpolation,749,2.813597e0
QQN-CubicQuadraticInterpolation,2,4.179590e0
QQN-CubicQuadraticInterpolation,64,4.179590e0
QQN-CubicQuadraticInterpolation,83,3.597820e0
QQN-CubicQuadraticInterpolation,99,3.574555e0
QQN-CubicQuadraticInterpolation,115,3.574453e0
QQN-CubicQuadraticInterpolation,131,3.574452e0
QQN-CubicQuadraticInterpolation,146,3.574452e0
QQN-CubicQuadraticInterpolation,150,3.574452e0
QQN-CubicQuadraticInterpolation,2,4.516144e0
QQN-CubicQuadraticInterpolation,64,4.516144e0
QQN-CubicQuadraticInterpolation,152,4.191411e0
QQN-CubicQuadraticInterpolation,168,3.666313e0
QQN-CubicQuadraticInterpolation,184,3.574724e0
QQN-CubicQuadraticInterpolation,200,3.574466e0
QQN-CubicQuadraticInterpolation,216,3.574453e0
QQN-CubicQuadraticInterpolation,232,3.574452e0
QQN-CubicQuadraticInterpolation,246,3.574452e0
QQN-CubicQuadraticInterpolation,261,3.574452e0
QQN-CubicQuadraticInterpolation,276,3.574452e0
QQN-CubicQuadraticInterpolation,280,3.574452e0
QQN-CubicQuadraticInterpolation,2,4.430632e0
QQN-CubicQuadraticInterpolation,64,4.430632e0
QQN-CubicQuadraticInterpolation,152,4.078120e0
QQN-CubicQuadraticInterpolation,168,3.627029e0
QQN-CubicQuadraticInterpolation,184,3.574557e0
QQN-CubicQuadraticInterpolation,200,3.574456e0
QQN-CubicQuadraticInterpolation,216,3.574452e0
QQN-CubicQuadraticInterpolation,232,3.574452e0
QQN-CubicQuadraticInterpolation,247,3.574452e0
QQN-CubicQuadraticInterpolation,251,3.574452e0
QQN-CubicQuadraticInterpolation,2,4.108157e0
QQN-CubicQuadraticInterpolation,64,4.108157e0
QQN-CubicQuadraticInterpolation,152,3.755219e0
QQN-CubicQuadraticInterpolation,240,3.625009e0
QQN-CubicQuadraticInterpolation,328,3.586151e0
QQN-CubicQuadraticInterpolation,416,3.577401e0
QQN-CubicQuadraticInterpolation,504,3.575237e0
QQN-CubicQuadraticInterpolation,592,3.574660e0
QQN-CubicQuadraticInterpolation,680,3.574507e0
QQN-CubicQuadraticInterpolation,768,3.574467e0
QQN-CubicQuadraticInterpolation,856,3.574456e0
QQN-CubicQuadraticInterpolation,944,3.574453e0
QQN-CubicQuadraticInterpolation,1032,3.574452e0
QQN-CubicQuadraticInterpolation,2,4.247939e0
