Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.455434e0,6.488900e-1
QQN-GoldenSection,51,4.455434e0,6.488900e-1
QQN-GoldenSection,102,3.582736e0,5.542148e-1
QQN-GoldenSection,150,3.574466e0,5.532112e-1
QQN-GoldenSection,164,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,226,3.574452e0,5.532095e-1
QQN-GoldenSection,230,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.279827e0,6.314262e-1
QQN-GoldenSection,51,4.279827e0,6.314262e-1
QQN-GoldenSection,102,3.581679e0,5.540867e-1
QQN-GoldenSection,160,3.574470e0,5.532116e-1
QQN-GoldenSection,174,3.574452e0,5.532095e-1
QQN-GoldenSection,222,3.574452e0,5.532095e-1
QQN-GoldenSection,226,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.164368e0,6.195491e-1
QQN-GoldenSection,51,4.164368e0,6.195491e-1
QQN-GoldenSection,102,3.587415e0,5.547816e-1
QQN-GoldenSection,150,3.574469e0,5.532116e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.430866e0,6.464886e-1
QQN-GoldenSection,51,4.430866e0,6.464886e-1
QQN-GoldenSection,102,3.589069e0,5.549818e-1
QQN-GoldenSection,150,3.574472e0,5.532119e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.088434e0,6.115570e-1
QQN-GoldenSection,51,4.088434e0,6.115570e-1
QQN-GoldenSection,102,3.584423e0,5.544193e-1
QQN-GoldenSection,150,3.574471e0,5.532118e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.125004e0,6.154243e-1
QQN-GoldenSection,52,4.125004e0,6.154243e-1
QQN-GoldenSection,103,3.577886e0,5.536265e-1
QQN-GoldenSection,151,3.574458e0,5.532102e-1
QQN-GoldenSection,165,3.574452e0,5.532095e-1
QQN-GoldenSection,179,3.574452e0,5.532095e-1
QQN-GoldenSection,183,3.574452e0,5.532095e-1
QQN-GoldenSection,2,3.908131e0,5.919691e-1
QQN-GoldenSection,52,3.908131e0,5.919691e-1
QQN-GoldenSection,103,3.579375e0,5.538072e-1
QQN-GoldenSection,151,3.574459e0,5.532103e-1
QQN-GoldenSection,165,3.574452e0,5.532095e-1
QQN-GoldenSection,179,3.574452e0,5.532095e-1
QQN-GoldenSection,183,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.458648e0,6.492032e-1
QQN-GoldenSection,51,4.458648e0,6.492032e-1
QQN-GoldenSection,102,3.586416e0,5.546606e-1
QQN-GoldenSection,150,3.574472e0,5.532119e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.163448e0,6.194531e-1
QQN-GoldenSection,51,4.163448e0,6.194531e-1
QQN-GoldenSection,102,3.581864e0,5.541091e-1
QQN-GoldenSection,150,3.574463e0,5.532108e-1
QQN-GoldenSection,164,3.574452e0,5.532095e-1
QQN-GoldenSection,178,3.574452e0,5.532095e-1
QQN-GoldenSection,192,3.574452e0,5.532095e-1
QQN-GoldenSection,206,3.574452e0,5.532095e-1
QQN-GoldenSection,210,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.473630e0,6.506601e-1
QQN-GoldenSection,51,4.473630e0,6.506601e-1
QQN-GoldenSection,102,3.579931e0,5.538747e-1
QQN-GoldenSection,160,3.574462e0,5.532107e-1
QQN-GoldenSection,208,3.574452e0,5.532095e-1
QQN-GoldenSection,222,3.574452e0,5.532095e-1
QQN-GoldenSection,226,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.090138e0,6.117379e-1
QQN-GoldenSection,51,4.090138e0,6.117379e-1
QQN-GoldenSection,102,3.580674e0,5.539648e-1
QQN-GoldenSection,160,3.574466e0,5.532112e-1
QQN-GoldenSection,174,3.574452e0,5.532095e-1
QQN-GoldenSection,188,3.574452e0,5.532095e-1
QQN-GoldenSection,192,3.574452e0,5.532095e-1
QQN-GoldenSection,2,3.938315e0,5.953104e-1
QQN-GoldenSection,52,3.938315e0,5.953104e-1
QQN-GoldenSection,103,3.575468e0,5.533329e-1
QQN-GoldenSection,161,3.574454e0,5.532097e-1
QQN-GoldenSection,175,3.574452e0,5.532095e-1
QQN-GoldenSection,179,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.012017e0,6.033628e-1
QQN-GoldenSection,51,4.012017e0,6.033628e-1
QQN-GoldenSection,102,3.580377e0,5.539288e-1
QQN-GoldenSection,150,3.574464e0,5.532109e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.121447e0,6.150497e-1
QQN-GoldenSection,51,4.121447e0,6.150497e-1
QQN-GoldenSection,102,3.591676e0,5.552971e-1
QQN-GoldenSection,150,3.574470e0,5.532117e-1
QQN-GoldenSection,164,3.574452e0,5.532095e-1
QQN-GoldenSection,178,3.574452e0,5.532095e-1
QQN-GoldenSection,226,3.574452e0,5.532095e-1
QQN-GoldenSection,240,3.574452e0,5.532095e-1
QQN-GoldenSection,244,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.315112e0,6.349921e-1
QQN-GoldenSection,51,4.315112e0,6.349921e-1
QQN-GoldenSection,102,3.577212e0,5.535446e-1
QQN-GoldenSection,160,3.574455e0,5.532098e-1
QQN-GoldenSection,208,3.574452e0,5.532095e-1
QQN-GoldenSection,222,3.574452e0,5.532095e-1
QQN-GoldenSection,226,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.206768e0,6.239485e-1
QQN-GoldenSection,51,4.206768e0,6.239485e-1
QQN-GoldenSection,102,3.579687e0,5.538451e-1
QQN-GoldenSection,150,3.574459e0,5.532104e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.169089e0,6.200411e-1
QQN-GoldenSection,51,4.169089e0,6.200411e-1
QQN-GoldenSection,102,3.578105e0,5.536531e-1
QQN-GoldenSection,150,3.574459e0,5.532103e-1
QQN-GoldenSection,164,3.574452e0,5.532095e-1
QQN-GoldenSection,178,3.574452e0,5.532095e-1
QQN-GoldenSection,182,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.040585e0,6.064442e-1
QQN-GoldenSection,51,4.040585e0,6.064442e-1
QQN-GoldenSection,102,3.592285e0,5.553708e-1
QQN-GoldenSection,150,3.574480e0,5.532128e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.697596e0,6.718757e-1
QQN-GoldenSection,51,4.697596e0,6.718757e-1
QQN-GoldenSection,102,3.595762e0,5.557909e-1
QQN-GoldenSection,150,3.574498e0,5.532150e-1
QQN-GoldenSection,198,3.574452e0,5.532095e-1
QQN-GoldenSection,212,3.574452e0,5.532095e-1
QQN-GoldenSection,216,3.574452e0,5.532095e-1
QQN-GoldenSection,2,4.570979e0,6.600092e-1
QQN-GoldenSection,49,4.570979e0,6.600092e-1
QQN-GoldenSection,99,2.655435e0,4.241356e-1
QQN-GoldenSection,148,1.805796e0,2.566687e-1
QQN-GoldenSection,196,1.717760e0,2.349624e-1
