Optimizer,MaxEvaluation,ObjectiveValue
Adam-Fast,2,1.058793e1
Adam-Fast,6,1.058793e1
Adam-Fast,10,8.749066e0
Adam-Fast,14,7.129811e0
Adam-Fast,18,5.735950e0
Adam-Fast,22,4.572129e0
Adam-Fast,26,3.641579e0
Adam-Fast,30,2.945874e0
Adam-Fast,34,2.484763e0
Adam-Fast,38,2.255348e0
Adam-Fast,42,2.244523e0
Adam-Fast,46,2.386231e0
Adam-Fast,50,2.523635e0
Adam-Fast,54,2.628995e0
Adam-Fast,58,2.735982e0
Adam-Fast,62,2.763674e0
Adam-Fast,2,9.329302e0
Adam-Fast,6,9.329302e0
Adam-Fast,10,7.624570e0
Adam-Fast,14,6.141233e0
Adam-Fast,18,4.885570e0
Adam-Fast,22,3.862719e0
Adam-Fast,26,3.076364e0
Adam-Fast,30,2.528470e0
Adam-Fast,34,2.218981e0
Adam-Fast,38,2.143964e0
Adam-Fast,42,2.281669e0
Adam-Fast,46,2.539276e0
Adam-Fast,50,2.746644e0
Adam-Fast,54,2.784176e0
Adam-Fast,58,2.675262e0
Adam-Fast,2,1.014921e1
Adam-Fast,6,1.014921e1
Adam-Fast,10,8.351593e0
Adam-Fast,14,6.773937e0
Adam-Fast,18,5.422099e0
Adam-Fast,22,4.300785e0
Adam-Fast,26,3.413259e0
Adam-Fast,30,2.761098e0
Adam-Fast,34,2.344000e0
Adam-Fast,38,2.158862e0
Adam-Fast,42,2.191963e0
Adam-Fast,46,2.385115e0
Adam-Fast,50,2.623900e0
Adam-Fast,54,2.806621e0
Adam-Fast,58,2.832515e0
Adam-Fast,2,1.073172e1
Adam-Fast,6,1.073172e1
Adam-Fast,10,8.870786e0
Adam-Fast,14,7.228951e0
Adam-Fast,18,5.811836e0
Adam-Fast,22,4.623909e0
Adam-Fast,26,3.668208e0
Adam-Fast,30,2.946075e0
Adam-Fast,34,2.456858e0
Adam-Fast,38,2.196590e0
Adam-Fast,42,2.149790e0
Adam-Fast,46,2.273669e0
Adam-Fast,50,2.520937e0
Adam-Fast,54,2.770673e0
Adam-Fast,58,2.894072e0
Adam-Fast,62,2.835560e0
Adam-Fast,2,1.125639e1
Adam-Fast,6,1.125639e1
Adam-Fast,10,9.338307e0
Adam-Fast,14,7.638480e0
Adam-Fast,18,6.162271e0
Adam-Fast,22,4.913893e0
Adam-Fast,26,3.896140e0
Adam-Fast,30,3.110173e0
Adam-Fast,34,2.555453e0
Adam-Fast,38,2.229895e0
Adam-Fast,42,2.129265e0
Adam-Fast,46,2.237466e0
Adam-Fast,50,2.481346e0
Adam-Fast,54,2.736047e0
Adam-Fast,58,2.903369e0
Adam-Fast,62,2.897798e0
Adam-Fast,2,1.015789e1
Adam-Fast,6,1.015789e1
Adam-Fast,10,8.370383e0
Adam-Fast,14,6.803417e0
Adam-Fast,18,5.463077e0
Adam-Fast,22,4.354326e0
Adam-Fast,26,3.480700e0
Adam-Fast,30,2.844007e0
Adam-Fast,34,2.443790e0
Adam-Fast,38,2.274262e0
Adam-Fast,42,2.304905e0
Adam-Fast,46,2.427669e0
Adam-Fast,50,2.535129e0
Adam-Fast,54,2.605973e0
Adam-Fast,58,2.662019e0
Adam-Fast,2,1.020313e1
Adam-Fast,6,1.020313e1
Adam-Fast,10,8.398428e0
Adam-Fast,14,6.813548e0
Adam-Fast,18,5.454305e0
Adam-Fast,22,4.325360e0
Adam-Fast,26,3.429931e0
Adam-Fast,30,2.769546e0
Adam-Fast,34,2.343861e0
Adam-Fast,38,2.149780e0
Adam-Fast,42,2.174256e0
Adam-Fast,46,2.365186e0
Adam-Fast,50,2.615292e0
Adam-Fast,54,2.813496e0
Adam-Fast,58,2.861825e0
Adam-Fast,2,9.791725e0
Adam-Fast,6,9.791725e0
Adam-Fast,10,8.035451e0
Adam-Fast,14,6.499834e0
Adam-Fast,18,5.190949e0
Adam-Fast,22,4.113727e0
Adam-Fast,26,3.271648e0
Adam-Fast,30,2.666461e0
Adam-Fast,34,2.297764e0
Adam-Fast,38,2.160707e0
Adam-Fast,42,2.231314e0
Adam-Fast,46,2.429755e0
Adam-Fast,50,2.654312e0
Adam-Fast,54,2.777933e0
Adam-Fast,58,2.775898e0
Adam-Fast,2,9.970645e0
Adam-Fast,6,9.970645e0
Adam-Fast,10,8.197445e0
Adam-Fast,14,6.644736e0
Adam-Fast,18,5.318551e0
Adam-Fast,22,4.223781e0
Adam-Fast,26,3.363886e0
Adam-Fast,30,2.740628e0
Adam-Fast,34,2.353808e0
Adam-Fast,38,2.199722e0
Adam-Fast,42,2.259494e0
Adam-Fast,46,2.450285e0
Adam-Fast,50,2.609294e0
Adam-Fast,54,2.700615e0
Adam-Fast,58,2.752085e0
Adam-Fast,2,9.888917e0
Adam-Fast,6,9.888917e0
Adam-Fast,10,8.126686e0
Adam-Fast,14,6.585214e0
Adam-Fast,18,5.270628e0
Adam-Fast,22,4.187925e0
Adam-Fast,26,3.340666e0
Adam-Fast,30,2.730668e0
Adam-Fast,34,2.357485e0
Adam-Fast,38,2.215434e0
Adam-Fast,42,2.274545e0
Adam-Fast,46,2.429484e0
Adam-Fast,50,2.587888e0
Adam-Fast,54,2.705388e0
Adam-Fast,58,2.729390e0
Adam-Fast,2,1.045203e1
Adam-Fast,6,1.045203e1
Adam-Fast,10,8.622538e0
Adam-Fast,14,7.012608e0
Adam-Fast,18,5.627993e0
Adam-Fast,22,4.473297e0
Adam-Fast,26,3.551690e0
Adam-Fast,30,2.864657e0
Adam-Fast,34,2.411777e0
Adam-Fast,38,2.189671e0
Adam-Fast,42,2.184136e0
Adam-Fast,46,2.342048e0
Adam-Fast,50,2.563743e0
Adam-Fast,54,2.751193e0
Adam-Fast,58,2.838807e0
Adam-Fast,62,2.772205e0
Adam-Fast,2,9.078501e0
Adam-Fast,6,9.078501e0
Adam-Fast,10,7.414533e0
Adam-Fast,14,5.973064e0
Adam-Fast,18,4.760760e0
Adam-Fast,22,3.783183e0
Adam-Fast,26,3.044451e0
Adam-Fast,30,2.546876e0
Adam-Fast,34,2.290135e0
Adam-Fast,38,2.266148e0
Adam-Fast,42,2.429092e0
Adam-Fast,46,2.628213e0
Adam-Fast,50,2.695995e0
Adam-Fast,54,2.588521e0
Adam-Fast,58,2.454330e0
Adam-Fast,2,9.319203e0
Adam-Fast,6,9.319203e0
Adam-Fast,10,7.620400e0
Adam-Fast,14,6.143262e0
Adam-Fast,18,4.894171e0
Adam-Fast,22,3.878378e0
Adam-Fast,26,3.099691e0
Adam-Fast,30,2.560184e0
Adam-Fast,34,2.259775e0
Adam-Fast,38,2.193593e0
Adam-Fast,42,2.333681e0
Adam-Fast,46,2.565098e0
Adam-Fast,50,2.707408e0
Adam-Fast,54,2.705148e0
Adam-Fast,58,2.599443e0
Adam-Fast,2,9.713941e0
Adam-Fast,6,9.713941e0
Adam-Fast,10,7.962556e0
Adam-Fast,14,6.431733e0
Adam-Fast,18,5.127492e0
Adam-Fast,22,4.054699e0
Adam-Fast,26,3.216767e0
Adam-Fast,30,2.615422e0
Adam-Fast,34,2.250553e0
Adam-Fast,38,2.119427e0
Adam-Fast,42,2.208952e0
Adam-Fast,46,2.454319e0
Adam-Fast,50,2.700627e0
Adam-Fast,54,2.832294e0
Adam-Fast,58,2.810977e0
Adam-Fast,2,9.929707e0
Adam-Fast,6,9.929707e0
Adam-Fast,10,8.154483e0
Adam-Fast,14,6.599447e0
Adam-Fast,18,5.270506e0
Adam-Fast,22,4.172407e0
Adam-Fast,26,3.308450e0
Adam-Fast,30,2.680263e0
Adam-Fast,34,2.287738e0
Adam-Fast,38,2.128762e0
Adam-Fast,42,2.194751e0
Adam-Fast,46,2.439667e0
Adam-Fast,50,2.711141e0
Adam-Fast,54,2.843924e0
Adam-Fast,58,2.784426e0
Adam-Fast,2,9.191884e0
Adam-Fast,6,9.191884e0
Adam-Fast,10,7.502566e0
Adam-Fast,14,6.034937e0
Adam-Fast,18,4.795381e0
Adam-Fast,22,3.789147e0
Adam-Fast,26,3.020018e0
Adam-Fast,30,2.489979e0
Adam-Fast,34,2.198545e0
Adam-Fast,38,2.138835e0
Adam-Fast,42,2.275080e0
Adam-Fast,46,2.498267e0
Adam-Fast,50,2.701710e0
Adam-Fast,54,2.816569e0
Adam-Fast,58,2.741189e0
Adam-Fast,2,1.028107e1
Adam-Fast,6,1.028107e1
Adam-Fast,10,8.484188e0
Adam-Fast,14,6.907888e0
Adam-Fast,18,5.558291e0
Adam-Fast,22,4.440410e0
Adam-Fast,26,3.557841e0
Adam-Fast,30,2.912433e0
Adam-Fast,34,2.503610e0
Adam-Fast,38,2.324466e0
Adam-Fast,42,2.338375e0
Adam-Fast,46,2.419400e0
Adam-Fast,50,2.458581e0
Adam-Fast,54,2.510988e0
Adam-Fast,58,2.634184e0
Adam-Fast,2,1.019736e1
Adam-Fast,6,1.019736e1
Adam-Fast,10,8.401267e0
Adam-Fast,14,6.825425e0
Adam-Fast,18,5.475802e0
Adam-Fast,22,4.357238e0
Adam-Fast,26,3.473143e0
Adam-Fast,30,2.825219e0
Adam-Fast,34,2.413082e0
Adam-Fast,38,2.232173e0
Adam-Fast,42,2.259767e0
Adam-Fast,46,2.411982e0
Adam-Fast,50,2.571912e0
Adam-Fast,54,2.676446e0
Adam-Fast,58,2.723794e0
Adam-Fast,2,1.049486e1
Adam-Fast,6,1.049486e1
Adam-Fast,10,8.669138e0
Adam-Fast,14,7.063337e0
Adam-Fast,18,5.683342e0
Adam-Fast,22,4.533916e0
Adam-Fast,26,3.618399e0
Adam-Fast,30,2.938442e0
Adam-Fast,34,2.493627e0
Adam-Fast,38,2.279465e0
Adam-Fast,42,2.274140e0
Adam-Fast,46,2.396965e0
Adam-Fast,50,2.527748e0
Adam-Fast,54,2.617591e0
Adam-Fast,58,2.691761e0
Adam-Fast,62,2.710054e0
Adam-Fast,2,9.484343e0
Adam-Fast,6,9.484343e0
Adam-Fast,10,7.764175e0
Adam-Fast,14,6.265267e0
Adam-Fast,18,4.993876e0
Adam-Fast,22,3.955124e0
Adam-Fast,26,3.152673e0
Adam-Fast,30,2.588401e0
Adam-Fast,34,2.261786e0
Adam-Fast,38,2.166355e0
Adam-Fast,42,2.269946e0
Adam-Fast,46,2.484325e0
Adam-Fast,50,2.715780e0
Adam-Fast,54,2.803091e0
Adam-Fast,58,2.692210e0
GD,2,9.055550e0
GD,5,9.055550e0
GD,8,8.738118e0
GD,11,8.433964e0
GD,14,8.142559e0
GD,17,7.863395e0
GD,20,7.595983e0
GD,23,7.339853e0
GD,26,7.094556e0
GD,29,6.859659e0
GD,32,6.634744e0
GD,35,6.419414e0
GD,38,6.213283e0
GD,41,6.015983e0
GD,44,5.827159e0
GD,47,5.646471e0
GD,50,5.473592e0
GD,53,5.308208e0
GD,56,5.150016e0
GD,59,4.998725e0
GD,62,4.854059e0
GD,65,4.715747e0
GD,68,4.583533e0
GD,71,4.457169e0
GD,74,4.336418e0
GD,77,4.221050e0
GD,80,4.110846e0
GD,83,4.005596e0
GD,86,3.905095e0
GD,89,3.809149e0
GD,92,3.717571e0
GD,95,3.630180e0
GD,98,3.546803e0
GD,101,3.467274e0
GD,104,3.391432e0
GD,107,3.319124e0
GD,110,3.250202e0
GD,113,3.184523e0
GD,116,3.121951e0
GD,119,3.062355e0
GD,122,3.005608e0
GD,125,2.951588e0
GD,128,2.900180e0
GD,131,2.851270e0
GD,134,2.804752e0
GD,137,2.760521e0
GD,140,2.718477e0
GD,143,2.678525e0
GD,146,2.640573e0
GD,149,2.604532e0
GD,152,2.570317e0
GD,155,2.537847e0
GD,158,2.507043e0
GD,161,2.477830e0
GD,164,2.450134e0
GD,167,2.423888e0
GD,170,2.399023e0
GD,173,2.375475e0
GD,176,2.353184e0
GD,179,2.332089e0
GD,182,2.312135e0
GD,185,2.293266e0
GD,188,2.275431e0
GD,191,2.258579e0
GD,194,2.242663e0
GD,197,2.227636e0
GD,200,2.213455e0
GD,203,2.200076e0
GD,206,2.187461e0
GD,209,2.175569e0
GD,212,2.164365e0
GD,215,2.153812e0
GD,218,2.143877e0
GD,221,2.134527e0
GD,224,2.125732e0
GD,227,2.117462e0
GD,230,2.109688e0
GD,233,2.102385e0
GD,236,2.095526e0
GD,239,2.089086e0
GD,242,2.083044e0
GD,245,2.077375e0
GD,248,2.072061e0
GD,251,2.067079e0
GD,254,2.062412e0
GD,257,2.058041e0
GD,260,2.053948e0
GD,263,2.050119e0
GD,266,2.046536e0
GD,269,2.043186e0
GD,272,2.040054e0
GD,275,2.037128e0
GD,278,2.034395e0
GD,281,2.031842e0
GD,284,2.029460e0
GD,287,2.027237e0
GD,290,2.025163e0
GD,293,2.023229e0
GD,296,2.021427e0
GD,299,2.019747e0
GD,302,2.018183e0
GD,305,2.016725e0
GD,308,2.015369e0
GD,311,2.014106e0
GD,314,2.012932e0
GD,317,2.011839e0
GD,320,2.010823e0
GD,323,2.009878e0
GD,326,2.009000e0
GD,329,2.008184e0
GD,332,2.007427e0
GD,335,2.006723e0
GD,338,2.006070e0
GD,341,2.005463e0
GD,344,2.004901e0
GD,347,2.004379e0
GD,350,2.003894e0
GD,353,2.003445e0
GD,356,2.003029e0
GD,359,2.002643e0
GD,362,2.002285e0
GD,365,2.001954e0
GD,368,2.001646e0
GD,371,2.001362e0
GD,374,2.001098e0
GD,377,2.000854e0
GD,380,2.000629e0
GD,383,2.000420e0
GD,386,2.000226e0
GD,389,2.000047e0
GD,392,1.999881e0
GD,395,1.999728e0
GD,398,1.999586e0
GD,401,1.999455e0
GD,404,1.999334e0
GD,407,1.999222e0
GD,410,1.999118e0
GD,413,1.999022e0
GD,416,1.998934e0
GD,419,1.998852e0
GD,422,1.998776e0
GD,425,1.998706e0
GD,428,1.998642e0
GD,431,1.998582e0
GD,434,1.998527e0
GD,437,1.998476e0
GD,440,1.998429e0
GD,443,1.998386e0
GD,446,1.998346e0
GD,449,1.998308e0
GD,452,1.998274e0
GD,455,1.998243e0
GD,458,1.998214e0
GD,461,1.998187e0
GD,464,1.998162e0
GD,467,1.998139e0
GD,470,1.998118e0
GD,473,1.998098e0
GD,476,1.998080e0
GD,479,1.998064e0
GD,482,1.998048e0
GD,485,1.998034e0
GD,488,1.998021e0
GD,491,1.998009e0
GD,494,1.997998e0
GD,497,1.997988e0
GD,500,1.997978e0
