Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
Adam-Fast,2,4.919005e0,6.918773e-1
Adam-Fast,6,4.919005e0,6.918773e-1
Adam-Fast,10,4.038859e0,6.062587e-1
Adam-Fast,14,3.269034e0,5.144195e-1
Adam-Fast,18,2.612570e0,4.170679e-1
Adam-Fast,22,2.071932e0,3.163756e-1
Adam-Fast,26,1.648868e0,2.171859e-1
Adam-Fast,30,1.344255e0,1.284816e-1
Adam-Fast,34,1.157893e0,6.366842e-2
Adam-Fast,38,1.087311e0,3.635362e-2
Adam-Fast,42,1.120031e0,4.922985e-2
Adam-Fast,46,1.212459e0,8.366694e-2
Adam-Fast,50,1.310969e0,1.175923e-1
Adam-Fast,54,1.386008e0,1.417659e-1
Adam-Fast,58,1.387241e0,1.421519e-1
Adam-Fast,2,5.356487e0,7.288801e-1
Adam-Fast,6,5.356487e0,7.288801e-1
Adam-Fast,10,4.425270e0,6.459398e-1
Adam-Fast,14,3.603509e0,5.567257e-1
Adam-Fast,18,2.893974e0,4.614946e-1
Adam-Fast,22,2.298852e0,3.615111e-1
Adam-Fast,26,1.819616e0,2.599797e-1
Adam-Fast,30,1.456908e0,1.634320e-1
Adam-Fast,34,1.210517e0,8.297096e-2
Adam-Fast,38,1.079421e0,3.319105e-2
Adam-Fast,42,1.061085e0,2.575036e-2
Adam-Fast,46,1.144090e0,5.846032e-2
Adam-Fast,50,1.284493e0,1.087319e-1
Adam-Fast,54,1.420551e0,1.524568e-1
Adam-Fast,58,1.465621e0,1.660217e-1
Adam-Fast,62,1.400206e0,1.461918e-1
Adam-Fast,2,4.664606e0,6.688150e-1
Adam-Fast,6,4.664606e0,6.688150e-1
Adam-Fast,10,3.814204e0,5.814039e-1
Adam-Fast,14,3.074624e0,4.877920e-1
Adam-Fast,18,2.449058e0,3.889990e-1
Adam-Fast,22,1.940133e0,2.878315e-1
Adam-Fast,26,1.549753e0,1.902624e-1
Adam-Fast,30,1.278941e0,1.068504e-1
Adam-Fast,34,1.127558e0,5.213888e-2
Adam-Fast,38,1.092611e0,3.846560e-2
Adam-Fast,42,1.157071e0,6.336013e-2
Adam-Fast,46,1.256256e0,9.907816e-2
Adam-Fast,50,1.330050e0,1.238680e-1
Adam-Fast,54,1.367557e0,1.359455e-1
Adam-Fast,58,1.333879e0,1.251165e-1
Adam-Fast,2,4.883057e0,6.886918e-1
Adam-Fast,6,4.883057e0,6.886918e-1
Adam-Fast,10,4.009567e0,6.030975e-1
Adam-Fast,14,3.246611e0,5.114302e-1
Adam-Fast,18,2.597304e0,4.145228e-1
Adam-Fast,22,2.064202e0,3.147522e-1
Adam-Fast,26,1.649139e0,2.172572e-1
Adam-Fast,30,1.353064e0,1.313183e-1
Adam-Fast,34,1.175707e0,7.029911e-2
Adam-Fast,38,1.113643e0,4.674597e-2
Adam-Fast,42,1.148687e0,6.020176e-2
Adam-Fast,46,1.220207e0,8.643367e-2
Adam-Fast,50,1.278735e0,1.067804e-1
Adam-Fast,54,1.339635e0,1.269864e-1
Adam-Fast,58,1.360041e0,1.335519e-1
Adam-Fast,2,5.587343e0,7.472053e-1
Adam-Fast,6,5.587343e0,7.472053e-1
Adam-Fast,10,4.630873e0,6.656629e-1
Adam-Fast,14,3.783500e0,5.778937e-1
Adam-Fast,18,3.047888e0,4.839990e-1
Adam-Fast,22,2.426122e0,3.849126e-1
Adam-Fast,26,1.919574e0,2.832048e-1
Adam-Fast,30,1.528792e0,1.843483e-1
Adam-Fast,34,1.253481e0,9.811782e-2
Adam-Fast,38,1.092653e0,3.848224e-2
Adam-Fast,42,1.044859e0,1.905789e-2
Adam-Fast,46,1.106696e0,4.402825e-2
Adam-Fast,50,1.257009e0,9.933832e-2
Adam-Fast,54,1.414417e0,1.505776e-1
Adam-Fast,58,1.487383e0,1.724227e-1
Adam-Fast,62,1.441260e0,1.587424e-1
Adam-Fast,2,5.029497e0,7.015245e-1
Adam-Fast,6,5.029497e0,7.015245e-1
Adam-Fast,10,4.141427e0,6.171500e-1
Adam-Fast,14,3.363707e0,5.268182e-1
Adam-Fast,18,2.699400e0,4.312672e-1
Adam-Fast,22,2.151004e0,3.326412e-1
Adam-Fast,26,1.720311e0,2.356069e-1
Adam-Fast,30,1.408258e0,1.486821e-1
Adam-Fast,34,1.214728e0,8.447893e-2
Adam-Fast,38,1.137352e0,5.589473e-2
Adam-Fast,42,1.163209e0,6.565779e-2
Adam-Fast,46,1.239179e0,9.313411e-2
Adam-Fast,50,1.284867e0,1.088582e-1
Adam-Fast,54,1.287518e0,1.097534e-1
Adam-Fast,58,1.302442e0,1.147584e-1
Adam-Fast,2,5.201320e0,7.161136e-1
Adam-Fast,6,5.201320e0,7.161136e-1
Adam-Fast,10,4.294321e0,6.328945e-1
Adam-Fast,14,3.497411e0,5.437467e-1
Adam-Fast,18,2.813578e0,4.492589e-1
Adam-Fast,22,2.245251e0,3.512648e-1
Adam-Fast,26,1.794148e0,2.538584e-1
Adam-Fast,30,1.461124e0,1.646871e-1
Adam-Fast,34,1.245887e0,9.547851e-2
Adam-Fast,38,1.145447e0,5.897512e-2
Adam-Fast,42,1.144881e0,5.876053e-2
Adam-Fast,46,1.196266e0,7.782788e-2
Adam-Fast,50,1.249371e0,9.669152e-2
Adam-Fast,54,1.300876e0,1.142361e-1
Adam-Fast,58,1.343188e0,1.281367e-1
Adam-Fast,62,1.355403e0,1.320686e-1
Adam-Fast,2,5.550404e0,7.443246e-1
Adam-Fast,6,5.550404e0,7.443246e-1
Adam-Fast,10,4.604542e0,6.631865e-1
Adam-Fast,14,3.768181e0,5.761317e-1
Adam-Fast,18,3.044134e0,4.834638e-1
Adam-Fast,22,2.434654e0,3.864373e-1
Adam-Fast,26,1.941290e0,2.880904e-1
Adam-Fast,30,1.564751e0,1.944451e-1
Adam-Fast,34,1.304724e0,1.155187e-1
Adam-Fast,38,1.158982e0,6.407682e-2
Adam-Fast,42,1.117525e0,4.825721e-2
Adam-Fast,46,1.145618e0,5.903991e-2
Adam-Fast,50,1.210779e0,8.306502e-2
Adam-Fast,54,1.297106e0,1.129754e-1
Adam-Fast,58,1.379490e0,1.397186e-1
Adam-Fast,62,1.419430e0,1.521141e-1
Adam-Fast,2,5.410254e0,7.332176e-1
Adam-Fast,6,5.410254e0,7.332176e-1
Adam-Fast,10,4.475903e0,6.508806e-1
Adam-Fast,14,3.651062e0,5.624192e-1
Adam-Fast,18,2.938528e0,4.681299e-1
Adam-Fast,22,2.340525e0,3.693133e-1
Adam-Fast,26,1.858564e0,2.691775e-1
Adam-Fast,30,1.493332e0,1.741564e-1
Adam-Fast,34,1.244643e0,9.504480e-2
Adam-Fast,38,1.111302e0,4.583209e-2
Adam-Fast,42,1.089254e0,3.712906e-2
Adam-Fast,46,1.159030e0,6.409471e-2
Adam-Fast,50,1.265042e0,1.021048e-1
Adam-Fast,54,1.356446e0,1.324024e-1
Adam-Fast,58,1.410280e0,1.493052e-1
Adam-Fast,62,1.409958e0,1.492062e-1
Adam-Fast,2,6.426874e0,8.079998e-1
Adam-Fast,6,6.426874e0,8.079998e-1
Adam-Fast,10,5.385704e0,7.312425e-1
Adam-Fast,14,4.452678e0,6.486213e-1
Adam-Fast,18,3.630217e0,5.599326e-1
Adam-Fast,22,2.920180e0,4.654096e-1
Adam-Fast,26,2.323740e0,3.661875e-1
Adam-Fast,30,1.841275e0,2.651186e-1
Adam-Fast,34,1.472308e0,1.679988e-1
Adam-Fast,38,1.215574e0,8.478126e-2
Adam-Fast,42,1.069302e0,2.910031e-2
Adam-Fast,46,1.031771e0,1.358319e-2
Adam-Fast,50,1.100830e0,4.172042e-2
Adam-Fast,54,1.261455e0,1.008716e-1
Adam-Fast,58,1.441367e0,1.587747e-1
Adam-Fast,62,1.558456e0,1.926946e-1
Adam-Fast,66,1.520074e0,1.818648e-1
Adam-Fast,2,4.644813e0,6.669682e-1
Adam-Fast,6,4.644813e0,6.669682e-1
Adam-Fast,10,3.794377e0,5.791405e-1
Adam-Fast,14,3.054676e0,4.849652e-1
Adam-Fast,18,2.428863e0,3.854031e-1
Adam-Fast,22,1.919523e0,2.831933e-1
Adam-Fast,26,1.528510e0,1.842684e-1
Adam-Fast,30,1.256803e0,9.926709e-2
Adam-Fast,34,1.104262e0,4.307213e-2
Adam-Fast,38,1.068237e0,2.866755e-2
Adam-Fast,42,1.134661e0,5.486627e-2
Adam-Fast,46,1.254962e0,9.863061e-2
Adam-Fast,50,1.356623e0,1.324591e-1
Adam-Fast,54,1.393599e0,1.441378e-1
Adam-Fast,58,1.372091e0,1.373828e-1
Adam-Fast,2,5.389821e0,7.315744e-1
Adam-Fast,6,5.389821e0,7.315744e-1
Adam-Fast,10,4.456315e0,6.489759e-1
Adam-Fast,14,3.632264e0,5.601774e-1
Adam-Fast,18,2.920439e0,4.654481e-1
Adam-Fast,22,2.323030e0,3.660548e-1
Adam-Fast,26,1.841514e0,2.651750e-1
Adam-Fast,30,1.476545e0,1.692466e-1
Adam-Fast,34,1.227945e0,8.917894e-2
Adam-Fast,38,1.094832e0,3.934764e-2
Adam-Fast,42,1.075405e0,3.157209e-2
Adam-Fast,46,1.161766e0,6.511874e-2
Adam-Fast,50,1.308187e0,1.166697e-1
Adam-Fast,54,1.400576e0,1.463067e-1
Adam-Fast,58,1.411638e0,1.497234e-1
Adam-Fast,62,1.379869e0,1.398380e-1
Adam-Fast,2,5.154613e0,7.121961e-1
Adam-Fast,6,5.154613e0,7.121961e-1
Adam-Fast,10,4.246296e0,6.280103e-1
Adam-Fast,14,3.447816e0,5.375441e-1
Adam-Fast,18,2.762060e0,4.412332e-1
