Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.964683e1,1.293293e0
QQN-GoldenSection,53,1.964683e1,1.293293e0
QQN-GoldenSection,103,5.184165e0,7.146788e-1
QQN-GoldenSection,151,1.136754e0,5.566635e-2
QQN-GoldenSection,199,5.615575e-1,-2.506058e-1
QQN-GoldenSection,248,3.258669e-1,-4.869598e-1
QQN-GoldenSection,296,2.157070e-1,-6.661358e-1
QQN-GoldenSection,345,1.512897e-1,-8.201908e-1
QQN-GoldenSection,406,1.098256e-1,-9.592966e-1
QQN-GoldenSection,454,3.238499e-2,-1.489656e0
QQN-GoldenSection,502,8.073184e-3,-2.092955e0
QQN-GoldenSection,550,2.057380e-3,-2.686685e0
QQN-GoldenSection,598,1.499894e-4,-3.823939e0
QQN-GoldenSection,646,5.067962e-6,-5.295167e0
QQN-GoldenSection,694,1.591203e-8,-7.798274e0
QQN-GoldenSection,742,7.428909e-12,-1.112907e1
QQN-GoldenSection,746,6.639843e-15,-1.417784e1
QQN-GoldenSection,2,1.148203e1,1.060019e0
QQN-GoldenSection,53,1.148203e1,1.060019e0
QQN-GoldenSection,103,3.606988e0,5.571447e-1
QQN-GoldenSection,151,1.207729e0,8.196959e-2
QQN-GoldenSection,202,5.061718e-1,-2.957020e-1
QQN-GoldenSection,253,1.123555e-1,-9.494057e-1
QQN-GoldenSection,311,9.369226e-2,-1.028296e0
QQN-GoldenSection,359,3.486250e-2,-1.457641e0
QQN-GoldenSection,407,8.128681e-3,-2.089980e0
QQN-GoldenSection,455,1.747363e-3,-2.757617e0
QQN-GoldenSection,503,3.395377e-4,-3.469112e0
QQN-GoldenSection,551,1.371669e-5,-4.862751e0
QQN-GoldenSection,599,7.262864e-8,-7.138892e0
QQN-GoldenSection,647,7.564612e-10,-9.121213e0
QQN-GoldenSection,695,1.265495e-11,-1.089774e1
QQN-GoldenSection,743,1.417884e-14,-1.384836e1
QQN-GoldenSection,747,1.230258e-17,-1.500000e1
QQN-GoldenSection,2,1.430961e1,1.155628e0
QQN-GoldenSection,53,1.430961e1,1.155628e0
QQN-GoldenSection,103,3.724393e0,5.710555e-1
QQN-GoldenSection,151,1.078043e0,3.263593e-2
QQN-GoldenSection,203,5.139119e-1,-2.891113e-1
QQN-GoldenSection,254,1.389570e-1,-8.571196e-1
QQN-GoldenSection,312,1.130703e-1,-9.466515e-1
QQN-GoldenSection,360,3.955909e-2,-1.402754e0
QQN-GoldenSection,408,9.810774e-3,-2.008297e0
QQN-GoldenSection,456,2.348009e-3,-2.629300e0
QQN-GoldenSection,504,4.171374e-4,-3.379721e0
QQN-GoldenSection,552,4.333566e-6,-5.363155e0
QQN-GoldenSection,600,6.892056e-8,-7.161651e0
QQN-GoldenSection,648,2.200354e-9,-8.657507e0
QQN-GoldenSection,652,5.224114e-15,-1.428199e1
QQN-GoldenSection,2,1.874780e1,1.272950e0
QQN-GoldenSection,52,1.874780e1,1.272950e0
QQN-GoldenSection,102,7.299657e0,8.633025e-1
QQN-GoldenSection,150,1.112855e0,4.643867e-2
QQN-GoldenSection,198,5.557125e-1,-2.551498e-1
QQN-GoldenSection,246,3.309835e-1,-4.801936e-1
QQN-GoldenSection,294,2.227145e-1,-6.522515e-1
QQN-GoldenSection,343,1.601807e-1,-7.953897e-1
QQN-GoldenSection,394,1.199216e-1,-9.211025e-1
QQN-GoldenSection,452,3.250010e-2,-1.488115e0
QQN-GoldenSection,500,9.380258e-3,-2.027785e0
QQN-GoldenSection,548,1.487355e-3,-2.827586e0
QQN-GoldenSection,596,2.724015e-4,-3.564790e0
QQN-GoldenSection,644,1.708746e-5,-4.767323e0
QQN-GoldenSection,692,1.133289e-6,-5.945659e0
QQN-GoldenSection,740,4.911571e-10,-9.308780e0
QQN-GoldenSection,788,3.409759e-14,-1.346728e1
QQN-GoldenSection,792,4.280050e-19,-1.500000e1
QQN-GoldenSection,2,1.171674e1,1.068807e0
QQN-GoldenSection,52,1.171674e1,1.068807e0
QQN-GoldenSection,102,4.227485e0,6.260821e-1
QQN-GoldenSection,150,1.829467e0,2.623247e-1
QQN-GoldenSection,201,7.163712e-1,-1.448619e-1
QQN-GoldenSection,252,9.437387e-2,-1.025148e0
QQN-GoldenSection,310,8.046337e-2,-1.094402e0
QQN-GoldenSection,358,3.339663e-2,-1.476297e0
QQN-GoldenSection,406,7.329465e-3,-2.134928e0
QQN-GoldenSection,454,1.474350e-3,-2.831399e0
QQN-GoldenSection,502,2.319472e-4,-3.634611e0
QQN-GoldenSection,550,5.450800e-5,-4.263540e0
QQN-GoldenSection,598,2.468511e-7,-6.607565e0
QQN-GoldenSection,646,3.262639e-9,-8.486431e0
QQN-GoldenSection,694,3.648528e-11,-1.043788e1
QQN-GoldenSection,742,1.027860e-13,-1.298807e1
QQN-GoldenSection,746,7.271677e-17,-1.500000e1
QQN-GoldenSection,2,1.247344e1,1.095986e0
QQN-GoldenSection,53,1.247344e1,1.095986e0
QQN-GoldenSection,103,3.371033e0,5.277631e-1
QQN-GoldenSection,151,1.031446e0,1.344630e-2
QQN-GoldenSection,202,4.740809e-1,-3.241476e-1
QQN-GoldenSection,253,1.243733e-1,-9.052730e-1
QQN-GoldenSection,311,1.024120e-1,-9.896493e-1
QQN-GoldenSection,359,3.614999e-2,-1.441892e0
QQN-GoldenSection,407,8.729166e-3,-2.059027e0
QQN-GoldenSection,455,1.989773e-3,-2.701196e0
QQN-GoldenSection,503,3.625450e-4,-3.440638e0
QQN-GoldenSection,551,4.916775e-6,-5.308320e0
QQN-GoldenSection,599,4.210190e-8,-7.375698e0
QQN-GoldenSection,647,1.215092e-9,-8.915391e0
QQN-GoldenSection,695,7.558535e-13,-1.212156e1
QQN-GoldenSection,699,8.227210e-16,-1.500000e1
QQN-GoldenSection,2,1.505903e1,1.177797e0
QQN-GoldenSection,53,1.505903e1,1.177797e0
QQN-GoldenSection,103,5.626745e0,7.502573e-1
QQN-GoldenSection,151,1.368081e0,1.361117e-1
QQN-GoldenSection,200,6.364101e-1,-1.962629e-1
QQN-GoldenSection,249,3.282235e-1,-4.838304e-1
QQN-GoldenSection,310,2.010666e-1,-6.966600e-1
QQN-GoldenSection,358,6.286602e-2,-1.201584e0
QQN-GoldenSection,406,1.787907e-2,-1.747655e0
QQN-GoldenSection,454,4.920390e-3,-2.308000e0
QQN-GoldenSection,502,9.297051e-4,-3.031655e0
QQN-GoldenSection,550,6.678718e-5,-4.175307e0
QQN-GoldenSection,598,1.321381e-6,-5.878972e0
QQN-GoldenSection,646,2.529531e-9,-8.596960e0
QQN-GoldenSection,694,6.745269e-12,-1.117100e1
QQN-GoldenSection,698,3.543348e-17,-1.500000e1
QQN-GoldenSection,2,1.075026e1,1.031419e0
QQN-GoldenSection,53,1.075026e1,1.031419e0
QQN-GoldenSection,103,2.786629e0,4.450792e-1
QQN-GoldenSection,152,8.466561e-1,-7.229295e-2
QQN-GoldenSection,203,3.764726e-1,-4.242667e-1
QQN-GoldenSection,254,1.029923e-1,-9.871955e-1
QQN-GoldenSection,312,8.668916e-2,-1.062035e0
QQN-GoldenSection,360,2.987031e-2,-1.524760e0
QQN-GoldenSection,408,6.973336e-3,-2.156559e0
QQN-GoldenSection,456,1.440406e-3,-2.841515e0
QQN-GoldenSection,504,2.741992e-4,-3.561934e0
QQN-GoldenSection,552,6.242379e-6,-5.204650e0
QQN-GoldenSection,600,2.382206e-8,-7.623021e0
QQN-GoldenSection,648,1.721687e-10,-9.764046e0
QQN-GoldenSection,696,2.560336e-12,-1.159170e1
QQN-GoldenSection,700,1.504373e-15,-1.482264e1
QQN-GoldenSection,2,1.627471e1,1.211513e0
QQN-GoldenSection,53,1.627471e1,1.211513e0
QQN-GoldenSection,103,5.399154e0,7.323257e-1
QQN-GoldenSection,151,1.224053e0,8.780038e-2
QQN-GoldenSection,200,5.871520e-1,-2.312495e-1
QQN-GoldenSection,249,3.212630e-1,-4.931393e-1
QQN-GoldenSection,310,2.045389e-1,-6.892241e-1
QQN-GoldenSection,358,6.327595e-2,-1.198761e0
QQN-GoldenSection,406,1.819835e-2,-1.739968e0
QQN-GoldenSection,454,5.460682e-3,-2.262753e0
QQN-GoldenSection,502,9.798943e-4,-3.008821e0
QQN-GoldenSection,550,9.255447e-5,-4.033603e0
QQN-GoldenSection,598,1.811812e-6,-5.741887e0
QQN-GoldenSection,646,3.502661e-9,-8.455602e0
QQN-GoldenSection,694,3.683618e-12,-1.143373e1
QQN-GoldenSection,698,4.681219e-16,-1.500000e1
QQN-GoldenSection,2,1.705309e1,1.231803e0
QQN-GoldenSection,53,1.705309e1,1.231803e0
QQN-GoldenSection,103,5.271321e0,7.219194e-1
QQN-GoldenSection,151,1.185015e0,7.372401e-2
QQN-GoldenSection,200,5.747647e-1,-2.405099e-1
QQN-GoldenSection,249,3.209467e-1,-4.935671e-1
QQN-GoldenSection,310,2.071032e-1,-6.838133e-1
QQN-GoldenSection,358,6.380619e-2,-1.195137e0
QQN-GoldenSection,406,1.844926e-2,-1.734021e0
QQN-GoldenSection,454,5.753616e-3,-2.240059e0
QQN-GoldenSection,502,1.010392e-3,-2.995510e0
QQN-GoldenSection,550,1.053543e-4,-3.977348e0
QQN-GoldenSection,598,2.079983e-6,-5.681940e0
QQN-GoldenSection,646,4.422174e-9,-8.354364e0
QQN-GoldenSection,694,3.752748e-12,-1.142565e1
QQN-GoldenSection,698,7.263235e-16,-1.500000e1
QQN-GoldenSection,2,1.962215e1,1.292747e0
QQN-GoldenSection,53,1.962215e1,1.292747e0
QQN-GoldenSection,103,6.199982e0,7.923904e-1
QQN-GoldenSection,151,1.143318e0,5.816718e-2
QQN-GoldenSection,199,5.659879e-1,-2.471929e-1
QQN-GoldenSection,247,3.327037e-1,-4.779424e-1
QQN-GoldenSection,295,2.221370e-1,-6.533791e-1
QQN-GoldenSection,344,1.582244e-1,-8.007266e-1
QQN-GoldenSection,395,1.172409e-1,-9.309208e-1
QQN-GoldenSection,453,3.176390e-2,-1.498066e0
QQN-GoldenSection,501,9.077620e-3,-2.042028e0
QQN-GoldenSection,549,1.459714e-3,-2.835732e0
QQN-GoldenSection,597,2.885740e-4,-3.539743e0
