Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,6.909348e1
QQN-GoldenSection,53,6.909348e1
QQN-GoldenSection,102,1.572010e0
QQN-GoldenSection,153,3.576719e-2
QQN-GoldenSection,212,7.755448e-4
QQN-GoldenSection,260,2.307605e-10
QQN-GoldenSection,264,2.292824e-26
QQN-GoldenSection,2,7.230315e1
QQN-GoldenSection,53,7.230315e1
QQN-GoldenSection,102,1.310272e0
QQN-GoldenSection,153,2.374634e-2
QQN-GoldenSection,212,4.093069e-4
QQN-GoldenSection,260,4.879936e-11
QQN-GoldenSection,264,1.934287e-27
QQN-GoldenSection,2,7.046398e1
QQN-GoldenSection,53,7.046398e1
QQN-GoldenSection,102,1.319080e0
QQN-GoldenSection,153,2.469209e-2
QQN-GoldenSection,212,4.397214e-4
QQN-GoldenSection,260,5.970578e-11
QQN-GoldenSection,264,2.720781e-27
QQN-GoldenSection,2,6.691277e1
QQN-GoldenSection,53,6.691277e1
QQN-GoldenSection,102,1.269176e0
QQN-GoldenSection,153,2.407617e-2
QQN-GoldenSection,212,4.345503e-4
QQN-GoldenSection,260,6.224485e-11
QQN-GoldenSection,264,3.056047e-27
QQN-GoldenSection,2,8.140081e1
QQN-GoldenSection,53,8.140081e1
QQN-GoldenSection,102,1.718132e0
QQN-GoldenSection,153,3.625961e-2
QQN-GoldenSection,212,7.287645e-4
QQN-GoldenSection,260,1.602462e-10
QQN-GoldenSection,264,1.181477e-26
QQN-GoldenSection,2,7.965398e1
QQN-GoldenSection,53,7.965398e1
QQN-GoldenSection,102,1.840437e0
QQN-GoldenSection,153,4.252176e-2
QQN-GoldenSection,212,9.363987e-4
QQN-GoldenSection,260,2.963498e-10
QQN-GoldenSection,264,3.094859e-26
QQN-GoldenSection,2,7.208421e1
QQN-GoldenSection,53,7.208421e1
QQN-GoldenSection,102,1.244303e0
QQN-GoldenSection,153,2.148206e-2
QQN-GoldenSection,212,3.525982e-4
QQN-GoldenSection,260,3.458685e-11
QQN-GoldenSection,264,1.108350e-27
QQN-GoldenSection,2,7.050686e1
QQN-GoldenSection,53,7.050686e1
QQN-GoldenSection,102,1.244822e0
QQN-GoldenSection,153,2.197686e-2
QQN-GoldenSection,212,3.689319e-4
QQN-GoldenSection,260,3.959070e-11
QQN-GoldenSection,264,1.419950e-27
QQN-GoldenSection,2,7.015806e1
QQN-GoldenSection,53,7.015806e1
QQN-GoldenSection,102,1.359968e0
QQN-GoldenSection,153,2.636449e-2
QQN-GoldenSection,212,4.863783e-4
QQN-GoldenSection,260,7.601940e-11
QQN-GoldenSection,264,4.027135e-27
QQN-GoldenSection,2,6.625608e1
QQN-GoldenSection,53,6.625608e1
QQN-GoldenSection,102,1.841424e0
QQN-GoldenSection,153,5.117916e-2
QQN-GoldenSection,212,1.358358e-3
QQN-GoldenSection,260,9.041544e-10
QQN-GoldenSection,264,1.928931e-25
QQN-GoldenSection,2,7.589865e1
QQN-GoldenSection,53,7.589865e1
QQN-GoldenSection,102,2.139004e0
QQN-GoldenSection,153,6.028568e-2
QQN-GoldenSection,212,1.622774e-3
QQN-GoldenSection,260,1.142596e-9
QQN-GoldenSection,264,2.551933e-25
QQN-GoldenSection,2,7.442078e1
QQN-GoldenSection,53,7.442078e1
QQN-GoldenSection,102,2.059456e0
QQN-GoldenSection,153,5.698506e-2
QQN-GoldenSection,212,1.505663e-3
QQN-GoldenSection,260,9.844314e-10
QQN-GoldenSection,264,2.058012e-25
QQN-GoldenSection,2,7.354594e1
QQN-GoldenSection,53,7.354594e1
QQN-GoldenSection,102,1.975653e0
QQN-GoldenSection,153,5.306999e-2
QQN-GoldenSection,212,1.360852e-3
QQN-GoldenSection,260,7.897151e-10
QQN-GoldenSection,264,1.478594e-25
QQN-GoldenSection,2,6.580001e1
QQN-GoldenSection,53,6.580001e1
QQN-GoldenSection,102,1.390287e0
QQN-GoldenSection,153,2.937698e-2
QQN-GoldenSection,212,5.911552e-4
QQN-GoldenSection,260,1.306356e-10
QQN-GoldenSection,264,9.605170e-27
QQN-GoldenSection,2,7.002197e1
QQN-GoldenSection,53,7.002197e1
QQN-GoldenSection,102,1.398431e0
QQN-GoldenSection,153,2.792781e-2
QQN-GoldenSection,212,5.308974e-4
QQN-GoldenSection,260,9.350544e-11
QQN-GoldenSection,264,5.493627e-27
QQN-GoldenSection,2,7.564861e1
QQN-GoldenSection,53,7.564861e1
QQN-GoldenSection,102,1.102652e0
QQN-GoldenSection,153,1.607101e-2
QQN-GoldenSection,212,2.224132e-4
QQN-GoldenSection,260,1.104978e-11
QQN-GoldenSection,264,1.577722e-28
QQN-GoldenSection,2,8.153874e1
QQN-GoldenSection,53,8.153874e1
QQN-GoldenSection,102,1.444685e0
QQN-GoldenSection,153,2.559827e-2
QQN-GoldenSection,212,4.313132e-4
QQN-GoldenSection,260,4.696583e-11
QQN-GoldenSection,264,1.719717e-27
QQN-GoldenSection,2,6.908021e1
QQN-GoldenSection,53,6.908021e1
QQN-GoldenSection,102,1.637732e0
QQN-GoldenSection,153,3.882615e-2
QQN-GoldenSection,212,8.775450e-4
QQN-GoldenSection,260,3.080565e-10
QQN-GoldenSection,264,3.576774e-26
QQN-GoldenSection,2,7.702408e1
QQN-GoldenSection,53,7.702408e1
QQN-GoldenSection,102,1.166508e0
QQN-GoldenSection,153,1.767042e-2
QQN-GoldenSection,212,2.542368e-4
QQN-GoldenSection,260,1.474764e-11
QQN-GoldenSection,264,2.666350e-28
QQN-GoldenSection,2,8.417578e1
QQN-GoldenSection,53,8.417578e1
QQN-GoldenSection,102,1.531662e0
QQN-GoldenSection,153,2.786738e-2
QQN-GoldenSection,212,4.822396e-4
QQN-GoldenSection,260,5.840507e-11
QQN-GoldenSection,264,2.401293e-27
QQN-Bisection-1,2,7.698386e1
QQN-Bisection-1,69,7.698386e1
QQN-Bisection-1,140,2.130651e0
QQN-Bisection-1,211,1.363617e0
QQN-Bisection-1,282,8.901453e-1
QQN-Bisection-1,322,5.805324e-1
QQN-Bisection-1,343,3.953068e-1
QQN-Bisection-1,364,2.132364e-2
QQN-Bisection-1,385,1.249482e-8
QQN-Bisection-1,406,2.525710e-12
QQN-Bisection-1,427,3.174048e-14
QQN-Bisection-1,431,1.013280e-16
QQN-Bisection-1,2,8.101095e1
QQN-Bisection-1,69,8.101095e1
QQN-Bisection-1,140,1.413508e0
QQN-Bisection-1,211,9.046452e-1
QQN-Bisection-1,282,5.914415e-1
QQN-Bisection-1,322,3.861433e-1
QQN-Bisection-1,343,3.690560e-1
QQN-Bisection-1,364,1.229252e-2
QQN-Bisection-1,385,4.716164e-10
QQN-Bisection-1,406,2.000284e-13
QQN-Bisection-1,410,2.166573e-17
QQN-Bisection-1,2,8.104416e1
QQN-Bisection-1,69,8.104416e1
QQN-Bisection-1,140,1.583755e0
QQN-Bisection-1,211,1.013603e0
QQN-Bisection-1,282,6.624500e-1
QQN-Bisection-1,322,4.323802e-1
QQN-Bisection-1,343,3.857445e-1
QQN-Bisection-1,364,1.418881e-2
QQN-Bisection-1,385,1.275274e-9
QQN-Bisection-1,406,4.637797e-13
QQN-Bisection-1,410,3.927546e-17
QQN-Bisection-1,2,6.514464e1
QQN-Bisection-1,69,6.514464e1
