Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,6.909348e1,1.839437e0
QQN-GoldenSection,53,6.909348e1,1.839437e0
QQN-GoldenSection,102,1.572010e0,1.964553e-1
QQN-GoldenSection,153,3.576719e-2,-1.446515e0
QQN-GoldenSection,212,7.755448e-4,-3.110393e0
QQN-GoldenSection,260,2.307605e-10,-9.636838e0
QQN-GoldenSection,264,2.292824e-26,-1.500000e1
QQN-GoldenSection,2,7.230315e1,1.859157e0
QQN-GoldenSection,53,7.230315e1,1.859157e0
QQN-GoldenSection,102,1.310272e0,1.173615e-1
QQN-GoldenSection,153,2.374634e-2,-1.624403e0
QQN-GoldenSection,212,4.093069e-4,-3.387951e0
QQN-GoldenSection,260,4.879936e-11,-1.031159e1
QQN-GoldenSection,264,1.934287e-27,-1.500000e1
QQN-GoldenSection,2,7.046398e1,1.847967e0
QQN-GoldenSection,53,7.046398e1,1.847967e0
QQN-GoldenSection,102,1.319080e0,1.202711e-1
QQN-GoldenSection,153,2.469209e-2,-1.607442e0
QQN-GoldenSection,212,4.397214e-4,-3.356822e0
QQN-GoldenSection,260,5.970578e-11,-1.022398e1
QQN-GoldenSection,264,2.720781e-27,-1.500000e1
QQN-GoldenSection,2,6.691277e1,1.825509e0
QQN-GoldenSection,53,6.691277e1,1.825509e0
QQN-GoldenSection,102,1.269176e0,1.035219e-1
QQN-GoldenSection,153,2.407617e-2,-1.618413e0
QQN-GoldenSection,212,4.345503e-4,-3.361960e0
QQN-GoldenSection,260,6.224485e-11,-1.020590e1
QQN-GoldenSection,264,3.056047e-27,-1.500000e1
QQN-GoldenSection,2,8.140081e1,1.910629e0
QQN-GoldenSection,53,8.140081e1,1.910629e0
QQN-GoldenSection,102,1.718132e0,2.350565e-1
QQN-GoldenSection,153,3.625961e-2,-1.440577e0
QQN-GoldenSection,212,7.287645e-4,-3.137413e0
QQN-GoldenSection,260,1.602462e-10,-9.795212e0
QQN-GoldenSection,264,1.181477e-26,-1.500000e1
QQN-GoldenSection,2,7.965398e1,1.901207e0
QQN-GoldenSection,53,7.965398e1,1.901207e0
QQN-GoldenSection,102,1.840437e0,2.649210e-1
QQN-GoldenSection,153,4.252176e-2,-1.371389e0
QQN-GoldenSection,212,9.363987e-4,-3.028539e0
QQN-GoldenSection,260,2.963498e-10,-9.528195e0
QQN-GoldenSection,264,3.094859e-26,-1.500000e1
QQN-GoldenSection,2,7.208421e1,1.857840e0
QQN-GoldenSection,53,7.208421e1,1.857840e0
QQN-GoldenSection,102,1.244303e0,9.492625e-2
QQN-GoldenSection,153,2.148206e-2,-1.667924e0
