Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.001999e3
QQN-GoldenSection,53,3.001999e3
QQN-GoldenSection,108,8.879066e1
QQN-GoldenSection,160,8.455427e1
QQN-GoldenSection,218,8.404861e1
QQN-GoldenSection,266,8.402948e1
QQN-GoldenSection,314,8.400005e1
QQN-GoldenSection,328,8.400000e1
QQN-GoldenSection,342,8.400000e1
QQN-GoldenSection,390,8.400000e1
QQN-GoldenSection,404,8.400000e1
QQN-GoldenSection,418,8.400000e1
QQN-GoldenSection,2,1.307271e3
QQN-GoldenSection,53,1.307271e3
QQN-GoldenSection,108,8.656524e1
QQN-GoldenSection,166,8.517777e1
QQN-GoldenSection,214,8.410456e1
QQN-GoldenSection,262,8.400803e1
QQN-GoldenSection,310,8.400002e1
QQN-GoldenSection,358,8.400000e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,465,8.400000e1
QQN-GoldenSection,2,5.099915e3
QQN-GoldenSection,53,5.099915e3
QQN-GoldenSection,108,8.814139e1
QQN-GoldenSection,166,8.638999e1
QQN-GoldenSection,214,8.430268e1
QQN-GoldenSection,262,8.400323e1
QQN-GoldenSection,310,8.400010e1
QQN-GoldenSection,358,8.400000e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,420,8.400000e1
QQN-GoldenSection,2,1.341070e3
QQN-GoldenSection,53,1.341070e3
QQN-GoldenSection,108,8.780460e1
QQN-GoldenSection,160,8.412802e1
QQN-GoldenSection,218,8.400348e1
QQN-GoldenSection,266,8.400133e1
QQN-GoldenSection,314,8.400000e1
QQN-GoldenSection,328,8.400000e1
QQN-GoldenSection,2,1.950104e3
QQN-GoldenSection,53,1.950104e3
QQN-GoldenSection,108,8.951713e1
QQN-GoldenSection,160,8.544951e1
QQN-GoldenSection,218,8.428896e1
QQN-GoldenSection,266,8.421257e1
QQN-GoldenSection,314,8.400210e1
QQN-GoldenSection,362,8.400001e1
QQN-GoldenSection,410,8.400000e1
QQN-GoldenSection,468,8.400000e1
QQN-GoldenSection,2,2.272892e3
QQN-GoldenSection,53,2.272892e3
QQN-GoldenSection,108,8.782038e1
QQN-GoldenSection,160,8.406762e1
