Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,3.001999e3,3.477411e0
QQN-GoldenSection,53,3.001999e3,3.477411e0
QQN-GoldenSection,108,8.879066e1,1.948367e0
QQN-GoldenSection,160,8.455427e1,1.927136e0
QQN-GoldenSection,218,8.404861e1,1.924531e0
QQN-GoldenSection,266,8.402948e1,1.924432e0
QQN-GoldenSection,314,8.400005e1,1.924280e0
QQN-GoldenSection,328,8.400000e1,1.924279e0
QQN-GoldenSection,342,8.400000e1,1.924279e0
QQN-GoldenSection,390,8.400000e1,1.924279e0
QQN-GoldenSection,404,8.400000e1,1.924279e0
QQN-GoldenSection,418,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.307271e3,3.116366e0
QQN-GoldenSection,53,1.307271e3,3.116366e0
QQN-GoldenSection,108,8.656524e1,1.937344e0
QQN-GoldenSection,166,8.517777e1,1.930326e0
QQN-GoldenSection,214,8.410456e1,1.924820e0
QQN-GoldenSection,262,8.400803e1,1.924321e0
QQN-GoldenSection,310,8.400002e1,1.924279e0
QQN-GoldenSection,358,8.400000e1,1.924279e0
QQN-GoldenSection,406,8.400000e1,1.924279e0
QQN-GoldenSection,465,8.400000e1,1.924279e0
QQN-GoldenSection,2,5.099915e3,3.707563e0
QQN-GoldenSection,53,5.099915e3,3.707563e0
QQN-GoldenSection,108,8.814139e1,1.945180e0
QQN-GoldenSection,166,8.638999e1,1.936463e0
QQN-GoldenSection,214,8.430268e1,1.925841e0
QQN-GoldenSection,262,8.400323e1,1.924296e0
QQN-GoldenSection,310,8.400010e1,1.924280e0
QQN-GoldenSection,358,8.400000e1,1.924279e0
QQN-GoldenSection,406,8.400000e1,1.924279e0
QQN-GoldenSection,420,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.341070e3,3.127452e0
QQN-GoldenSection,53,1.341070e3,3.127452e0
QQN-GoldenSection,108,8.780460e1,1.943517e0
QQN-GoldenSection,160,8.412802e1,1.924941e0
QQN-GoldenSection,218,8.400348e1,1.924297e0
QQN-GoldenSection,266,8.400133e1,1.924286e0
QQN-GoldenSection,314,8.400000e1,1.924279e0
QQN-GoldenSection,328,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.950104e3,3.290058e0
QQN-GoldenSection,53,1.950104e3,3.290058e0
