Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,2.601245e1
QQN-GoldenSection,58,2.601245e1
QQN-GoldenSection,116,2.382804e1
QQN-GoldenSection,172,2.380522e1
QQN-GoldenSection,223,2.763529e-1
QQN-GoldenSection,273,2.394195e-1
QQN-GoldenSection,335,4.567978e-2
QQN-GoldenSection,383,1.904081e-2
QQN-GoldenSection,431,4.032312e-3
QQN-GoldenSection,479,1.038778e-3
QQN-GoldenSection,527,1.306158e-4
QQN-GoldenSection,575,7.068977e-6
QQN-GoldenSection,623,4.562343e-7
QQN-GoldenSection,671,5.826596e-8
QQN-GoldenSection,685,1.552510e-9
QQN-GoldenSection,699,2.321898e-11
QQN-GoldenSection,703,7.787104e-13
QQN-GoldenSection,2,2.600623e1
QQN-GoldenSection,58,2.600623e1
QQN-GoldenSection,116,2.370785e1
QQN-GoldenSection,171,2.368501e1
QQN-GoldenSection,221,1.184978e0
QQN-GoldenSection,271,9.060017e-1
QQN-GoldenSection,333,8.885683e-1
QQN-GoldenSection,390,5.908408e-1
QQN-GoldenSection,439,3.489262e-1
QQN-GoldenSection,487,3.211998e-1
QQN-GoldenSection,536,2.659240e-1
QQN-GoldenSection,584,2.599213e-1
QQN-GoldenSection,642,2.586926e-1
QQN-GoldenSection,690,2.583783e-1
QQN-GoldenSection,738,2.582349e-1
QQN-GoldenSection,786,2.582138e-1
QQN-GoldenSection,834,2.582131e-1
QQN-GoldenSection,848,2.582127e-1
QQN-GoldenSection,862,2.582127e-1
QQN-GoldenSection,876,2.582127e-1
QQN-GoldenSection,890,2.582127e-1
QQN-GoldenSection,938,2.582127e-1
QQN-GoldenSection,986,2.582127e-1
QQN-GoldenSection,1034,2.582127e-1
QQN-GoldenSection,2,2.598074e1
QQN-GoldenSection,58,2.598074e1
QQN-GoldenSection,116,2.371067e1
QQN-GoldenSection,164,2.368771e1
QQN-GoldenSection,212,2.058739e1
QQN-GoldenSection,267,1.099051e0
QQN-GoldenSection,317,1.043797e0
QQN-GoldenSection,367,1.041706e0
QQN-GoldenSection,416,1.035789e0
QQN-GoldenSection,466,7.738894e-1
QQN-GoldenSection,527,7.355586e-1
QQN-GoldenSection,582,4.433139e-1
QQN-GoldenSection,630,2.423616e-1
QQN-GoldenSection,678,1.965580e-1
QQN-GoldenSection,726,1.600978e-1
QQN-GoldenSection,784,1.555044e-1
QQN-GoldenSection,832,1.531403e-1
QQN-GoldenSection,880,1.526074e-1
QQN-GoldenSection,928,1.525172e-1
QQN-GoldenSection,976,1.524959e-1
QQN-GoldenSection,1024,1.524946e-1
QQN-GoldenSection,2,2.599628e1
QQN-GoldenSection,58,2.599628e1
QQN-GoldenSection,116,2.373780e1
QQN-GoldenSection,164,2.371519e1
QQN-GoldenSection,212,3.120219e0
QQN-GoldenSection,260,2.013496e0
QQN-GoldenSection,318,1.691731e0
QQN-GoldenSection,366,1.683893e0
QQN-GoldenSection,414,1.335664e0
QQN-GoldenSection,462,1.221149e0
QQN-GoldenSection,517,1.104412e0
QQN-GoldenSection,576,1.074821e0
QQN-GoldenSection,636,1.056640e0
QQN-GoldenSection,684,1.054746e0
QQN-GoldenSection,740,1.035501e0
QQN-GoldenSection,788,1.025069e0
QQN-GoldenSection,837,9.618408e-1
QQN-GoldenSection,887,9.353071e-1
QQN-GoldenSection,936,8.370057e-1
QQN-GoldenSection,984,6.999274e-1
QQN-GoldenSection,1032,5.615655e-1
QQN-GoldenSection,2,2.602188e1
QQN-GoldenSection,58,2.602188e1
QQN-GoldenSection,116,2.380153e1
QQN-GoldenSection,164,2.377874e1
QQN-GoldenSection,212,3.293329e0
QQN-GoldenSection,260,1.190644e0
QQN-GoldenSection,315,1.023945e0
QQN-GoldenSection,365,1.008727e0
QQN-GoldenSection,415,1.007655e0
QQN-GoldenSection,464,1.005444e0
QQN-GoldenSection,513,9.651250e-1
QQN-GoldenSection,564,6.811444e-1
QQN-GoldenSection,613,6.764370e-1
QQN-GoldenSection,661,3.812117e-1
QQN-GoldenSection,709,1.666173e-1
QQN-GoldenSection,757,1.100502e-1
QQN-GoldenSection,805,5.738191e-2
QQN-GoldenSection,854,4.593847e-2
QQN-GoldenSection,902,3.206600e-2
QQN-GoldenSection,960,2.835575e-2
QQN-GoldenSection,1008,2.738065e-2
QQN-GoldenSection,2,2.603147e1
QQN-GoldenSection,58,2.603147e1
QQN-GoldenSection,116,2.377329e1
QQN-GoldenSection,164,2.375052e1
QQN-GoldenSection,212,4.179345e0
QQN-GoldenSection,260,2.778721e0
QQN-GoldenSection,316,1.732176e0
QQN-GoldenSection,375,1.106870e0
QQN-GoldenSection,430,1.038827e0
QQN-GoldenSection,484,6.548144e-1
QQN-GoldenSection,534,6.543119e-1
QQN-GoldenSection,584,2.290707e-1
QQN-GoldenSection,632,1.309167e-1
QQN-GoldenSection,681,1.022367e-1
QQN-GoldenSection,729,6.493927e-2
QQN-GoldenSection,778,5.400779e-2
QQN-GoldenSection,837,2.746655e-2
QQN-GoldenSection,885,2.156731e-2
QQN-GoldenSection,933,1.930069e-2
QQN-GoldenSection,981,1.761352e-2
QQN-GoldenSection,1029,1.725140e-2
QQN-GoldenSection,2,2.602170e1
QQN-GoldenSection,58,2.602170e1
QQN-GoldenSection,116,2.371552e1
QQN-GoldenSection,164,2.369283e1
QQN-GoldenSection,212,5.713940e0
QQN-GoldenSection,260,1.703657e0
QQN-GoldenSection,308,1.390152e0
QQN-GoldenSection,365,1.093336e0
QQN-GoldenSection,414,8.710016e-1
QQN-GoldenSection,463,8.671725e-1
QQN-GoldenSection,512,8.373248e-1
QQN-GoldenSection,560,4.570012e-1
QQN-GoldenSection,609,3.318558e-1
QQN-GoldenSection,657,5.143980e-2
QQN-GoldenSection,705,1.772469e-2
QQN-GoldenSection,753,1.330405e-2
QQN-GoldenSection,812,1.069125e-2
QQN-GoldenSection,860,8.978948e-3
QQN-GoldenSection,908,7.443654e-3
QQN-GoldenSection,956,7.409248e-3
QQN-GoldenSection,1004,7.396175e-3
QQN-GoldenSection,2,2.601963e1
QQN-GoldenSection,58,2.601963e1
QQN-GoldenSection,116,2.375268e1
QQN-GoldenSection,175,2.372982e1
QQN-GoldenSection,234,2.372982e1
QQN-GoldenSection,293,2.372982e1
QQN-GoldenSection,352,2.372982e1
QQN-GoldenSection,411,2.372982e1
QQN-GoldenSection,470,2.372982e1
QQN-GoldenSection,529,2.372982e1
QQN-GoldenSection,588,2.372982e1
QQN-GoldenSection,647,2.372982e1
QQN-GoldenSection,706,2.372982e1
QQN-GoldenSection,765,2.372982e1
QQN-GoldenSection,824,2.372982e1
QQN-GoldenSection,883,2.372982e1
QQN-GoldenSection,942,2.372982e1
QQN-GoldenSection,1001,2.372982e1
QQN-GoldenSection,2,2.597919e1
QQN-GoldenSection,58,2.597919e1
QQN-GoldenSection,116,2.369169e1
QQN-GoldenSection,164,2.366909e1
QQN-GoldenSection,212,2.806015e0
QQN-GoldenSection,260,2.471400e0
QQN-GoldenSection,316,1.801212e0
QQN-GoldenSection,366,1.251641e0
QQN-GoldenSection,416,1.236149e0
QQN-GoldenSection,465,1.114536e0
QQN-GoldenSection,513,9.430367e-1
QQN-GoldenSection,563,9.114526e-1
QQN-GoldenSection,611,5.567914e-1
QQN-GoldenSection,659,4.289959e-1
QQN-GoldenSection,707,3.825182e-1
QQN-GoldenSection,755,3.527472e-1
QQN-GoldenSection,814,3.464531e-1
QQN-GoldenSection,862,3.420662e-1
QQN-GoldenSection,917,3.399535e-1
QQN-GoldenSection,965,3.397265e-1
QQN-GoldenSection,1013,3.397200e-1
QQN-GoldenSection,2,2.600974e1
QQN-GoldenSection,58,2.600974e1
QQN-GoldenSection,116,2.375591e1
QQN-GoldenSection,164,2.373322e1
QQN-GoldenSection,212,4.679078e0
QQN-GoldenSection,260,1.847287e0
QQN-GoldenSection,308,1.542541e0
QQN-GoldenSection,356,1.295762e0
QQN-GoldenSection,404,1.202075e0
QQN-GoldenSection,452,1.048497e0
QQN-GoldenSection,500,1.007504e0
QQN-GoldenSection,555,9.942977e-1
QQN-GoldenSection,607,8.558429e-1
QQN-GoldenSection,658,8.337388e-1
QQN-GoldenSection,720,7.966091e-1
QQN-GoldenSection,777,3.194891e-1
QQN-GoldenSection,825,2.784619e-1
QQN-GoldenSection,873,2.332209e-1
QQN-GoldenSection,922,9.335825e-2
QQN-GoldenSection,981,5.512653e-2
QQN-GoldenSection,1029,3.378788e-2
QQN-GoldenSection,2,2.599933e1
QQN-GoldenSection,58,2.599933e1
QQN-GoldenSection,116,2.377049e1
QQN-GoldenSection,164,2.374773e1
QQN-GoldenSection,212,3.025440e0
QQN-GoldenSection,260,1.170384e0
QQN-GoldenSection,317,1.141131e0
QQN-GoldenSection,367,1.033392e0
QQN-GoldenSection,418,1.015002e0
QQN-GoldenSection,470,1.015002e0
QQN-GoldenSection,520,1.015002e0
QQN-GoldenSection,569,1.015002e0
QQN-GoldenSection,620,1.015002e0
QQN-GoldenSection,670,9.939310e-1
QQN-GoldenSection,718,9.841298e-1
QQN-GoldenSection,768,9.802675e-1
QQN-GoldenSection,819,9.794246e-1
QQN-GoldenSection,867,9.791918e-1
QQN-GoldenSection,915,9.736429e-1
QQN-GoldenSection,963,9.711155e-1
QQN-GoldenSection,1011,9.676613e-1
QQN-GoldenSection,2,2.605290e1
QQN-GoldenSection,58,2.605290e1
QQN-GoldenSection,116,2.376187e1
QQN-GoldenSection,171,2.373906e1
QQN-GoldenSection,229,2.391069e0
QQN-GoldenSection,277,1.513436e0
QQN-GoldenSection,325,1.474333e0
