Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.350828e1,1.130600e0
QQN-GoldenSection,58,1.350828e1,1.130600e0
QQN-GoldenSection,116,1.172836e1,1.069237e0
QQN-GoldenSection,164,1.161334e1,1.064957e0
QQN-GoldenSection,220,1.143082e1,1.058077e0
QQN-GoldenSection,281,1.121736e1,1.049891e0
QQN-GoldenSection,329,1.074716e1,1.031294e0
QQN-GoldenSection,385,1.059921e1,1.025274e0
QQN-GoldenSection,434,1.041878e1,1.017817e0
QQN-GoldenSection,482,1.033936e1,1.014494e0
QQN-GoldenSection,540,1.024913e1,1.010687e0
QQN-GoldenSection,588,1.020346e1,1.008748e0
QQN-GoldenSection,636,1.020073e1,1.008631e0
QQN-GoldenSection,684,1.020067e1,1.008629e0
QQN-GoldenSection,698,1.020067e1,1.008629e0
QQN-GoldenSection,712,1.020067e1,1.008629e0
QQN-GoldenSection,716,1.020067e1,1.008629e0
QQN-GoldenSection,2,1.350858e1,1.130610e0
QQN-GoldenSection,53,1.350858e1,1.130610e0
QQN-GoldenSection,111,1.315053e1,1.118943e0
QQN-GoldenSection,168,1.299633e1,1.113821e0
QQN-GoldenSection,217,1.298386e1,1.113404e0
QQN-GoldenSection,265,1.295913e1,1.112576e0
QQN-GoldenSection,314,1.294130e1,1.111978e0
QQN-GoldenSection,363,1.288333e1,1.110028e0
QQN-GoldenSection,412,1.286350e1,1.109359e0
QQN-GoldenSection,471,1.251056e1,1.097277e0
QQN-GoldenSection,519,1.238441e1,1.092875e0
QQN-GoldenSection,567,1.226874e1,1.088800e0
QQN-GoldenSection,615,1.224293e1,1.087885e0
QQN-GoldenSection,663,1.224016e1,1.087787e0
QQN-GoldenSection,711,1.223967e1,1.087770e0
QQN-GoldenSection,759,1.223960e1,1.087767e0
QQN-GoldenSection,807,1.223959e1,1.087767e0
QQN-GoldenSection,821,1.223959e1,1.087767e0
QQN-GoldenSection,835,1.223959e1,1.087767e0
QQN-GoldenSection,849,1.223959e1,1.087767e0
QQN-GoldenSection,863,1.223959e1,1.087767e0
QQN-GoldenSection,911,1.223959e1,1.087767e0
QQN-GoldenSection,915,1.223959e1,1.087767e0
QQN-GoldenSection,2,1.352925e1,1.131274e0
QQN-GoldenSection,58,1.352925e1,1.131274e0
QQN-GoldenSection,116,1.197147e1,1.078147e0
QQN-GoldenSection,174,1.194700e1,1.077259e0
QQN-GoldenSection,232,1.194595e1,1.077221e0
QQN-GoldenSection,290,1.194473e1,1.077176e0
QQN-GoldenSection,348,1.194376e1,1.077141e0
QQN-GoldenSection,406,1.194249e1,1.077095e0
QQN-GoldenSection,464,1.194151e1,1.077059e0
QQN-GoldenSection,522,1.194020e1,1.077012e0
QQN-GoldenSection,580,1.193919e1,1.076975e0
QQN-GoldenSection,638,1.193787e1,1.076927e0
QQN-GoldenSection,696,1.193678e1,1.076887e0
QQN-GoldenSection,754,1.193546e1,1.076839e0
QQN-GoldenSection,812,1.193432e1,1.076798e0
QQN-GoldenSection,870,1.193291e1,1.076746e0
QQN-GoldenSection,928,1.193180e1,1.076706e0
QQN-GoldenSection,986,1.193029e1,1.076651e0
QQN-GoldenSection,1044,1.192919e1,1.076611e0
QQN-GoldenSection,2,1.355041e1,1.131953e0
QQN-GoldenSection,58,1.355041e1,1.131953e0
QQN-GoldenSection,116,1.177212e1,1.070855e0
QQN-GoldenSection,172,1.162509e1,1.065396e0
QQN-GoldenSection,221,8.989977e0,9.537586e-1
QQN-GoldenSection,269,8.820119e0,9.454745e-1
QQN-GoldenSection,319,8.603539e0,9.346771e-1
QQN-GoldenSection,378,8.561501e0,9.325499e-1
QQN-GoldenSection,426,8.413203e0,9.249614e-1
QQN-GoldenSection,474,8.369169e0,9.226823e-1
QQN-GoldenSection,522,8.341824e0,9.212610e-1
QQN-GoldenSection,570,8.340593e0,9.211969e-1
QQN-GoldenSection,618,8.340290e0,9.211812e-1
QQN-GoldenSection,666,8.340270e0,9.211801e-1
QQN-GoldenSection,680,8.340270e0,9.211801e-1
QQN-GoldenSection,694,8.340270e0,9.211801e-1
QQN-GoldenSection,698,8.340270e0,9.211801e-1
QQN-GoldenSection,2,1.348707e1,1.129918e0
