Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.695712e2
QQN-GoldenSection,52,1.695712e2
QQN-GoldenSection,105,4.142410e-1
QQN-GoldenSection,163,2.897817e-2
QQN-GoldenSection,211,2.162643e-2
QQN-GoldenSection,259,3.357231e-6
QQN-GoldenSection,307,8.251480e-10
QQN-GoldenSection,355,1.431902e-12
QQN-GoldenSection,359,1.160640e-17
QQN-GoldenSection,2,1.680605e2
QQN-GoldenSection,52,1.680605e2
QQN-GoldenSection,104,2.763027e1
QQN-GoldenSection,158,2.346085e-2
QQN-GoldenSection,216,5.357181e-3
QQN-GoldenSection,264,1.990981e-4
QQN-GoldenSection,312,1.389754e-8
QQN-GoldenSection,360,2.243512e-12
QQN-GoldenSection,364,3.791075e-18
QQN-GoldenSection,2,1.743502e2
QQN-GoldenSection,51,1.743502e2
QQN-GoldenSection,103,2.560425e1
QQN-GoldenSection,157,5.462657e-2
QQN-GoldenSection,215,1.213630e-2
QQN-GoldenSection,263,2.907125e-4
QQN-GoldenSection,311,3.463215e-8
QQN-GoldenSection,359,1.598069e-11
QQN-GoldenSection,363,1.504269e-17
QQN-GoldenSection,2,1.674366e2
QQN-GoldenSection,52,1.674366e2
QQN-GoldenSection,105,2.161607e1
QQN-GoldenSection,159,5.669235e-2
QQN-GoldenSection,217,1.177323e-2
QQN-GoldenSection,265,3.706109e-5
QQN-GoldenSection,313,1.543272e-9
QQN-GoldenSection,361,9.349619e-13
QQN-GoldenSection,365,7.160467e-21
QQN-GoldenSection,2,1.668765e2
QQN-GoldenSection,52,1.668765e2
QQN-GoldenSection,105,7.581055e0
QQN-GoldenSection,163,1.555354e-1
QQN-GoldenSection,211,1.212682e-1
QQN-GoldenSection,259,5.952953e-5
QQN-GoldenSection,307,2.969860e-8
QQN-GoldenSection,355,4.448455e-11
QQN-GoldenSection,403,1.549949e-13
QQN-GoldenSection,407,6.055241e-18
QQN-GoldenSection,2,1.706233e2
QQN-GoldenSection,52,1.706233e2
QQN-GoldenSection,105,1.963985e1
QQN-GoldenSection,159,8.258688e-2
QQN-GoldenSection,217,1.662637e-2
QQN-GoldenSection,265,1.409283e-5
QQN-GoldenSection,313,7.209903e-10
QQN-GoldenSection,361,6.428556e-13
QQN-GoldenSection,365,1.878392e-21
QQN-GoldenSection,2,1.681595e2
QQN-GoldenSection,52,1.681595e2
QQN-GoldenSection,105,1.491332e1
QQN-GoldenSection,163,1.147172e-1
QQN-GoldenSection,211,1.133669e-1
QQN-GoldenSection,259,3.669875e-5
QQN-GoldenSection,307,2.026675e-8
QQN-GoldenSection,355,2.397433e-12
QQN-GoldenSection,359,6.400519e-17
QQN-GoldenSection,2,1.699462e2
QQN-GoldenSection,52,1.699462e2
QQN-GoldenSection,105,7.640623e0
QQN-GoldenSection,163,1.644893e-1
QQN-GoldenSection,211,1.234465e-1
QQN-GoldenSection,259,5.962700e-5
QQN-GoldenSection,307,2.601997e-8
QQN-GoldenSection,355,1.500311e-13
QQN-GoldenSection,359,9.016965e-16
QQN-GoldenSection,2,1.731263e2
QQN-GoldenSection,52,1.731263e2
QQN-GoldenSection,103,5.754240e1
QQN-GoldenSection,156,1.102511e-1
QQN-GoldenSection,209,2.763845e-2
QQN-GoldenSection,267,7.196758e-3
QQN-GoldenSection,315,2.380146e-3
QQN-GoldenSection,363,6.743295e-7
QQN-GoldenSection,411,8.174524e-11
QQN-GoldenSection,415,7.167322e-16
QQN-GoldenSection,2,1.727258e2
QQN-GoldenSection,52,1.727258e2
QQN-GoldenSection,104,3.448863e1
QQN-GoldenSection,157,1.270820e-2
QQN-GoldenSection,215,3.138909e-3
QQN-GoldenSection,263,5.574612e-4
QQN-GoldenSection,311,2.413619e-8
QQN-GoldenSection,359,2.433210e-12
QQN-GoldenSection,363,3.937201e-18
QQN-GoldenSection,2,1.684275e2
QQN-GoldenSection,52,1.684275e2
QQN-GoldenSection,103,5.963287e1
QQN-GoldenSection,153,1.473834e-1
QQN-GoldenSection,203,3.635506e-2
QQN-GoldenSection,253,9.368641e-3
QQN-GoldenSection,303,2.481723e-3
QQN-GoldenSection,353,6.650636e-4
QQN-GoldenSection,403,1.794208e-4
QQN-GoldenSection,453,4.854914e-5
QQN-GoldenSection,503,1.315989e-5
QQN-GoldenSection,553,3.569998e-6
QQN-GoldenSection,603,9.689146e-7
QQN-GoldenSection,653,2.630226e-7
QQN-GoldenSection,703,7.140879e-8
QQN-GoldenSection,753,1.938793e-8
QQN-GoldenSection,803,5.264067e-9
QQN-GoldenSection,853,1.429268e-9
QQN-GoldenSection,903,3.880664e-10
QQN-GoldenSection,953,1.053646e-10
QQN-GoldenSection,1003,2.860760e-11
QQN-GoldenSection,2,1.680925e2
QQN-GoldenSection,52,1.680925e2
QQN-GoldenSection,104,4.506793e1
QQN-GoldenSection,157,5.083703e-4
QQN-GoldenSection,215,1.357474e-4
QQN-GoldenSection,263,1.272301e-4
QQN-GoldenSection,311,2.367687e-10
QQN-GoldenSection,315,1.448709e-15
QQN-GoldenSection,2,1.664791e2
QQN-GoldenSection,52,1.664791e2
QQN-GoldenSection,104,3.895158e1
QQN-GoldenSection,157,3.960326e-4
QQN-GoldenSection,215,1.025424e-4
QQN-GoldenSection,263,3.667680e-5
QQN-GoldenSection,311,5.660027e-11
QQN-GoldenSection,315,1.822402e-16
QQN-GoldenSection,2,1.695220e2
QQN-GoldenSection,52,1.695220e2
QQN-GoldenSection,105,1.313560e1
QQN-GoldenSection,163,1.345350e-1
QQN-GoldenSection,211,1.226879e-1
QQN-GoldenSection,259,3.542065e-5
QQN-GoldenSection,307,3.702336e-8
QQN-GoldenSection,355,2.697156e-12
QQN-GoldenSection,359,1.774356e-20
QQN-GoldenSection,2,1.719828e2
QQN-GoldenSection,52,1.719828e2
QQN-GoldenSection,104,5.397435e1
QQN-GoldenSection,157,3.480267e-2
QQN-GoldenSection,210,9.076261e-3
QQN-GoldenSection,268,2.416766e-3
QQN-GoldenSection,316,5.067101e-4
QQN-GoldenSection,364,4.709166e-8
QQN-GoldenSection,412,1.293406e-12
QQN-GoldenSection,416,4.632748e-18
QQN-GoldenSection,2,1.729743e2
QQN-GoldenSection,52,1.729743e2
QQN-GoldenSection,105,1.788940e1
QQN-GoldenSection,159,1.076957e-1
QQN-GoldenSection,217,2.108977e-2
QQN-GoldenSection,265,1.190349e-5
