Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.695712e2,2.229352e0
QQN-GoldenSection,52,1.695712e2,2.229352e0
QQN-GoldenSection,105,4.142410e-1,-3.827469e-1
QQN-GoldenSection,163,2.897817e-2,-1.537929e0
QQN-GoldenSection,211,2.162643e-2,-1.665015e0
QQN-GoldenSection,259,3.357231e-6,-5.474019e0
QQN-GoldenSection,307,8.251480e-10,-9.083468e0
QQN-GoldenSection,355,1.431902e-12,-1.184409e1
QQN-GoldenSection,359,1.160640e-17,-1.500000e1
QQN-GoldenSection,2,1.680605e2,2.225466e0
QQN-GoldenSection,52,1.680605e2,2.225466e0
QQN-GoldenSection,104,2.763027e1,1.441385e0
QQN-GoldenSection,158,2.346085e-2,-1.629656e0
QQN-GoldenSection,216,5.357181e-3,-2.271064e0
QQN-GoldenSection,264,1.990981e-4,-3.700933e0
QQN-GoldenSection,312,1.389754e-8,-7.857062e0
QQN-GoldenSection,360,2.243512e-12,-1.164907e1
QQN-GoldenSection,364,3.791075e-18,-1.500000e1
QQN-GoldenSection,2,1.743502e2,2.241422e0
QQN-GoldenSection,51,1.743502e2,2.241422e0
QQN-GoldenSection,103,2.560425e1,1.408312e0
QQN-GoldenSection,157,5.462657e-2,-1.262596e0
QQN-GoldenSection,215,1.213630e-2,-1.915914e0
QQN-GoldenSection,263,2.907125e-4,-3.536536e0
QQN-GoldenSection,311,3.463215e-8,-7.460521e0
QQN-GoldenSection,359,1.598069e-11,-1.079640e1
QQN-GoldenSection,363,1.504269e-17,-1.500000e1
QQN-GoldenSection,2,1.674366e2,2.223850e0
QQN-GoldenSection,52,1.674366e2,2.223850e0
QQN-GoldenSection,105,2.161607e1,1.334777e0
QQN-GoldenSection,159,5.669235e-2,-1.246476e0
QQN-GoldenSection,217,1.177323e-2,-1.929104e0
QQN-GoldenSection,265,3.706109e-5,-4.431082e0
QQN-GoldenSection,313,1.543272e-9,-8.811558e0
QQN-GoldenSection,361,9.349619e-13,-1.202921e1
QQN-GoldenSection,365,7.160467e-21,-1.500000e1
QQN-GoldenSection,2,1.668765e2,2.222395e0
QQN-GoldenSection,52,1.668765e2,2.222395e0
QQN-GoldenSection,105,7.581055e0,8.797296e-1
QQN-GoldenSection,163,1.555354e-1,-8.081707e-1
QQN-GoldenSection,211,1.212682e-1,-9.162529e-1
QQN-GoldenSection,259,5.952953e-5,-4.225268e0
QQN-GoldenSection,307,2.969860e-8,-7.527264e0
QQN-GoldenSection,355,4.448455e-11,-1.035179e1
QQN-GoldenSection,403,1.549949e-13,-1.280968e1
QQN-GoldenSection,407,6.055241e-18,-1.500000e1
QQN-GoldenSection,2,1.706233e2,2.232038e0
QQN-GoldenSection,52,1.706233e2,2.232038e0
QQN-GoldenSection,105,1.963985e1,1.293138e0
QQN-GoldenSection,159,8.258688e-2,-1.083089e0
QQN-GoldenSection,217,1.662637e-2,-1.779203e0
QQN-GoldenSection,265,1.409283e-5,-4.851002e0
QQN-GoldenSection,313,7.209903e-10,-9.142071e0
QQN-GoldenSection,361,6.428556e-13,-1.219189e1
QQN-GoldenSection,365,1.878392e-21,-1.500000e1
QQN-GoldenSection,2,1.681595e2,2.225721e0
QQN-GoldenSection,52,1.681595e2,2.225721e0
QQN-GoldenSection,105,1.491332e1,1.173574e0
QQN-GoldenSection,163,1.147172e-1,-9.403713e-1
QQN-GoldenSection,211,1.133669e-1,-9.455135e-1
QQN-GoldenSection,259,3.669875e-5,-4.435349e0
QQN-GoldenSection,307,2.026675e-8,-7.693216e0
QQN-GoldenSection,355,2.397433e-12,-1.162025e1
QQN-GoldenSection,359,6.400519e-17,-1.500000e1
QQN-GoldenSection,2,1.699462e2,2.230311e0
QQN-GoldenSection,52,1.699462e2,2.230311e0
QQN-GoldenSection,105,7.640623e0,8.831288e-1
QQN-GoldenSection,163,1.644893e-1,-7.838623e-1
QQN-GoldenSection,211,1.234465e-1,-9.085212e-1
QQN-GoldenSection,259,5.962700e-5,-4.224557e0
QQN-GoldenSection,307,2.601997e-8,-7.584693e0
QQN-GoldenSection,355,1.500311e-13,-1.282382e1
QQN-GoldenSection,359,9.016965e-16,-1.500000e1
QQN-GoldenSection,2,1.731263e2,2.238363e0
QQN-GoldenSection,52,1.731263e2,2.238363e0
QQN-GoldenSection,103,5.754240e1,1.759988e0
QQN-GoldenSection,156,1.102511e-1,-9.576172e-1
QQN-GoldenSection,209,2.763845e-2,-1.558486e0
QQN-GoldenSection,267,7.196758e-3,-2.142863e0
QQN-GoldenSection,315,2.380146e-3,-2.623396e0
QQN-GoldenSection,363,6.743295e-7,-6.171128e0
QQN-GoldenSection,411,8.174524e-11,-1.008754e1
QQN-GoldenSection,415,7.167322e-16,-1.500000e1
QQN-GoldenSection,2,1.727258e2,2.237357e0
QQN-GoldenSection,52,1.727258e2,2.237357e0
QQN-GoldenSection,104,3.448863e1,1.537676e0
QQN-GoldenSection,157,1.270820e-2,-1.895916e0
QQN-GoldenSection,215,3.138909e-3,-2.503221e0
QQN-GoldenSection,263,5.574612e-4,-3.253785e0
QQN-GoldenSection,311,2.413619e-8,-7.617331e0
QQN-GoldenSection,359,2.433210e-12,-1.161382e1
QQN-GoldenSection,363,3.937201e-18,-1.500000e1
QQN-GoldenSection,2,1.684275e2,2.226413e0
QQN-GoldenSection,52,1.684275e2,2.226413e0
QQN-GoldenSection,103,5.963287e1,1.775486e0
QQN-GoldenSection,153,1.473834e-1,-8.315516e-1
QQN-GoldenSection,203,3.635506e-2,-1.439435e0
QQN-GoldenSection,253,9.368641e-3,-2.028323e0
QQN-GoldenSection,303,2.481723e-3,-2.605247e0
QQN-GoldenSection,353,6.650636e-4,-3.177137e0
QQN-GoldenSection,403,1.794208e-4,-3.746127e0
QQN-GoldenSection,453,4.854914e-5,-4.313818e0
QQN-GoldenSection,503,1.315989e-5,-4.880748e0
QQN-GoldenSection,553,3.569998e-6,-5.447332e0
QQN-GoldenSection,603,9.689146e-7,-6.013714e0
QQN-GoldenSection,653,2.630226e-7,-6.580007e0
QQN-GoldenSection,703,7.140879e-8,-7.146248e0
QQN-GoldenSection,753,1.938793e-8,-7.712469e0
QQN-GoldenSection,803,5.264067e-9,-8.278679e0
QQN-GoldenSection,853,1.429268e-9,-8.844886e0
QQN-GoldenSection,903,3.880664e-10,-9.411094e0
QQN-GoldenSection,953,1.053646e-10,-9.977305e0
QQN-GoldenSection,1003,2.860760e-11,-1.054352e1
QQN-GoldenSection,2,1.680925e2,2.225548e0
QQN-GoldenSection,52,1.680925e2,2.225548e0
QQN-GoldenSection,104,4.506793e1,1.653868e0
QQN-GoldenSection,157,5.083703e-4,-3.293820e0
QQN-GoldenSection,215,1.357474e-4,-3.867269e0
QQN-GoldenSection,263,1.272301e-4,-3.895410e0
QQN-GoldenSection,311,2.367687e-10,-9.625676e0
QQN-GoldenSection,315,1.448709e-15,-1.483902e1
QQN-GoldenSection,2,1.664791e2,2.221360e0
QQN-GoldenSection,52,1.664791e2,2.221360e0
QQN-GoldenSection,104,3.895158e1,1.590525e0
QQN-GoldenSection,157,3.960326e-4,-3.402269e0
QQN-GoldenSection,215,1.025424e-4,-3.989096e0
QQN-GoldenSection,263,3.667680e-5,-4.435609e0
QQN-GoldenSection,311,5.660027e-11,-1.024718e1
QQN-GoldenSection,315,1.822402e-16,-1.500000e1
QQN-GoldenSection,2,1.695220e2,2.229226e0
QQN-GoldenSection,52,1.695220e2,2.229226e0
QQN-GoldenSection,105,1.313560e1,1.118450e0
QQN-GoldenSection,163,1.345350e-1,-8.711647e-1
QQN-GoldenSection,211,1.226879e-1,-9.111984e-1
QQN-GoldenSection,259,3.542065e-5,-4.450744e0
QQN-GoldenSection,307,3.702336e-8,-7.431524e0
QQN-GoldenSection,355,2.697156e-12,-1.156909e1
QQN-GoldenSection,359,1.774356e-20,-1.500000e1
QQN-GoldenSection,2,1.719828e2,2.235485e0
QQN-GoldenSection,52,1.719828e2,2.235485e0
QQN-GoldenSection,104,5.397435e1,1.732187e0
QQN-GoldenSection,157,3.480267e-2,-1.458387e0
QQN-GoldenSection,210,9.076261e-3,-2.042093e0
QQN-GoldenSection,268,2.416766e-3,-2.616765e0
QQN-GoldenSection,316,5.067101e-4,-3.295240e0
QQN-GoldenSection,364,4.709166e-8,-7.327056e0
QQN-GoldenSection,412,1.293406e-12,-1.188827e1
QQN-GoldenSection,416,4.632748e-18,-1.500000e1
QQN-GoldenSection,2,1.729743e2,2.237982e0
QQN-GoldenSection,52,1.729743e2,2.237982e0
QQN-GoldenSection,105,1.788940e1,1.252596e0
QQN-GoldenSection,159,1.076957e-1,-9.678018e-1
QQN-GoldenSection,217,2.108977e-2,-1.675928e0
QQN-GoldenSection,265,1.190349e-5,-4.924326e0
QQN-GoldenSection,313,1.364753e-8,-7.864946e0
QQN-GoldenSection,361,1.903368e-14,-1.372048e1
QQN-GoldenSection,365,6.941263e-20,-1.500000e1
QQN-GoldenSection,2,1.661867e2,2.220596e0
QQN-GoldenSection,52,1.661867e2,2.220596e0
QQN-GoldenSection,105,1.927412e1,1.284975e0
QQN-GoldenSection,159,7.112449e-2,-1.147981e0
QQN-GoldenSection,217,1.413306e-2,-1.849764e0
QQN-GoldenSection,265,5.923316e-6,-5.227435e0
QQN-GoldenSection,313,1.542275e-9,-8.811838e0
QQN-GoldenSection,361,4.693329e-13,-1.232852e1
QQN-GoldenSection,365,4.093851e-18,-1.500000e1
QQN-GoldenSection,2,1.699920e2,2.230429e0
QQN-GoldenSection,52,1.699920e2,2.230429e0
QQN-GoldenSection,105,1.750701e1,1.243212e0
QQN-GoldenSection,159,9.845449e-2,-1.006764e0
QQN-GoldenSection,217,1.902750e-2,-1.720618e0
QQN-GoldenSection,265,1.420908e-5,-4.847434e0
QQN-GoldenSection,313,1.590289e-8,-7.798524e0
QQN-GoldenSection,317,8.087922e-15,-1.409216e1
QQN-GoldenSection,2,1.688037e2,2.227382e0
QQN-GoldenSection,52,1.688037e2,2.227382e0
QQN-GoldenSection,103,6.296699e1,1.799113e0
QQN-GoldenSection,153,4.486485e-1,-3.480938e-1
QQN-GoldenSection,204,1.018292e-1,-9.921277e-1
QQN-GoldenSection,254,2.494965e-2,-1.602936e0
QQN-GoldenSection,305,6.371938e-3,-2.195728e0
QQN-GoldenSection,355,1.657296e-3,-2.780600e0
QQN-GoldenSection,406,4.351560e-4,-3.361355e0
QQN-GoldenSection,456,1.147808e-4,-3.940131e0
QQN-GoldenSection,507,3.034835e-5,-4.517865e0
QQN-GoldenSection,557,8.033529e-6,-5.095094e0
QQN-GoldenSection,608,2.127839e-6,-5.672061e0
QQN-GoldenSection,658,5.637574e-7,-6.248908e0
QQN-GoldenSection,709,1.493833e-7,-6.825698e0
QQN-GoldenSection,759,3.958502e-8,-7.402469e0
QQN-GoldenSection,810,1.048966e-8,-7.979239e0
QQN-GoldenSection,860,2.779615e-9,-8.556015e0
QQN-GoldenSection,911,7.365385e-10,-9.132805e0
QQN-GoldenSection,961,1.951602e-10,-9.709609e0
QQN-GoldenSection,1012,5.170953e-11,-1.028643e1
QQN-GoldenSection,2,1.690670e2,2.228059e0
QQN-GoldenSection,52,1.690670e2,2.228059e0
QQN-GoldenSection,104,5.330161e1,1.726740e0
QQN-GoldenSection,157,1.779379e-2,-1.749732e0
QQN-GoldenSection,210,4.703882e-3,-2.327544e0
QQN-GoldenSection,268,1.261441e-3,-2.899133e0
QQN-GoldenSection,316,2.541149e-4,-3.594970e0
QQN-GoldenSection,364,1.226145e-8,-7.911458e0
QQN-GoldenSection,412,1.688561e-13,-1.277248e1
QQN-GoldenSection,416,2.977456e-19,-1.500000e1
QQN-Bisection-1,2,1.694293e2,2.228989e0
QQN-Bisection-1,67,1.694293e2,2.228989e0
QQN-Bisection-1,130,2.848622e1,1.454635e0
QQN-Bisection-1,170,2.226976e1,1.347716e0
QQN-Bisection-1,191,6.612672e0,8.203770e-1
QQN-Bisection-1,212,8.961597e-1,-4.761458e-2
QQN-Bisection-1,233,7.154029e-2,-1.145449e0
QQN-Bisection-1,254,2.000658e-3,-2.698827e0
QQN-Bisection-1,275,1.670439e-4,-3.777169e0
QQN-Bisection-1,296,1.231887e-8,-7.909429e0
QQN-Bisection-1,317,2.059319e-13,-1.268628e1
QQN-Bisection-1,321,7.336918e-17,-1.500000e1
QQN-Bisection-1,2,1.699598e2,2.230346e0
QQN-Bisection-1,99,1.699598e2,2.230346e0
QQN-Bisection-1,162,1.935402e-4,-3.713229e0
QQN-Bisection-1,202,1.470876e-4,-3.832424e0
QQN-Bisection-1,223,1.547112e-5,-4.810478e0
QQN-Bisection-1,244,2.280169e-9,-8.642033e0
QQN-Bisection-1,248,7.671002e-16,-1.500000e1
QQN-Bisection-1,2,1.666087e2,2.221698e0
QQN-Bisection-1,67,1.666087e2,2.221698e0
QQN-Bisection-1,130,3.023912e1,1.480569e0
QQN-Bisection-1,170,2.038815e1,1.309378e0
QQN-Bisection-1,191,7.229508e0,8.591088e-1
QQN-Bisection-1,212,9.310064e-1,-3.104734e-2
QQN-Bisection-1,233,8.323313e-2,-1.079704e0
QQN-Bisection-1,254,2.278261e-3,-2.642396e0
QQN-Bisection-1,275,2.094030e-4,-3.679017e0
QQN-Bisection-1,296,1.727092e-8,-7.762684e0
QQN-Bisection-1,317,6.748171e-13,-1.217081e1
QQN-Bisection-1,321,3.965724e-16,-1.500000e1
QQN-Bisection-1,2,1.729662e2,2.237961e0
QQN-Bisection-1,99,1.729662e2,2.237961e0
QQN-Bisection-1,174,1.280445e1,1.107361e0
QQN-Bisection-1,214,8.238054e0,9.158246e-1
QQN-Bisection-1,235,5.487983e0,7.394128e-1
QQN-Bisection-1,256,3.104812e-1,-5.079646e-1
QQN-Bisection-1,277,4.095756e-2,-1.387666e0
QQN-Bisection-1,298,1.505566e-3,-2.822300e0
QQN-Bisection-1,319,1.142273e-6,-5.942230e0
QQN-Bisection-1,340,4.770522e-10,-9.321434e0
QQN-Bisection-1,344,6.673464e-16,-1.500000e1
QQN-Bisection-1,2,1.717287e2,2.234843e0
QQN-Bisection-1,99,1.717287e2,2.234843e0
QQN-Bisection-1,172,5.789288e1,1.762625e0
QQN-Bisection-1,235,4.070797e1,1.609679e0
QQN-Bisection-1,275,1.611606e1,1.207259e0
QQN-Bisection-1,296,9.802910e0,9.913550e-1
QQN-Bisection-1,317,1.059222e0,2.498719e-2
QQN-Bisection-1,338,2.382168e-1,-6.230277e-1
QQN-Bisection-1,359,2.627982e-3,-2.580378e0
QQN-Bisection-1,380,1.348931e-4,-3.870010e0
QQN-Bisection-1,401,2.140055e-6,-5.669575e0
QQN-Bisection-1,422,1.141282e-8,-7.942607e0
QQN-Bisection-1,443,1.585612e-11,-1.079980e1
QQN-Bisection-1,447,6.083122e-15,-1.421587e1
QQN-Bisection-1,2,1.690140e2,2.227923e0
QQN-Bisection-1,67,1.690140e2,2.227923e0
QQN-Bisection-1,130,3.025362e1,1.480777e0
QQN-Bisection-1,170,2.049615e1,1.311672e0
QQN-Bisection-1,191,7.214821e0,8.582256e-1
QQN-Bisection-1,212,9.269233e-1,-3.295620e-2
QQN-Bisection-1,233,8.444770e-2,-1.073412e0
QQN-Bisection-1,254,2.222317e-3,-2.653194e0
QQN-Bisection-1,275,2.140236e-4,-3.669538e0
QQN-Bisection-1,296,1.718415e-8,-7.764872e0
QQN-Bisection-1,317,9.049168e-13,-1.204339e1
QQN-Bisection-1,321,6.120859e-16,-1.500000e1
QQN-Bisection-1,2,1.754008e2,2.244032e0
QQN-Bisection-1,65,1.754008e2,2.244032e0
QQN-Bisection-1,138,6.042082e1,1.781187e0
QQN-Bisection-1,201,4.684228e1,1.670638e0
QQN-Bisection-1,241,6.163976e0,7.898609e-1
QQN-Bisection-1,262,2.678591e0,4.279065e-1
QQN-Bisection-1,283,1.785902e-1,-7.481423e-1
QQN-Bisection-1,304,1.719135e-3,-2.764690e0
QQN-Bisection-1,325,1.949152e-5,-4.710154e0
QQN-Bisection-1,346,7.394440e-8,-7.131095e0
QQN-Bisection-1,367,1.195580e-10,-9.922422e0
QQN-Bisection-1,388,5.432952e-14,-1.326496e1
QQN-Bisection-1,392,6.033002e-18,-1.500000e1
QQN-Bisection-1,2,1.675071e2,2.224033e0
QQN-Bisection-1,67,1.675071e2,2.224033e0
QQN-Bisection-1,140,6.308860e1,1.799951e0
QQN-Bisection-1,203,5.389281e1,1.731531e0
QQN-Bisection-1,266,7.281124e0,8.621985e-1
QQN-Bisection-1,341,5.222478e0,7.178766e-1
QQN-Bisection-1,404,3.503725e0,5.445300e-1
QQN-Bisection-1,444,2.711499e0,4.332095e-1
QQN-Bisection-1,465,2.488212e0,3.958873e-1
QQN-Bisection-1,486,5.124407e-1,-2.903564e-1
QQN-Bisection-1,507,9.982374e-2,-1.000766e0
QQN-Bisection-1,528,6.984227e-4,-3.155882e0
QQN-Bisection-1,549,2.300527e-7,-6.638173e0
QQN-Bisection-1,570,5.308030e-12,-1.127507e1
QQN-Bisection-1,574,2.507069e-15,-1.460083e1
QQN-Bisection-1,2,1.724704e2,2.236715e0
QQN-Bisection-1,99,1.724704e2,2.236715e0
QQN-Bisection-1,174,3.914968e0,5.927282e-1
QQN-Bisection-1,214,2.460399e0,3.910055e-1
QQN-Bisection-1,235,4.339318e-2,-1.362579e0
QQN-Bisection-1,256,3.875782e-2,-1.411641e0
QQN-Bisection-1,277,8.416627e-6,-5.074862e0
QQN-Bisection-1,298,4.043329e-9,-8.393261e0
QQN-Bisection-1,319,1.232941e-11,-1.090906e1
QQN-Bisection-1,323,2.602385e-18,-1.500000e1
QQN-Bisection-1,2,1.738825e2,2.240256e0
QQN-Bisection-1,99,1.738825e2,2.240256e0
QQN-Bisection-1,162,2.665895e1,1.425843e0
QQN-Bisection-1,202,2.408855e1,1.381811e0
