Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,2.123201e3
QQN-GoldenSection,55,2.123201e3
QQN-GoldenSection,110,2.682025e2
QQN-GoldenSection,168,7.406716e1
QQN-GoldenSection,216,5.355213e1
QQN-GoldenSection,264,1.961327e1
QQN-GoldenSection,312,1.052146e1
QQN-GoldenSection,360,9.731662e0
QQN-GoldenSection,408,9.538827e0
QQN-GoldenSection,456,9.507741e0
QQN-GoldenSection,504,9.501306e0
QQN-GoldenSection,552,9.492564e0
QQN-GoldenSection,600,9.481093e0
QQN-GoldenSection,648,9.457140e0
QQN-GoldenSection,696,9.424503e0
QQN-GoldenSection,744,9.350854e0
QQN-GoldenSection,792,9.182256e0
QQN-GoldenSection,840,8.933367e0
QQN-GoldenSection,902,8.831628e0
QQN-GoldenSection,962,8.500549e0
QQN-GoldenSection,1024,8.434526e0
QQN-GoldenSection,2,1.939510e3
QQN-GoldenSection,55,1.939510e3
QQN-GoldenSection,110,2.367636e2
QQN-GoldenSection,168,8.154478e1
QQN-GoldenSection,216,5.187197e1
QQN-GoldenSection,264,1.642129e1
QQN-GoldenSection,312,1.280333e1
QQN-GoldenSection,360,9.566318e0
QQN-GoldenSection,408,9.218375e0
QQN-GoldenSection,456,9.134886e0
QQN-GoldenSection,504,9.120084e0
QQN-GoldenSection,552,9.038977e0
QQN-GoldenSection,600,8.628083e0
QQN-GoldenSection,662,8.466237e0
QQN-GoldenSection,722,8.372754e0
QQN-GoldenSection,784,8.309624e0
QQN-GoldenSection,844,8.252839e0
QQN-GoldenSection,906,8.201018e0
QQN-GoldenSection,967,8.153134e0
QQN-GoldenSection,1029,8.107993e0
QQN-GoldenSection,2,2.037320e3
QQN-GoldenSection,55,2.037320e3
QQN-GoldenSection,110,2.805137e2
QQN-GoldenSection,168,7.829584e1
QQN-GoldenSection,216,3.806013e1
QQN-GoldenSection,264,1.855223e1
QQN-GoldenSection,312,1.499471e1
QQN-GoldenSection,360,9.843196e0
QQN-GoldenSection,408,9.344866e0
QQN-GoldenSection,456,9.212043e0
QQN-GoldenSection,504,9.194799e0
QQN-GoldenSection,552,9.144495e0
QQN-GoldenSection,614,8.972767e0
QQN-GoldenSection,672,8.904062e0
QQN-GoldenSection,734,8.813880e0
QQN-GoldenSection,792,8.700260e0
QQN-GoldenSection,854,8.532836e0
QQN-GoldenSection,914,8.321047e0
QQN-GoldenSection,976,8.270885e0
QQN-GoldenSection,1036,8.222696e0
QQN-GoldenSection,2,2.083786e3
QQN-GoldenSection,55,2.083786e3
QQN-GoldenSection,110,2.767482e2
QQN-GoldenSection,168,7.542678e1
QQN-GoldenSection,216,5.081811e1
QQN-GoldenSection,264,2.186735e1
QQN-GoldenSection,312,1.714461e1
QQN-GoldenSection,360,1.040255e1
QQN-GoldenSection,408,9.593874e0
QQN-GoldenSection,456,9.449967e0
QQN-GoldenSection,504,9.442696e0
QQN-GoldenSection,552,9.419006e0
QQN-GoldenSection,600,9.389471e0
QQN-GoldenSection,648,9.360078e0
QQN-GoldenSection,696,9.287479e0
QQN-GoldenSection,757,9.058407e0
QQN-GoldenSection,817,8.999485e0
QQN-GoldenSection,878,8.946458e0
QQN-GoldenSection,938,8.892978e0
QQN-GoldenSection,999,8.843617e0
QQN-GoldenSection,1059,8.793473e0
QQN-GoldenSection,2,2.211759e3
QQN-GoldenSection,55,2.211759e3
QQN-GoldenSection,110,2.714250e2
QQN-GoldenSection,168,9.064679e1
QQN-GoldenSection,216,6.586624e1
QQN-GoldenSection,264,1.733201e1
QQN-GoldenSection,312,1.074143e1
QQN-GoldenSection,360,9.643973e0
QQN-GoldenSection,408,9.061392e0
QQN-GoldenSection,456,9.024434e0
QQN-GoldenSection,504,9.009936e0
QQN-GoldenSection,552,8.964912e0
QQN-GoldenSection,614,8.759558e0
QQN-GoldenSection,673,8.675457e0
QQN-GoldenSection,735,8.576003e0
QQN-GoldenSection,794,8.464760e0
QQN-GoldenSection,856,8.377371e0
QQN-GoldenSection,915,8.285725e0
QQN-GoldenSection,977,8.195835e0
QQN-GoldenSection,1036,8.103638e0
QQN-GoldenSection,2,2.230013e3
QQN-GoldenSection,55,2.230013e3
QQN-GoldenSection,110,4.086519e2
QQN-GoldenSection,168,1.398230e2
QQN-GoldenSection,216,8.780124e1
QQN-GoldenSection,264,3.369194e1
QQN-GoldenSection,312,1.434244e1
QQN-GoldenSection,360,9.656960e0
QQN-GoldenSection,408,9.108491e0
QQN-GoldenSection,456,8.963059e0
QQN-GoldenSection,504,8.942432e0
QQN-GoldenSection,552,8.929296e0
QQN-GoldenSection,600,8.848707e0
QQN-GoldenSection,648,8.719683e0
QQN-GoldenSection,710,8.529024e0
QQN-GoldenSection,770,8.335057e0
QQN-GoldenSection,832,8.284353e0
QQN-GoldenSection,893,8.237003e0
QQN-GoldenSection,955,8.193455e0
QQN-GoldenSection,1016,8.151990e0
QQN-GoldenSection,2,2.523896e3
QQN-GoldenSection,55,2.523896e3
QQN-GoldenSection,110,3.575262e2
QQN-GoldenSection,168,1.116855e2
QQN-GoldenSection,216,6.137669e1
QQN-GoldenSection,264,2.254616e1
QQN-GoldenSection,312,1.140020e1
QQN-GoldenSection,360,9.475716e0
QQN-GoldenSection,408,9.292866e0
QQN-GoldenSection,456,9.248302e0
QQN-GoldenSection,504,9.227279e0
QQN-GoldenSection,552,9.210816e0
QQN-GoldenSection,600,9.161635e0
QQN-GoldenSection,648,8.906798e0
QQN-GoldenSection,696,8.778981e0
QQN-GoldenSection,744,8.550552e0
QQN-GoldenSection,792,8.489841e0
QQN-GoldenSection,854,8.420408e0
QQN-GoldenSection,902,8.355474e0
QQN-GoldenSection,950,8.263445e0
QQN-GoldenSection,998,8.038156e0
QQN-GoldenSection,1059,7.806667e0
QQN-GoldenSection,2,2.055327e3
QQN-GoldenSection,55,2.055327e3
QQN-GoldenSection,110,1.726560e2
QQN-GoldenSection,168,1.624916e1
QQN-GoldenSection,216,1.077189e1
QQN-GoldenSection,264,9.652240e0
QQN-GoldenSection,312,9.563311e0
QQN-GoldenSection,360,9.561296e0
QQN-GoldenSection,408,9.557860e0
QQN-GoldenSection,470,9.542509e0
QQN-GoldenSection,530,9.530939e0
QQN-GoldenSection,592,9.525015e0
QQN-GoldenSection,653,9.518674e0
QQN-GoldenSection,715,9.514570e0
QQN-GoldenSection,776,9.510307e0
QQN-GoldenSection,838,9.505913e0
QQN-GoldenSection,899,9.501183e0
QQN-GoldenSection,961,9.496069e0
QQN-GoldenSection,1021,9.490502e0
QQN-GoldenSection,2,1.850684e3
QQN-GoldenSection,55,1.850684e3
QQN-GoldenSection,110,2.241243e2
QQN-GoldenSection,168,6.850942e1
QQN-GoldenSection,216,2.605380e1
QQN-GoldenSection,264,1.257045e1
QQN-GoldenSection,312,9.677685e0
QQN-GoldenSection,360,8.922869e0
QQN-GoldenSection,408,8.884950e0
QQN-GoldenSection,456,8.860206e0
QQN-GoldenSection,504,8.814983e0
QQN-GoldenSection,552,8.691914e0
QQN-GoldenSection,600,8.667994e0
QQN-GoldenSection,648,8.389529e0
QQN-GoldenSection,709,8.125928e0
QQN-GoldenSection,770,8.061383e0
QQN-GoldenSection,832,8.020107e0
QQN-GoldenSection,893,7.983549e0
QQN-GoldenSection,955,7.949102e0
QQN-GoldenSection,1016,7.915565e0
QQN-GoldenSection,2,2.204238e3
QQN-GoldenSection,55,2.204238e3
QQN-GoldenSection,110,2.391303e2
QQN-GoldenSection,168,3.052917e1
QQN-GoldenSection,216,1.103178e1
QQN-GoldenSection,277,7.381298e0
QQN-GoldenSection,325,7.067083e0
QQN-GoldenSection,373,6.980298e0
QQN-GoldenSection,421,6.951912e0
QQN-GoldenSection,469,6.842562e0
QQN-GoldenSection,530,6.586984e0
QQN-GoldenSection,591,6.462282e0
QQN-GoldenSection,653,6.419446e0
QQN-GoldenSection,714,6.395083e0
QQN-GoldenSection,776,6.377702e0
QQN-GoldenSection,837,6.360931e0
QQN-GoldenSection,899,6.344521e0
QQN-GoldenSection,960,6.328165e0
