Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,2.123201e3,3.326991e0
QQN-GoldenSection,55,2.123201e3,3.326991e0
QQN-GoldenSection,110,2.682025e2,2.428463e0
QQN-GoldenSection,168,7.406716e1,1.869626e0
QQN-GoldenSection,216,5.355213e1,1.728777e0
QQN-GoldenSection,264,1.961327e1,1.292550e0
QQN-GoldenSection,312,1.052146e1,1.022076e0
QQN-GoldenSection,360,9.731662e0,9.881870e-1
QQN-GoldenSection,408,9.538827e0,9.794950e-1
QQN-GoldenSection,456,9.507741e0,9.780774e-1
QQN-GoldenSection,504,9.501306e0,9.777833e-1
QQN-GoldenSection,552,9.492564e0,9.773835e-1
QQN-GoldenSection,600,9.481093e0,9.768584e-1
QQN-GoldenSection,648,9.457140e0,9.757598e-1
QQN-GoldenSection,696,9.424503e0,9.742585e-1
QQN-GoldenSection,744,9.350854e0,9.708513e-1
QQN-GoldenSection,792,9.182256e0,9.629494e-1
QQN-GoldenSection,840,8.933367e0,9.510152e-1
QQN-GoldenSection,902,8.831628e0,9.460407e-1
QQN-GoldenSection,962,8.500549e0,9.294470e-1
QQN-GoldenSection,1024,8.434526e0,9.260607e-1
QQN-GoldenSection,2,1.939510e3,3.287692e0
QQN-GoldenSection,55,1.939510e3,3.287692e0
QQN-GoldenSection,110,2.367636e2,2.374315e0
QQN-GoldenSection,168,8.154478e1,1.911396e0
QQN-GoldenSection,216,5.187197e1,1.714933e0
QQN-GoldenSection,264,1.642129e1,1.215407e0
QQN-GoldenSection,312,1.280333e1,1.107323e0
QQN-GoldenSection,360,9.566318e0,9.807448e-1
QQN-GoldenSection,408,9.218375e0,9.646544e-1
QQN-GoldenSection,456,9.134886e0,9.607031e-1
QQN-GoldenSection,504,9.120084e0,9.599989e-1
QQN-GoldenSection,552,9.038977e0,9.561193e-1
QQN-GoldenSection,600,8.628083e0,9.359143e-1
QQN-GoldenSection,662,8.466237e0,9.276904e-1
QQN-GoldenSection,722,8.372754e0,9.228683e-1
QQN-GoldenSection,784,8.309624e0,9.195814e-1
QQN-GoldenSection,844,8.252839e0,9.166034e-1
QQN-GoldenSection,906,8.201018e0,9.138677e-1
QQN-GoldenSection,967,8.153134e0,9.113246e-1
QQN-GoldenSection,1029,8.107993e0,9.089134e-1
QQN-GoldenSection,2,2.037320e3,3.309059e0
QQN-GoldenSection,55,2.037320e3,3.309059e0
QQN-GoldenSection,110,2.805137e2,2.447954e0
QQN-GoldenSection,168,7.829584e1,1.893739e0
QQN-GoldenSection,216,3.806013e1,1.580470e0
QQN-GoldenSection,264,1.855223e1,1.268396e0
QQN-GoldenSection,312,1.499471e1,1.175938e0
QQN-GoldenSection,360,9.843196e0,9.931361e-1
QQN-GoldenSection,408,9.344866e0,9.705731e-1
QQN-GoldenSection,456,9.212043e0,9.643560e-1
QQN-GoldenSection,504,9.194799e0,9.635422e-1
QQN-GoldenSection,552,9.144495e0,9.611597e-1
QQN-GoldenSection,614,8.972767e0,9.529264e-1
QQN-GoldenSection,672,8.904062e0,9.495882e-1
QQN-GoldenSection,734,8.813880e0,9.451671e-1
QQN-GoldenSection,792,8.700260e0,9.395322e-1
QQN-GoldenSection,854,8.532836e0,9.310934e-1
QQN-GoldenSection,914,8.321047e0,9.201780e-1
QQN-GoldenSection,976,8.270885e0,9.175520e-1
QQN-GoldenSection,1036,8.222696e0,9.150142e-1
QQN-GoldenSection,2,2.083786e3,3.318853e0
QQN-GoldenSection,55,2.083786e3,3.318853e0
QQN-GoldenSection,110,2.767482e2,2.442085e0
QQN-GoldenSection,168,7.542678e1,1.877526e0
QQN-GoldenSection,216,5.081811e1,1.706019e0
QQN-GoldenSection,264,2.186735e1,1.339796e0
QQN-GoldenSection,312,1.714461e1,1.234128e0
QQN-GoldenSection,360,1.040255e1,1.017140e0
QQN-GoldenSection,408,9.593874e0,9.819940e-1
QQN-GoldenSection,456,9.449967e0,9.754303e-1
QQN-GoldenSection,504,9.442696e0,9.750960e-1
QQN-GoldenSection,552,9.419006e0,9.740051e-1
QQN-GoldenSection,600,9.389471e0,9.726411e-1
QQN-GoldenSection,648,9.360078e0,9.712795e-1
QQN-GoldenSection,696,9.287479e0,9.678978e-1
QQN-GoldenSection,757,9.058407e0,9.570519e-1
QQN-GoldenSection,817,8.999485e0,9.542177e-1
QQN-GoldenSection,878,8.946458e0,9.516511e-1
QQN-GoldenSection,938,8.892978e0,9.490472e-1
QQN-GoldenSection,999,8.843617e0,9.466299e-1
QQN-GoldenSection,1059,8.793473e0,9.441605e-1
QQN-GoldenSection,2,2.211759e3,3.344738e0
QQN-GoldenSection,55,2.211759e3,3.344738e0
QQN-GoldenSection,110,2.714250e2,2.433650e0
QQN-GoldenSection,168,9.064679e1,1.957352e0
QQN-GoldenSection,216,6.586624e1,1.818663e0
QQN-GoldenSection,264,1.733201e1,1.238849e0
QQN-GoldenSection,312,1.074143e1,1.031062e0
QQN-GoldenSection,360,9.643973e0,9.842560e-1
QQN-GoldenSection,408,9.061392e0,9.571949e-1
QQN-GoldenSection,456,9.024434e0,9.554200e-1
QQN-GoldenSection,504,9.009936e0,9.547217e-1
QQN-GoldenSection,552,8.964912e0,9.525460e-1
QQN-GoldenSection,614,8.759558e0,9.424822e-1
QQN-GoldenSection,673,8.675457e0,9.382924e-1
QQN-GoldenSection,735,8.576003e0,9.332849e-1
QQN-GoldenSection,794,8.464760e0,9.276147e-1
QQN-GoldenSection,856,8.377371e0,9.231077e-1
QQN-GoldenSection,915,8.285725e0,9.183305e-1
QQN-GoldenSection,977,8.195835e0,9.135932e-1
QQN-GoldenSection,1036,8.103638e0,9.086801e-1
QQN-GoldenSection,2,2.230013e3,3.348307e0
QQN-GoldenSection,55,2.230013e3,3.348307e0
QQN-GoldenSection,110,4.086519e2,2.611353e0
QQN-GoldenSection,168,1.398230e2,2.145578e0
QQN-GoldenSection,216,8.780124e1,1.943501e0
QQN-GoldenSection,264,3.369194e1,1.527526e0
QQN-GoldenSection,312,1.434244e1,1.156623e0
QQN-GoldenSection,360,9.656960e0,9.848404e-1
QQN-GoldenSection,408,9.108491e0,9.594464e-1
QQN-GoldenSection,456,8.963059e0,9.524563e-1
QQN-GoldenSection,504,8.942432e0,9.514556e-1
QQN-GoldenSection,552,8.929296e0,9.508172e-1
QQN-GoldenSection,600,8.848707e0,9.468798e-1
QQN-GoldenSection,648,8.719683e0,9.405007e-1
QQN-GoldenSection,710,8.529024e0,9.308993e-1
QQN-GoldenSection,770,8.335057e0,9.209086e-1
QQN-GoldenSection,832,8.284353e0,9.182586e-1
QQN-GoldenSection,893,8.237003e0,9.157692e-1
QQN-GoldenSection,955,8.193455e0,9.134671e-1
QQN-GoldenSection,1016,8.151990e0,9.112636e-1
QQN-GoldenSection,2,2.523896e3,3.402071e0
QQN-GoldenSection,55,2.523896e3,3.402071e0
QQN-GoldenSection,110,3.575262e2,2.553308e0
QQN-GoldenSection,168,1.116855e2,2.047997e0
QQN-GoldenSection,216,6.137669e1,1.788003e0
QQN-GoldenSection,264,2.254616e1,1.353072e0
QQN-GoldenSection,312,1.140020e1,1.056912e0
QQN-GoldenSection,360,9.475716e0,9.766120e-1
QQN-GoldenSection,408,9.292866e0,9.681497e-1
QQN-GoldenSection,456,9.248302e0,9.660620e-1
QQN-GoldenSection,504,9.227279e0,9.650736e-1
QQN-GoldenSection,552,9.210816e0,9.642981e-1
QQN-GoldenSection,600,9.161635e0,9.619730e-1
QQN-GoldenSection,648,8.906798e0,9.497216e-1
QQN-GoldenSection,696,8.778981e0,9.434441e-1
QQN-GoldenSection,744,8.550552e0,9.319942e-1
QQN-GoldenSection,792,8.489841e0,9.288996e-1
QQN-GoldenSection,854,8.420408e0,9.253331e-1
QQN-GoldenSection,902,8.355474e0,9.219711e-1
QQN-GoldenSection,950,8.263445e0,9.171611e-1
QQN-GoldenSection,998,8.038156e0,9.051564e-1
QQN-GoldenSection,1059,7.806667e0,8.924657e-1
QQN-GoldenSection,2,2.055327e3,3.312881e0
QQN-GoldenSection,55,2.055327e3,3.312881e0
QQN-GoldenSection,110,1.726560e2,2.237182e0
QQN-GoldenSection,168,1.624916e1,1.210831e0
QQN-GoldenSection,216,1.077189e1,1.032292e0
QQN-GoldenSection,264,9.652240e0,9.846281e-1
QQN-GoldenSection,312,9.563311e0,9.806083e-1
QQN-GoldenSection,360,9.561296e0,9.805168e-1
QQN-GoldenSection,408,9.557860e0,9.803607e-1
QQN-GoldenSection,470,9.542509e0,9.796626e-1
QQN-GoldenSection,530,9.530939e0,9.791357e-1
QQN-GoldenSection,592,9.525015e0,9.788657e-1
QQN-GoldenSection,653,9.518674e0,9.785765e-1
QQN-GoldenSection,715,9.514570e0,9.783892e-1
QQN-GoldenSection,776,9.510307e0,9.781945e-1
QQN-GoldenSection,838,9.505913e0,9.779938e-1
QQN-GoldenSection,899,9.501183e0,9.777777e-1
QQN-GoldenSection,961,9.496069e0,9.775438e-1
QQN-GoldenSection,1021,9.490502e0,9.772892e-1
QQN-GoldenSection,2,1.850684e3,3.267332e0
QQN-GoldenSection,55,1.850684e3,3.267332e0
QQN-GoldenSection,110,2.241243e2,2.350489e0
QQN-GoldenSection,168,6.850942e1,1.835750e0
QQN-GoldenSection,216,2.605380e1,1.415871e0
QQN-GoldenSection,264,1.257045e1,1.099351e0
QQN-GoldenSection,312,9.677685e0,9.857715e-1
QQN-GoldenSection,360,8.922869e0,9.505045e-1
QQN-GoldenSection,408,8.884950e0,9.486550e-1
QQN-GoldenSection,456,8.860206e0,9.474438e-1
QQN-GoldenSection,504,8.814983e0,9.452215e-1
QQN-GoldenSection,552,8.691914e0,9.391154e-1
QQN-GoldenSection,600,8.667994e0,9.379186e-1
QQN-GoldenSection,648,8.389529e0,9.237376e-1
QQN-GoldenSection,709,8.125928e0,9.098729e-1
QQN-GoldenSection,770,8.061383e0,9.064095e-1
QQN-GoldenSection,832,8.020107e0,9.041802e-1
QQN-GoldenSection,893,7.983549e0,9.021960e-1
QQN-GoldenSection,955,7.949102e0,9.003180e-1
QQN-GoldenSection,1016,7.915565e0,8.984819e-1
QQN-GoldenSection,2,2.204238e3,3.343258e0
QQN-GoldenSection,55,2.204238e3,3.343258e0
QQN-GoldenSection,110,2.391303e2,2.378635e0
QQN-GoldenSection,168,3.052917e1,1.484715e0
QQN-GoldenSection,216,1.103178e1,1.042645e0
QQN-GoldenSection,277,7.381298e0,8.681327e-1
QQN-GoldenSection,325,7.067083e0,8.492402e-1
QQN-GoldenSection,373,6.980298e0,8.438740e-1
QQN-GoldenSection,421,6.951912e0,8.421042e-1
QQN-GoldenSection,469,6.842562e0,8.352187e-1
QQN-GoldenSection,530,6.586984e0,8.186866e-1
QQN-GoldenSection,591,6.462282e0,8.103859e-1
QQN-GoldenSection,653,6.419446e0,8.074975e-1
QQN-GoldenSection,714,6.395083e0,8.058462e-1
QQN-GoldenSection,776,6.377702e0,8.046643e-1
QQN-GoldenSection,837,6.360931e0,8.035207e-1
QQN-GoldenSection,899,6.344521e0,8.023989e-1
QQN-GoldenSection,960,6.328165e0,8.012778e-1
QQN-GoldenSection,1022,6.311928e0,8.001620e-1
QQN-GoldenSection,2,2.595408e3,3.414206e0
QQN-GoldenSection,55,2.595408e3,3.414206e0
QQN-GoldenSection,110,3.827725e2,2.582941e0
QQN-GoldenSection,168,1.315189e2,2.118988e0
QQN-GoldenSection,216,8.625017e1,1.935760e0
QQN-GoldenSection,264,3.071431e1,1.487341e0
QQN-GoldenSection,312,1.477681e1,1.169581e0
QQN-GoldenSection,360,9.726532e0,9.879580e-1
QQN-GoldenSection,408,9.291110e0,9.680676e-1
QQN-GoldenSection,456,9.170146e0,9.623763e-1
QQN-GoldenSection,504,9.146163e0,9.612390e-1
QQN-GoldenSection,552,9.132944e0,9.606108e-1
QQN-GoldenSection,600,9.103485e0,9.592077e-1
QQN-GoldenSection,662,8.969968e0,9.527909e-1
QQN-GoldenSection,721,8.887939e0,9.488011e-1
QQN-GoldenSection,783,8.798952e0,9.444309e-1
QQN-GoldenSection,842,8.704044e0,9.397211e-1
QQN-GoldenSection,904,8.612968e0,9.351528e-1
QQN-GoldenSection,964,8.525229e0,9.307061e-1
QQN-GoldenSection,1026,8.453128e0,9.270175e-1
QQN-GoldenSection,2,2.224836e3,3.347298e0
QQN-GoldenSection,55,2.224836e3,3.347298e0
QQN-GoldenSection,110,2.790246e2,2.445642e0
QQN-GoldenSection,168,6.768396e1,1.830486e0
QQN-GoldenSection,216,3.732940e1,1.572051e0
QQN-GoldenSection,264,1.742322e1,1.241129e0
QQN-GoldenSection,312,1.171732e1,1.068828e0
QQN-GoldenSection,360,9.726034e0,9.879358e-1
QQN-GoldenSection,408,9.507861e0,9.780828e-1
QQN-GoldenSection,456,9.479753e0,9.767970e-1
QQN-GoldenSection,504,9.475330e0,9.765944e-1
QQN-GoldenSection,552,9.413824e0,9.737661e-1
QQN-GoldenSection,614,9.363841e0,9.714540e-1
QQN-GoldenSection,674,9.269089e0,9.670371e-1
QQN-GoldenSection,736,9.237001e0,9.655310e-1
QQN-GoldenSection,796,9.202480e0,9.639049e-1
QQN-GoldenSection,857,9.169320e0,9.623371e-1
QQN-GoldenSection,917,9.133670e0,9.606453e-1
QQN-GoldenSection,978,9.099023e0,9.589948e-1
QQN-GoldenSection,1038,9.061792e0,9.572141e-1
QQN-GoldenSection,2,1.973428e3,3.295221e0
QQN-GoldenSection,55,1.973428e3,3.295221e0
QQN-GoldenSection,110,1.985280e2,2.297822e0
QQN-GoldenSection,168,4.419201e1,1.645344e0
QQN-GoldenSection,229,2.772442e1,1.442862e0
QQN-GoldenSection,277,1.035352e1,1.015088e0
QQN-GoldenSection,325,9.463525e0,9.760529e-1
QQN-GoldenSection,373,9.366147e0,9.715610e-1
QQN-GoldenSection,421,9.342003e0,9.704400e-1
QQN-GoldenSection,469,9.330777e0,9.699178e-1
QQN-GoldenSection,517,9.258065e0,9.665202e-1
QQN-GoldenSection,565,9.198344e0,9.637096e-1
QQN-GoldenSection,613,9.055480e0,9.569115e-1
QQN-GoldenSection,661,8.705809e0,9.398091e-1
QQN-GoldenSection,722,8.472971e0,9.280357e-1
QQN-GoldenSection,782,8.405215e0,9.245488e-1
QQN-GoldenSection,844,8.345101e0,9.214316e-1
QQN-GoldenSection,904,8.286083e0,9.183493e-1
QQN-GoldenSection,966,8.235173e0,9.156727e-1
QQN-GoldenSection,1026,8.185399e0,9.130399e-1
QQN-GoldenSection,2,2.218895e3,3.346137e0
QQN-GoldenSection,55,2.218895e3,3.346137e0
QQN-GoldenSection,110,2.265880e2,2.355237e0
QQN-GoldenSection,168,6.708186e1,1.826605e0
QQN-GoldenSection,216,4.056899e1,1.608194e0
QQN-GoldenSection,264,1.625361e1,1.210950e0
QQN-GoldenSection,312,1.281321e1,1.107658e0
QQN-GoldenSection,360,9.578925e0,9.813168e-1
QQN-GoldenSection,408,9.373843e0,9.719177e-1
QQN-GoldenSection,456,9.348744e0,9.707533e-1
QQN-GoldenSection,504,9.338911e0,9.702962e-1
QQN-GoldenSection,566,9.227007e0,9.650609e-1
QQN-GoldenSection,625,9.146959e0,9.612767e-1
QQN-GoldenSection,687,9.071975e0,9.577018e-1
QQN-GoldenSection,746,8.989963e0,9.537579e-1
QQN-GoldenSection,808,8.905782e0,9.496721e-1
QQN-GoldenSection,867,8.819632e0,9.454504e-1
QQN-GoldenSection,929,8.732996e0,9.411633e-1
QQN-GoldenSection,988,8.648572e0,9.369444e-1
QQN-GoldenSection,1050,8.567528e0,9.328555e-1
QQN-GoldenSection,2,2.454596e3,3.389980e0
QQN-GoldenSection,55,2.454596e3,3.389980e0
QQN-GoldenSection,110,3.942969e2,2.595823e0
QQN-GoldenSection,168,1.367645e2,2.135973e0
QQN-GoldenSection,216,8.795202e1,1.944246e0
QQN-GoldenSection,264,3.322426e1,1.521455e0
QQN-GoldenSection,312,1.394153e1,1.144311e0
QQN-GoldenSection,360,9.927540e0,9.968416e-1
QQN-GoldenSection,408,9.415669e0,9.738512e-1
QQN-GoldenSection,456,9.218258e0,9.646489e-1
QQN-GoldenSection,504,9.181853e0,9.629303e-1
QQN-GoldenSection,552,9.167701e0,9.622604e-1
QQN-GoldenSection,600,9.149242e0,9.613851e-1
QQN-GoldenSection,661,9.063346e0,9.572885e-1
QQN-GoldenSection,720,9.006757e0,9.545684e-1
QQN-GoldenSection,781,8.944787e0,9.515700e-1
QQN-GoldenSection,840,8.876721e0,9.482526e-1
QQN-GoldenSection,902,8.804922e0,9.447255e-1
QQN-GoldenSection,961,8.729559e0,9.409923e-1
QQN-GoldenSection,1023,8.653037e0,9.371686e-1
QQN-GoldenSection,2,2.352157e3,3.371466e0
QQN-GoldenSection,55,2.352157e3,3.371466e0
QQN-GoldenSection,110,3.089755e2,2.489924e0
QQN-GoldenSection,168,1.135118e2,2.055041e0
QQN-GoldenSection,216,6.996527e1,1.844883e0
QQN-GoldenSection,264,2.718951e1,1.434401e0
QQN-GoldenSection,312,1.332503e1,1.124668e0
QQN-GoldenSection,360,9.739760e0,9.885482e-1
QQN-GoldenSection,408,9.299567e0,9.684627e-1
QQN-GoldenSection,456,9.182503e0,9.629611e-1
QQN-GoldenSection,504,9.159633e0,9.618781e-1
QQN-GoldenSection,552,9.144861e0,9.611771e-1
QQN-GoldenSection,600,9.106480e0,9.593506e-1
QQN-GoldenSection,662,8.929099e0,9.508076e-1
QQN-GoldenSection,721,8.820221e0,9.454795e-1
QQN-GoldenSection,783,8.719679e0,9.405005e-1
QQN-GoldenSection,842,8.622341e0,9.356252e-1
QQN-GoldenSection,904,8.542645e0,9.315924e-1
QQN-GoldenSection,964,8.470599e0,9.279141e-1
QQN-GoldenSection,1026,8.413244e0,9.249635e-1
QQN-GoldenSection,2,1.955746e3,3.291313e0
QQN-GoldenSection,55,1.955746e3,3.291313e0
QQN-GoldenSection,110,2.904226e2,2.463030e0
QQN-GoldenSection,168,1.063937e2,2.026916e0
QQN-GoldenSection,216,6.902731e1,1.839021e0
QQN-GoldenSection,264,3.044812e1,1.483560e0
QQN-GoldenSection,312,1.699166e1,1.230236e0
QQN-GoldenSection,360,1.071781e1,1.030106e0
QQN-GoldenSection,408,9.531678e0,9.791693e-1
QQN-GoldenSection,456,9.183233e0,9.629956e-1
QQN-GoldenSection,504,9.158609e0,9.618295e-1
QQN-GoldenSection,552,9.137004e0,9.608038e-1
QQN-GoldenSection,600,9.109468e0,9.594930e-1
QQN-GoldenSection,661,8.921223e0,9.504244e-1
QQN-GoldenSection,720,8.842476e0,9.465739e-1
QQN-GoldenSection,782,8.751554e0,9.420852e-1
QQN-GoldenSection,841,8.648149e0,9.369232e-1
QQN-GoldenSection,903,8.544742e0,9.316990e-1
QQN-GoldenSection,962,8.440999e0,9.263939e-1
QQN-GoldenSection,1024,8.349941e0,9.216834e-1
QQN-GoldenSection,2,2.243761e3,3.350977e0
QQN-GoldenSection,55,2.243761e3,3.350977e0
QQN-GoldenSection,110,3.590646e2,2.555173e0
QQN-GoldenSection,164,1.250303e2,2.097015e0
QQN-GoldenSection,222,4.149355e1,1.617981e0
QQN-GoldenSection,270,3.230660e1,1.509291e0
QQN-GoldenSection,331,1.226355e1,1.088616e0
QQN-GoldenSection,379,8.308167e0,9.195052e-1
QQN-GoldenSection,427,7.886107e0,8.968626e-1
QQN-GoldenSection,475,6.434513e0,8.085157e-1
QQN-GoldenSection,523,6.373229e0,8.043595e-1
QQN-GoldenSection,571,6.313622e0,8.002786e-1
QQN-GoldenSection,619,6.202410e0,7.925605e-1
QQN-GoldenSection,667,6.040428e0,7.810677e-1
QQN-GoldenSection,715,5.805308e0,7.638253e-1
QQN-GoldenSection,777,5.254923e0,7.205664e-1
QQN-GoldenSection,838,4.970503e0,6.964003e-1
QQN-GoldenSection,886,4.889604e0,6.892736e-1
QQN-GoldenSection,934,4.787614e0,6.801191e-1
QQN-GoldenSection,982,4.425843e0,6.459960e-1
QQN-GoldenSection,1030,4.287664e0,6.322208e-1
QQN-GoldenSection,2,1.744361e3,3.241636e0
QQN-GoldenSection,55,1.744361e3,3.241636e0
QQN-GoldenSection,110,2.305774e2,2.362817e0
QQN-GoldenSection,168,5.973518e1,1.776230e0
QQN-GoldenSection,216,3.769709e1,1.576308e0
QQN-GoldenSection,264,1.498409e1,1.175630e0
QQN-GoldenSection,312,1.106697e1,1.044029e0
QQN-GoldenSection,360,9.542143e0,9.796459e-1
QQN-GoldenSection,408,9.444476e0,9.751779e-1
QQN-GoldenSection,456,9.434321e0,9.747106e-1
QQN-GoldenSection,504,9.425291e0,9.742948e-1
QQN-GoldenSection,552,9.379448e0,9.721773e-1
QQN-GoldenSection,600,9.351111e0,9.708632e-1
QQN-GoldenSection,648,9.266128e0,9.668983e-1
QQN-GoldenSection,709,9.019006e0,9.551587e-1
QQN-GoldenSection,769,8.952179e0,9.519288e-1
QQN-GoldenSection,830,8.893817e0,9.490882e-1
QQN-GoldenSection,890,8.836583e0,9.462844e-1
QQN-GoldenSection,951,8.784619e0,9.437229e-1
QQN-GoldenSection,1011,8.732841e0,9.411555e-1
QQN-GoldenSection,2,2.508193e3,3.399361e0
QQN-GoldenSection,55,2.508193e3,3.399361e0
QQN-GoldenSection,110,3.234476e2,2.509804e0
QQN-GoldenSection,168,8.025716e1,1.904484e0
QQN-GoldenSection,216,4.513835e1,1.654546e0
QQN-GoldenSection,278,2.979688e1,1.474171e0
QQN-GoldenSection,326,1.512289e1,1.179635e0
QQN-GoldenSection,374,1.015199e1,1.006551e0
QQN-GoldenSection,422,7.527942e0,8.766763e-1
QQN-GoldenSection,470,7.235870e0,8.594908e-1
QQN-GoldenSection,518,7.198957e0,8.572696e-1
QQN-GoldenSection,566,7.169921e0,8.555144e-1
QQN-GoldenSection,614,7.063051e0,8.489924e-1
QQN-GoldenSection,662,6.960231e0,8.426236e-1
QQN-GoldenSection,710,6.732779e0,8.281944e-1
QQN-GoldenSection,758,6.356253e0,8.032012e-1
QQN-GoldenSection,806,6.017936e0,7.794475e-1
QQN-GoldenSection,854,5.875124e0,7.690171e-1
QQN-GoldenSection,902,5.400624e0,7.324439e-1
QQN-GoldenSection,950,5.296708e0,7.240060e-1
QQN-GoldenSection,998,5.034355e0,7.019438e-1
QQN-GoldenSection,1059,4.580463e0,6.609093e-1
QQN-Bisection-1,2,2.628752e3,3.419750e0
QQN-Bisection-1,76,2.628752e3,3.419750e0
QQN-Bisection-1,143,3.457413e2,2.538751e0
