Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,2.135276e0
QQN-GoldenSection,56,2.135276e0
QQN-GoldenSection,111,1.986859e0
QQN-GoldenSection,169,1.981115e0
QQN-GoldenSection,217,1.980923e0
QQN-GoldenSection,231,1.980921e0
QQN-GoldenSection,279,1.980921e0
QQN-GoldenSection,283,1.980921e0
QQN-GoldenSection,2,4.695065e0
QQN-GoldenSection,54,4.695065e0
QQN-GoldenSection,105,2.862965e0
QQN-GoldenSection,159,1.057636e-2
QQN-GoldenSection,217,9.735509e-3
QQN-GoldenSection,265,1.066306e-3
QQN-GoldenSection,313,1.546361e-4
QQN-GoldenSection,361,1.470098e-6
QQN-GoldenSection,409,2.525386e-10
QQN-GoldenSection,413,8.388212e-18
QQN-GoldenSection,2,4.853939e0
QQN-GoldenSection,52,4.853939e0
QQN-GoldenSection,106,3.236793e-1
QQN-GoldenSection,164,3.164593e-1
QQN-GoldenSection,212,3.106793e-1
QQN-GoldenSection,260,2.893720e-1
QQN-GoldenSection,308,2.888630e-1
QQN-GoldenSection,356,2.887290e-1
QQN-GoldenSection,404,2.887126e-1
QQN-GoldenSection,452,2.887115e-1
QQN-GoldenSection,500,2.887115e-1
QQN-GoldenSection,514,2.887115e-1
QQN-GoldenSection,518,2.887115e-1
QQN-GoldenSection,2,3.584323e0
QQN-GoldenSection,52,3.584323e0
QQN-GoldenSection,106,1.758398e0
QQN-GoldenSection,164,1.436447e0
QQN-GoldenSection,212,1.435921e0
QQN-GoldenSection,260,1.426855e0
QQN-GoldenSection,308,1.426699e0
QQN-GoldenSection,356,1.426633e0
QQN-GoldenSection,370,1.426633e0
QQN-GoldenSection,384,1.426633e0
QQN-GoldenSection,388,1.426633e0
QQN-GoldenSection,2,4.284172e0
QQN-GoldenSection,53,4.284172e0
QQN-GoldenSection,107,2.475100e0
QQN-GoldenSection,162,2.036958e0
QQN-GoldenSection,217,1.954613e0
QQN-GoldenSection,275,1.951850e0
QQN-GoldenSection,323,1.951777e0
QQN-GoldenSection,371,1.951775e0
QQN-GoldenSection,375,1.951775e0
QQN-GoldenSection,2,4.824292e0
QQN-GoldenSection,52,4.824292e0
QQN-GoldenSection,102,2.013773e0
QQN-GoldenSection,153,2.119342e-1
QQN-GoldenSection,206,2.110893e-1
QQN-GoldenSection,257,2.100390e-1
QQN-GoldenSection,310,2.086002e-1
QQN-GoldenSection,359,2.065522e-1
QQN-GoldenSection,413,1.132489e-1
QQN-GoldenSection,462,4.995542e-3
QQN-GoldenSection,515,1.243473e-4
QQN-GoldenSection,565,1.135367e-6
QQN-GoldenSection,619,4.303216e-8
QQN-GoldenSection,672,4.092083e-8
QQN-GoldenSection,726,3.890761e-8
QQN-GoldenSection,779,3.698801e-8
QQN-GoldenSection,833,3.515787e-8
QQN-GoldenSection,886,3.341308e-8
QQN-GoldenSection,940,3.174985e-8
QQN-GoldenSection,993,3.016446e-8
QQN-GoldenSection,1047,2.865342e-8
QQN-GoldenSection,2,3.134892e0
QQN-GoldenSection,51,3.134892e0
QQN-GoldenSection,105,1.547231e0
QQN-GoldenSection,163,1.183195e0
QQN-GoldenSection,211,1.182617e0
QQN-GoldenSection,259,1.182319e0
QQN-GoldenSection,307,1.182317e0
QQN-GoldenSection,321,1.182317e0
QQN-GoldenSection,325,1.182317e0
QQN-GoldenSection,2,4.126039e0
QQN-GoldenSection,52,4.126039e0
QQN-GoldenSection,102,1.300436e0
QQN-GoldenSection,154,7.973618e-2
QQN-GoldenSection,203,5.150050e-2
QQN-GoldenSection,255,3.379262e-2
QQN-GoldenSection,304,2.270244e-2
QQN-GoldenSection,356,1.574646e-2
QQN-GoldenSection,405,1.123653e-2
QQN-GoldenSection,457,8.201254e-3
QQN-GoldenSection,506,6.101346e-3
QQN-GoldenSection,558,4.596278e-3
QQN-GoldenSection,606,3.496575e-3
QQN-GoldenSection,658,2.671625e-3
QQN-GoldenSection,706,2.044803e-3
QQN-GoldenSection,758,1.560726e-3
QQN-GoldenSection,806,1.183713e-3
QQN-GoldenSection,858,8.880498e-4
QQN-GoldenSection,906,6.548299e-4
QQN-GoldenSection,958,4.718494e-4
QQN-GoldenSection,1006,3.275150e-4
QQN-GoldenSection,2,4.676776e0
QQN-GoldenSection,52,4.676776e0
QQN-GoldenSection,106,1.669640e-1
QQN-GoldenSection,164,1.502420e-1
QQN-GoldenSection,212,1.395527e-1
QQN-GoldenSection,260,1.179023e-1
QQN-GoldenSection,308,1.099416e-1
QQN-GoldenSection,356,1.098737e-1
QQN-GoldenSection,404,1.098737e-1
QQN-GoldenSection,408,1.098737e-1
QQN-GoldenSection,2,3.366707e0
QQN-GoldenSection,53,3.366707e0
QQN-GoldenSection,108,3.139765e0
QQN-GoldenSection,166,2.814252e0
QQN-GoldenSection,214,2.769967e0
QQN-GoldenSection,262,2.753120e0
QQN-GoldenSection,310,2.752710e0
QQN-GoldenSection,358,2.752709e0
QQN-GoldenSection,372,2.752709e0
QQN-GoldenSection,376,2.752709e0
QQN-GoldenSection,2,3.176139e0
QQN-GoldenSection,54,3.176139e0
QQN-GoldenSection,105,2.254803e0
QQN-GoldenSection,156,1.014152e-1
QQN-GoldenSection,207,9.065369e-2
QQN-GoldenSection,258,8.053369e-2
QQN-GoldenSection,309,7.126350e-2
QQN-GoldenSection,360,6.289842e-2
QQN-GoldenSection,411,5.547016e-2
QQN-GoldenSection,462,4.892841e-2
QQN-GoldenSection,513,4.321794e-2
QQN-GoldenSection,564,3.824892e-2
QQN-GoldenSection,615,3.394060e-2
QQN-GoldenSection,666,3.020442e-2
QQN-GoldenSection,717,2.696846e-2
QQN-GoldenSection,768,2.415666e-2
QQN-GoldenSection,819,2.170918e-2
QQN-GoldenSection,870,1.957226e-2
QQN-GoldenSection,921,1.770139e-2
QQN-GoldenSection,972,1.605774e-2
QQN-GoldenSection,1023,1.460911e-2
QQN-GoldenSection,2,2.295420e0
QQN-GoldenSection,56,2.295420e0
QQN-GoldenSection,111,2.001899e0
QQN-GoldenSection,169,1.981617e0
QQN-GoldenSection,217,1.980937e0
QQN-GoldenSection,265,1.980921e0
QQN-GoldenSection,279,1.980921e0
QQN-GoldenSection,283,1.980921e0
QQN-GoldenSection,2,2.710146e0
QQN-GoldenSection,51,2.710146e0
QQN-GoldenSection,109,1.185201e0
QQN-GoldenSection,170,2.408554e-2
QQN-GoldenSection,228,1.776224e-2
QQN-GoldenSection,276,1.341872e-2
QQN-GoldenSection,324,8.356554e-3
QQN-GoldenSection,372,9.175971e-4
QQN-GoldenSection,420,1.202791e-4
QQN-GoldenSection,468,9.057354e-7
QQN-GoldenSection,516,1.274793e-10
QQN-GoldenSection,564,2.867118e-13
QQN-GoldenSection,568,1.194252e-15
QQN-GoldenSection,2,2.023630e0
QQN-GoldenSection,52,2.023630e0
QQN-GoldenSection,102,1.262105e0
QQN-GoldenSection,152,1.582800e-1
QQN-GoldenSection,206,8.849432e-5
QQN-GoldenSection,259,8.409728e-5
QQN-GoldenSection,313,7.989377e-5
QQN-GoldenSection,366,7.589274e-5
QQN-GoldenSection,420,7.208420e-5
QQN-GoldenSection,473,6.845915e-5
QQN-GoldenSection,527,6.500859e-5
QQN-GoldenSection,580,6.172436e-5
QQN-GoldenSection,634,5.859835e-5
QQN-GoldenSection,687,5.562317e-5
QQN-GoldenSection,741,5.279464e-5
QQN-GoldenSection,794,5.010604e-5
QQN-GoldenSection,848,4.755127e-5
QQN-GoldenSection,901,4.512399e-5
QQN-GoldenSection,955,4.281766e-5
QQN-GoldenSection,1008,4.062657e-5
QQN-GoldenSection,2,2.665853e0
QQN-GoldenSection,56,2.665853e0
QQN-GoldenSection,106,2.027229e0
QQN-GoldenSection,154,4.355307e-1
QQN-GoldenSection,203,2.848920e-1
QQN-GoldenSection,257,2.427054e-1
QQN-GoldenSection,311,1.975773e-1
QQN-GoldenSection,365,1.101348e-1
QQN-GoldenSection,419,1.099596e-1
QQN-GoldenSection,472,1.099055e-1
QQN-GoldenSection,526,1.098874e-1
QQN-GoldenSection,579,1.098791e-1
QQN-GoldenSection,633,1.098758e-1
QQN-GoldenSection,685,1.098745e-1
QQN-GoldenSection,739,1.098740e-1
QQN-GoldenSection,791,1.098738e-1
QQN-GoldenSection,845,1.098737e-1
QQN-GoldenSection,897,1.098737e-1
QQN-GoldenSection,951,1.098737e-1
QQN-GoldenSection,1003,1.098737e-1
QQN-GoldenSection,2,3.859606e0
QQN-GoldenSection,52,3.859606e0
QQN-GoldenSection,107,2.019747e-1
QQN-GoldenSection,165,1.775752e-1
QQN-GoldenSection,225,1.658273e-1
QQN-GoldenSection,286,1.467483e-1
QQN-GoldenSection,346,1.326933e-1
QQN-GoldenSection,407,1.235321e-1
QQN-GoldenSection,467,1.178381e-1
QQN-GoldenSection,515,1.144704e-1
QQN-GoldenSection,563,1.117865e-1
QQN-GoldenSection,611,1.098745e-1
QQN-GoldenSection,659,1.098737e-1
QQN-GoldenSection,707,1.098737e-1
QQN-GoldenSection,711,1.098737e-1
QQN-GoldenSection,2,2.241017e0
QQN-GoldenSection,51,2.241017e0
QQN-GoldenSection,104,1.571106e-1
QQN-GoldenSection,162,1.462384e-1
QQN-GoldenSection,223,1.308663e-1
QQN-GoldenSection,283,1.180602e-1
QQN-GoldenSection,344,1.053796e-1
QQN-GoldenSection,404,9.312794e-2
QQN-GoldenSection,465,8.175897e-2
QQN-GoldenSection,525,7.139761e-2
QQN-GoldenSection,586,6.220970e-2
QQN-GoldenSection,646,5.414563e-2
QQN-GoldenSection,707,4.717664e-2
QQN-GoldenSection,767,4.117725e-2
QQN-GoldenSection,815,3.604756e-2
QQN-GoldenSection,863,4.737248e-3
QQN-GoldenSection,911,1.124272e-3
QQN-GoldenSection,959,9.050821e-5
QQN-GoldenSection,1007,8.360632e-7
QQN-GoldenSection,2,2.937231e0
QQN-GoldenSection,55,2.937231e0
QQN-GoldenSection,110,2.004307e0
QQN-GoldenSection,168,1.981666e0
QQN-GoldenSection,216,1.980928e0
QQN-GoldenSection,264,1.980921e0
QQN-GoldenSection,278,1.980921e0
QQN-GoldenSection,282,1.980921e0
QQN-GoldenSection,2,4.307641e0
QQN-GoldenSection,53,4.307641e0
QQN-GoldenSection,108,1.849605e0
QQN-GoldenSection,166,1.762028e0
QQN-GoldenSection,214,1.759561e0
QQN-GoldenSection,262,1.757857e0
QQN-GoldenSection,310,1.757856e0
QQN-GoldenSection,324,1.757856e0
QQN-GoldenSection,328,1.757856e0
QQN-GoldenSection,2,3.186333e0
QQN-GoldenSection,53,3.186333e0
QQN-GoldenSection,108,9.473301e-1
QQN-GoldenSection,166,6.364360e-1
QQN-GoldenSection,214,6.330776e-1
QQN-GoldenSection,262,6.316425e-1
