Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,2.135276e0,3.294539e-1
QQN-GoldenSection,56,2.135276e0,3.294539e-1
QQN-GoldenSection,111,1.986859e0,2.981672e-1
QQN-GoldenSection,169,1.981115e0,2.969098e-1
QQN-GoldenSection,217,1.980923e0,2.968676e-1
QQN-GoldenSection,231,1.980921e0,2.968673e-1
QQN-GoldenSection,279,1.980921e0,2.968673e-1
QQN-GoldenSection,283,1.980921e0,2.968673e-1
QQN-GoldenSection,2,4.695065e0,6.716416e-1
QQN-GoldenSection,54,4.695065e0,6.716416e-1
QQN-GoldenSection,105,2.862965e0,4.568160e-1
QQN-GoldenSection,159,1.057636e-2,-1.975664e0
QQN-GoldenSection,217,9.735509e-3,-2.011641e0
QQN-GoldenSection,265,1.066306e-3,-2.972118e0
QQN-GoldenSection,313,1.546361e-4,-3.810689e0
QQN-GoldenSection,361,1.470098e-6,-5.832654e0
QQN-GoldenSection,409,2.525386e-10,-9.597672e0
QQN-GoldenSection,413,8.388212e-18,-1.500000e1
QQN-GoldenSection,2,4.853939e0,6.860943e-1
QQN-GoldenSection,52,4.853939e0,6.860943e-1
QQN-GoldenSection,106,3.236793e-1,-4.898850e-1
QQN-GoldenSection,164,3.164593e-1,-4.996822e-1
QQN-GoldenSection,212,3.106793e-1,-5.076877e-1
QQN-GoldenSection,260,2.893720e-1,-5.385435e-1
QQN-GoldenSection,308,2.888630e-1,-5.393081e-1
QQN-GoldenSection,356,2.887290e-1,-5.395096e-1
QQN-GoldenSection,404,2.887126e-1,-5.395343e-1
QQN-GoldenSection,452,2.887115e-1,-5.395359e-1
QQN-GoldenSection,500,2.887115e-1,-5.395359e-1
QQN-GoldenSection,514,2.887115e-1,-5.395359e-1
QQN-GoldenSection,518,2.887115e-1,-5.395359e-1
QQN-GoldenSection,2,3.584323e0,5.544072e-1
QQN-GoldenSection,52,3.584323e0,5.544072e-1
QQN-GoldenSection,106,1.758398e0,2.451171e-1
QQN-GoldenSection,164,1.436447e0,1.572896e-1
QQN-GoldenSection,212,1.435921e0,1.571305e-1
QQN-GoldenSection,260,1.426855e0,1.543798e-1
QQN-GoldenSection,308,1.426699e0,1.543322e-1
QQN-GoldenSection,356,1.426633e0,1.543122e-1
QQN-GoldenSection,370,1.426633e0,1.543122e-1
QQN-GoldenSection,384,1.426633e0,1.543122e-1
QQN-GoldenSection,388,1.426633e0,1.543122e-1
QQN-GoldenSection,2,4.284172e0,6.318669e-1
QQN-GoldenSection,53,4.284172e0,6.318669e-1
QQN-GoldenSection,107,2.475100e0,3.935928e-1
QQN-GoldenSection,162,2.036958e0,3.089822e-1
QQN-GoldenSection,217,1.954613e0,2.910607e-1
QQN-GoldenSection,275,1.951850e0,2.904465e-1
QQN-GoldenSection,323,1.951777e0,2.904302e-1
QQN-GoldenSection,371,1.951775e0,2.904297e-1
QQN-GoldenSection,375,1.951775e0,2.904297e-1
QQN-GoldenSection,2,4.824292e0,6.834336e-1
QQN-GoldenSection,52,4.824292e0,6.834336e-1
QQN-GoldenSection,102,2.013773e0,3.040106e-1
QQN-GoldenSection,153,2.119342e-1,-6.737990e-1
QQN-GoldenSection,206,2.110893e-1,-6.755339e-1
QQN-GoldenSection,257,2.100390e-1,-6.777000e-1
QQN-GoldenSection,310,2.086002e-1,-6.806853e-1
QQN-GoldenSection,359,2.065522e-1,-6.849702e-1
QQN-GoldenSection,413,1.132489e-1,-9.459659e-1
QQN-GoldenSection,462,4.995542e-3,-2.301417e0
QQN-GoldenSection,515,1.243473e-4,-3.905364e0
QQN-GoldenSection,565,1.135367e-6,-5.944864e0
QQN-GoldenSection,619,4.303216e-8,-7.366207e0
QQN-GoldenSection,672,4.092083e-8,-7.388056e0
QQN-GoldenSection,726,3.890761e-8,-7.409965e0
QQN-GoldenSection,779,3.698801e-8,-7.431939e0
QQN-GoldenSection,833,3.515787e-8,-7.453978e0
QQN-GoldenSection,886,3.341308e-8,-7.476084e0
QQN-GoldenSection,940,3.174985e-8,-7.498258e0
QQN-GoldenSection,993,3.016446e-8,-7.520504e0
QQN-GoldenSection,1047,2.865342e-8,-7.542824e0
QQN-GoldenSection,2,3.134892e0,4.962226e-1
QQN-GoldenSection,51,3.134892e0,4.962226e-1
QQN-GoldenSection,105,1.547231e0,1.895551e-1
QQN-GoldenSection,163,1.183195e0,7.305624e-2
QQN-GoldenSection,211,1.182617e0,7.284428e-2
QQN-GoldenSection,259,1.182319e0,7.273460e-2
QQN-GoldenSection,307,1.182317e0,7.273410e-2
QQN-GoldenSection,321,1.182317e0,7.273376e-2
QQN-GoldenSection,325,1.182317e0,7.273376e-2
QQN-GoldenSection,2,4.126039e0,6.155333e-1
QQN-GoldenSection,52,4.126039e0,6.155333e-1
QQN-GoldenSection,102,1.300436e0,1.140891e-1
QQN-GoldenSection,154,7.973618e-2,-1.098345e0
QQN-GoldenSection,203,5.150050e-2,-1.288189e0
QQN-GoldenSection,255,3.379262e-2,-1.471178e0
QQN-GoldenSection,304,2.270244e-2,-1.643928e0
QQN-GoldenSection,356,1.574646e-2,-1.802817e0
QQN-GoldenSection,405,1.123653e-2,-1.949368e0
QQN-GoldenSection,457,8.201254e-3,-2.086120e0
QQN-GoldenSection,506,6.101346e-3,-2.214574e0
QQN-GoldenSection,558,4.596278e-3,-2.337594e0
QQN-GoldenSection,606,3.496575e-3,-2.456357e0
QQN-GoldenSection,658,2.671625e-3,-2.573225e0
QQN-GoldenSection,706,2.044803e-3,-2.689349e0
QQN-GoldenSection,758,1.560726e-3,-2.806673e0
QQN-GoldenSection,806,1.183713e-3,-2.926754e0
QQN-GoldenSection,858,8.880498e-4,-3.051563e0
QQN-GoldenSection,906,6.548299e-4,-3.183871e0
QQN-GoldenSection,958,4.718494e-4,-3.326197e0
QQN-GoldenSection,1006,3.275150e-4,-3.484769e0
QQN-GoldenSection,2,4.676776e0,6.699466e-1
QQN-GoldenSection,52,4.676776e0,6.699466e-1
QQN-GoldenSection,106,1.669640e-1,-7.773772e-1
QQN-GoldenSection,164,1.502420e-1,-8.232086e-1
QQN-GoldenSection,212,1.395527e-1,-8.552618e-1
QQN-GoldenSection,260,1.179023e-1,-9.284777e-1
QQN-GoldenSection,308,1.099416e-1,-9.588379e-1
QQN-GoldenSection,356,1.098737e-1,-9.591064e-1
QQN-GoldenSection,404,1.098737e-1,-9.591064e-1
QQN-GoldenSection,408,1.098737e-1,-9.591064e-1
QQN-GoldenSection,2,3.366707e0,5.272053e-1
QQN-GoldenSection,53,3.366707e0,5.272053e-1
QQN-GoldenSection,108,3.139765e0,4.968972e-1
QQN-GoldenSection,166,2.814252e0,4.493630e-1
QQN-GoldenSection,214,2.769967e0,4.424747e-1
QQN-GoldenSection,262,2.753120e0,4.398251e-1
QQN-GoldenSection,310,2.752710e0,4.397605e-1
QQN-GoldenSection,358,2.752709e0,4.397603e-1
QQN-GoldenSection,372,2.752709e0,4.397603e-1
QQN-GoldenSection,376,2.752709e0,4.397603e-1
QQN-GoldenSection,2,3.176139e0,5.018996e-1
QQN-GoldenSection,54,3.176139e0,5.018996e-1
QQN-GoldenSection,105,2.254803e0,3.531086e-1
QQN-GoldenSection,156,1.014152e-1,-9.938971e-1
QQN-GoldenSection,207,9.065369e-2,-1.042615e0
QQN-GoldenSection,258,8.053369e-2,-1.094022e0
QQN-GoldenSection,309,7.126350e-2,-1.147133e0
QQN-GoldenSection,360,6.289842e-2,-1.201360e0
QQN-GoldenSection,411,5.547016e-2,-1.255941e0
QQN-GoldenSection,462,4.892841e-2,-1.310439e0
QQN-GoldenSection,513,4.321794e-2,-1.364336e0
QQN-GoldenSection,564,3.824892e-2,-1.417381e0
QQN-GoldenSection,615,3.394060e-2,-1.469280e0
QQN-GoldenSection,666,3.020442e-2,-1.519929e0
QQN-GoldenSection,717,2.696846e-2,-1.569144e0
QQN-GoldenSection,768,2.415666e-2,-1.616963e0
QQN-GoldenSection,819,2.170918e-2,-1.663357e0
QQN-GoldenSection,870,1.957226e-2,-1.708359e0
QQN-GoldenSection,921,1.770139e-2,-1.751993e0
QQN-GoldenSection,972,1.605774e-2,-1.794316e0
QQN-GoldenSection,1023,1.460911e-2,-1.835376e0
QQN-GoldenSection,2,2.295420e0,3.608621e-1
QQN-GoldenSection,56,2.295420e0,3.608621e-1
QQN-GoldenSection,111,2.001899e0,3.014423e-1
QQN-GoldenSection,169,1.981617e0,2.970196e-1
QQN-GoldenSection,217,1.980937e0,2.968708e-1
QQN-GoldenSection,265,1.980921e0,2.968673e-1
QQN-GoldenSection,279,1.980921e0,2.968673e-1
QQN-GoldenSection,283,1.980921e0,2.968673e-1
QQN-GoldenSection,2,2.710146e0,4.329926e-1
QQN-GoldenSection,51,2.710146e0,4.329926e-1
QQN-GoldenSection,109,1.185201e0,7.379214e-2
QQN-GoldenSection,170,2.408554e-2,-1.618244e0
QQN-GoldenSection,228,1.776224e-2,-1.750502e0
QQN-GoldenSection,276,1.341872e-2,-1.872289e0
QQN-GoldenSection,324,8.356554e-3,-2.077973e0
QQN-GoldenSection,372,9.175971e-4,-3.037348e0
QQN-GoldenSection,420,1.202791e-4,-3.919810e0
QQN-GoldenSection,468,9.057354e-7,-6.042999e0
QQN-GoldenSection,516,1.274793e-10,-9.894560e0
QQN-GoldenSection,564,2.867118e-13,-1.254255e1
QQN-GoldenSection,568,1.194252e-15,-1.492290e1
QQN-GoldenSection,2,2.023630e0,3.061312e-1
QQN-GoldenSection,52,2.023630e0,3.061312e-1
QQN-GoldenSection,102,1.262105e0,1.010956e-1
QQN-GoldenSection,152,1.582800e-1,-8.005741e-1
QQN-GoldenSection,206,8.849432e-5,-4.053085e0
QQN-GoldenSection,259,8.409728e-5,-4.075218e0
QQN-GoldenSection,313,7.989377e-5,-4.097487e0
QQN-GoldenSection,366,7.589274e-5,-4.119800e0
QQN-GoldenSection,420,7.208420e-5,-4.142160e0
QQN-GoldenSection,473,6.845915e-5,-4.164569e0
QQN-GoldenSection,527,6.500859e-5,-4.187029e0
QQN-GoldenSection,580,6.172436e-5,-4.209543e0
QQN-GoldenSection,634,5.859835e-5,-4.232115e0
QQN-GoldenSection,687,5.562317e-5,-4.254744e0
QQN-GoldenSection,741,5.279464e-5,-4.277410e0
QQN-GoldenSection,794,5.010604e-5,-4.300110e0
QQN-GoldenSection,848,4.755127e-5,-4.322838e0
QQN-GoldenSection,901,4.512399e-5,-4.345593e0
QQN-GoldenSection,955,4.281766e-5,-4.368377e0
