Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.106222e0
QQN-GoldenSection,49,3.106222e0
QQN-GoldenSection,107,1.891318e-1
QQN-GoldenSection,155,9.738448e-2
QQN-GoldenSection,203,4.628380e-2
QQN-GoldenSection,251,1.961938e-2
QQN-GoldenSection,299,3.860665e-3
QQN-GoldenSection,347,5.720377e-4
QQN-GoldenSection,395,3.876201e-5
QQN-GoldenSection,443,1.603013e-7
QQN-GoldenSection,491,9.536416e-8
QQN-GoldenSection,539,3.163489e-11
QQN-GoldenSection,587,4.720801e-13
QQN-GoldenSection,591,8.879954e-18
QQN-GoldenSection,2,3.178358e0
QQN-GoldenSection,49,3.178358e0
QQN-GoldenSection,107,3.032207e-1
QQN-GoldenSection,155,1.282394e-1
QQN-GoldenSection,203,4.699573e-2
QQN-GoldenSection,251,3.079852e-2
QQN-GoldenSection,299,4.672685e-3
QQN-GoldenSection,347,2.387838e-3
QQN-GoldenSection,395,1.821566e-4
QQN-GoldenSection,443,2.694395e-5
QQN-GoldenSection,491,1.162535e-6
QQN-GoldenSection,539,1.787330e-7
QQN-GoldenSection,587,1.158003e-7
QQN-GoldenSection,635,2.436906e-12
QQN-GoldenSection,639,1.047778e-14
QQN-GoldenSection,2,2.893051e0
QQN-GoldenSection,49,2.893051e0
QQN-GoldenSection,107,2.993842e-1
QQN-GoldenSection,155,1.039480e-1
QQN-GoldenSection,203,2.628421e-2
QQN-GoldenSection,251,1.857333e-2
QQN-GoldenSection,299,4.723726e-3
QQN-GoldenSection,347,1.002972e-3
QQN-GoldenSection,395,2.448912e-4
QQN-GoldenSection,443,2.964815e-6
QQN-GoldenSection,491,9.339814e-8
QQN-GoldenSection,539,2.517598e-9
QQN-GoldenSection,587,1.899225e-10
QQN-GoldenSection,635,3.089566e-12
QQN-GoldenSection,639,2.789017e-14
QQN-GoldenSection,2,2.831514e0
QQN-GoldenSection,49,2.831514e0
QQN-GoldenSection,107,3.804365e-1
QQN-GoldenSection,155,1.198439e-1
QQN-GoldenSection,203,3.682459e-2
QQN-GoldenSection,251,2.481781e-2
QQN-GoldenSection,299,4.660821e-3
QQN-GoldenSection,347,1.063406e-3
QQN-GoldenSection,395,1.234785e-4
QQN-GoldenSection,443,2.342560e-6
QQN-GoldenSection,491,3.337845e-8
QQN-GoldenSection,539,1.179546e-10
QQN-GoldenSection,587,1.049434e-12
QQN-GoldenSection,591,2.774579e-15
QQN-GoldenSection,2,3.152908e0
QQN-GoldenSection,49,3.152908e0
QQN-GoldenSection,107,2.455558e-1
QQN-GoldenSection,155,1.229062e-1
QQN-GoldenSection,203,5.472029e-2
QQN-GoldenSection,251,3.068428e-2
QQN-GoldenSection,299,4.191313e-3
QQN-GoldenSection,347,1.298846e-3
QQN-GoldenSection,395,9.079951e-5
QQN-GoldenSection,443,6.947051e-6
QQN-GoldenSection,491,1.348043e-8
QQN-GoldenSection,539,1.369396e-10
QQN-GoldenSection,587,7.390805e-13
QQN-GoldenSection,591,4.887683e-16
QQN-GoldenSection,2,3.589021e0
QQN-GoldenSection,49,3.589021e0
QQN-GoldenSection,107,2.750804e-1
QQN-GoldenSection,155,1.123318e-1
QQN-GoldenSection,203,3.638478e-2
QQN-GoldenSection,251,2.492534e-2
QQN-GoldenSection,299,2.882660e-3
QQN-GoldenSection,347,1.597140e-3
QQN-GoldenSection,395,1.045525e-4
QQN-GoldenSection,443,4.368744e-6
QQN-GoldenSection,498,2.338108e-7
QQN-GoldenSection,557,2.188002e-9
QQN-GoldenSection,605,4.115774e-12
QQN-GoldenSection,609,8.688103e-15
QQN-GoldenSection,2,3.743757e0
QQN-GoldenSection,49,3.743757e0
QQN-GoldenSection,107,3.283835e-1
QQN-GoldenSection,155,1.306880e-1
QQN-GoldenSection,203,4.826813e-2
QQN-GoldenSection,251,3.153176e-2
QQN-GoldenSection,299,2.576161e-3
QQN-GoldenSection,347,6.291940e-4
QQN-GoldenSection,395,4.026029e-4
QQN-GoldenSection,443,3.792342e-7
QQN-GoldenSection,491,5.900319e-9
QQN-GoldenSection,539,4.733211e-11
QQN-GoldenSection,543,1.599851e-13
QQN-GoldenSection,2,3.353420e0
QQN-GoldenSection,49,3.353420e0
QQN-GoldenSection,107,1.914362e-1
QQN-GoldenSection,155,9.894481e-2
QQN-GoldenSection,203,4.968142e-2
QQN-GoldenSection,251,1.659541e-2
QQN-GoldenSection,299,2.470888e-3
QQN-GoldenSection,347,4.608604e-4
QQN-GoldenSection,403,2.625637e-5
QQN-GoldenSection,462,5.883878e-6
QQN-GoldenSection,510,8.271136e-9
QQN-GoldenSection,558,9.822729e-12
QQN-GoldenSection,613,3.994532e-12
QQN-GoldenSection,661,3.784363e-13
QQN-GoldenSection,665,8.154534e-15
QQN-GoldenSection,2,3.611118e0
QQN-GoldenSection,49,3.611118e0
QQN-GoldenSection,107,2.632772e-1
QQN-GoldenSection,155,1.121506e-1
QQN-GoldenSection,203,3.789917e-2
QQN-GoldenSection,251,2.554678e-2
QQN-GoldenSection,299,4.432586e-3
QQN-GoldenSection,347,2.100456e-3
QQN-GoldenSection,395,1.509524e-4
QQN-GoldenSection,443,1.928101e-5
QQN-GoldenSection,491,7.473115e-7
QQN-GoldenSection,539,2.641092e-7
QQN-GoldenSection,587,4.350453e-8
QQN-GoldenSection,591,1.371224e-13
QQN-GoldenSection,2,3.617233e0
QQN-GoldenSection,49,3.617233e0
QQN-GoldenSection,107,2.964226e-1
QQN-GoldenSection,155,1.251676e-1
QQN-GoldenSection,203,4.526698e-2
QQN-GoldenSection,251,2.981473e-2
QQN-GoldenSection,299,3.583706e-3
QQN-GoldenSection,347,2.220494e-3
QQN-GoldenSection,395,1.836729e-4
QQN-GoldenSection,443,1.851332e-5
QQN-GoldenSection,499,5.845367e-7
QQN-GoldenSection,558,2.568498e-7
QQN-GoldenSection,606,1.406063e-10
QQN-GoldenSection,610,5.125115e-14
QQN-GoldenSection,2,3.060060e0
QQN-GoldenSection,49,3.060060e0
QQN-GoldenSection,107,2.945067e-1
QQN-GoldenSection,155,1.195049e-1
QQN-GoldenSection,203,4.013043e-2
QQN-GoldenSection,251,2.713247e-2
QQN-GoldenSection,299,3.783527e-3
QQN-GoldenSection,347,2.356044e-3
QQN-GoldenSection,395,1.811732e-4
QQN-GoldenSection,443,2.061955e-5
QQN-GoldenSection,491,6.765615e-7
QQN-GoldenSection,546,3.936683e-8
QQN-GoldenSection,605,3.152500e-10
QQN-GoldenSection,609,2.387662e-13
QQN-GoldenSection,2,3.603988e0
QQN-GoldenSection,49,3.603988e0
QQN-GoldenSection,107,3.125786e-1
QQN-GoldenSection,155,1.388758e-1
QQN-GoldenSection,203,6.072735e-2
QQN-GoldenSection,251,3.684724e-2
QQN-GoldenSection,299,3.836238e-3
QQN-GoldenSection,347,1.214111e-3
QQN-GoldenSection,395,1.028118e-4
QQN-GoldenSection,443,6.578188e-6
QQN-GoldenSection,491,1.616583e-7
QQN-GoldenSection,539,6.548004e-9
QQN-GoldenSection,587,2.713512e-12
QQN-GoldenSection,591,3.313545e-15
QQN-GoldenSection,2,2.858926e0
QQN-GoldenSection,49,2.858926e0
QQN-GoldenSection,107,2.626264e-1
QQN-GoldenSection,155,1.003480e-1
QQN-GoldenSection,203,2.549615e-2
QQN-GoldenSection,251,1.838726e-2
QQN-GoldenSection,299,3.032684e-3
QQN-GoldenSection,347,7.285161e-4
QQN-GoldenSection,395,2.246495e-4
QQN-GoldenSection,443,1.315497e-6
QQN-GoldenSection,491,3.428746e-8
QQN-GoldenSection,539,2.603715e-11
QQN-GoldenSection,543,3.092082e-13
QQN-GoldenSection,2,3.301682e0
QQN-GoldenSection,49,3.301682e0
QQN-GoldenSection,107,3.932365e-1
QQN-GoldenSection,155,1.373021e-1
QQN-GoldenSection,203,4.689458e-2
QQN-GoldenSection,251,3.110791e-2
QQN-GoldenSection,299,2.652103e-3
QQN-GoldenSection,347,7.166371e-4
QQN-GoldenSection,395,2.318506e-4
QQN-GoldenSection,443,8.048829e-7
QQN-GoldenSection,491,1.008584e-8
QQN-GoldenSection,539,2.323250e-11
QQN-GoldenSection,543,9.817950e-14
QQN-GoldenSection,2,2.595125e0
QQN-GoldenSection,49,2.595125e0
QQN-GoldenSection,107,2.104414e-1
QQN-GoldenSection,155,8.818478e-2
QQN-GoldenSection,203,2.277269e-2
QQN-GoldenSection,251,1.672768e-2
QQN-GoldenSection,299,2.184990e-3
QQN-GoldenSection,347,8.510850e-4
QQN-GoldenSection,395,2.507315e-5
QQN-GoldenSection,443,1.220079e-6
QQN-GoldenSection,491,3.536751e-9
QQN-GoldenSection,539,3.491850e-11
QQN-GoldenSection,543,5.149201e-16
QQN-GoldenSection,2,2.937275e0
QQN-GoldenSection,49,2.937275e0
QQN-GoldenSection,107,3.517386e-1
QQN-GoldenSection,155,1.028534e-1
QQN-GoldenSection,203,2.322793e-2
QQN-GoldenSection,251,1.516975e-2
QQN-GoldenSection,299,7.104418e-3
QQN-GoldenSection,347,3.016762e-3
QQN-GoldenSection,395,4.330398e-4
QQN-GoldenSection,443,5.975225e-5
QQN-GoldenSection,491,1.676997e-6
QQN-GoldenSection,539,1.342335e-8
QQN-GoldenSection,587,5.495941e-11
QQN-GoldenSection,591,1.681835e-13
QQN-GoldenSection,2,4.028430e0
QQN-GoldenSection,49,4.028430e0
QQN-GoldenSection,107,3.121951e-1
QQN-GoldenSection,155,1.015496e-1
QQN-GoldenSection,203,2.331022e-2
QQN-GoldenSection,251,1.619174e-2
QQN-GoldenSection,299,6.210579e-3
QQN-GoldenSection,347,1.870312e-3
QQN-GoldenSection,395,1.959917e-4
QQN-GoldenSection,443,1.500514e-5
QQN-GoldenSection,491,5.403093e-7
QQN-GoldenSection,539,3.484937e-9
QQN-GoldenSection,587,2.512171e-11
QQN-GoldenSection,635,8.588352e-13
QQN-GoldenSection,639,1.005886e-14
QQN-GoldenSection,2,3.138823e0
QQN-GoldenSection,49,3.138823e0
QQN-GoldenSection,107,1.585417e-1
QQN-GoldenSection,155,7.559547e-2
QQN-GoldenSection,203,3.373820e-2
QQN-GoldenSection,251,1.609468e-2
QQN-GoldenSection,299,3.207719e-3
QQN-GoldenSection,347,4.508213e-4
QQN-GoldenSection,395,2.759321e-5
QQN-GoldenSection,443,2.363406e-7
QQN-GoldenSection,491,1.700882e-8
QQN-GoldenSection,539,2.582512e-11
QQN-GoldenSection,587,3.113892e-13
QQN-GoldenSection,591,5.771410e-18
QQN-GoldenSection,2,3.650157e0
QQN-GoldenSection,49,3.650157e0
QQN-GoldenSection,107,1.513617e-1
QQN-GoldenSection,155,6.578866e-2
QQN-GoldenSection,203,1.757357e-2
QQN-GoldenSection,251,1.320454e-2
QQN-GoldenSection,306,1.715770e-3
QQN-GoldenSection,365,8.075455e-4
QQN-GoldenSection,413,1.321172e-4
