Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,3.106222e0,4.922325e-1
QQN-GoldenSection,49,3.106222e0,4.922325e-1
QQN-GoldenSection,107,1.891318e-1,-7.232354e-1
QQN-GoldenSection,155,9.738448e-2,-1.011510e0
QQN-GoldenSection,203,4.628380e-2,-1.334571e0
QQN-GoldenSection,251,1.961938e-2,-1.707315e0
QQN-GoldenSection,299,3.860665e-3,-2.413338e0
QQN-GoldenSection,347,5.720377e-4,-3.242575e0
QQN-GoldenSection,395,3.876201e-5,-4.411594e0
QQN-GoldenSection,443,1.603013e-7,-6.795063e0
QQN-GoldenSection,491,9.536416e-8,-7.020615e0
QQN-GoldenSection,539,3.163489e-11,-1.049983e1
QQN-GoldenSection,587,4.720801e-13,-1.232598e1
QQN-GoldenSection,591,8.879954e-18,-1.500000e1
QQN-GoldenSection,2,3.178358e0,5.022028e-1
QQN-GoldenSection,49,3.178358e0,5.022028e-1
QQN-GoldenSection,107,3.032207e-1,-5.182412e-1
QQN-GoldenSection,155,1.282394e-1,-8.919785e-1
QQN-GoldenSection,203,4.699573e-2,-1.327942e0
QQN-GoldenSection,251,3.079852e-2,-1.511470e0
QQN-GoldenSection,299,4.672685e-3,-2.330434e0
QQN-GoldenSection,347,2.387838e-3,-2.621995e0
QQN-GoldenSection,395,1.821566e-4,-3.739555e0
QQN-GoldenSection,443,2.694395e-5,-4.569539e0
QQN-GoldenSection,491,1.162535e-6,-5.934594e0
QQN-GoldenSection,539,1.787330e-7,-6.747795e0
QQN-GoldenSection,587,1.158003e-7,-6.936290e0
QQN-GoldenSection,635,2.436906e-12,-1.161316e1
QQN-GoldenSection,639,1.047778e-14,-1.397973e1
QQN-GoldenSection,2,2.893051e0,4.613561e-1
QQN-GoldenSection,49,2.893051e0,4.613561e-1
QQN-GoldenSection,107,2.993842e-1,-5.237711e-1
QQN-GoldenSection,155,1.039480e-1,-9.831837e-1
QQN-GoldenSection,203,2.628421e-2,-1.580305e0
QQN-GoldenSection,251,1.857333e-2,-1.731110e0
QQN-GoldenSection,299,4.723726e-3,-2.325715e0
QQN-GoldenSection,347,1.002972e-3,-2.998711e0
QQN-GoldenSection,395,2.448912e-4,-3.611027e0
QQN-GoldenSection,443,2.964815e-6,-5.528002e0
QQN-GoldenSection,491,9.339814e-8,-7.029662e0
QQN-GoldenSection,539,2.517598e-9,-8.599014e0
QQN-GoldenSection,587,1.899225e-10,-9.721424e0
QQN-GoldenSection,635,3.089566e-12,-1.151010e1
QQN-GoldenSection,639,2.789017e-14,-1.355455e1
QQN-GoldenSection,2,2.831514e0,4.520187e-1
QQN-GoldenSection,49,2.831514e0,4.520187e-1
QQN-GoldenSection,107,3.804365e-1,-4.197178e-1
QQN-GoldenSection,155,1.198439e-1,-9.213840e-1
QQN-GoldenSection,203,3.682459e-2,-1.433862e0
QQN-GoldenSection,251,2.481781e-2,-1.605237e0
QQN-GoldenSection,299,4.660821e-3,-2.331538e0
QQN-GoldenSection,347,1.063406e-3,-2.973301e0
QQN-GoldenSection,395,1.234785e-4,-3.908409e0
QQN-GoldenSection,443,2.342560e-6,-5.630309e0
QQN-GoldenSection,491,3.337845e-8,-7.476534e0
QQN-GoldenSection,539,1.179546e-10,-9.928285e0
QQN-GoldenSection,587,1.049434e-12,-1.197905e1
QQN-GoldenSection,591,2.774579e-15,-1.455680e1
QQN-GoldenSection,2,3.152908e0,4.987113e-1
QQN-GoldenSection,49,3.152908e0,4.987113e-1
QQN-GoldenSection,107,2.455558e-1,-6.098498e-1
QQN-GoldenSection,155,1.229062e-1,-9.104262e-1
QQN-GoldenSection,203,5.472029e-2,-1.261852e0
QQN-GoldenSection,251,3.068428e-2,-1.513084e0
QQN-GoldenSection,299,4.191313e-3,-2.377650e0
QQN-GoldenSection,347,1.298846e-3,-2.886442e0
QQN-GoldenSection,395,9.079951e-5,-4.041916e0
QQN-GoldenSection,443,6.947051e-6,-5.158199e0
QQN-GoldenSection,491,1.348043e-8,-7.870296e0
QQN-GoldenSection,539,1.369396e-10,-9.863471e0
QQN-GoldenSection,587,7.390805e-13,-1.213131e1
QQN-GoldenSection,591,4.887683e-16,-1.500000e1
QQN-GoldenSection,2,3.589021e0,5.549761e-1
QQN-GoldenSection,49,3.589021e0,5.549761e-1
QQN-GoldenSection,107,2.750804e-1,-5.605404e-1
QQN-GoldenSection,155,1.123318e-1,-9.494973e-1
QQN-GoldenSection,203,3.638478e-2,-1.439080e0
QQN-GoldenSection,251,2.492534e-2,-1.603359e0
QQN-GoldenSection,299,2.882660e-3,-2.540207e0
QQN-GoldenSection,347,1.597140e-3,-2.796657e0
QQN-GoldenSection,395,1.045525e-4,-3.980665e0
QQN-GoldenSection,443,4.368744e-6,-5.359643e0
QQN-GoldenSection,498,2.338108e-7,-6.631136e0
QQN-GoldenSection,557,2.188002e-9,-8.659952e0
QQN-GoldenSection,605,4.115774e-12,-1.138555e1
QQN-GoldenSection,609,8.688103e-15,-1.406108e1
QQN-GoldenSection,2,3.743757e0,5.733077e-1
QQN-GoldenSection,49,3.743757e0,5.733077e-1
QQN-GoldenSection,107,3.283835e-1,-4.836187e-1
QQN-GoldenSection,155,1.306880e-1,-8.837644e-1
QQN-GoldenSection,203,4.826813e-2,-1.316340e0
QQN-GoldenSection,251,3.153176e-2,-1.501252e0
QQN-GoldenSection,299,2.576161e-3,-2.589027e0
QQN-GoldenSection,347,6.291940e-4,-3.201215e0
QQN-GoldenSection,395,4.026029e-4,-3.395123e0
QQN-GoldenSection,443,3.792342e-7,-6.421093e0
QQN-GoldenSection,491,5.900319e-9,-8.229125e0
QQN-GoldenSection,539,4.733211e-11,-1.032484e1
QQN-GoldenSection,543,1.599851e-13,-1.279592e1
QQN-GoldenSection,2,3.353420e0,5.254880e-1
QQN-GoldenSection,49,3.353420e0,5.254880e-1
QQN-GoldenSection,107,1.914362e-1,-7.179760e-1
QQN-GoldenSection,155,9.894481e-2,-1.004607e0
QQN-GoldenSection,203,4.968142e-2,-1.303806e0
QQN-GoldenSection,251,1.659541e-2,-1.780012e0
QQN-GoldenSection,299,2.470888e-3,-2.607147e0
QQN-GoldenSection,347,4.608604e-4,-3.336431e0
QQN-GoldenSection,403,2.625637e-5,-4.580765e0
QQN-GoldenSection,462,5.883878e-6,-5.230336e0
QQN-GoldenSection,510,8.271136e-9,-8.082435e0
QQN-GoldenSection,558,9.822729e-12,-1.100777e1
QQN-GoldenSection,613,3.994532e-12,-1.139853e1
QQN-GoldenSection,661,3.784363e-13,-1.242201e1
QQN-GoldenSection,665,8.154534e-15,-1.408860e1
QQN-GoldenSection,2,3.611118e0,5.576417e-1
QQN-GoldenSection,49,3.611118e0,5.576417e-1
QQN-GoldenSection,107,2.632772e-1,-5.795867e-1
QQN-GoldenSection,155,1.121506e-1,-9.501983e-1
QQN-GoldenSection,203,3.789917e-2,-1.421370e0
QQN-GoldenSection,251,2.554678e-2,-1.592664e0
QQN-GoldenSection,299,4.432586e-3,-2.353343e0
QQN-GoldenSection,347,2.100456e-3,-2.677686e0
QQN-GoldenSection,395,1.509524e-4,-3.821160e0
QQN-GoldenSection,443,1.928101e-5,-4.714870e0
QQN-GoldenSection,491,7.473115e-7,-6.126498e0
QQN-GoldenSection,539,2.641092e-7,-6.578217e0
QQN-GoldenSection,587,4.350453e-8,-7.361465e0
QQN-GoldenSection,591,1.371224e-13,-1.286289e1
QQN-GoldenSection,2,3.617233e0,5.583764e-1
QQN-GoldenSection,49,3.617233e0,5.583764e-1
QQN-GoldenSection,107,2.964226e-1,-5.280887e-1
QQN-GoldenSection,155,1.251676e-1,-9.025081e-1
QQN-GoldenSection,203,4.526698e-2,-1.344218e0
QQN-GoldenSection,251,2.981473e-2,-1.525569e0
QQN-GoldenSection,299,3.583706e-3,-2.445668e0
QQN-GoldenSection,347,2.220494e-3,-2.653550e0
QQN-GoldenSection,395,1.836729e-4,-3.735955e0
QQN-GoldenSection,443,1.851332e-5,-4.732516e0
QQN-GoldenSection,499,5.845367e-7,-6.233188e0
QQN-GoldenSection,558,2.568498e-7,-6.590321e0
