Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.778835e1
QQN-GoldenSection,50,1.778835e1
QQN-GoldenSection,99,4.210033e-1
QQN-GoldenSection,148,8.595097e-2
QQN-GoldenSection,196,7.180969e-2
QQN-GoldenSection,253,7.154908e-2
QQN-GoldenSection,301,7.154667e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,397,7.154664e-2
QQN-GoldenSection,401,7.154664e-2
QQN-GoldenSection,2,1.838111e1
QQN-GoldenSection,50,1.838111e1
QQN-GoldenSection,99,4.790894e-1
QQN-GoldenSection,148,8.854814e-2
QQN-GoldenSection,196,7.182647e-2
QQN-GoldenSection,252,7.154951e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,396,7.154664e-2
QQN-GoldenSection,400,7.154664e-2
QQN-GoldenSection,2,1.659723e1
QQN-GoldenSection,50,1.659723e1
QQN-GoldenSection,99,4.534306e-1
QQN-GoldenSection,148,8.943105e-2
QQN-GoldenSection,196,7.186373e-2
QQN-GoldenSection,252,7.155126e-2
QQN-GoldenSection,300,7.154668e-2
QQN-GoldenSection,348,7.154665e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.603917e1
QQN-GoldenSection,50,1.603917e1
QQN-GoldenSection,99,4.435458e-1
QQN-GoldenSection,148,8.823221e-2
QQN-GoldenSection,196,7.181866e-2
QQN-GoldenSection,252,7.155045e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,376,7.154664e-2
QQN-GoldenSection,380,7.154664e-2
QQN-GoldenSection,2,1.740406e1
QQN-GoldenSection,50,1.740406e1
QQN-GoldenSection,99,4.123408e-1
QQN-GoldenSection,148,8.543972e-2
QQN-GoldenSection,196,7.178603e-2
QQN-GoldenSection,253,7.154846e-2
QQN-GoldenSection,301,7.154667e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,397,7.154664e-2
QQN-GoldenSection,401,7.154664e-2
QQN-GoldenSection,2,1.865091e1
QQN-GoldenSection,50,1.865091e1
QQN-GoldenSection,99,4.598578e-1
QQN-GoldenSection,148,8.885871e-2
QQN-GoldenSection,196,7.194009e-2
QQN-GoldenSection,253,7.155162e-2
QQN-GoldenSection,301,7.154666e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,353,7.154664e-2
QQN-GoldenSection,2,1.808213e1
QQN-GoldenSection,50,1.808213e1
QQN-GoldenSection,99,4.688817e-1
QQN-GoldenSection,148,8.862745e-2
QQN-GoldenSection,196,7.181301e-2
QQN-GoldenSection,253,7.154882e-2
QQN-GoldenSection,301,7.154667e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,363,7.154664e-2
QQN-GoldenSection,367,7.154664e-2
QQN-GoldenSection,2,1.796691e1
QQN-GoldenSection,50,1.796691e1
QQN-GoldenSection,99,4.951345e-1
QQN-GoldenSection,148,9.104012e-2
QQN-GoldenSection,196,7.188680e-2
QQN-GoldenSection,252,7.155175e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.650343e1
QQN-GoldenSection,50,1.650343e1
QQN-GoldenSection,99,4.146956e-1
QQN-GoldenSection,148,8.579296e-2
QQN-GoldenSection,196,7.177199e-2
QQN-GoldenSection,252,7.154844e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,376,7.154664e-2
QQN-GoldenSection,380,7.154664e-2
QQN-GoldenSection,2,1.777657e1
QQN-GoldenSection,50,1.777657e1
QQN-GoldenSection,99,4.495427e-1
QQN-GoldenSection,148,8.774661e-2
QQN-GoldenSection,196,7.178147e-2
QQN-GoldenSection,252,7.154889e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,366,7.154664e-2
QQN-GoldenSection,2,1.779104e1
QQN-GoldenSection,50,1.779104e1
QQN-GoldenSection,99,4.193344e-1
QQN-GoldenSection,148,8.535872e-2
QQN-GoldenSection,196,7.177723e-2
QQN-GoldenSection,253,7.154799e-2
QQN-GoldenSection,301,7.154666e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,363,7.154664e-2
QQN-GoldenSection,367,7.154664e-2
QQN-GoldenSection,2,1.834245e1
QQN-GoldenSection,50,1.834245e1
QQN-GoldenSection,99,4.531639e-1
QQN-GoldenSection,148,8.724507e-2
QQN-GoldenSection,196,7.182742e-2
QQN-GoldenSection,253,7.154927e-2
QQN-GoldenSection,301,7.154667e-2
QQN-GoldenSection,349,7.154664e-2
