Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.145597e2,2.059032e0
QQN-GoldenSection,50,1.145597e2,2.059032e0
QQN-GoldenSection,99,5.974663e0,7.763134e-1
QQN-GoldenSection,158,1.000242e0,1.048970e-4
QQN-GoldenSection,206,4.916920e-1,-3.083069e-1
QQN-GoldenSection,254,4.819038e-1,-3.170397e-1
QQN-GoldenSection,302,4.816532e-1,-3.172655e-1
QQN-GoldenSection,350,4.816492e-1,-3.172692e-1
QQN-GoldenSection,364,4.816489e-1,-3.172694e-1
QQN-GoldenSection,378,4.816489e-1,-3.172694e-1
QQN-GoldenSection,392,4.816489e-1,-3.172694e-1
QQN-GoldenSection,406,4.816489e-1,-3.172694e-1
QQN-GoldenSection,454,4.816489e-1,-3.172694e-1
QQN-GoldenSection,458,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.192334e2,2.076398e0
QQN-GoldenSection,50,1.192334e2,2.076398e0
QQN-GoldenSection,99,6.144622e0,7.884952e-1
QQN-GoldenSection,159,1.046312e0,1.966116e-2
QQN-GoldenSection,207,4.920313e-1,-3.080073e-1
QQN-GoldenSection,255,4.818911e-1,-3.170511e-1
QQN-GoldenSection,303,4.816521e-1,-3.172665e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,399,4.816489e-1,-3.172694e-1
QQN-GoldenSection,413,4.816489e-1,-3.172694e-1
QQN-GoldenSection,417,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.147622e2,2.059799e0
QQN-GoldenSection,50,1.147622e2,2.059799e0
QQN-GoldenSection,99,5.584269e0,7.469663e-1
QQN-GoldenSection,158,9.699854e-1,-1.323480e-2
QQN-GoldenSection,206,4.900229e-1,-3.097836e-1
QQN-GoldenSection,254,4.818538e-1,-3.170847e-1
QQN-GoldenSection,302,4.816529e-1,-3.172658e-1
QQN-GoldenSection,350,4.816491e-1,-3.172693e-1
QQN-GoldenSection,364,4.816489e-1,-3.172694e-1
QQN-GoldenSection,412,4.816489e-1,-3.172694e-1
QQN-GoldenSection,460,4.816489e-1,-3.172694e-1
QQN-GoldenSection,508,4.816489e-1,-3.172694e-1
QQN-GoldenSection,512,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.152162e2,2.061514e0
QQN-GoldenSection,50,1.152162e2,2.061514e0
QQN-GoldenSection,99,5.918460e0,7.722088e-1
QQN-GoldenSection,159,1.010885e0,4.701729e-3
QQN-GoldenSection,207,4.917494e-1,-3.082562e-1
QQN-GoldenSection,255,4.819004e-1,-3.170427e-1
QQN-GoldenSection,303,4.816531e-1,-3.172656e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,413,4.816489e-1,-3.172694e-1
QQN-GoldenSection,417,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.176737e2,2.070679e0
QQN-GoldenSection,50,1.176737e2,2.070679e0
QQN-GoldenSection,99,5.956888e0,7.750194e-1
QQN-GoldenSection,159,1.015132e0,6.522700e-3
QQN-GoldenSection,207,4.909506e-1,-3.089622e-1
QQN-GoldenSection,255,4.818861e-1,-3.170556e-1
QQN-GoldenSection,303,4.816531e-1,-3.172657e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,399,4.816489e-1,-3.172694e-1
QQN-GoldenSection,447,4.816489e-1,-3.172694e-1
QQN-GoldenSection,461,4.816489e-1,-3.172694e-1
QQN-GoldenSection,465,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.152274e2,2.061556e0
QQN-GoldenSection,50,1.152274e2,2.061556e0
QQN-GoldenSection,99,6.169349e0,7.902393e-1
QQN-GoldenSection,159,1.047528e0,2.016556e-2
QQN-GoldenSection,207,4.927605e-1,-3.073641e-1
QQN-GoldenSection,255,4.819020e-1,-3.170412e-1
QQN-GoldenSection,303,4.816517e-1,-3.172669e-1
QQN-GoldenSection,351,4.816491e-1,-3.172693e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
