Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,6.785478e-1
QQN-GoldenSection,54,6.785478e-1
QQN-GoldenSection,112,3.282749e-1
QQN-GoldenSection,160,3.267345e-1
QQN-GoldenSection,208,3.156771e-1
QQN-GoldenSection,256,3.154247e-1
QQN-GoldenSection,304,3.153034e-1
QQN-GoldenSection,352,3.153034e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,7.007775e-1
QQN-GoldenSection,54,7.007775e-1
QQN-GoldenSection,112,3.254384e-1
QQN-GoldenSection,160,3.242194e-1
QQN-GoldenSection,208,3.155387e-1
QQN-GoldenSection,256,3.153809e-1
QQN-GoldenSection,304,3.153029e-1
QQN-GoldenSection,352,3.153028e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,380,3.153026e-1
QQN-GoldenSection,394,3.153026e-1
QQN-GoldenSection,398,3.153026e-1
QQN-GoldenSection,2,7.004087e-1
QQN-GoldenSection,54,7.004087e-1
QQN-GoldenSection,112,3.266608e-1
QQN-GoldenSection,160,3.253019e-1
QQN-GoldenSection,208,3.155895e-1
QQN-GoldenSection,256,3.153981e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,318,3.153027e-1
QQN-GoldenSection,366,3.153027e-1
QQN-GoldenSection,380,3.153026e-1
QQN-GoldenSection,428,3.153026e-1
QQN-GoldenSection,432,3.153026e-1
QQN-GoldenSection,2,7.183709e-1
QQN-GoldenSection,54,7.183709e-1
QQN-GoldenSection,112,3.230004e-1
QQN-GoldenSection,160,3.220661e-1
QQN-GoldenSection,208,3.154487e-1
QQN-GoldenSection,256,3.153506e-1
QQN-GoldenSection,304,3.153029e-1
QQN-GoldenSection,352,3.153028e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,370,3.153026e-1
QQN-GoldenSection,2,7.264979e-1
QQN-GoldenSection,54,7.264979e-1
QQN-GoldenSection,112,3.263648e-1
QQN-GoldenSection,160,3.250763e-1
QQN-GoldenSection,208,3.155911e-1
QQN-GoldenSection,256,3.153936e-1
QQN-GoldenSection,270,3.153028e-1
QQN-GoldenSection,318,3.153028e-1
QQN-GoldenSection,366,3.153027e-1
QQN-GoldenSection,380,3.153026e-1
QQN-GoldenSection,384,3.153026e-1
QQN-GoldenSection,2,7.215529e-1
QQN-GoldenSection,54,7.215529e-1
QQN-GoldenSection,112,3.267247e-1
QQN-GoldenSection,160,3.253552e-1
QQN-GoldenSection,208,3.155853e-1
QQN-GoldenSection,256,3.153966e-1
QQN-GoldenSection,304,3.153029e-1
QQN-GoldenSection,352,3.153027e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,370,3.153026e-1
QQN-GoldenSection,2,6.912340e-1
QQN-GoldenSection,54,6.912340e-1
QQN-GoldenSection,112,3.267369e-1
QQN-GoldenSection,160,3.254035e-1
QQN-GoldenSection,208,3.156155e-1
QQN-GoldenSection,256,3.154015e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,352,3.153027e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,6.507069e-1
QQN-GoldenSection,54,6.507069e-1
QQN-GoldenSection,112,3.274513e-1
QQN-GoldenSection,160,3.260425e-1
QQN-GoldenSection,208,3.156647e-1
QQN-GoldenSection,256,3.154160e-1
QQN-GoldenSection,304,3.153030e-1
QQN-GoldenSection,352,3.153029e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,370,3.153026e-1
QQN-GoldenSection,2,6.878721e-1
QQN-GoldenSection,54,6.878721e-1
QQN-GoldenSection,112,3.264107e-1
QQN-GoldenSection,160,3.251002e-1
QQN-GoldenSection,208,3.155901e-1
QQN-GoldenSection,256,3.153955e-1
QQN-GoldenSection,270,3.153028e-1
QQN-GoldenSection,318,3.153028e-1
QQN-GoldenSection,332,3.153027e-1
QQN-GoldenSection,380,3.153027e-1
QQN-GoldenSection,428,3.153026e-1
QQN-GoldenSection,432,3.153026e-1
QQN-GoldenSection,2,6.672714e-1
QQN-GoldenSection,54,6.672714e-1
QQN-GoldenSection,112,3.268987e-1
QQN-GoldenSection,160,3.255096e-1
QQN-GoldenSection,208,3.156178e-1
QQN-GoldenSection,256,3.154064e-1
QQN-GoldenSection,304,3.153040e-1
QQN-GoldenSection,352,3.153036e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,6.330788e-1
QQN-GoldenSection,54,6.330788e-1
QQN-GoldenSection,112,3.259013e-1
QQN-GoldenSection,160,3.246673e-1
QQN-GoldenSection,208,3.155939e-1
QQN-GoldenSection,256,3.153950e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,352,3.153027e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,6.605615e-1
QQN-GoldenSection,54,6.605615e-1
QQN-GoldenSection,112,3.281208e-1
QQN-GoldenSection,160,3.266233e-1
QQN-GoldenSection,208,3.156838e-1
QQN-GoldenSection,256,3.154237e-1
QQN-GoldenSection,304,3.153029e-1
QQN-GoldenSection,352,3.153029e-1
QQN-GoldenSection,356,3.153026e-1
QQN-GoldenSection,2,7.235748e-1
QQN-GoldenSection,54,7.235748e-1
QQN-GoldenSection,112,3.223668e-1
QQN-GoldenSection,160,3.215370e-1
QQN-GoldenSection,208,3.154365e-1
QQN-GoldenSection,256,3.153446e-1
QQN-GoldenSection,304,3.153029e-1
QQN-GoldenSection,318,3.153026e-1
QQN-GoldenSection,332,3.153026e-1
QQN-GoldenSection,346,3.153026e-1
QQN-GoldenSection,350,3.153026e-1
QQN-GoldenSection,2,7.134478e-1
QQN-GoldenSection,54,7.134478e-1
QQN-GoldenSection,112,3.253907e-1
QQN-GoldenSection,160,3.242026e-1
QQN-GoldenSection,208,3.155484e-1
QQN-GoldenSection,256,3.153810e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,352,3.153027e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,370,3.153026e-1
QQN-GoldenSection,2,6.952143e-1
QQN-GoldenSection,54,6.952143e-1
QQN-GoldenSection,112,3.253276e-1
QQN-GoldenSection,160,3.241348e-1
QQN-GoldenSection,208,3.155406e-1
QQN-GoldenSection,256,3.153802e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,352,3.153027e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,370,3.153026e-1
QQN-GoldenSection,2,6.830489e-1
QQN-GoldenSection,54,6.830489e-1
QQN-GoldenSection,112,3.261476e-1
QQN-GoldenSection,160,3.248477e-1
QQN-GoldenSection,208,3.155720e-1
QQN-GoldenSection,256,3.153929e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,352,3.153027e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,6.768095e-1
QQN-GoldenSection,54,6.768095e-1
QQN-GoldenSection,112,3.258580e-1
QQN-GoldenSection,160,3.245974e-1
QQN-GoldenSection,208,3.155708e-1
QQN-GoldenSection,256,3.153906e-1
QQN-GoldenSection,304,3.153032e-1
QQN-GoldenSection,352,3.153031e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,6.812038e-1
QQN-GoldenSection,54,6.812038e-1
QQN-GoldenSection,112,3.241772e-1
QQN-GoldenSection,160,3.231490e-1
QQN-GoldenSection,208,3.155061e-1
QQN-GoldenSection,256,3.153663e-1
QQN-GoldenSection,304,3.153027e-1
QQN-GoldenSection,352,3.153026e-1
QQN-GoldenSection,366,3.153026e-1
QQN-GoldenSection,370,3.153026e-1
QQN-GoldenSection,2,7.020015e-1
QQN-GoldenSection,54,7.020015e-1
QQN-GoldenSection,112,3.269682e-1
QQN-GoldenSection,160,3.256068e-1
QQN-GoldenSection,208,3.156237e-1
QQN-GoldenSection,256,3.154042e-1
QQN-GoldenSection,304,3.153029e-1
QQN-GoldenSection,352,3.153028e-1
QQN-GoldenSection,400,3.153026e-1
QQN-GoldenSection,404,3.153026e-1
QQN-GoldenSection,2,6.884378e-1
QQN-GoldenSection,54,6.884378e-1
QQN-GoldenSection,112,3.180570e-1
QQN-GoldenSection,160,3.177234e-1
QQN-GoldenSection,208,3.153310e-1
QQN-GoldenSection,256,3.153106e-1
QQN-GoldenSection,304,3.153028e-1
QQN-GoldenSection,318,3.153026e-1
QQN-GoldenSection,332,3.153026e-1
QQN-GoldenSection,380,3.153026e-1
QQN-GoldenSection,428,3.153026e-1
QQN-GoldenSection,432,3.153026e-1
QQN-Bisection-1,2,6.800447e-1
QQN-Bisection-1,71,6.800447e-1
QQN-Bisection-1,111,3.194868e-1
QQN-Bisection-1,132,3.189961e-1
QQN-Bisection-1,153,3.153618e-1
QQN-Bisection-1,174,3.153200e-1
QQN-Bisection-1,195,3.153029e-1
QQN-Bisection-1,216,3.153026e-1
QQN-Bisection-1,237,3.153026e-1
QQN-Bisection-1,258,3.153026e-1
QQN-Bisection-1,262,3.153026e-1
