Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,7.011558e-1,-1.541854e-1
QQN-GoldenSection,55,7.011558e-1,-1.541854e-1
QQN-GoldenSection,113,3.381941e-1,-4.708340e-1
QQN-GoldenSection,161,3.364532e-1,-4.730754e-1
QQN-GoldenSection,209,3.236603e-1,-4.899106e-1
QQN-GoldenSection,257,3.233865e-1,-4.902781e-1
QQN-GoldenSection,305,3.232587e-1,-4.904497e-1
QQN-GoldenSection,353,3.232584e-1,-4.904502e-1
QQN-GoldenSection,367,3.232535e-1,-4.904568e-1
QQN-GoldenSection,415,3.232535e-1,-4.904568e-1
QQN-GoldenSection,463,3.232535e-1,-4.904568e-1
QQN-GoldenSection,467,3.232535e-1,-4.904568e-1
QQN-GoldenSection,2,6.989769e-1,-1.555372e-1
QQN-GoldenSection,55,6.989769e-1,-1.555372e-1
QQN-GoldenSection,113,3.354359e-1,-4.743904e-1
QQN-GoldenSection,161,3.339831e-1,-4.762755e-1
QQN-GoldenSection,209,3.234842e-1,-4.901470e-1
QQN-GoldenSection,257,3.233274e-1,-4.903575e-1
QQN-GoldenSection,305,3.232562e-1,-4.904531e-1
QQN-GoldenSection,353,3.232551e-1,-4.904546e-1
QQN-GoldenSection,367,3.232535e-1,-4.904568e-1
QQN-GoldenSection,381,3.232535e-1,-4.904568e-1
QQN-GoldenSection,395,3.232535e-1,-4.904568e-1
QQN-GoldenSection,409,3.232535e-1,-4.904568e-1
QQN-GoldenSection,423,3.232535e-1,-4.904568e-1
QQN-GoldenSection,427,3.232535e-1,-4.904568e-1
QQN-GoldenSection,2,6.968748e-1,-1.568452e-1
QQN-GoldenSection,55,6.968748e-1,-1.568452e-1
QQN-GoldenSection,113,3.365636e-1,-4.729329e-1
QQN-GoldenSection,161,3.349842e-1,-4.749757e-1
QQN-GoldenSection,209,3.235497e-1,-4.900591e-1
QQN-GoldenSection,257,3.233515e-1,-4.903251e-1
QQN-GoldenSection,305,3.232569e-1,-4.904522e-1
QQN-GoldenSection,353,3.232562e-1,-4.904532e-1
QQN-GoldenSection,401,3.232535e-1,-4.904568e-1
QQN-GoldenSection,449,3.232535e-1,-4.904568e-1
QQN-GoldenSection,453,3.232535e-1,-4.904568e-1
QQN-GoldenSection,2,6.828542e-1,-1.656720e-1
QQN-GoldenSection,55,6.828542e-1,-1.656720e-1
QQN-GoldenSection,113,3.337073e-1,-4.766343e-1
QQN-GoldenSection,161,3.324625e-1,-4.782573e-1
QQN-GoldenSection,209,3.234537e-1,-4.901879e-1
QQN-GoldenSection,257,3.233186e-1,-4.903693e-1
QQN-GoldenSection,305,3.232553e-1,-4.904543e-1
QQN-GoldenSection,353,3.232543e-1,-4.904556e-1
QQN-GoldenSection,401,3.232535e-1,-4.904568e-1
QQN-GoldenSection,415,3.232535e-1,-4.904568e-1
QQN-GoldenSection,419,3.232535e-1,-4.904568e-1
QQN-GoldenSection,2,6.786829e-1,-1.683331e-1
QQN-GoldenSection,55,6.786829e-1,-1.683331e-1
