Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,6.991159e-2
QQN-GoldenSection,49,6.991159e-2
QQN-GoldenSection,107,3.720988e-2
QQN-GoldenSection,155,3.421740e-2
QQN-GoldenSection,211,1.277457e-3
QQN-GoldenSection,270,3.890045e-4
QQN-GoldenSection,318,1.098015e-8
QQN-GoldenSection,322,5.897081e-20
QQN-GoldenSection,2,3.334827e-2
QQN-GoldenSection,52,3.334827e-2
QQN-GoldenSection,110,2.615000e-2
QQN-GoldenSection,158,2.070563e-2
QQN-GoldenSection,206,1.851629e-2
QQN-GoldenSection,254,8.166574e-3
QQN-GoldenSection,302,1.790876e-3
QQN-GoldenSection,350,1.869002e-5
QQN-GoldenSection,398,2.909259e-7
QQN-GoldenSection,446,1.488761e-9
QQN-GoldenSection,494,1.442780e-12
QQN-GoldenSection,498,4.078729e-16
QQN-GoldenSection,2,5.075591e-2
QQN-GoldenSection,49,5.075591e-2
QQN-GoldenSection,107,4.125825e-2
QQN-GoldenSection,155,3.751776e-2
QQN-GoldenSection,203,2.378164e-2
QQN-GoldenSection,251,7.322770e-3
QQN-GoldenSection,299,3.200388e-3
QQN-GoldenSection,347,2.450166e-6
QQN-GoldenSection,395,7.393684e-9
QQN-GoldenSection,399,5.032031e-14
QQN-GoldenSection,2,4.970406e-2
QQN-GoldenSection,49,4.970406e-2
QQN-GoldenSection,107,4.143518e-2
QQN-GoldenSection,155,3.748210e-2
QQN-GoldenSection,203,2.646464e-2
QQN-GoldenSection,251,1.054686e-2
QQN-GoldenSection,299,5.738259e-5
QQN-GoldenSection,347,2.956712e-7
QQN-GoldenSection,395,2.723701e-9
QQN-GoldenSection,399,8.138981e-13
QQN-GoldenSection,2,3.012840e-2
QQN-GoldenSection,53,3.012840e-2
QQN-GoldenSection,111,2.035073e-2
QQN-GoldenSection,159,1.380761e-2
QQN-GoldenSection,207,1.255116e-2
QQN-GoldenSection,255,3.626180e-3
QQN-GoldenSection,303,5.063449e-4
QQN-GoldenSection,351,8.306975e-6
QQN-GoldenSection,399,1.194722e-7
QQN-GoldenSection,447,2.291261e-10
QQN-GoldenSection,451,1.736453e-13
QQN-GoldenSection,2,3.549623e-2
QQN-GoldenSection,49,3.549623e-2
QQN-GoldenSection,107,2.902034e-2
QQN-GoldenSection,155,2.636604e-2
QQN-GoldenSection,203,1.711752e-2
QQN-GoldenSection,251,5.606497e-3
QQN-GoldenSection,299,1.527112e-3
QQN-GoldenSection,347,1.789372e-6
QQN-GoldenSection,395,7.005018e-9
QQN-GoldenSection,399,1.232587e-13
QQN-GoldenSection,2,3.068070e-2
QQN-GoldenSection,54,3.068070e-2
QQN-GoldenSection,112,1.046332e-2
QQN-GoldenSection,160,3.571764e-3
QQN-GoldenSection,208,3.282207e-3
QQN-GoldenSection,256,1.197128e-4
QQN-GoldenSection,304,7.132199e-7
QQN-GoldenSection,352,6.886035e-10
QQN-GoldenSection,356,1.410434e-12
QQN-GoldenSection,2,5.862087e-2
QQN-GoldenSection,49,5.862087e-2
QQN-GoldenSection,107,3.679823e-2
QQN-GoldenSection,155,3.379648e-2
QQN-GoldenSection,203,5.915782e-3
QQN-GoldenSection,251,2.772071e-3
QQN-GoldenSection,299,4.794583e-7
QQN-GoldenSection,347,9.182531e-10
QQN-GoldenSection,351,1.024269e-15
QQN-GoldenSection,2,5.192838e-2
QQN-GoldenSection,49,5.192838e-2
QQN-GoldenSection,107,3.918034e-2
QQN-GoldenSection,155,3.583853e-2
QQN-GoldenSection,203,1.661974e-2
QQN-GoldenSection,251,1.604050e-3
QQN-GoldenSection,299,1.159108e-4
QQN-GoldenSection,347,4.596797e-7
QQN-GoldenSection,395,1.268946e-9
QQN-GoldenSection,399,2.318433e-14
QQN-GoldenSection,2,4.942617e-2
QQN-GoldenSection,49,4.942617e-2
QQN-GoldenSection,107,3.383794e-2
QQN-GoldenSection,155,3.103891e-2
QQN-GoldenSection,203,9.056363e-3
QQN-GoldenSection,251,1.160516e-4
QQN-GoldenSection,299,1.749448e-8
QQN-GoldenSection,347,9.608061e-11
QQN-GoldenSection,351,1.211802e-14
QQN-GoldenSection,2,6.357930e-2
QQN-GoldenSection,49,6.357930e-2
QQN-GoldenSection,107,4.129963e-2
QQN-GoldenSection,155,3.791496e-2
QQN-GoldenSection,203,8.235900e-3
QQN-GoldenSection,251,1.518772e-3
QQN-GoldenSection,299,4.075622e-7
QQN-GoldenSection,347,1.255850e-9
QQN-GoldenSection,351,1.325540e-14
QQN-GoldenSection,2,4.839101e-2
QQN-GoldenSection,49,4.839101e-2
QQN-GoldenSection,107,3.278725e-2
QQN-GoldenSection,155,3.008080e-2
QQN-GoldenSection,203,8.304813e-3
QQN-GoldenSection,251,2.387451e-4
QQN-GoldenSection,299,5.336068e-8
QQN-GoldenSection,347,2.660873e-10
QQN-GoldenSection,351,2.161915e-14
QQN-GoldenSection,2,4.443473e-2
QQN-GoldenSection,49,4.443473e-2
QQN-GoldenSection,107,3.547751e-2
QQN-GoldenSection,155,3.233015e-2
QQN-GoldenSection,203,1.903038e-2
QQN-GoldenSection,251,4.753153e-3
QQN-GoldenSection,299,4.226514e-3
QQN-GoldenSection,347,1.514992e-6
QQN-GoldenSection,395,2.698819e-9
QQN-GoldenSection,399,8.221888e-16
QQN-GoldenSection,2,6.964573e-2
QQN-GoldenSection,49,6.964573e-2
QQN-GoldenSection,107,3.586506e-2
QQN-GoldenSection,155,3.298609e-2
QQN-GoldenSection,211,7.326684e-4
QQN-GoldenSection,270,2.422335e-4
QQN-GoldenSection,318,4.294590e-9
QQN-GoldenSection,322,7.152790e-21
QQN-GoldenSection,2,3.458642e-2
QQN-GoldenSection,55,3.458642e-2
QQN-GoldenSection,113,6.093268e-3
QQN-GoldenSection,161,1.073889e-3
QQN-GoldenSection,209,9.885433e-4
QQN-GoldenSection,257,4.274494e-6
QQN-GoldenSection,305,9.095810e-11
QQN-GoldenSection,309,6.454254e-15
QQN-GoldenSection,2,4.694234e-2
QQN-GoldenSection,51,4.694234e-2
QQN-GoldenSection,109,3.824886e-2
QQN-GoldenSection,157,3.159661e-2
QQN-GoldenSection,205,2.790175e-2
QQN-GoldenSection,253,1.359922e-2
QQN-GoldenSection,301,3.193380e-3
QQN-GoldenSection,349,1.349297e-5
QQN-GoldenSection,397,1.816796e-7
QQN-GoldenSection,445,1.108535e-9
QQN-GoldenSection,493,8.957688e-13
QQN-GoldenSection,497,2.877055e-16
QQN-GoldenSection,2,6.765730e-2
QQN-GoldenSection,49,6.765730e-2
QQN-GoldenSection,107,3.745091e-2
QQN-GoldenSection,155,3.443140e-2
QQN-GoldenSection,211,2.085187e-3
QQN-GoldenSection,270,5.554722e-4
QQN-GoldenSection,318,3.176186e-8
QQN-GoldenSection,322,6.001955e-19
