Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,6.991159e-2,-1.155451e0
QQN-GoldenSection,49,6.991159e-2,-1.155451e0
QQN-GoldenSection,107,3.720988e-2,-1.429342e0
QQN-GoldenSection,155,3.421740e-2,-1.465753e0
QQN-GoldenSection,211,1.277457e-3,-2.893654e0
QQN-GoldenSection,270,3.890045e-4,-3.410045e0
QQN-GoldenSection,318,1.098015e-8,-7.959392e0
QQN-GoldenSection,322,5.897081e-20,-1.500000e1
QQN-GoldenSection,2,3.334827e-2,-1.476927e0
QQN-GoldenSection,52,3.334827e-2,-1.476927e0
QQN-GoldenSection,110,2.615000e-2,-1.582528e0
QQN-GoldenSection,158,2.070563e-2,-1.683912e0
QQN-GoldenSection,206,1.851629e-2,-1.732446e0
QQN-GoldenSection,254,8.166574e-3,-2.087960e0
QQN-GoldenSection,302,1.790876e-3,-2.746934e0
QQN-GoldenSection,350,1.869002e-5,-4.728390e0
QQN-GoldenSection,398,2.909259e-7,-6.536218e0
QQN-GoldenSection,446,1.488761e-9,-8.827175e0
QQN-GoldenSection,494,1.442780e-12,-1.184080e1
QQN-GoldenSection,498,4.078729e-16,-1.500000e1
QQN-GoldenSection,2,5.075591e-2,-1.294513e0
QQN-GoldenSection,49,5.075591e-2,-1.294513e0
QQN-GoldenSection,107,4.125825e-2,-1.384489e0
QQN-GoldenSection,155,3.751776e-2,-1.425763e0
QQN-GoldenSection,203,2.378164e-2,-1.623758e0
QQN-GoldenSection,251,7.322770e-3,-2.135325e0
QQN-GoldenSection,299,3.200388e-3,-2.494797e0
QQN-GoldenSection,347,2.450166e-6,-5.610804e0
QQN-GoldenSection,395,7.393684e-9,-8.131139e0
QQN-GoldenSection,399,5.032031e-14,-1.329826e1
QQN-GoldenSection,2,4.970406e-2,-1.303608e0
QQN-GoldenSection,49,4.970406e-2,-1.303608e0
QQN-GoldenSection,107,4.143518e-2,-1.382631e0
QQN-GoldenSection,155,3.748210e-2,-1.426176e0
QQN-GoldenSection,203,2.646464e-2,-1.577334e0
QQN-GoldenSection,251,1.054686e-2,-1.976877e0
QQN-GoldenSection,299,5.738259e-5,-4.241220e0
QQN-GoldenSection,347,2.956712e-7,-6.529191e0
QQN-GoldenSection,395,2.723701e-9,-8.564841e0
QQN-GoldenSection,399,8.138981e-13,-1.208943e1
QQN-GoldenSection,2,3.012840e-2,-1.521024e0
QQN-GoldenSection,53,3.012840e-2,-1.521024e0
QQN-GoldenSection,111,2.035073e-2,-1.691420e0
QQN-GoldenSection,159,1.380761e-2,-1.859881e0
QQN-GoldenSection,207,1.255116e-2,-1.901316e0
QQN-GoldenSection,255,3.626180e-3,-2.440551e0
QQN-GoldenSection,303,5.063449e-4,-3.295554e0
QQN-GoldenSection,351,8.306975e-6,-5.080557e0
QQN-GoldenSection,399,1.194722e-7,-6.922733e0
QQN-GoldenSection,447,2.291261e-10,-9.639925e0
QQN-GoldenSection,451,1.736453e-13,-1.276034e1
QQN-GoldenSection,2,3.549623e-2,-1.449818e0
QQN-GoldenSection,49,3.549623e-2,-1.449818e0
QQN-GoldenSection,107,2.902034e-2,-1.537298e0
QQN-GoldenSection,155,2.636604e-2,-1.578955e0
QQN-GoldenSection,203,1.711752e-2,-1.766559e0
QQN-GoldenSection,251,5.606497e-3,-2.251308e0
QQN-GoldenSection,299,1.527112e-3,-2.816129e0
QQN-GoldenSection,347,1.789372e-6,-5.747299e0
QQN-GoldenSection,395,7.005018e-9,-8.154591e0
QQN-GoldenSection,399,1.232587e-13,-1.290918e1
QQN-GoldenSection,2,3.068070e-2,-1.513135e0
QQN-GoldenSection,54,3.068070e-2,-1.513135e0
QQN-GoldenSection,112,1.046332e-2,-1.980330e0
QQN-GoldenSection,160,3.571764e-3,-2.447117e0
QQN-GoldenSection,208,3.282207e-3,-2.483834e0
QQN-GoldenSection,256,1.197128e-4,-3.921859e0
QQN-GoldenSection,304,7.132199e-7,-6.146777e0
QQN-GoldenSection,352,6.886035e-10,-9.162031e0
QQN-GoldenSection,356,1.410434e-12,-1.185065e1
QQN-GoldenSection,2,5.862087e-2,-1.231948e0
QQN-GoldenSection,49,5.862087e-2,-1.231948e0
QQN-GoldenSection,107,3.679823e-2,-1.434173e0
QQN-GoldenSection,155,3.379648e-2,-1.471129e0
QQN-GoldenSection,203,5.915782e-3,-2.227988e0
QQN-GoldenSection,251,2.772071e-3,-2.557196e0
QQN-GoldenSection,299,4.794583e-7,-6.319249e0
QQN-GoldenSection,347,9.182531e-10,-9.037038e0
QQN-GoldenSection,351,1.024269e-15,-1.498959e1
QQN-GoldenSection,2,5.192838e-2,-1.284595e0
QQN-GoldenSection,49,5.192838e-2,-1.284595e0
QQN-GoldenSection,107,3.918034e-2,-1.406932e0
QQN-GoldenSection,155,3.583853e-2,-1.445650e0
QQN-GoldenSection,203,1.661974e-2,-1.779376e0
QQN-GoldenSection,251,1.604050e-3,-2.794782e0
QQN-GoldenSection,299,1.159108e-4,-3.935876e0
QQN-GoldenSection,347,4.596797e-7,-6.337545e0
QQN-GoldenSection,395,1.268946e-9,-8.896557e0
QQN-GoldenSection,399,2.318433e-14,-1.363481e1
QQN-GoldenSection,2,4.942617e-2,-1.306043e0
QQN-GoldenSection,49,4.942617e-2,-1.306043e0
QQN-GoldenSection,107,3.383794e-2,-1.470596e0
QQN-GoldenSection,155,3.103891e-2,-1.508093e0
QQN-GoldenSection,203,9.056363e-3,-2.043046e0
QQN-GoldenSection,251,1.160516e-4,-3.935349e0
QQN-GoldenSection,299,1.749448e-8,-7.757099e0
QQN-GoldenSection,347,9.608061e-11,-1.001736e1
QQN-GoldenSection,351,1.211802e-14,-1.391657e1
QQN-GoldenSection,2,6.357930e-2,-1.196684e0
QQN-GoldenSection,49,6.357930e-2,-1.196684e0
QQN-GoldenSection,107,4.129963e-2,-1.384054e0
QQN-GoldenSection,155,3.791496e-2,-1.421189e0
QQN-GoldenSection,203,8.235900e-3,-2.084289e0
QQN-GoldenSection,251,1.518772e-3,-2.818507e0
QQN-GoldenSection,299,4.075622e-7,-6.389806e0
QQN-GoldenSection,347,1.255850e-9,-8.901062e0
QQN-GoldenSection,351,1.325540e-14,-1.387761e1
QQN-GoldenSection,2,4.839101e-2,-1.315235e0
QQN-GoldenSection,49,4.839101e-2,-1.315235e0
QQN-GoldenSection,107,3.278725e-2,-1.484295e0
QQN-GoldenSection,155,3.008080e-2,-1.521711e0
