Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,-1.806865e0
QQN-GoldenSection,54,-1.806865e0
QQN-GoldenSection,108,-3.148605e0
QQN-GoldenSection,166,-4.026792e0
QQN-GoldenSection,214,-4.232671e0
QQN-GoldenSection,262,-4.403304e0
QQN-GoldenSection,310,-4.406439e0
QQN-GoldenSection,358,-4.406665e0
QQN-GoldenSection,406,-4.406721e0
QQN-GoldenSection,454,-4.407356e0
QQN-GoldenSection,516,-4.413835e0
QQN-GoldenSection,573,-4.420673e0
QQN-GoldenSection,635,-4.428595e0
QQN-GoldenSection,692,-4.448641e0
QQN-GoldenSection,744,-4.615533e0
QQN-GoldenSection,796,-4.990672e0
QQN-GoldenSection,847,-5.047135e0
QQN-GoldenSection,898,-5.068938e0
QQN-GoldenSection,949,-5.089451e0
QQN-GoldenSection,1001,-5.110462e0
QQN-GoldenSection,2,-1.121751e0
QQN-GoldenSection,56,-1.121751e0
QQN-GoldenSection,110,-1.535729e0
QQN-GoldenSection,165,-2.016530e0
QQN-GoldenSection,223,-2.141854e0
QQN-GoldenSection,271,-2.142648e0
QQN-GoldenSection,319,-2.146181e0
QQN-GoldenSection,380,-2.167043e0
QQN-GoldenSection,439,-2.202002e0
QQN-GoldenSection,500,-2.444825e0
QQN-GoldenSection,562,-2.905364e0
QQN-GoldenSection,622,-2.920610e0
QQN-GoldenSection,683,-2.920739e0
QQN-GoldenSection,743,-2.920876e0
QQN-GoldenSection,804,-2.921015e0
QQN-GoldenSection,864,-2.921164e0
QQN-GoldenSection,925,-2.921320e0
QQN-GoldenSection,986,-2.921490e0
QQN-GoldenSection,1034,-2.921675e0
QQN-GoldenSection,2,-1.091374e0
QQN-GoldenSection,54,-1.091374e0
QQN-GoldenSection,109,-1.191580e0
QQN-GoldenSection,167,-1.477420e0
QQN-GoldenSection,227,-1.568395e0
QQN-GoldenSection,289,-1.997977e0
QQN-GoldenSection,351,-2.104848e0
QQN-GoldenSection,411,-2.106237e0
QQN-GoldenSection,473,-2.106582e0
QQN-GoldenSection,521,-2.106970e0
QQN-GoldenSection,569,-2.107365e0
QQN-GoldenSection,629,-2.209451e0
QQN-GoldenSection,685,-2.343370e0
QQN-GoldenSection,737,-3.415627e0
QQN-GoldenSection,789,-3.689131e0
QQN-GoldenSection,841,-3.760362e0
QQN-GoldenSection,893,-3.868986e0
QQN-GoldenSection,945,-4.024195e0
QQN-GoldenSection,997,-4.162857e0
QQN-GoldenSection,1049,-4.231374e0
QQN-GoldenSection,2,-2.646666e0
QQN-GoldenSection,55,-2.646666e0
QQN-GoldenSection,109,-3.362707e0
QQN-GoldenSection,167,-3.792629e0
QQN-GoldenSection,215,-3.868317e0
QQN-GoldenSection,277,-4.101097e0
QQN-GoldenSection,337,-4.503471e0
QQN-GoldenSection,385,-4.566517e0
QQN-GoldenSection,446,-4.699349e0
QQN-GoldenSection,508,-5.281171e0
QQN-GoldenSection,569,-5.311095e0
QQN-GoldenSection,617,-5.312774e0
QQN-GoldenSection,665,-5.313575e0
QQN-GoldenSection,713,-5.327827e0
QQN-GoldenSection,774,-5.415627e0
QQN-GoldenSection,835,-5.996666e0
QQN-GoldenSection,897,-6.197786e0
QQN-GoldenSection,959,-6.250285e0
QQN-GoldenSection,1021,-6.258471e0
QQN-GoldenSection,2,-1.305214e0
QQN-GoldenSection,52,-1.305214e0
QQN-GoldenSection,107,-1.354365e0
QQN-GoldenSection,165,-1.605373e0
QQN-GoldenSection,213,-1.605523e0
QQN-GoldenSection,261,-1.605555e0
QQN-GoldenSection,309,-1.605708e0
QQN-GoldenSection,368,-1.635499e0
QQN-GoldenSection,430,-1.877738e0
QQN-GoldenSection,492,-2.265191e0
QQN-GoldenSection,553,-2.280270e0
QQN-GoldenSection,601,-2.280645e0
QQN-GoldenSection,649,-2.280658e0
QQN-GoldenSection,697,-2.280658e0
QQN-GoldenSection,745,-2.280659e0
QQN-GoldenSection,793,-2.280660e0
QQN-GoldenSection,841,-2.280660e0
QQN-GoldenSection,855,-2.280660e0
QQN-GoldenSection,869,-2.280660e0
QQN-GoldenSection,917,-2.280660e0
QQN-GoldenSection,931,-2.280660e0
QQN-GoldenSection,979,-2.280660e0
QQN-GoldenSection,1027,-2.280660e0
QQN-GoldenSection,2,-1.180210e0
QQN-GoldenSection,50,-1.180210e0
QQN-GoldenSection,103,-3.832384e0
QQN-GoldenSection,161,-3.940506e0
QQN-GoldenSection,209,-4.023700e0
QQN-GoldenSection,257,-4.116884e0
QQN-GoldenSection,305,-4.132658e0
QQN-GoldenSection,353,-4.160457e0
QQN-GoldenSection,401,-4.167177e0
QQN-GoldenSection,449,-4.174156e0
QQN-GoldenSection,497,-4.174650e0
QQN-GoldenSection,545,-4.174735e0
QQN-GoldenSection,593,-4.174741e0
QQN-GoldenSection,641,-4.174742e0
QQN-GoldenSection,689,-4.174742e0
QQN-GoldenSection,737,-4.174742e0
QQN-GoldenSection,785,-4.174742e0
QQN-GoldenSection,833,-4.174743e0
QQN-GoldenSection,881,-4.174746e0
QQN-GoldenSection,929,-4.174753e0
QQN-GoldenSection,977,-4.174776e0
QQN-GoldenSection,1036,-4.174967e0
QQN-GoldenSection,2,-1.457574e0
QQN-GoldenSection,53,-1.457574e0
QQN-GoldenSection,107,-3.220060e0
QQN-GoldenSection,165,-4.237171e0
QQN-GoldenSection,213,-4.341545e0
QQN-GoldenSection,261,-4.451074e0
QQN-GoldenSection,309,-4.462049e0
QQN-GoldenSection,357,-4.462163e0
QQN-GoldenSection,405,-4.462168e0
QQN-GoldenSection,453,-4.462169e0
QQN-GoldenSection,501,-4.462171e0
QQN-GoldenSection,549,-4.462178e0
QQN-GoldenSection,597,-4.462198e0
QQN-GoldenSection,653,-4.462286e0
QQN-GoldenSection,707,-5.241382e0
QQN-GoldenSection,761,-5.297330e0
QQN-GoldenSection,815,-5.300509e0
QQN-GoldenSection,869,-5.300719e0
QQN-GoldenSection,923,-5.300734e0
QQN-GoldenSection,977,-5.300735e0
QQN-GoldenSection,1031,-5.300735e0
QQN-GoldenSection,2,-2.959576e-1
QQN-GoldenSection,50,-2.959576e-1
QQN-GoldenSection,104,-2.057862e0
QQN-GoldenSection,158,-2.391613e0
QQN-GoldenSection,213,-2.527491e0
QQN-GoldenSection,267,-2.551604e0
QQN-GoldenSection,325,-2.557121e0
QQN-GoldenSection,373,-2.558652e0
QQN-GoldenSection,421,-2.560211e0
QQN-GoldenSection,480,-2.568991e0
QQN-GoldenSection,541,-3.315722e0
QQN-GoldenSection,603,-3.418713e0
QQN-GoldenSection,664,-3.436150e0
QQN-GoldenSection,726,-3.439793e0
QQN-GoldenSection,787,-3.440676e0
QQN-GoldenSection,849,-3.440895e0
QQN-GoldenSection,910,-3.440958e0
QQN-GoldenSection,972,-3.440977e0
QQN-GoldenSection,1033,-3.440987e0
QQN-GoldenSection,2,-1.460377e0
QQN-GoldenSection,54,-1.460377e0
QQN-GoldenSection,108,-2.020802e0
QQN-GoldenSection,166,-2.939546e0
QQN-GoldenSection,214,-3.115666e0
QQN-GoldenSection,262,-3.594610e0
QQN-GoldenSection,310,-3.617940e0
QQN-GoldenSection,358,-3.622065e0
QQN-GoldenSection,406,-3.622263e0
QQN-GoldenSection,454,-3.622533e0
QQN-GoldenSection,502,-3.624375e0
QQN-GoldenSection,564,-3.664494e0
QQN-GoldenSection,622,-3.709561e0
QQN-GoldenSection,683,-3.934610e0
QQN-GoldenSection,744,-4.545456e0
QQN-GoldenSection,805,-4.621489e0
QQN-GoldenSection,865,-4.656345e0
QQN-GoldenSection,926,-4.752732e0
QQN-GoldenSection,988,-5.065541e0
QQN-GoldenSection,1050,-5.341971e0
QQN-GoldenSection,2,-1.582064e0
QQN-GoldenSection,54,-1.582064e0
QQN-GoldenSection,108,-2.211098e0
QQN-GoldenSection,163,-2.942958e0
QQN-GoldenSection,218,-3.081040e0
QQN-GoldenSection,276,-3.081263e0
QQN-GoldenSection,324,-3.081270e0
QQN-GoldenSection,372,-3.081276e0
QQN-GoldenSection,420,-3.081338e0
QQN-GoldenSection,482,-3.082206e0
