Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,2.099147e-1,-6.779571e-1
QQN-GoldenSection,50,2.099147e-1,-6.779571e-1
QQN-GoldenSection,108,1.626875e-1,-7.886457e-1
QQN-GoldenSection,156,1.580107e-1,-8.013135e-1
QQN-GoldenSection,204,1.484077e-1,-8.285435e-1
QQN-GoldenSection,252,1.449532e-1,-8.387721e-1
QQN-GoldenSection,300,1.399571e-1,-8.540052e-1
QQN-GoldenSection,348,1.373235e-1,-8.622550e-1
QQN-GoldenSection,396,1.321440e-1,-8.789526e-1
QQN-GoldenSection,444,1.278087e-1,-8.934396e-1
QQN-GoldenSection,492,1.222489e-1,-9.127551e-1
QQN-GoldenSection,540,1.180652e-1,-9.278779e-1
QQN-GoldenSection,588,1.144177e-1,-9.415066e-1
QQN-GoldenSection,636,1.112565e-1,-9.536744e-1
QQN-GoldenSection,684,1.089067e-1,-9.629455e-1
QQN-GoldenSection,732,1.059298e-1,-9.749818e-1
QQN-GoldenSection,780,1.022049e-1,-9.905282e-1
QQN-GoldenSection,828,9.879728e-2,-1.005255e0
QQN-GoldenSection,876,9.547293e-2,-1.020120e0
QQN-GoldenSection,924,9.318245e-2,-1.030666e0
QQN-GoldenSection,972,9.047569e-2,-1.043468e0
QQN-GoldenSection,1020,8.891332e-2,-1.051033e0
QQN-GoldenSection,2,2.084009e-1,-6.811005e-1
QQN-GoldenSection,50,2.084009e-1,-6.811005e-1
QQN-GoldenSection,108,1.625870e-1,-7.889141e-1
QQN-GoldenSection,156,1.579842e-1,-8.013865e-1
QQN-GoldenSection,204,1.482811e-1,-8.289141e-1
QQN-GoldenSection,252,1.470870e-1,-8.324259e-1
QQN-GoldenSection,300,1.443347e-1,-8.406293e-1
QQN-GoldenSection,348,1.419617e-1,-8.478287e-1
QQN-GoldenSection,396,1.386858e-1,-8.579680e-1
QQN-GoldenSection,444,1.348820e-1,-8.700460e-1
QQN-GoldenSection,492,1.279399e-1,-8.929940e-1
QQN-GoldenSection,540,1.246765e-1,-9.042154e-1
QQN-GoldenSection,588,1.193019e-1,-9.233528e-1
QQN-GoldenSection,636,1.144721e-1,-9.413002e-1
QQN-GoldenSection,684,1.099869e-1,-9.586589e-1
QQN-GoldenSection,732,1.063525e-1,-9.732523e-1
QQN-GoldenSection,780,1.012279e-1,-9.947000e-1
QQN-GoldenSection,828,9.872415e-2,-1.005577e0
QQN-GoldenSection,876,9.626433e-2,-1.016535e0
QQN-GoldenSection,924,9.499527e-2,-1.022298e0
QQN-GoldenSection,972,9.364121e-2,-1.028533e0
QQN-GoldenSection,1020,9.183807e-2,-1.036977e0
QQN-GoldenSection,2,2.453008e-1,-6.103010e-1
QQN-GoldenSection,50,2.453008e-1,-6.103010e-1
QQN-GoldenSection,108,1.583789e-1,-8.003025e-1
QQN-GoldenSection,156,1.548012e-1,-8.102256e-1
QQN-GoldenSection,204,1.488483e-1,-8.272562e-1
QQN-GoldenSection,252,1.416253e-1,-8.488591e-1
QQN-GoldenSection,300,1.384524e-1,-8.586994e-1
QQN-GoldenSection,348,1.348485e-1,-8.701540e-1
QQN-GoldenSection,396,1.277735e-1,-8.935591e-1
QQN-GoldenSection,444,1.227418e-1,-9.110075e-1
QQN-GoldenSection,492,1.153723e-1,-9.378984e-1
QQN-GoldenSection,540,1.098681e-1,-9.591284e-1
QQN-GoldenSection,588,1.052874e-1,-9.776237e-1
QQN-GoldenSection,636,1.019961e-1,-9.914165e-1
QQN-GoldenSection,684,9.772694e-2,-1.009986e0
QQN-GoldenSection,732,9.372538e-2,-1.028143e0
QQN-GoldenSection,780,9.151544e-2,-1.038506e0
QQN-GoldenSection,828,8.888910e-2,-1.051151e0
QQN-GoldenSection,876,8.693454e-2,-1.060808e0
QQN-GoldenSection,924,8.414729e-2,-1.074960e0
QQN-GoldenSection,972,8.192518e-2,-1.086583e0
QQN-GoldenSection,1020,7.916902e-2,-1.101445e0
QQN-GoldenSection,2,2.051983e-1,-6.878263e-1
QQN-GoldenSection,50,2.051983e-1,-6.878263e-1
QQN-GoldenSection,108,1.627288e-1,-7.885357e-1
QQN-GoldenSection,156,1.584595e-1,-8.000817e-1
QQN-GoldenSection,204,1.498711e-1,-8.242821e-1
QQN-GoldenSection,252,1.465890e-1,-8.338987e-1
QQN-GoldenSection,300,1.409286e-1,-8.510010e-1
QQN-GoldenSection,348,1.387714e-1,-8.577001e-1
QQN-GoldenSection,396,1.332113e-1,-8.754591e-1
QQN-GoldenSection,444,1.287223e-1,-8.903463e-1
QQN-GoldenSection,492,1.229810e-1,-9.101621e-1
QQN-GoldenSection,540,1.198778e-1,-9.212614e-1
QQN-GoldenSection,588,1.161144e-1,-9.351140e-1
QQN-GoldenSection,636,1.133423e-1,-9.456082e-1
QQN-GoldenSection,684,1.105597e-1,-9.564030e-1
QQN-GoldenSection,732,1.066123e-1,-9.721926e-1
QQN-GoldenSection,780,1.033573e-1,-9.856590e-1
QQN-GoldenSection,828,1.001102e-1,-9.995218e-1
QQN-GoldenSection,876,9.791483e-2,-1.009152e0
QQN-GoldenSection,924,9.432622e-2,-1.025368e0
QQN-GoldenSection,972,9.135179e-2,-1.039283e0
QQN-GoldenSection,1020,8.820804e-2,-1.054492e0
QQN-GoldenSection,2,2.387064e-1,-6.221360e-1
QQN-GoldenSection,50,2.387064e-1,-6.221360e-1
QQN-GoldenSection,108,1.674290e-1,-7.761693e-1
QQN-GoldenSection,156,1.615533e-1,-7.916842e-1
QQN-GoldenSection,204,1.541123e-1,-8.121628e-1
QQN-GoldenSection,252,1.466471e-1,-8.337266e-1
QQN-GoldenSection,300,1.432006e-1,-8.440552e-1
QQN-GoldenSection,348,1.401943e-1,-8.532696e-1
QQN-GoldenSection,396,1.353394e-1,-8.685757e-1
QQN-GoldenSection,444,1.305012e-1,-8.843855e-1
QQN-GoldenSection,492,1.249437e-1,-9.032857e-1
QQN-GoldenSection,540,1.198168e-1,-9.214825e-1
QQN-GoldenSection,588,1.163904e-1,-9.340828e-1
QQN-GoldenSection,636,1.132174e-1,-9.460870e-1
QQN-GoldenSection,684,1.095923e-1,-9.602198e-1
QQN-GoldenSection,732,1.081404e-1,-9.660122e-1
QQN-GoldenSection,780,1.017627e-1,-9.924112e-1
QQN-GoldenSection,828,9.935137e-2,-1.002826e0
QQN-GoldenSection,876,9.697686e-2,-1.013332e0
QQN-GoldenSection,924,9.285564e-2,-1.032192e0
QQN-GoldenSection,972,8.943550e-2,-1.048490e0
QQN-GoldenSection,1020,8.539959e-2,-1.068544e0
QQN-GoldenSection,2,2.668043e-1,-5.738072e-1
QQN-GoldenSection,50,2.668043e-1,-5.738072e-1
QQN-GoldenSection,108,1.594283e-1,-7.974345e-1
QQN-GoldenSection,156,1.561656e-1,-8.064146e-1
QQN-GoldenSection,204,1.521854e-1,-8.176270e-1
QQN-GoldenSection,252,1.457656e-1,-8.363448e-1
QQN-GoldenSection,300,1.428531e-1,-8.451103e-1
QQN-GoldenSection,348,1.392627e-1,-8.561651e-1
QQN-GoldenSection,396,1.333246e-1,-8.750898e-1
QQN-GoldenSection,444,1.304087e-1,-8.846936e-1
QQN-GoldenSection,492,1.270257e-1,-8.961084e-1
QQN-GoldenSection,540,1.226401e-1,-9.113675e-1
QQN-GoldenSection,588,1.165244e-1,-9.335833e-1
QQN-GoldenSection,636,1.116030e-1,-9.523241e-1
QQN-GoldenSection,684,1.086995e-1,-9.637723e-1
QQN-GoldenSection,732,1.047299e-1,-9.799293e-1
QQN-GoldenSection,780,1.006013e-1,-9.973965e-1
QQN-GoldenSection,828,9.790005e-2,-1.009217e0
QQN-GoldenSection,876,9.613119e-2,-1.017136e0
QQN-GoldenSection,924,9.261301e-2,-1.033328e0
QQN-GoldenSection,972,9.071874e-2,-1.042303e0
QQN-GoldenSection,1020,8.853127e-2,-1.052903e0
QQN-GoldenSection,2,1.973968e-1,-7.046599e-1
QQN-GoldenSection,50,1.973968e-1,-7.046599e-1
QQN-GoldenSection,108,1.596384e-1,-7.968625e-1
QQN-GoldenSection,156,1.545756e-1,-8.108592e-1
QQN-GoldenSection,204,1.471576e-1,-8.322172e-1
QQN-GoldenSection,252,1.408002e-1,-8.513966e-1
QQN-GoldenSection,300,1.402141e-1,-8.532083e-1
QQN-GoldenSection,348,1.349437e-1,-8.698472e-1
QQN-GoldenSection,396,1.307089e-1,-8.836949e-1
QQN-GoldenSection,444,1.262539e-1,-8.987553e-1
QQN-GoldenSection,492,1.218119e-1,-9.143102e-1
QQN-GoldenSection,540,1.165764e-1,-9.333892e-1
QQN-GoldenSection,588,1.096088e-1,-9.601546e-1
QQN-GoldenSection,636,1.045086e-1,-9.808479e-1
QQN-GoldenSection,684,9.921999e-2,-1.003401e0
QQN-GoldenSection,732,9.525222e-2,-1.021125e0
QQN-GoldenSection,780,9.160900e-2,-1.038062e0
QQN-GoldenSection,828,8.839353e-2,-1.053580e0
