Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.964870e-1
QQN-GoldenSection,50,3.964870e-1
QQN-GoldenSection,108,2.293871e-1
QQN-GoldenSection,156,2.244968e-1
QQN-GoldenSection,204,2.202102e-1
QQN-GoldenSection,252,2.158121e-1
QQN-GoldenSection,300,2.141622e-1
QQN-GoldenSection,355,2.117137e-1
QQN-GoldenSection,414,2.070195e-1
QQN-GoldenSection,462,2.037114e-1
QQN-GoldenSection,510,1.998291e-1
QQN-GoldenSection,558,1.969217e-1
QQN-GoldenSection,606,1.939622e-1
QQN-GoldenSection,654,1.893559e-1
QQN-GoldenSection,702,1.868925e-1
QQN-GoldenSection,750,1.848300e-1
QQN-GoldenSection,798,1.830712e-1
QQN-GoldenSection,846,1.812635e-1
QQN-GoldenSection,901,1.777445e-1
QQN-GoldenSection,960,1.760678e-1
QQN-GoldenSection,1008,1.744263e-1
QQN-GoldenSection,2,3.581098e-1
QQN-GoldenSection,50,3.581098e-1
QQN-GoldenSection,108,2.202667e-1
QQN-GoldenSection,156,2.181037e-1
QQN-GoldenSection,204,2.111589e-1
QQN-GoldenSection,252,2.066067e-1
QQN-GoldenSection,300,2.019259e-1
QQN-GoldenSection,348,1.988007e-1
QQN-GoldenSection,396,1.936739e-1
QQN-GoldenSection,444,1.913533e-1
QQN-GoldenSection,492,1.885016e-1
QQN-GoldenSection,540,1.879744e-1
QQN-GoldenSection,588,1.866696e-1
QQN-GoldenSection,636,1.861807e-1
QQN-GoldenSection,684,1.853527e-1
QQN-GoldenSection,732,1.840507e-1
QQN-GoldenSection,780,1.832789e-1
QQN-GoldenSection,828,1.819752e-1
QQN-GoldenSection,876,1.805757e-1
QQN-GoldenSection,924,1.791908e-1
QQN-GoldenSection,972,1.783024e-1
QQN-GoldenSection,1020,1.769790e-1
QQN-GoldenSection,2,4.885915e-1
QQN-GoldenSection,50,4.885915e-1
QQN-GoldenSection,108,2.257951e-1
QQN-GoldenSection,156,2.208952e-1
QQN-GoldenSection,204,2.121638e-1
QQN-GoldenSection,252,2.113469e-1
QQN-GoldenSection,300,2.076894e-1
QQN-GoldenSection,348,2.062370e-1
QQN-GoldenSection,396,2.039875e-1
QQN-GoldenSection,444,2.018023e-1
QQN-GoldenSection,492,1.992207e-1
QQN-GoldenSection,540,1.967203e-1
QQN-GoldenSection,596,1.951063e-1
QQN-GoldenSection,656,1.932433e-1
QQN-GoldenSection,704,1.905888e-1
QQN-GoldenSection,752,1.891422e-1
QQN-GoldenSection,800,1.865738e-1
QQN-GoldenSection,848,1.845284e-1
QQN-GoldenSection,896,1.825032e-1
QQN-GoldenSection,944,1.792369e-1
QQN-GoldenSection,992,1.767531e-1
QQN-GoldenSection,1040,1.744139e-1
QQN-GoldenSection,2,3.968621e-1
QQN-GoldenSection,50,3.968621e-1
QQN-GoldenSection,108,2.224967e-1
QQN-GoldenSection,156,2.205557e-1
QQN-GoldenSection,204,2.175673e-1
QQN-GoldenSection,252,2.096555e-1
QQN-GoldenSection,300,2.089354e-1
QQN-GoldenSection,348,2.016579e-1
QQN-GoldenSection,396,1.996436e-1
QQN-GoldenSection,444,1.977842e-1
QQN-GoldenSection,492,1.951079e-1
QQN-GoldenSection,540,1.912822e-1
QQN-GoldenSection,588,1.894992e-1
QQN-GoldenSection,636,1.855084e-1
QQN-GoldenSection,684,1.842527e-1
QQN-GoldenSection,732,1.820804e-1
QQN-GoldenSection,780,1.801045e-1
QQN-GoldenSection,828,1.794278e-1
