Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.233542e1
QQN-GoldenSection,49,1.233542e1
QQN-GoldenSection,2,1.084842e1
QQN-GoldenSection,15,1.084842e1
QQN-GoldenSection,67,1.084734e1
QQN-GoldenSection,81,9.234243e0
QQN-GoldenSection,2,8.496380e0
QQN-GoldenSection,52,8.496380e0
QQN-GoldenSection,2,1.005013e1
QQN-GoldenSection,53,1.005013e1
QQN-GoldenSection,2,1.092962e1
QQN-GoldenSection,53,1.092962e1
QQN-GoldenSection,2,8.246656e0
QQN-GoldenSection,50,8.246656e0
QQN-GoldenSection,2,8.958648e0
QQN-GoldenSection,49,8.958648e0
QQN-GoldenSection,2,9.556646e0
QQN-GoldenSection,48,9.556646e0
QQN-GoldenSection,2,1.108017e1
QQN-GoldenSection,54,1.108017e1
QQN-GoldenSection,2,9.922303e0
QQN-GoldenSection,50,9.922303e0
QQN-GoldenSection,2,9.079980e0
QQN-GoldenSection,15,9.079980e0
QQN-GoldenSection,2,1.010652e1
QQN-GoldenSection,49,1.010652e1
QQN-Bisection-1,2,1.015916e1
QQN-Bisection-1,63,1.015916e1
QQN-Bisection-1,134,1.014302e1
QQN-Bisection-1,205,8.260677e0
QQN-Bisection-1,289,8.136335e0
QQN-Bisection-1,2,8.927658e0
QQN-Bisection-1,76,8.927658e0
QQN-Bisection-1,149,8.662337e0
QQN-Bisection-1,233,8.468997e0
QQN-Bisection-1,304,8.465398e0
QQN-Bisection-1,377,8.157343e0
QQN-Bisection-1,417,8.083629e0
QQN-Bisection-1,507,7.955716e0
QQN-Bisection-1,597,7.868570e0
QQN-Bisection-1,687,7.779118e0
QQN-Bisection-1,2,1.046443e1
QQN-Bisection-1,59,1.046443e1
QQN-Bisection-1,143,1.046400e1
QQN-Bisection-1,227,1.046328e1
QQN-Bisection-1,2,1.013588e1
QQN-Bisection-1,76,1.013588e1
QQN-Bisection-1,160,9.927755e0
QQN-Bisection-1,2,9.104274e0
QQN-Bisection-1,63,9.104274e0
QQN-Bisection-1,2,1.056212e1
QQN-Bisection-1,59,1.056212e1
QQN-Bisection-1,144,1.046026e1
QQN-Bisection-1,184,1.042045e1
QQN-Bisection-1,274,1.037045e1
QQN-Bisection-1,2,8.813016e0
QQN-Bisection-1,76,8.813016e0
QQN-Bisection-1,159,8.723130e0
QQN-Bisection-1,199,7.559842e0
QQN-Bisection-1,220,7.233447e0
QQN-Bisection-1,310,6.845110e0
QQN-Bisection-1,400,6.571489e0
QQN-Bisection-1,479,6.568976e0
QQN-Bisection-1,569,6.533816e0
QQN-Bisection-1,659,6.524684e0
QQN-Bisection-1,738,6.514748e0
QQN-Bisection-1,828,5.934703e0
QQN-Bisection-1,918,5.924865e0
QQN-Bisection-1,1008,5.923552e0
QQN-Bisection-1,2,1.062645e1
QQN-Bisection-1,59,1.062645e1
QQN-Bisection-1,144,1.042993e1
QQN-Bisection-1,228,1.041451e1
QQN-Bisection-1,2,1.043778e1
QQN-Bisection-1,63,1.043778e1
QQN-Bisection-1,2,1.089370e1
QQN-Bisection-1,76,1.089370e1
QQN-Bisection-1,161,1.065123e1
QQN-Bisection-1,201,1.062381e1
QQN-Bisection-1,222,1.046072e1
QQN-Bisection-1,243,1.029752e1
QQN-Bisection-1,264,1.023567e1
QQN-Bisection-1,354,1.019169e1
QQN-Bisection-1,375,1.017360e1
QQN-Bisection-1,396,1.016820e1
QQN-Bisection-1,417,9.948469e0
QQN-Bisection-1,507,9.852052e0
QQN-Bisection-1,586,9.845709e0
QQN-Bisection-1,2,8.777455e0
QQN-Bisection-1,59,8.777455e0
QQN-Bisection-1,142,8.744553e0
QQN-Bisection-1,182,8.257834e0
QQN-Bisection-1,203,7.564237e0
QQN-Bisection-1,224,7.260251e0
QQN-Bisection-1,314,6.890747e0
QQN-Bisection-1,2,9.695232e0
QQN-Bisection-1,76,9.695232e0
QQN-Bisection-1,151,9.368609e0
QQN-Bisection-1,235,9.348917e0
QQN-Bisection-1,306,9.346432e0
QQN-Bisection-1,346,6.931232e0
QQN-Bisection-1,436,6.861975e0
QQN-Bisection-1,526,6.745770e0
QQN-Bisection-1,616,6.738783e0
QQN-Bisection-1,706,6.665958e0
QQN-Bisection-1,796,6.625340e0
QQN-Bisection-1,886,6.624208e0
QQN-Bisection-1,2,9.616418e0
QQN-Bisection-1,76,9.616418e0
QQN-Bisection-1,159,8.212852e0
QQN-Bisection-1,243,7.477981e0
QQN-Bisection-1,326,7.472259e0
QQN-Bisection-1,366,6.983634e0
QQN-Bisection-1,456,6.325158e0
QQN-Bisection-1,477,6.320705e0
QQN-Bisection-1,567,6.158553e0
QQN-Bisection-1,657,6.157014e0
QQN-Bisection-1,678,6.154051e0
QQN-Bisection-1,768,6.143300e0
QQN-Bisection-1,2,1.017795e1
QQN-Bisection-1,63,1.017795e1
QQN-Bisection-1,136,1.017069e1
QQN-Bisection-1,220,9.880706e0
QQN-Bisection-1,305,9.874507e0
QQN-CubicQuadraticInterpolation,2,1.079947e1
QQN-CubicQuadraticInterpolation,54,1.079947e1
QQN-CubicQuadraticInterpolation,2,1.033724e1
QQN-CubicQuadraticInterpolation,15,1.033724e1
QQN-CubicQuadraticInterpolation,2,9.688651e0
QQN-CubicQuadraticInterpolation,64,9.688651e0
QQN-CubicQuadraticInterpolation,2,9.632269e0
QQN-CubicQuadraticInterpolation,64,9.632269e0
QQN-CubicQuadraticInterpolation,78,9.622069e0
QQN-CubicQuadraticInterpolation,2,1.125885e1
QQN-CubicQuadraticInterpolation,64,1.125885e1
QQN-CubicQuadraticInterpolation,78,1.015235e1
QQN-CubicQuadraticInterpolation,2,8.266342e0
QQN-CubicQuadraticInterpolation,15,8.266342e0
QQN-CubicQuadraticInterpolation,2,1.011379e1
QQN-CubicQuadraticInterpolation,64,1.011379e1
QQN-CubicQuadraticInterpolation,2,1.063519e1
QQN-CubicQuadraticInterpolation,64,1.063519e1
QQN-CubicQuadraticInterpolation,152,1.012000e1
QQN-CubicQuadraticInterpolation,2,1.074931e1
QQN-CubicQuadraticInterpolation,64,1.074931e1
QQN-CubicQuadraticInterpolation,152,8.625417e0
QQN-CubicQuadraticInterpolation,167,8.621615e0
QQN-CubicQuadraticInterpolation,2,9.494292e0
QQN-CubicQuadraticInterpolation,64,9.494292e0
QQN-CubicQuadraticInterpolation,2,9.711208e0
QQN-CubicQuadraticInterpolation,64,9.711208e0
L-BFGS-Aggressive,2,9.337819e0
L-BFGS-Aggressive,15,9.337819e0
L-BFGS-Aggressive,28,9.337597e0
L-BFGS-Aggressive,2,1.019134e1
L-BFGS-Aggressive,15,1.019134e1
L-BFGS-Aggressive,2,9.984200e0
L-BFGS-Aggressive,15,9.984200e0
L-BFGS-Aggressive,2,1.058242e1
L-BFGS-Aggressive,15,1.058242e1
L-BFGS-Aggressive,2,1.151013e1
L-BFGS-Aggressive,15,1.151013e1
L-BFGS-Aggressive,2,1.005275e1
L-BFGS-Aggressive,15,1.005275e1
L-BFGS-Aggressive,28,1.004468e1
L-BFGS-Aggressive,41,1.004162e1
L-BFGS-Aggressive,2,9.844437e0
L-BFGS-Aggressive,15,9.844437e0
L-BFGS-Aggressive,2,1.063779e1
L-BFGS-Aggressive,15,1.063779e1
L-BFGS-Aggressive,28,1.063138e1
L-BFGS-Aggressive,2,8.759320e0
L-BFGS-Aggressive,15,8.759320e0
L-BFGS-Aggressive,28,8.759309e0
L-BFGS-Aggressive,2,1.091706e1
L-BFGS-Aggressive,15,1.091706e1
L-BFGS-Aggressive,28,1.091192e1
L-BFGS-Aggressive,2,1.083180e1
L-BFGS-Aggressive,15,1.083180e1
L-BFGS-Aggressive,2,8.415639e0
L-BFGS-Aggressive,15,8.415639e0
L-BFGS-Aggressive,2,1.067006e1
L-BFGS-Aggressive,15,1.067006e1
L-BFGS-Aggressive,2,9.857298e0
L-BFGS-Aggressive,15,9.857298e0
Adam-Fast,2,9.954946e0
Adam-Fast,6,9.954946e0
Adam-Fast,10,9.319331e0
Adam-Fast,14,8.454352e0
Adam-Fast,18,8.206122e0
Adam-Fast,22,8.185214e0
Adam-Fast,26,8.217403e0
Adam-Fast,30,8.304580e0
Adam-Fast,34,8.547413e0
Adam-Fast,38,8.843798e0
Adam-Fast,42,9.059109e0
Adam-Fast,2,9.546152e0
Adam-Fast,6,9.546152e0
Adam-Fast,10,9.679075e0
Adam-Fast,14,9.499371e0
Adam-Fast,18,9.583153e0
Adam-Fast,22,9.632000e0
Adam-Fast,26,9.829624e0
Adam-Fast,30,9.787361e0
Adam-Fast,34,9.636273e0
Adam-Fast,2,9.320794e0
Adam-Fast,6,9.320794e0
Adam-Fast,10,9.358980e0
Adam-Fast,14,9.565255e0
Adam-Fast,18,9.724336e0
Adam-Fast,22,1.003729e1
Adam-Fast,2,8.994281e0
Adam-Fast,6,8.994281e0
Adam-Fast,10,8.617342e0
Adam-Fast,14,8.361875e0
Adam-Fast,18,8.466149e0
Adam-Fast,22,8.937897e0
Adam-Fast,26,9.230218e0
Adam-Fast,30,9.492433e0
Adam-Fast,34,9.711911e0
Adam-Fast,2,1.090009e1
Adam-Fast,6,1.090009e1
Adam-Fast,10,1.060998e1
Adam-Fast,14,1.047018e1
Adam-Fast,18,1.042154e1
Adam-Fast,22,1.037014e1
Adam-Fast,26,1.053513e1
Adam-Fast,30,1.074090e1
Adam-Fast,34,1.089550e1
Adam-Fast,38,1.098867e1
Adam-Fast,42,1.116557e1
Adam-Fast,2,1.010921e1
Adam-Fast,6,1.010921e1
Adam-Fast,10,1.046553e1
Adam-Fast,14,1.056600e1
Adam-Fast,18,1.048810e1
Adam-Fast,22,1.070758e1
Adam-Fast,2,9.569342e0
Adam-Fast,6,9.569342e0
Adam-Fast,10,1.047843e1
Adam-Fast,14,1.069229e1
Adam-Fast,18,1.103152e1
Adam-Fast,22,1.174030e1
Adam-Fast,2,1.088165e1
Adam-Fast,6,1.088165e1
Adam-Fast,10,1.107333e1
Adam-Fast,14,1.083145e1
Adam-Fast,18,1.109321e1
Adam-Fast,22,1.125587e1
Adam-Fast,26,1.111106e1
Adam-Fast,30,1.112764e1
Adam-Fast,34,1.116035e1
Adam-Fast,2,9.183386e0
Adam-Fast,6,9.183386e0
Adam-Fast,10,9.232027e0
Adam-Fast,14,9.446161e0
Adam-Fast,18,9.871204e0
Adam-Fast,22,1.038967e1
Adam-Fast,2,9.543954e0
Adam-Fast,6,9.543954e0
Adam-Fast,10,9.606276e0
Adam-Fast,14,9.744787e0
Adam-Fast,18,9.855511e0
Adam-Fast,22,1.007925e1
Adam-Fast,2,9.721697e0
Adam-Fast,6,9.721697e0
Adam-Fast,10,9.423939e0
Adam-Fast,14,9.615197e0
Adam-Fast,18,9.886067e0
Adam-Fast,22,1.014509e1
Adam-Fast,26,1.034036e1
Adam-Fast,30,1.060413e1
Adam-Fast,2,1.062597e1
Adam-Fast,6,1.062597e1
Adam-Fast,10,1.196286e1
Adam-Fast,14,1.210831e1
Adam-Fast,18,1.185992e1
Adam-Fast,22,1.186073e1
Adam-Fast,2,1.042121e1
Adam-Fast,6,1.042121e1
Adam-Fast,10,1.047322e1
Adam-Fast,14,1.075956e1
Adam-Fast,18,1.105046e1
Adam-Fast,22,1.093946e1
Adam-Fast,2,9.638832e0
Adam-Fast,6,9.638832e0
Adam-Fast,10,9.790553e0
Adam-Fast,14,9.761901e0
Adam-Fast,18,9.588399e0
Adam-Fast,22,9.674906e0
Adam-Fast,26,9.852675e0
Adam-Fast,30,9.921594e0
Adam-Fast,34,1.008019e1
Adam-Fast,38,1.004841e1
Adam-Fast,2,1.011429e1
Adam-Fast,6,1.011429e1
Adam-Fast,10,1.063446e1
Adam-Fast,14,1.076200e1
Adam-Fast,18,1.084134e1
Adam-Fast,22,1.095386e1
Adam-Fast,2,1.064681e1
Adam-Fast,6,1.064681e1
Adam-Fast,10,1.075199e1
Adam-Fast,14,1.129039e1
Adam-Fast,18,1.138241e1
Adam-Fast,22,1.127303e1
Adam-Fast,2,1.021864e1
Adam-Fast,6,1.021864e1
Adam-Fast,10,1.020051e1
Adam-Fast,14,1.027460e1
Adam-Fast,18,1.081614e1
Adam-Fast,22,1.159981e1
Adam-Fast,26,1.207442e1
Adam-Fast,30,1.251019e1
Adam-Fast,2,9.390530e0
Adam-Fast,6,9.390530e0
Adam-Fast,10,9.892009e0
Adam-Fast,14,1.080713e1
Adam-Fast,18,1.162060e1
Adam-Fast,22,1.274487e1
Adam-Fast,2,9.649105e0
Adam-Fast,6,9.649105e0
Adam-Fast,10,9.332148e0
Adam-Fast,14,9.376676e0
Adam-Fast,18,9.375970e0
Adam-Fast,22,9.570202e0
Adam-Fast,26,9.643590e0
Adam-Fast,30,9.764592e0
Adam-Fast,2,9.769717e0
Adam-Fast,6,9.769717e0
Adam-Fast,10,1.105422e1
Adam-Fast,14,1.092843e1
Adam-Fast,18,1.078479e1
Adam-Fast,22,1.085338e1
GD,2,1.101921e1
GD,5,1.101921e1
GD,8,1.060887e1
GD,11,1.091163e1
GD,14,1.097523e1
GD,17,1.129823e1
GD,20,1.102465e1
GD,23,1.102747e1
GD,2,9.567631e0
GD,5,9.567631e0
GD,8,9.321016e0
GD,11,9.297074e0
GD,14,9.211840e0
GD,17,9.301943e0
GD,20,9.575723e0
GD,23,9.609890e0
GD,26,9.282555e0
GD,29,9.454714e0
GD,2,1.013697e1
GD,5,1.013697e1
GD,8,9.926393e0
GD,11,1.007039e1
GD,14,1.009028e1
GD,17,9.847708e0
GD,20,9.921886e0
GD,23,1.013394e1
GD,26,1.027953e1
GD,29,1.023700e1
GD,32,1.044687e1
GD,2,1.069557e1
GD,5,1.069557e1
GD,8,1.057188e1
GD,11,1.055314e1
GD,14,1.074139e1
GD,17,1.085887e1
GD,20,1.124722e1
GD,23,1.107449e1
GD,26,1.121683e1
GD,2,8.391074e0
GD,5,8.391074e0
GD,8,8.878820e0
GD,11,8.766478e0
GD,14,8.551762e0
GD,17,8.768271e0
GD,2,9.989204e0
GD,5,9.989204e0
GD,8,1.008221e1
GD,11,1.005834e1
GD,14,1.008667e1
GD,17,1.008675e1
GD,2,1.032897e1
GD,5,1.032897e1
GD,8,1.021533e1
GD,11,9.934709e0
GD,14,9.530347e0
GD,17,9.274302e0
GD,20,9.058135e0
GD,23,9.031022e0
GD,26,9.116421e0
GD,29,8.928502e0
GD,32,8.991462e0
GD,35,8.895183e0
GD,38,9.123911e0
GD,41,8.858618e0
GD,44,8.823920e0
GD,47,8.729275e0
GD,50,8.630679e0
GD,53,8.586055e0
GD,56,8.433241e0
GD,59,8.457681e0
GD,62,8.625942e0
GD,65,8.496256e0
GD,68,8.081419e0
GD,71,8.455739e0
GD,74,8.414847e0
GD,77,8.473945e0
GD,80,8.812718e0
GD,83,9.142248e0
GD,2,1.017070e1
GD,5,1.017070e1
GD,8,1.036758e1
GD,11,1.010041e1
GD,14,1.045142e1
GD,17,1.067207e1
GD,20,1.080940e1
GD,23,1.072247e1
GD,26,1.070621e1
GD,2,1.070280e1
GD,5,1.070280e1
GD,8,1.058774e1
GD,11,1.050620e1
GD,14,1.036970e1
GD,17,1.045005e1
GD,20,1.067169e1
GD,23,1.071431e1
GD,26,1.072768e1
GD,29,1.088265e1
GD,2,1.090436e1
GD,5,1.090436e1
GD,8,1.098666e1
GD,11,1.110851e1
GD,14,1.112005e1
GD,17,1.091471e1
GD,20,1.066684e1
GD,23,1.087880e1
GD,26,1.094928e1
GD,29,1.093377e1
GD,32,1.101192e1
GD,35,1.098904e1
GD,2,9.165389e0
GD,5,9.165389e0
GD,8,9.513380e0
GD,11,9.363028e0
GD,14,9.507607e0
GD,17,9.781658e0
GD,2,1.026509e1
GD,5,1.026509e1
GD,8,1.036505e1
GD,11,1.062659e1
GD,14,1.105337e1
GD,17,1.127954e1
GD,2,9.605467e0
GD,5,9.605467e0
GD,8,9.638399e0
GD,11,9.439976e0
GD,14,9.918866e0
GD,17,1.004971e1
GD,20,1.000739e1
GD,23,9.944153e0
GD,26,9.943540e0
GD,2,9.722758e0
GD,5,9.722758e0
GD,8,9.970061e0
GD,11,1.028009e1
GD,14,1.073986e1
GD,17,1.039213e1
GD,2,1.133275e1
GD,5,1.133275e1
GD,8,1.108636e1
GD,11,1.114065e1
GD,14,1.078386e1
GD,17,1.060059e1
GD,20,1.032691e1
GD,23,1.019687e1
GD,26,1.009871e1
GD,29,9.563809e0
GD,32,9.410711e0
GD,35,9.413462e0
GD,38,9.777539e0
GD,41,9.649264e0
GD,44,9.705055e0
GD,47,9.639727e0
GD,2,1.096854e1
GD,5,1.096854e1
GD,8,1.087740e1
GD,11,1.105440e1
GD,14,1.114162e1
GD,17,1.066044e1
GD,20,1.061216e1
GD,23,1.061334e1
GD,26,1.098391e1
GD,29,1.050885e1
GD,32,1.077811e1
GD,35,1.044478e1
GD,38,1.030432e1
GD,41,1.030025e1
GD,44,1.039315e1
GD,47,1.060441e1
GD,50,1.098196e1
GD,53,1.110165e1
GD,56,1.150912e1
GD,2,8.106542e0
GD,5,8.106542e0
GD,8,8.036694e0
GD,11,8.330493e0
GD,14,8.174166e0
GD,17,8.546968e0
GD,20,8.441513e0
GD,23,8.697307e0
GD,2,9.828478e0
GD,5,9.828478e0
GD,8,1.004643e1
GD,11,9.812266e0
GD,14,9.794223e0
GD,17,9.789274e0
GD,20,9.934653e0
GD,23,9.881294e0
GD,26,9.741459e0
GD,29,9.892730e0
GD,32,9.707530e0
GD,35,9.613651e0
GD,38,9.298125e0
GD,41,9.117012e0
GD,44,9.354748e0
GD,47,9.010717e0
GD,50,9.228011e0
GD,53,8.942150e0
GD,56,8.593535e0
GD,59,8.430864e0
GD,62,8.475032e0
GD,65,8.402357e0
GD,68,8.491246e0
GD,71,8.654418e0
GD,74,8.766901e0
GD,77,9.110143e0
GD,80,8.804649e0
GD,2,1.072307e1
GD,5,1.072307e1
GD,8,1.077323e1
GD,11,1.046597e1
GD,14,1.031423e1
GD,17,1.024639e1
GD,20,1.018589e1
GD,23,1.049443e1
GD,26,1.060660e1
GD,29,1.067108e1
GD,32,1.064188e1
GD,35,1.074309e1
GD,2,1.051254e1
GD,5,1.051254e1
GD,8,1.098759e1
GD,11,1.121801e1
