Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,5.948296e0,7.743926e-1
QQN-GoldenSection,15,5.948296e0,7.743926e-1
QQN-GoldenSection,2,4.161201e0,6.192187e-1
QQN-GoldenSection,49,4.161201e0,6.192187e-1
QQN-GoldenSection,2,4.589083e0,6.617259e-1
QQN-GoldenSection,50,4.589083e0,6.617259e-1
QQN-GoldenSection,2,5.010051e0,6.998422e-1
QQN-GoldenSection,53,5.010051e0,6.998422e-1
QQN-GoldenSection,2,5.001517e0,6.991018e-1
QQN-GoldenSection,54,5.001517e0,6.991018e-1
QQN-GoldenSection,2,4.691710e0,6.713312e-1
QQN-GoldenSection,54,4.691710e0,6.713312e-1
QQN-GoldenSection,2,4.502146e0,6.534196e-1
QQN-GoldenSection,53,4.502146e0,6.534196e-1
QQN-GoldenSection,2,5.355934e0,7.288352e-1
QQN-GoldenSection,54,5.355934e0,7.288352e-1
QQN-GoldenSection,68,4.663792e0,6.687392e-1
QQN-GoldenSection,2,5.750171e0,7.596808e-1
QQN-GoldenSection,50,5.750171e0,7.596808e-1
QQN-GoldenSection,2,5.051241e0,7.033981e-1
QQN-GoldenSection,53,5.051241e0,7.033981e-1
QQN-GoldenSection,2,5.245366e0,7.197758e-1
QQN-GoldenSection,49,5.245366e0,7.197758e-1
QQN-GoldenSection,2,4.888747e0,6.891976e-1
QQN-GoldenSection,51,4.888747e0,6.891976e-1
QQN-Bisection-1,2,5.923739e0,7.725959e-1
QQN-Bisection-1,94,5.923739e0,7.725959e-1
QQN-Bisection-1,175,4.693864e0,6.715305e-1
QQN-Bisection-1,259,3.588408e0,5.549018e-1
QQN-Bisection-1,332,3.582910e0,5.542359e-1
QQN-Bisection-1,372,3.305928e0,5.192934e-1
QQN-Bisection-1,462,3.087977e0,4.896740e-1
QQN-Bisection-1,551,3.073440e0,4.876247e-1
QQN-Bisection-1,641,2.504849e0,3.987815e-1
QQN-Bisection-1,2,5.950736e0,7.745707e-1
QQN-Bisection-1,76,5.950736e0,7.745707e-1
QQN-Bisection-1,151,5.925528e0,7.727271e-1
QQN-Bisection-1,191,5.915843e0,7.720167e-1
QQN-Bisection-1,212,5.758666e0,7.603219e-1
QQN-Bisection-1,302,5.677611e0,7.541656e-1
QQN-Bisection-1,392,5.677188e0,7.541333e-1
QQN-Bisection-1,482,5.672411e0,7.537677e-1
QQN-Bisection-1,503,5.671073e0,7.536652e-1
QQN-Bisection-1,593,3.733087e0,5.720681e-1
QQN-Bisection-1,2,4.603395e0,6.630783e-1
QQN-Bisection-1,76,4.603395e0,6.630783e-1
QQN-Bisection-1,159,4.031415e0,6.054575e-1
QQN-Bisection-1,243,3.877414e0,5.885422e-1
QQN-Bisection-1,314,3.874682e0,5.882360e-1
QQN-Bisection-1,354,3.121072e0,4.943039e-1
QQN-Bisection-1,444,2.853859e0,4.554325e-1
QQN-Bisection-1,534,2.836545e0,4.527897e-1
QQN-Bisection-1,555,2.824414e0,4.509284e-1
QQN-Bisection-1,645,2.763047e0,4.413883e-1
QQN-Bisection-1,666,2.751272e0,4.395336e-1
QQN-Bisection-1,756,2.470128e0,3.927194e-1
QQN-Bisection-1,2,4.599742e0,6.627335e-1
QQN-Bisection-1,76,4.599742e0,6.627335e-1
QQN-Bisection-1,147,4.352902e0,6.387789e-1
QQN-Bisection-1,2,4.671200e0,6.694285e-1
QQN-Bisection-1,63,4.671200e0,6.694285e-1
QQN-Bisection-1,2,4.647116e0,6.671835e-1
