Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,8.241155e4
QQN-GoldenSection,54,8.241155e4
QQN-GoldenSection,107,1.126484e0
QQN-GoldenSection,158,1.125065e0
QQN-GoldenSection,209,1.125063e0
QQN-GoldenSection,260,1.125031e0
QQN-GoldenSection,310,1.125028e0
QQN-GoldenSection,361,1.125026e0
QQN-GoldenSection,411,1.125024e0
QQN-GoldenSection,462,1.125022e0
QQN-GoldenSection,512,1.125019e0
QQN-GoldenSection,563,1.125017e0
QQN-GoldenSection,613,1.125015e0
QQN-GoldenSection,663,1.125013e0
QQN-GoldenSection,713,1.125010e0
QQN-GoldenSection,763,1.125008e0
QQN-GoldenSection,813,1.125006e0
QQN-GoldenSection,863,1.125004e0
QQN-GoldenSection,912,1.125001e0
QQN-GoldenSection,961,1.124999e0
QQN-GoldenSection,1019,1.124999e0
QQN-GoldenSection,2,1.575841e5
QQN-GoldenSection,54,1.575841e5
QQN-GoldenSection,107,1.127042e0
QQN-GoldenSection,159,1.125234e0
QQN-GoldenSection,209,1.125232e0
QQN-GoldenSection,261,1.125230e0
QQN-GoldenSection,311,1.125228e0
QQN-GoldenSection,363,1.125225e0
QQN-GoldenSection,415,1.125223e0
QQN-GoldenSection,467,1.125094e0
QQN-GoldenSection,517,1.125092e0
QQN-GoldenSection,569,1.125090e0
QQN-GoldenSection,619,1.125088e0
QQN-GoldenSection,671,1.125085e0
QQN-GoldenSection,721,1.125083e0
QQN-GoldenSection,773,1.125081e0
QQN-GoldenSection,823,1.125079e0
QQN-GoldenSection,875,1.125076e0
QQN-GoldenSection,925,1.125074e0
QQN-GoldenSection,977,1.125072e0
QQN-GoldenSection,1027,1.125070e0
QQN-GoldenSection,2,1.221980e5
QQN-GoldenSection,54,1.221980e5
QQN-GoldenSection,107,1.126801e0
QQN-GoldenSection,159,1.125176e0
QQN-GoldenSection,209,1.125173e0
QQN-GoldenSection,261,1.125171e0
QQN-GoldenSection,311,1.125168e0
QQN-GoldenSection,363,1.125166e0
QQN-GoldenSection,413,1.125164e0
QQN-GoldenSection,465,1.125162e0
QQN-GoldenSection,515,1.125159e0
QQN-GoldenSection,567,1.125157e0
QQN-GoldenSection,617,1.125155e0
QQN-GoldenSection,669,1.125153e0
QQN-GoldenSection,727,1.125150e0
QQN-GoldenSection,783,1.125108e0
QQN-GoldenSection,842,1.125105e0
QQN-GoldenSection,898,1.125103e0
QQN-GoldenSection,956,1.125101e0
QQN-GoldenSection,1012,1.125098e0
QQN-GoldenSection,2,1.718763e5
QQN-GoldenSection,54,1.718763e5
QQN-GoldenSection,107,1.127125e0
QQN-GoldenSection,159,1.125304e0
QQN-GoldenSection,209,1.125302e0
