Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,5.686313e5,5.754831e0
QQN-GoldenSection,54,5.686313e5,5.754831e0
QQN-GoldenSection,107,2.818490e0,4.500165e-1
QQN-GoldenSection,159,2.814581e0,4.494137e-1
QQN-GoldenSection,211,2.814567e0,4.494115e-1
QQN-GoldenSection,263,2.814266e0,4.493651e-1
QQN-GoldenSection,313,2.814252e0,4.493629e-1
QQN-GoldenSection,365,2.814237e0,4.493607e-1
QQN-GoldenSection,417,2.814223e0,4.493586e-1
QQN-GoldenSection,469,2.813603e0,4.492627e-1
QQN-GoldenSection,519,2.813588e0,4.492606e-1
QQN-GoldenSection,571,2.813574e0,4.492584e-1
QQN-GoldenSection,621,2.813560e0,4.492562e-1
QQN-GoldenSection,673,2.813546e0,4.492540e-1
QQN-GoldenSection,723,2.813532e0,4.492519e-1
QQN-GoldenSection,775,2.813518e0,4.492497e-1
QQN-GoldenSection,825,2.813504e0,4.492475e-1
QQN-GoldenSection,877,2.813490e0,4.492453e-1
QQN-GoldenSection,927,2.813476e0,4.492432e-1
QQN-GoldenSection,985,2.813461e0,4.492410e-1
QQN-GoldenSection,1043,2.813202e0,4.492009e-1
QQN-GoldenSection,2,2.427565e5,5.385171e0
QQN-GoldenSection,54,2.427565e5,5.385171e0
QQN-GoldenSection,106,2.815756e0,4.495951e-1
QQN-GoldenSection,164,2.814639e0,4.494228e-1
QQN-GoldenSection,220,2.813741e0,4.492841e-1
QQN-GoldenSection,277,2.813725e0,4.492817e-1
QQN-GoldenSection,333,2.813713e0,4.492798e-1
QQN-GoldenSection,390,2.813707e0,4.492789e-1
QQN-GoldenSection,446,2.813701e0,4.492780e-1
QQN-GoldenSection,503,2.813695e0,4.492771e-1
QQN-GoldenSection,559,2.813689e0,4.492761e-1
QQN-GoldenSection,616,2.813683e0,4.492752e-1
QQN-GoldenSection,672,2.813677e0,4.492743e-1
QQN-GoldenSection,729,2.813671e0,4.492734e-1
QQN-GoldenSection,777,2.813665e0,4.492724e-1
QQN-GoldenSection,833,2.813575e0,4.492585e-1
QQN-GoldenSection,890,2.813558e0,4.492558e-1
QQN-GoldenSection,946,2.813540e0,4.492531e-1
QQN-GoldenSection,1002,2.813523e0,4.492505e-1
QQN-GoldenSection,2,3.952182e5,5.596837e0
QQN-GoldenSection,54,3.952182e5,5.596837e0
QQN-GoldenSection,107,2.817392e0,4.498474e-1
QQN-GoldenSection,158,2.814009e0,4.493255e-1
QQN-GoldenSection,208,2.813995e0,4.493233e-1
QQN-GoldenSection,259,2.813981e0,4.493211e-1
QQN-GoldenSection,309,2.813967e0,4.493190e-1
QQN-GoldenSection,360,2.813953e0,4.493168e-1
QQN-GoldenSection,410,2.813939e0,4.493146e-1
QQN-GoldenSection,462,2.813924e0,4.493124e-1
QQN-GoldenSection,513,2.813910e0,4.493102e-1
QQN-GoldenSection,564,2.813748e0,4.492852e-1
QQN-GoldenSection,615,2.813734e0,4.492831e-1
QQN-GoldenSection,665,2.813561e0,4.492564e-1
QQN-GoldenSection,715,2.813547e0,4.492542e-1
QQN-GoldenSection,767,2.813535e0,4.492524e-1
QQN-GoldenSection,817,2.813526e0,4.492510e-1
QQN-GoldenSection,868,2.813512e0,4.492488e-1
QQN-GoldenSection,918,2.813498e0,4.492466e-1
QQN-GoldenSection,969,2.813484e0,4.492445e-1
QQN-GoldenSection,1020,2.813470e0,4.492423e-1
