Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.109161e1
QQN-GoldenSection,53,3.109161e1
QQN-GoldenSection,108,2.505215e1
QQN-GoldenSection,166,1.324293e1
QQN-GoldenSection,214,1.300721e1
QQN-GoldenSection,262,1.293652e1
QQN-GoldenSection,310,1.293454e1
QQN-GoldenSection,358,1.293443e1
QQN-GoldenSection,406,1.293443e1
QQN-GoldenSection,420,1.293443e1
QQN-GoldenSection,424,1.293443e1
QQN-GoldenSection,2,3.348430e1
QQN-GoldenSection,56,3.348430e1
QQN-GoldenSection,107,3.012424e1
QQN-GoldenSection,159,2.389853e1
QQN-GoldenSection,211,1.990023e1
QQN-GoldenSection,263,1.989907e1
QQN-GoldenSection,277,1.989907e1
QQN-GoldenSection,281,1.989907e1
QQN-GoldenSection,2,2.516013e1
QQN-GoldenSection,56,2.516013e1
QQN-GoldenSection,111,9.098361e0
QQN-GoldenSection,169,7.959985e0
QQN-GoldenSection,217,7.959663e0
QQN-GoldenSection,265,7.959662e0
QQN-GoldenSection,279,7.959662e0
QQN-GoldenSection,283,7.959662e0
QQN-GoldenSection,2,2.525704e1
QQN-GoldenSection,56,2.525704e1
QQN-GoldenSection,111,9.093993e0
QQN-GoldenSection,169,7.960002e0
QQN-GoldenSection,217,7.959663e0
QQN-GoldenSection,231,7.959662e0
QQN-GoldenSection,279,7.959662e0
QQN-GoldenSection,293,7.959662e0
QQN-GoldenSection,297,7.959662e0
QQN-GoldenSection,2,3.167465e1
QQN-GoldenSection,56,3.167465e1
QQN-GoldenSection,114,3.025927e1
QQN-GoldenSection,175,8.892764e0
QQN-GoldenSection,223,4.976776e0
QQN-GoldenSection,271,4.975207e0
QQN-GoldenSection,319,4.974790e0
QQN-GoldenSection,367,4.974790e0
QQN-GoldenSection,371,4.974790e0
QQN-GoldenSection,2,2.870041e1
QQN-GoldenSection,56,2.870041e1
QQN-GoldenSection,109,1.046335e1
QQN-GoldenSection,164,4.709980e0
QQN-GoldenSection,219,1.989919e0
QQN-GoldenSection,223,1.989918e0
QQN-GoldenSection,2,3.393630e1
QQN-GoldenSection,55,3.393630e1
QQN-GoldenSection,110,9.449825e0
QQN-GoldenSection,168,4.990768e0
QQN-GoldenSection,216,4.975186e0
QQN-GoldenSection,264,4.974792e0
QQN-GoldenSection,312,4.974790e0
QQN-GoldenSection,326,4.974790e0
QQN-GoldenSection,330,4.974790e0
QQN-GoldenSection,2,1.940398e1
QQN-GoldenSection,54,1.940398e1
QQN-GoldenSection,109,6.381000e0
QQN-GoldenSection,167,4.974829e0
QQN-GoldenSection,215,4.974790e0
QQN-GoldenSection,229,4.974790e0
QQN-GoldenSection,243,4.974790e0
QQN-GoldenSection,247,4.974790e0
QQN-GoldenSection,2,2.372376e1
QQN-GoldenSection,56,2.372376e1
QQN-GoldenSection,111,8.122048e0
QQN-GoldenSection,169,7.959662e0
QQN-GoldenSection,173,7.959662e0
QQN-GoldenSection,2,3.217744e1
QQN-GoldenSection,56,3.217744e1
QQN-GoldenSection,111,2.714970e1
QQN-GoldenSection,166,1.456268e1
QQN-GoldenSection,221,1.293478e1
QQN-GoldenSection,235,1.293443e1
QQN-GoldenSection,293,1.293443e1
QQN-GoldenSection,307,1.293443e1
QQN-GoldenSection,321,1.293443e1
QQN-GoldenSection,335,1.293443e1
QQN-GoldenSection,339,1.293443e1
QQN-GoldenSection,2,2.941278e1
