Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,8.024635e1,1.904425e0
QQN-GoldenSection,54,8.024635e1,1.904425e0
QQN-GoldenSection,109,5.670908e1,1.753653e0
QQN-GoldenSection,167,3.411319e1,1.532922e0
QQN-GoldenSection,215,3.248329e1,1.511660e0
QQN-GoldenSection,263,3.186866e1,1.503364e0
QQN-GoldenSection,311,3.183877e1,1.502956e0
QQN-GoldenSection,359,3.183860e1,1.502954e0
QQN-GoldenSection,407,3.183859e1,1.502954e0
QQN-GoldenSection,421,3.183859e1,1.502954e0
QQN-GoldenSection,425,3.183859e1,1.502954e0
QQN-GoldenSection,2,8.252745e1,1.916598e0
QQN-GoldenSection,54,8.252745e1,1.916598e0
QQN-GoldenSection,109,5.753463e1,1.759929e0
QQN-GoldenSection,167,3.944226e1,1.595962e0
QQN-GoldenSection,215,3.191094e1,1.503940e0
QQN-GoldenSection,276,2.039113e1,1.309441e0
QQN-GoldenSection,324,1.890420e1,1.276558e0
QQN-GoldenSection,372,1.890418e1,1.276558e0
QQN-GoldenSection,420,1.890418e1,1.276558e0
QQN-GoldenSection,468,1.890418e1,1.276558e0
QQN-GoldenSection,482,1.890418e1,1.276558e0
QQN-GoldenSection,486,1.890418e1,1.276558e0
QQN-GoldenSection,2,7.473296e1,1.873512e0
QQN-GoldenSection,56,7.473296e1,1.873512e0
QQN-GoldenSection,109,6.438371e1,1.808776e0
QQN-GoldenSection,164,5.548734e1,1.744194e0
QQN-GoldenSection,216,4.218756e1,1.625184e0
QQN-GoldenSection,271,3.632030e1,1.560149e0
QQN-GoldenSection,326,1.995915e1,1.300142e0
QQN-GoldenSection,381,1.989916e1,1.298835e0
QQN-GoldenSection,2,8.130407e1,1.910112e0
QQN-GoldenSection,53,8.130407e1,1.910112e0
QQN-GoldenSection,108,2.117637e1,1.325852e0
QQN-GoldenSection,166,1.096282e1,1.039922e0
QQN-GoldenSection,214,1.094489e1,1.039211e0
QQN-GoldenSection,262,1.094454e1,1.039198e0
QQN-GoldenSection,310,1.094454e1,1.039197e0
QQN-GoldenSection,324,1.094454e1,1.039197e0
QQN-GoldenSection,328,1.094454e1,1.039197e0
QQN-GoldenSection,2,7.829766e1,1.893749e0
QQN-GoldenSection,53,7.829766e1,1.893749e0
QQN-GoldenSection,108,3.779349e1,1.577417e0
QQN-GoldenSection,166,1.045147e1,1.019177e0
QQN-GoldenSection,214,8.014115e0,9.038555e-1
QQN-GoldenSection,262,5.072302e0,7.052051e-1
QQN-GoldenSection,310,4.975449e0,6.968323e-1
QQN-GoldenSection,358,4.974796e0,6.967753e-1
QQN-GoldenSection,406,4.974790e0,6.967748e-1
QQN-GoldenSection,420,4.974790e0,6.967748e-1
QQN-GoldenSection,434,4.974790e0,6.967748e-1
QQN-GoldenSection,438,4.974790e0,6.967748e-1
QQN-GoldenSection,2,8.175853e1,1.912533e0
QQN-GoldenSection,56,8.175853e1,1.912533e0
QQN-GoldenSection,111,4.174699e1,1.620625e0
QQN-GoldenSection,169,2.850969e1,1.454993e0
QQN-GoldenSection,217,2.300512e1,1.361824e0
QQN-GoldenSection,265,1.995613e1,1.300076e0
QQN-GoldenSection,313,1.990032e1,1.298860e0
QQN-GoldenSection,361,1.989921e1,1.298836e0
QQN-GoldenSection,409,1.989916e1,1.298835e0
QQN-GoldenSection,457,1.989916e1,1.298835e0
QQN-GoldenSection,471,1.989916e1,1.298835e0
QQN-GoldenSection,475,1.989916e1,1.298835e0
QQN-GoldenSection,2,6.786819e1,1.831666e0
