Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,2.753430e3
QQN-GoldenSection,55,2.753430e3
QQN-GoldenSection,110,2.925544e2
QQN-GoldenSection,168,9.684075e1
QQN-GoldenSection,216,5.868418e1
QQN-GoldenSection,264,2.032067e1
QQN-GoldenSection,312,1.139594e1
QQN-GoldenSection,360,9.500543e0
QQN-GoldenSection,408,9.219534e0
QQN-GoldenSection,456,9.156902e0
QQN-GoldenSection,504,9.144215e0
QQN-GoldenSection,552,9.121957e0
QQN-GoldenSection,613,9.056124e0
QQN-GoldenSection,672,9.012506e0
QQN-GoldenSection,733,8.959141e0
QQN-GoldenSection,791,8.894441e0
QQN-GoldenSection,843,8.753841e0
QQN-GoldenSection,894,8.238296e0
QQN-GoldenSection,946,8.196153e0
QQN-GoldenSection,997,8.156393e0
QQN-GoldenSection,1049,8.117184e0
QQN-GoldenSection,2,2.402563e3
QQN-GoldenSection,55,2.402563e3
QQN-GoldenSection,110,4.361114e2
QQN-GoldenSection,168,1.438386e2
QQN-GoldenSection,216,9.064635e1
QQN-GoldenSection,264,3.915421e1
QQN-GoldenSection,312,1.703583e1
QQN-GoldenSection,360,1.073318e1
QQN-GoldenSection,408,9.896405e0
QQN-GoldenSection,456,9.348501e0
QQN-GoldenSection,504,9.256545e0
QQN-GoldenSection,552,9.217970e0
QQN-GoldenSection,600,9.206357e0
QQN-GoldenSection,648,9.169375e0
QQN-GoldenSection,710,8.992699e0
QQN-GoldenSection,769,8.918919e0
QQN-GoldenSection,831,8.823436e0
QQN-GoldenSection,889,8.707628e0
QQN-GoldenSection,951,8.558506e0
QQN-GoldenSection,1011,8.389462e0
QQN-GoldenSection,2,2.552236e3
QQN-GoldenSection,55,2.552236e3
QQN-GoldenSection,110,2.770995e2
QQN-GoldenSection,168,8.073463e1
QQN-GoldenSection,216,4.356479e1
QQN-GoldenSection,264,1.825559e1
QQN-GoldenSection,312,1.142684e1
QQN-GoldenSection,360,9.553447e0
QQN-GoldenSection,408,9.346350e0
QQN-GoldenSection,456,9.321375e0
