Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,9.650958e1,1.984570e0
QQN-GoldenSection,55,9.650958e1,1.984570e0
QQN-GoldenSection,106,4.157313e0,6.188127e-1
QQN-GoldenSection,164,4.036188e0,6.059714e-1
QQN-GoldenSection,212,3.830883e0,5.832989e-1
QQN-GoldenSection,260,3.644203e0,5.616026e-1
QQN-GoldenSection,308,3.068592e0,4.869391e-1
QQN-GoldenSection,364,2.759239e0,4.407894e-1
QQN-GoldenSection,414,5.970002e-2,-1.224026e0
QQN-GoldenSection,465,5.511373e-2,-1.258740e0
QQN-GoldenSection,513,5.209998e-2,-1.283162e0
QQN-GoldenSection,564,1.697776e-2,-1.770120e0
QQN-GoldenSection,614,1.394966e-2,-1.855437e0
QQN-GoldenSection,667,7.711300e-3,-2.112872e0
QQN-GoldenSection,726,4.097094e-3,-2.387524e0
QQN-GoldenSection,774,1.040785e-3,-2.982639e0
QQN-GoldenSection,822,2.473982e-4,-3.606603e0
QQN-GoldenSection,870,1.541630e-5,-4.812020e0
QQN-GoldenSection,918,2.145421e-7,-6.668487e0
QQN-GoldenSection,966,7.601469e-10,-9.119102e0
QQN-GoldenSection,1014,1.406314e-13,-1.285192e1
QQN-GoldenSection,2,4.707096e0,6.727531e-1
QQN-GoldenSection,55,4.707096e0,6.727531e-1
QQN-GoldenSection,105,3.965550e0,5.983035e-1
QQN-GoldenSection,157,3.691656e0,5.672213e-1
QQN-GoldenSection,205,3.497832e0,5.437989e-1
QQN-GoldenSection,257,3.350566e0,5.251182e-1
QQN-GoldenSection,306,3.218506e0,5.076543e-1
QQN-GoldenSection,358,3.107460e0,4.924055e-1
QQN-GoldenSection,407,3.002928e0,4.775450e-1
QQN-GoldenSection,459,2.911096e0,4.640566e-1
QQN-GoldenSection,508,2.822708e0,4.506659e-1
QQN-GoldenSection,560,2.743119e0,4.382446e-1
QQN-GoldenSection,610,2.665525e0,4.257827e-1
QQN-GoldenSection,662,2.594531e0,4.140589e-1
QQN-GoldenSection,712,2.524730e0,4.022149e-1
QQN-GoldenSection,764,2.460249e0,3.909791e-1
QQN-GoldenSection,814,2.396565e0,3.795893e-1
QQN-GoldenSection,866,2.337252e0,3.687056e-1
QQN-GoldenSection,916,2.278416e0,3.576331e-1
QQN-GoldenSection,968,2.223237e0,3.469858e-1
QQN-GoldenSection,1018,2.168283e0,3.361160e-1
QQN-GoldenSection,2,1.005323e1,1.002306e0
QQN-GoldenSection,55,1.005323e1,1.002306e0
QQN-GoldenSection,105,4.348748e0,6.383642e-1
QQN-GoldenSection,157,4.009657e0,6.031073e-1
QQN-GoldenSection,205,3.789782e0,5.786142e-1
QQN-GoldenSection,253,3.625313e0,5.593455e-1
QQN-GoldenSection,305,7.627652e-2,-1.117609e0
QQN-GoldenSection,357,7.622238e-2,-1.117918e0
QQN-GoldenSection,409,7.616820e-2,-1.118226e0
QQN-GoldenSection,461,7.611403e-2,-1.118535e0
QQN-GoldenSection,513,7.605990e-2,-1.118844e0
QQN-GoldenSection,565,7.600579e-2,-1.119153e0
QQN-GoldenSection,617,7.595170e-2,-1.119462e0
QQN-GoldenSection,669,7.589764e-2,-1.119772e0
QQN-GoldenSection,721,7.584360e-2,-1.120081e0
QQN-GoldenSection,773,7.578958e-2,-1.120391e0
QQN-GoldenSection,825,7.573559e-2,-1.120700e0
QQN-GoldenSection,877,7.568165e-2,-1.121009e0
QQN-GoldenSection,929,7.562773e-2,-1.121319e0
QQN-GoldenSection,981,7.557384e-2,-1.121629e0
QQN-GoldenSection,1033,7.551997e-2,-1.121938e0
QQN-GoldenSection,2,2.095850e1,1.321360e0
QQN-GoldenSection,55,2.095850e1,1.321360e0
QQN-GoldenSection,106,4.117347e0,6.146175e-1
QQN-GoldenSection,157,3.861797e0,5.867894e-1
QQN-GoldenSection,205,3.673488e0,5.650786e-1
QQN-GoldenSection,256,3.527220e0,5.474325e-1
QQN-GoldenSection,305,3.394978e0,5.308370e-1
QQN-GoldenSection,356,3.282642e0,5.162235e-1
QQN-GoldenSection,405,3.176483e0,5.019465e-1
QQN-GoldenSection,456,3.082667e0,4.889267e-1
QQN-GoldenSection,505,2.992183e0,4.759882e-1
QQN-GoldenSection,556,2.910394e0,4.639518e-1
QQN-GoldenSection,605,2.830574e0,4.518745e-1
QQN-GoldenSection,656,2.757360e0,4.404934e-1
QQN-GoldenSection,706,2.685352e0,4.290013e-1
QQN-GoldenSection,758,2.618746e0,4.180934e-1
QQN-GoldenSection,808,2.552995e0,4.070499e-1
QQN-GoldenSection,860,2.491717e0,3.964988e-1
QQN-GoldenSection,910,2.430998e0,3.857847e-1
