Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.086494e0
QQN-GoldenSection,49,1.086494e0
QQN-GoldenSection,107,6.483059e-1
QQN-GoldenSection,155,6.456655e-1
QQN-GoldenSection,203,6.432070e-1
QQN-GoldenSection,251,6.430668e-1
QQN-GoldenSection,299,6.429529e-1
QQN-GoldenSection,359,6.429344e-1
QQN-GoldenSection,2,1.089835e0
QQN-GoldenSection,49,1.089835e0
QQN-GoldenSection,107,6.455999e-1
QQN-GoldenSection,155,6.449927e-1
QQN-GoldenSection,203,6.432405e-1
QQN-GoldenSection,251,6.430898e-1
QQN-GoldenSection,299,6.429860e-1
QQN-GoldenSection,347,6.429543e-1
QQN-GoldenSection,405,6.429377e-1
QQN-GoldenSection,458,6.429298e-1
QQN-GoldenSection,2,1.153690e0
QQN-GoldenSection,49,1.153690e0
QQN-GoldenSection,98,6.439747e-1
QQN-GoldenSection,147,6.431766e-1
QQN-GoldenSection,197,6.429877e-1
QQN-GoldenSection,241,6.429622e-1
QQN-GoldenSection,2,1.241870e0
QQN-GoldenSection,49,1.241870e0
QQN-GoldenSection,107,6.464643e-1
QQN-GoldenSection,155,6.449518e-1
QQN-GoldenSection,203,6.432771e-1
QQN-GoldenSection,251,6.430175e-1
QQN-GoldenSection,309,6.429522e-1
QQN-GoldenSection,2,9.732048e-1
QQN-GoldenSection,49,9.732048e-1
QQN-GoldenSection,107,6.459268e-1
QQN-GoldenSection,155,6.445629e-1
QQN-GoldenSection,210,6.430104e-1
QQN-GoldenSection,261,6.429559e-1
QQN-GoldenSection,2,9.019128e-1
QQN-GoldenSection,49,9.019128e-1
QQN-GoldenSection,98,6.444365e-1
QQN-GoldenSection,146,6.432549e-1
QQN-GoldenSection,194,6.430513e-1
QQN-GoldenSection,243,6.430083e-1
QQN-GoldenSection,289,6.429340e-1
QQN-GoldenSection,2,9.882685e-1
QQN-GoldenSection,49,9.882685e-1
QQN-GoldenSection,107,6.472116e-1
QQN-GoldenSection,155,6.444771e-1
QQN-GoldenSection,203,6.431318e-1
QQN-GoldenSection,261,6.429641e-1
QQN-GoldenSection,275,6.429552e-1
QQN-GoldenSection,323,6.429458e-1
QQN-GoldenSection,371,6.429413e-1
QQN-GoldenSection,419,6.429380e-1
QQN-GoldenSection,480,6.429332e-1
QQN-GoldenSection,494,6.429328e-1
QQN-GoldenSection,542,6.429309e-1
QQN-GoldenSection,590,6.429290e-1
QQN-GoldenSection,638,6.429285e-1
QQN-GoldenSection,686,6.429279e-1
QQN-GoldenSection,734,6.429279e-1
QQN-GoldenSection,782,6.429278e-1
QQN-GoldenSection,841,6.429278e-1
QQN-GoldenSection,2,1.128423e0
QQN-GoldenSection,49,1.128423e0
QQN-GoldenSection,107,6.487335e-1
QQN-GoldenSection,155,6.464866e-1
QQN-GoldenSection,210,6.434057e-1
QQN-GoldenSection,257,6.430048e-1
QQN-GoldenSection,2,1.170389e0
QQN-GoldenSection,49,1.170389e0
QQN-GoldenSection,107,6.499165e-1
QQN-GoldenSection,155,6.452896e-1
QQN-GoldenSection,203,6.430514e-1
QQN-GoldenSection,251,6.429682e-1
QQN-GoldenSection,299,6.429604e-1
QQN-GoldenSection,357,6.429437e-1
QQN-GoldenSection,410,6.429329e-1
QQN-GoldenSection,2,1.005874e0
QQN-GoldenSection,49,1.005874e0
QQN-GoldenSection,98,6.471606e-1
QQN-GoldenSection,147,6.443423e-1
QQN-GoldenSection,197,6.430499e-1
QQN-GoldenSection,245,6.429988e-1
QQN-GoldenSection,259,6.429988e-1
QQN-GoldenSection,317,6.429854e-1
QQN-GoldenSection,365,6.429716e-1
QQN-GoldenSection,413,6.429321e-1
QQN-GoldenSection,474,6.429286e-1
QQN-GoldenSection,2,1.010876e0
QQN-GoldenSection,49,1.010876e0
QQN-GoldenSection,98,6.443636e-1
QQN-GoldenSection,158,6.434029e-1
QQN-GoldenSection,206,6.431170e-1
QQN-GoldenSection,254,6.430014e-1
