Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,9.212698e-1,-3.561314e-2
QQN-GoldenSection,49,9.212698e-1,-3.561314e-2
QQN-GoldenSection,107,6.908462e-1,-1.606187e-1
QQN-GoldenSection,155,6.880852e-1,-1.623578e-1
QQN-GoldenSection,203,6.865661e-1,-1.633177e-1
QQN-GoldenSection,259,6.862824e-1,-1.634971e-1
QQN-GoldenSection,308,6.861731e-1,-1.635663e-1
QQN-GoldenSection,357,6.861528e-1,-1.635792e-1
QQN-GoldenSection,403,6.861464e-1,-1.635832e-1
QQN-GoldenSection,447,6.861464e-1,-1.635832e-1
QQN-GoldenSection,492,6.861464e-1,-1.635832e-1
QQN-GoldenSection,536,6.861464e-1,-1.635832e-1
QQN-GoldenSection,581,6.861464e-1,-1.635832e-1
QQN-GoldenSection,625,6.861464e-1,-1.635832e-1
QQN-GoldenSection,2,9.250773e-1,-3.382197e-2
QQN-GoldenSection,49,9.250773e-1,-3.382197e-2
QQN-GoldenSection,98,6.925510e-1,-1.595482e-1
QQN-GoldenSection,147,6.876734e-1,-1.626178e-1
QQN-GoldenSection,197,6.863603e-1,-1.634478e-1
QQN-GoldenSection,245,6.862741e-1,-1.635024e-1
QQN-GoldenSection,303,6.862282e-1,-1.635314e-1
QQN-GoldenSection,351,6.861996e-1,-1.635496e-1
QQN-GoldenSection,409,6.861709e-1,-1.635677e-1
QQN-GoldenSection,457,6.861564e-1,-1.635769e-1
QQN-GoldenSection,517,6.861495e-1,-1.635812e-1
QQN-GoldenSection,572,6.861489e-1,-1.635816e-1
QQN-GoldenSection,626,6.861489e-1,-1.635816e-1
QQN-GoldenSection,679,6.861489e-1,-1.635816e-1
QQN-GoldenSection,733,6.861489e-1,-1.635816e-1
QQN-GoldenSection,787,6.861489e-1,-1.635816e-1
QQN-GoldenSection,841,6.861489e-1,-1.635816e-1
QQN-GoldenSection,2,9.999613e-1,-1.681459e-5
QQN-GoldenSection,49,9.999613e-1,-1.681459e-5
QQN-GoldenSection,107,6.959439e-1,-1.574258e-1
QQN-GoldenSection,155,6.890151e-1,-1.617712e-1
QQN-GoldenSection,203,6.870278e-1,-1.630257e-1
QQN-GoldenSection,251,6.863198e-1,-1.634735e-1
QQN-GoldenSection,299,6.862966e-1,-1.634882e-1
QQN-GoldenSection,356,6.861657e-1,-1.635710e-1
QQN-GoldenSection,412,6.861529e-1,-1.635791e-1
QQN-GoldenSection,467,6.861529e-1,-1.635791e-1
QQN-GoldenSection,522,6.861529e-1,-1.635791e-1
QQN-GoldenSection,577,6.861529e-1,-1.635791e-1
QQN-GoldenSection,632,6.861529e-1,-1.635791e-1
QQN-GoldenSection,687,6.861529e-1,-1.635791e-1
QQN-GoldenSection,2,1.111858e0,4.604914e-2
QQN-GoldenSection,49,1.111858e0,4.604914e-2
QQN-GoldenSection,107,6.938931e-1,-1.587074e-1
QQN-GoldenSection,155,6.917151e-1,-1.600727e-1
QQN-GoldenSection,203,6.866419e-1,-1.632697e-1
QQN-GoldenSection,251,6.862953e-1,-1.634890e-1
QQN-GoldenSection,299,6.862169e-1,-1.635386e-1
QQN-GoldenSection,347,6.861995e-1,-1.635496e-1
QQN-GoldenSection,405,6.861725e-1,-1.635667e-1
QQN-GoldenSection,453,6.861695e-1,-1.635686e-1
QQN-GoldenSection,503,6.861578e-1,-1.635760e-1
QQN-GoldenSection,552,6.861578e-1,-1.635760e-1
QQN-GoldenSection,602,6.861531e-1,-1.635790e-1
QQN-GoldenSection,648,6.861508e-1,-1.635804e-1
QQN-GoldenSection,691,6.861508e-1,-1.635804e-1
QQN-GoldenSection,736,6.861508e-1,-1.635804e-1
