Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,9.465134e2,2.976127e0
QQN-GoldenSection,53,9.465134e2,2.976127e0
QQN-GoldenSection,111,7.106962e2,2.851684e0
QQN-GoldenSection,159,7.106961e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.469405e2,2.976323e0
QQN-GoldenSection,53,9.469405e2,2.976323e0
QQN-GoldenSection,111,7.106978e2,2.851685e0
QQN-GoldenSection,159,7.106969e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.474487e2,2.976556e0
QQN-GoldenSection,53,9.474487e2,2.976556e0
QQN-GoldenSection,111,7.107032e2,2.851688e0
QQN-GoldenSection,159,7.106998e2,2.851686e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.461820e2,2.975975e0
QQN-GoldenSection,53,9.461820e2,2.975975e0
QQN-GoldenSection,111,7.106967e2,2.851684e0
QQN-GoldenSection,159,7.106963e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.472144e2,2.976448e0
QQN-GoldenSection,53,9.472144e2,2.976448e0
QQN-GoldenSection,111,7.106973e2,2.851685e0
QQN-GoldenSection,159,7.106966e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.453824e2,2.975608e0
QQN-GoldenSection,53,9.453824e2,2.975608e0
QQN-GoldenSection,111,7.106961e2,2.851684e0
QQN-GoldenSection,159,7.106960e2,2.851684e0
QQN-GoldenSection,163,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.457166e2,2.975761e0
QQN-GoldenSection,53,9.457166e2,2.975761e0
QQN-GoldenSection,111,7.106995e2,2.851686e0
QQN-GoldenSection,159,7.106978e2,2.851685e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.474659e2,2.976564e0
QQN-GoldenSection,53,9.474659e2,2.976564e0
QQN-GoldenSection,111,7.107018e2,2.851687e0
QQN-GoldenSection,159,7.106990e2,2.851686e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.473890e2,2.976528e0
QQN-GoldenSection,53,9.473890e2,2.976528e0
QQN-GoldenSection,67,7.106958e2,2.851684e0
QQN-GoldenSection,81,7.106958e2,2.851684e0
QQN-GoldenSection,85,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.473500e2,2.976510e0
QQN-GoldenSection,53,9.473500e2,2.976510e0
QQN-GoldenSection,111,7.106966e2,2.851684e0
QQN-GoldenSection,159,7.106962e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.458969e2,2.975844e0
QQN-GoldenSection,53,9.458969e2,2.975844e0
QQN-GoldenSection,111,7.106961e2,2.851684e0
QQN-GoldenSection,159,7.106960e2,2.851684e0
QQN-GoldenSection,163,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.459520e2,2.975869e0
QQN-GoldenSection,53,9.459520e2,2.975869e0
QQN-GoldenSection,111,7.106977e2,2.851685e0
QQN-GoldenSection,159,7.106969e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.462624e2,2.976012e0
QQN-GoldenSection,53,9.462624e2,2.976012e0
QQN-GoldenSection,111,7.106958e2,2.851684e0
QQN-GoldenSection,159,7.106958e2,2.851684e0
QQN-GoldenSection,163,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.460831e2,2.975929e0
QQN-GoldenSection,53,9.460831e2,2.975929e0
QQN-GoldenSection,111,7.106979e2,2.851685e0
QQN-GoldenSection,159,7.106970e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.468089e2,2.976262e0
QQN-GoldenSection,53,9.468089e2,2.976262e0
QQN-GoldenSection,111,7.107063e2,2.851690e0
QQN-GoldenSection,159,7.107015e2,2.851687e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.457981e2,2.975798e0
QQN-GoldenSection,53,9.457981e2,2.975798e0
QQN-GoldenSection,111,7.106962e2,2.851684e0
QQN-GoldenSection,159,7.106961e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.456740e2,2.975741e0
QQN-GoldenSection,53,9.456740e2,2.975741e0
QQN-GoldenSection,111,7.106961e2,2.851684e0
QQN-GoldenSection,159,7.106960e2,2.851684e0
QQN-GoldenSection,163,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.477245e2,2.976682e0
QQN-GoldenSection,53,9.477245e2,2.976682e0
QQN-GoldenSection,111,7.106959e2,2.851684e0
QQN-GoldenSection,159,7.106959e2,2.851684e0
QQN-GoldenSection,163,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.467627e2,2.976241e0
QQN-GoldenSection,53,9.467627e2,2.976241e0
QQN-GoldenSection,111,7.106987e2,2.851686e0
QQN-GoldenSection,159,7.106974e2,2.851685e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-GoldenSection,2,9.474066e2,2.976536e0
QQN-GoldenSection,53,9.474066e2,2.976536e0
QQN-GoldenSection,111,7.106962e2,2.851684e0
QQN-GoldenSection,159,7.106960e2,2.851684e0
QQN-GoldenSection,173,7.106958e2,2.851684e0
QQN-GoldenSection,177,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.477969e2,2.976715e0
QQN-Bisection-1,67,9.477969e2,2.976715e0
QQN-Bisection-1,107,7.106965e2,2.851684e0
QQN-Bisection-1,128,7.106962e2,2.851684e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.467458e2,2.976233e0
QQN-Bisection-1,67,9.467458e2,2.976233e0
QQN-Bisection-1,107,7.107092e2,2.851692e0
QQN-Bisection-1,128,7.107031e2,2.851688e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.470547e2,2.976375e0
QQN-Bisection-1,67,9.470547e2,2.976375e0
QQN-Bisection-1,107,7.107114e2,2.851693e0
QQN-Bisection-1,128,7.107042e2,2.851689e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.463220e2,2.976039e0
QQN-Bisection-1,67,9.463220e2,2.976039e0
QQN-Bisection-1,107,7.106974e2,2.851685e0
QQN-Bisection-1,128,7.106967e2,2.851684e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.459021e2,2.975846e0
QQN-Bisection-1,67,9.459021e2,2.975846e0
QQN-Bisection-1,107,7.106958e2,2.851684e0
QQN-Bisection-1,128,7.106958e2,2.851684e0
QQN-Bisection-1,132,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.467047e2,2.976215e0
QQN-Bisection-1,67,9.467047e2,2.976215e0
QQN-Bisection-1,107,7.107107e2,2.851693e0
QQN-Bisection-1,128,7.107039e2,2.851689e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.469994e2,2.976350e0
QQN-Bisection-1,67,9.469994e2,2.976350e0
QQN-Bisection-1,107,7.107148e2,2.851695e0
QQN-Bisection-1,128,7.107061e2,2.851690e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.462657e2,2.976013e0
QQN-Bisection-1,67,9.462657e2,2.976013e0
QQN-Bisection-1,107,7.107064e2,2.851690e0
QQN-Bisection-1,128,7.107015e2,2.851687e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.468612e2,2.976286e0
QQN-Bisection-1,67,9.468612e2,2.976286e0
QQN-Bisection-1,107,7.106960e2,2.851684e0
QQN-Bisection-1,128,7.106959e2,2.851684e0
QQN-Bisection-1,132,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.470559e2,2.976376e0
QQN-Bisection-1,67,9.470559e2,2.976376e0
QQN-Bisection-1,107,7.107119e2,2.851694e0
QQN-Bisection-1,128,7.107045e2,2.851689e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.471510e2,2.976419e0
QQN-Bisection-1,67,9.471510e2,2.976419e0
QQN-Bisection-1,107,7.106965e2,2.851684e0
QQN-Bisection-1,128,7.106962e2,2.851684e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.450596e2,2.975459e0
QQN-Bisection-1,67,9.450596e2,2.975459e0
QQN-Bisection-1,107,7.106959e2,2.851684e0
QQN-Bisection-1,128,7.106959e2,2.851684e0
QQN-Bisection-1,132,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.455729e2,2.975695e0
QQN-Bisection-1,67,9.455729e2,2.975695e0
QQN-Bisection-1,107,7.106982e2,2.851685e0
QQN-Bisection-1,128,7.106971e2,2.851685e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.464097e2,2.976079e0
QQN-Bisection-1,67,9.464097e2,2.976079e0
QQN-Bisection-1,107,7.107047e2,2.851689e0
QQN-Bisection-1,128,7.107006e2,2.851687e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.468886e2,2.976299e0
QQN-Bisection-1,67,9.468886e2,2.976299e0
QQN-Bisection-1,107,7.107016e2,2.851687e0
QQN-Bisection-1,128,7.106990e2,2.851686e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.471979e2,2.976441e0
QQN-Bisection-1,67,9.471979e2,2.976441e0
QQN-Bisection-1,107,7.106991e2,2.851686e0
QQN-Bisection-1,128,7.106976e2,2.851685e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.454670e2,2.975646e0
QQN-Bisection-1,67,9.454670e2,2.975646e0
QQN-Bisection-1,107,7.106961e2,2.851684e0
QQN-Bisection-1,128,7.106960e2,2.851684e0
QQN-Bisection-1,132,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.469762e2,2.976339e0
QQN-Bisection-1,67,9.469762e2,2.976339e0
QQN-Bisection-1,107,7.106959e2,2.851684e0
QQN-Bisection-1,128,7.106959e2,2.851684e0
QQN-Bisection-1,132,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.477074e2,2.976674e0
QQN-Bisection-1,67,9.477074e2,2.976674e0
QQN-Bisection-1,107,7.107007e2,2.851687e0
QQN-Bisection-1,128,7.106985e2,2.851685e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-Bisection-1,2,9.466819e2,2.976204e0
QQN-Bisection-1,67,9.466819e2,2.976204e0
QQN-Bisection-1,107,7.106968e2,2.851684e0
QQN-Bisection-1,128,7.106963e2,2.851684e0
QQN-Bisection-1,149,7.106958e2,2.851684e0
QQN-Bisection-1,153,7.106958e2,2.851684e0
QQN-CubicQuadraticInterpolation,2,9.480485e2,2.976831e0
QQN-CubicQuadraticInterpolation,24,9.480485e2,2.976831e0
QQN-CubicQuadraticInterpolation,112,8.855633e2,2.947220e0
QQN-CubicQuadraticInterpolation,200,8.851988e2,2.947041e0
QQN-CubicQuadraticInterpolation,288,8.851703e2,2.947027e0
QQN-CubicQuadraticInterpolation,376,8.851412e2,2.947013e0
QQN-CubicQuadraticInterpolation,464,8.851112e2,2.946998e0
QQN-CubicQuadraticInterpolation,552,8.850804e2,2.946983e0
QQN-CubicQuadraticInterpolation,640,8.850487e2,2.946967e0
QQN-CubicQuadraticInterpolation,728,8.850161e2,2.946951e0
QQN-CubicQuadraticInterpolation,816,8.849825e2,2.946935e0
QQN-CubicQuadraticInterpolation,904,8.849480e2,2.946918e0
QQN-CubicQuadraticInterpolation,992,8.849125e2,2.946900e0
QQN-CubicQuadraticInterpolation,1080,8.848760e2,2.946882e0
QQN-CubicQuadraticInterpolation,2,9.476473e2,2.976647e0
QQN-CubicQuadraticInterpolation,24,9.476473e2,2.976647e0
QQN-CubicQuadraticInterpolation,112,8.854852e2,2.947181e0
QQN-CubicQuadraticInterpolation,200,8.850714e2,2.946978e0
QQN-CubicQuadraticInterpolation,288,8.850392e2,2.946963e0
QQN-CubicQuadraticInterpolation,376,8.850064e2,2.946946e0
QQN-CubicQuadraticInterpolation,464,8.849725e2,2.946930e0
QQN-CubicQuadraticInterpolation,552,8.849378e2,2.946913e0
QQN-CubicQuadraticInterpolation,640,8.849020e2,2.946895e0
QQN-CubicQuadraticInterpolation,728,8.848652e2,2.946877e0
