Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,2.365129e3
QQN-GoldenSection,53,2.365129e3
QQN-GoldenSection,111,1.776752e3
QQN-GoldenSection,159,1.776746e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.365335e3
QQN-GoldenSection,53,2.365335e3
QQN-GoldenSection,111,1.776758e3
QQN-GoldenSection,159,1.776750e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.367242e3
QQN-GoldenSection,53,2.367242e3
QQN-GoldenSection,111,1.776754e3
QQN-GoldenSection,159,1.776747e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.366169e3
QQN-GoldenSection,53,2.366169e3
QQN-GoldenSection,111,1.776747e3
QQN-GoldenSection,159,1.776743e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.367080e3
QQN-GoldenSection,53,2.367080e3
QQN-GoldenSection,111,1.776773e3
QQN-GoldenSection,159,1.776758e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.365415e3
QQN-GoldenSection,53,2.365415e3
QQN-GoldenSection,111,1.776754e3
QQN-GoldenSection,159,1.776747e3
QQN-GoldenSection,207,1.776740e3
QQN-GoldenSection,211,1.776740e3
QQN-GoldenSection,2,2.368654e3
QQN-GoldenSection,53,2.368654e3
QQN-GoldenSection,111,1.776745e3
QQN-GoldenSection,159,1.776743e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.369359e3
QQN-GoldenSection,53,2.369359e3
QQN-GoldenSection,111,1.776747e3
QQN-GoldenSection,159,1.776743e3
QQN-GoldenSection,173,1.776740e3
QQN-GoldenSection,177,1.776740e3
QQN-GoldenSection,2,2.367579e3
