Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,5.316026e0
QQN-GoldenSection,50,5.316026e0
QQN-GoldenSection,108,7.245643e-3
QQN-GoldenSection,156,4.369154e-3
QQN-GoldenSection,204,6.889314e-7
QQN-GoldenSection,252,3.677898e-8
QQN-GoldenSection,300,5.780740e-12
QQN-GoldenSection,304,4.647015e-14
QQN-GoldenSection,2,5.189149e0
QQN-GoldenSection,50,5.189149e0
QQN-GoldenSection,108,4.511269e-3
QQN-GoldenSection,156,3.014232e-3
QQN-GoldenSection,204,2.447028e-7
QQN-GoldenSection,252,8.404018e-9
QQN-GoldenSection,300,5.476576e-12
QQN-GoldenSection,304,4.319798e-14
QQN-GoldenSection,2,5.518000e0
QQN-GoldenSection,50,5.518000e0
QQN-GoldenSection,108,1.666957e-3
QQN-GoldenSection,156,9.933789e-4
QQN-GoldenSection,204,5.616672e-8
QQN-GoldenSection,252,2.547314e-9
QQN-GoldenSection,300,3.001924e-13
QQN-GoldenSection,304,9.378640e-16
QQN-GoldenSection,2,5.998850e0
QQN-GoldenSection,50,5.998850e0
QQN-GoldenSection,108,1.466171e-3
QQN-GoldenSection,156,1.078819e-3
QQN-GoldenSection,204,1.511033e-8
QQN-GoldenSection,252,4.893794e-10
QQN-GoldenSection,300,5.486672e-13
QQN-GoldenSection,304,8.840979e-15
QQN-GoldenSection,2,5.697557e0
QQN-GoldenSection,50,5.697557e0
QQN-GoldenSection,108,5.705527e-3
QQN-GoldenSection,156,3.517910e-3
QQN-GoldenSection,204,4.295090e-7
QQN-GoldenSection,252,1.985098e-8
QQN-GoldenSection,300,5.691907e-12
QQN-GoldenSection,304,3.800389e-14
QQN-GoldenSection,2,4.662446e0
QQN-GoldenSection,50,4.662446e0
QQN-GoldenSection,108,1.923056e-3
QQN-GoldenSection,156,1.236282e-3
QQN-GoldenSection,204,7.495841e-8
QQN-GoldenSection,252,2.422806e-9
QQN-GoldenSection,300,5.077696e-13
QQN-GoldenSection,304,1.759686e-15
QQN-GoldenSection,2,5.131651e0
QQN-GoldenSection,50,5.131651e0
QQN-GoldenSection,108,5.396165e-4
QQN-GoldenSection,156,4.118214e-4
QQN-GoldenSection,204,2.017861e-9
QQN-GoldenSection,252,6.508880e-11
QQN-GoldenSection,256,1.555315e-14
QQN-GoldenSection,2,5.536859e0
QQN-GoldenSection,50,5.536859e0
QQN-GoldenSection,108,3.878496e-3
QQN-GoldenSection,156,2.442740e-3
QQN-GoldenSection,204,2.216138e-7
QQN-GoldenSection,252,8.798551e-9
QQN-GoldenSection,300,2.893614e-12
QQN-GoldenSection,304,1.543937e-14
QQN-GoldenSection,2,5.466992e0
QQN-GoldenSection,50,5.466992e0
QQN-GoldenSection,108,9.997079e-4
QQN-GoldenSection,156,7.659486e-4
QQN-GoldenSection,204,6.391900e-9
QQN-GoldenSection,252,2.008603e-10
QQN-GoldenSection,256,5.974338e-14
QQN-GoldenSection,2,5.828770e0
QQN-GoldenSection,50,5.828770e0
QQN-GoldenSection,108,4.195665e-3
QQN-GoldenSection,156,3.008315e-3
QQN-GoldenSection,204,1.344289e-7
QQN-GoldenSection,252,4.305491e-9
QQN-GoldenSection,300,4.161525e-12
QQN-GoldenSection,304,6.074274e-14
QQN-GoldenSection,2,5.605120e0
QQN-GoldenSection,50,5.605120e0
QQN-GoldenSection,108,2.106418e-3
QQN-GoldenSection,156,1.463502e-3
QQN-GoldenSection,204,4.943855e-8
QQN-GoldenSection,252,1.472798e-9
QQN-GoldenSection,300,1.428072e-12
QQN-GoldenSection,304,6.160099e-15
QQN-GoldenSection,2,5.858488e0
QQN-GoldenSection,50,5.858488e0
QQN-GoldenSection,108,2.531327e-3
QQN-GoldenSection,156,1.663899e-3
QQN-GoldenSection,204,9.220320e-8
QQN-GoldenSection,252,2.865203e-9
QQN-GoldenSection,300,9.987965e-13
QQN-GoldenSection,304,4.290674e-15
QQN-GoldenSection,2,4.923348e0
QQN-GoldenSection,50,4.923348e0
QQN-GoldenSection,108,1.360627e-3
QQN-GoldenSection,156,9.912817e-4
QQN-GoldenSection,204,1.697673e-8
QQN-GoldenSection,252,5.397836e-10
QQN-GoldenSection,300,7.101567e-13
QQN-GoldenSection,304,9.173680e-15
QQN-GoldenSection,2,5.434926e0
QQN-GoldenSection,50,5.434926e0
QQN-GoldenSection,108,2.113769e-3
QQN-GoldenSection,156,1.396368e-3
QQN-GoldenSection,204,7.048192e-8
QQN-GoldenSection,252,2.108069e-9
QQN-GoldenSection,300,6.869665e-13
QQN-GoldenSection,304,9.196195e-16
QQN-GoldenSection,2,5.822352e0
QQN-GoldenSection,50,5.822352e0
QQN-GoldenSection,108,9.192003e-4
QQN-GoldenSection,156,6.507419e-4
QQN-GoldenSection,204,1.004636e-8
QQN-GoldenSection,252,2.534312e-10
QQN-GoldenSection,256,2.128328e-13
QQN-GoldenSection,2,6.238105e0
QQN-GoldenSection,50,6.238105e0
QQN-GoldenSection,108,3.193558e-3
QQN-GoldenSection,156,1.952050e-3
QQN-GoldenSection,204,1.543703e-7
QQN-GoldenSection,252,6.666150e-9
QQN-GoldenSection,300,1.432849e-12
QQN-GoldenSection,304,6.163333e-15
QQN-GoldenSection,2,5.996248e0
QQN-GoldenSection,50,5.996248e0
QQN-GoldenSection,108,3.082357e-3
QQN-GoldenSection,156,2.327396e-3
QQN-GoldenSection,204,5.536324e-8
QQN-GoldenSection,252,1.740903e-9
QQN-GoldenSection,256,1.295207e-13
QQN-GoldenSection,2,5.641783e0
QQN-GoldenSection,50,5.641783e0
QQN-GoldenSection,108,1.817094e-3
QQN-GoldenSection,156,1.421634e-3
QQN-GoldenSection,204,2.011491e-8
QQN-GoldenSection,252,5.486089e-10
QQN-GoldenSection,300,8.337050e-13
QQN-GoldenSection,304,1.612202e-14
QQN-GoldenSection,2,5.393980e0
QQN-GoldenSection,50,5.393980e0
QQN-GoldenSection,108,8.420615e-4
QQN-GoldenSection,156,7.639091e-4
QQN-GoldenSection,204,1.792186e-8
QQN-GoldenSection,252,1.621273e-10
QQN-GoldenSection,300,2.219190e-12
QQN-GoldenSection,304,2.185729e-16
QQN-GoldenSection,2,5.559852e0
QQN-GoldenSection,50,5.559852e0
QQN-GoldenSection,108,2.359080e-3
QQN-GoldenSection,156,1.572395e-3
QQN-GoldenSection,204,7.900010e-8
QQN-GoldenSection,252,2.397550e-9
QQN-GoldenSection,300,1.091835e-12
QQN-GoldenSection,304,5.270118e-15
QQN-Bisection-1,2,5.206642e0
QQN-Bisection-1,63,5.206642e0
QQN-Bisection-1,103,1.592369e-4
QQN-Bisection-1,124,1.012418e-4
QQN-Bisection-1,145,3.012222e-9
QQN-Bisection-1,166,3.136983e-11
QQN-Bisection-1,170,6.891143e-14
QQN-Bisection-1,2,5.493021e0
QQN-Bisection-1,63,5.493021e0
QQN-Bisection-1,103,3.695447e-3
QQN-Bisection-1,124,2.329447e-3
QQN-Bisection-1,145,2.053006e-7
