Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,5.316026e0,7.255871e-1
QQN-GoldenSection,50,5.316026e0,7.255871e-1
QQN-GoldenSection,108,7.245643e-3,-2.139923e0
QQN-GoldenSection,156,4.369154e-3,-2.359603e0
QQN-GoldenSection,204,6.889314e-7,-6.161824e0
QQN-GoldenSection,252,3.677898e-8,-7.434400e0
QQN-GoldenSection,300,5.780740e-12,-1.123802e1
QQN-GoldenSection,304,4.647015e-14,-1.333283e1
QQN-GoldenSection,2,5.189149e0,7.150962e-1
QQN-GoldenSection,50,5.189149e0,7.150962e-1
QQN-GoldenSection,108,4.511269e-3,-2.345701e0
QQN-GoldenSection,156,3.014232e-3,-2.520823e0
QQN-GoldenSection,204,2.447028e-7,-6.611361e0
QQN-GoldenSection,252,8.404018e-9,-8.075513e0
QQN-GoldenSection,300,5.476576e-12,-1.126149e1
QQN-GoldenSection,304,4.319798e-14,-1.336454e1
QQN-GoldenSection,2,5.518000e0,7.417817e-1
QQN-GoldenSection,50,5.518000e0,7.417817e-1
QQN-GoldenSection,108,1.666957e-3,-2.778076e0
QQN-GoldenSection,156,9.933789e-4,-3.002885e0
QQN-GoldenSection,204,5.616672e-8,-7.250521e0
QQN-GoldenSection,252,2.547314e-9,-8.593918e0
QQN-GoldenSection,300,3.001924e-13,-1.252260e1
QQN-GoldenSection,304,9.378640e-16,-1.500000e1
QQN-GoldenSection,2,5.998850e0,7.780680e-1
QQN-GoldenSection,50,5.998850e0,7.780680e-1
QQN-GoldenSection,108,1.466171e-3,-2.833815e0
QQN-GoldenSection,156,1.078819e-3,-2.967051e0
QQN-GoldenSection,204,1.511033e-8,-7.820726e0
QQN-GoldenSection,252,4.893794e-10,-9.310354e0
QQN-GoldenSection,300,5.486672e-13,-1.226069e1
QQN-GoldenSection,304,8.840979e-15,-1.405350e1
QQN-GoldenSection,2,5.697557e0,7.556887e-1
QQN-GoldenSection,50,5.697557e0,7.556887e-1
QQN-GoldenSection,108,5.705527e-3,-2.243704e0
QQN-GoldenSection,156,3.517910e-3,-2.453715e0
QQN-GoldenSection,204,4.295090e-7,-6.367028e0
QQN-GoldenSection,252,1.985098e-8,-7.702218e0
QQN-GoldenSection,300,5.691907e-12,-1.124474e1
QQN-GoldenSection,304,3.800389e-14,-1.342017e1
QQN-GoldenSection,2,4.662446e0,6.686138e-1
QQN-GoldenSection,50,4.662446e0,6.686138e-1
QQN-GoldenSection,108,1.923056e-3,-2.716008e0
QQN-GoldenSection,156,1.236282e-3,-2.907882e0
QQN-GoldenSection,204,7.495841e-8,-7.125180e0
QQN-GoldenSection,252,2.422806e-9,-8.615681e0
QQN-GoldenSection,300,5.077696e-13,-1.229433e1
QQN-GoldenSection,304,1.759686e-15,-1.475456e1
QQN-GoldenSection,2,5.131651e0,7.102571e-1
QQN-GoldenSection,50,5.131651e0,7.102571e-1
QQN-GoldenSection,108,5.396165e-4,-3.267915e0
QQN-GoldenSection,156,4.118214e-4,-3.385291e0
QQN-GoldenSection,204,2.017861e-9,-8.695109e0
QQN-GoldenSection,252,6.508880e-11,-1.018649e1
QQN-GoldenSection,256,1.555315e-14,-1.380818e1
QQN-GoldenSection,2,5.536859e0,7.432635e-1
QQN-GoldenSection,50,5.536859e0,7.432635e-1
QQN-GoldenSection,108,3.878496e-3,-2.411337e0
QQN-GoldenSection,156,2.442740e-3,-2.612123e0
QQN-GoldenSection,204,2.216138e-7,-6.654403e0
QQN-GoldenSection,252,8.798551e-9,-8.055589e0
QQN-GoldenSection,300,2.893614e-12,-1.153856e1
QQN-GoldenSection,304,1.543937e-14,-1.381137e1
QQN-GoldenSection,2,5.466992e0,7.377484e-1
QQN-GoldenSection,50,5.466992e0,7.377484e-1
QQN-GoldenSection,108,9.997079e-4,-3.000127e0
QQN-GoldenSection,156,7.659486e-4,-3.115800e0
QQN-GoldenSection,204,6.391900e-9,-8.194370e0
QQN-GoldenSection,252,2.008603e-10,-9.697106e0
QQN-GoldenSection,256,5.974338e-14,-1.322371e1
QQN-GoldenSection,2,5.828770e0,7.655769e-1
QQN-GoldenSection,50,5.828770e0,7.655769e-1
QQN-GoldenSection,108,4.195665e-3,-2.377199e0
QQN-GoldenSection,156,3.008315e-3,-2.521677e0
QQN-GoldenSection,204,1.344289e-7,-6.871507e0
QQN-GoldenSection,252,4.305491e-9,-8.365977e0
QQN-GoldenSection,300,4.161525e-12,-1.138075e1
QQN-GoldenSection,304,6.074274e-14,-1.321651e1
QQN-GoldenSection,2,5.605120e0,7.485849e-1
QQN-GoldenSection,50,5.605120e0,7.485849e-1
QQN-GoldenSection,108,2.106418e-3,-2.676455e0
QQN-GoldenSection,156,1.463502e-3,-2.834607e0
QQN-GoldenSection,204,4.943855e-8,-7.305934e0
QQN-GoldenSection,252,1.472798e-9,-8.831857e0
QQN-GoldenSection,300,1.428072e-12,-1.184525e1
QQN-GoldenSection,304,6.160099e-15,-1.421041e1
QQN-GoldenSection,2,5.858488e0,7.677855e-1
QQN-GoldenSection,50,5.858488e0,7.677855e-1
QQN-GoldenSection,108,2.531327e-3,-2.596652e0
QQN-GoldenSection,156,1.663899e-3,-2.778873e0
QQN-GoldenSection,204,9.220320e-8,-7.035254e0
QQN-GoldenSection,252,2.865203e-9,-8.542845e0
QQN-GoldenSection,300,9.987965e-13,-1.200052e1
QQN-GoldenSection,304,4.290674e-15,-1.436747e1
QQN-GoldenSection,2,4.923348e0,6.922605e-1
QQN-GoldenSection,50,4.923348e0,6.922605e-1
QQN-GoldenSection,108,1.360627e-3,-2.866261e0
QQN-GoldenSection,156,9.912817e-4,-3.003803e0
QQN-GoldenSection,204,1.697673e-8,-7.770146e0
QQN-GoldenSection,252,5.397836e-10,-9.267780e0
QQN-GoldenSection,300,7.101567e-13,-1.214865e1
QQN-GoldenSection,304,9.173680e-15,-1.403746e1
QQN-GoldenSection,2,5.434926e0,7.351936e-1
QQN-GoldenSection,50,5.434926e0,7.351936e-1
QQN-GoldenSection,108,2.113769e-3,-2.674942e0
QQN-GoldenSection,156,1.396368e-3,-2.855000e0
QQN-GoldenSection,204,7.048192e-8,-7.151922e0
QQN-GoldenSection,252,2.108069e-9,-8.676115e0
QQN-GoldenSection,300,6.869665e-13,-1.216306e1
QQN-GoldenSection,304,9.196195e-16,-1.500000e1
QQN-GoldenSection,2,5.822352e0,7.650985e-1
QQN-GoldenSection,50,5.822352e0,7.650985e-1
QQN-GoldenSection,108,9.192003e-4,-3.036590e0
