Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.427241e2
QQN-GoldenSection,55,1.427241e2
QQN-GoldenSection,109,2.128413e1
QQN-GoldenSection,167,2.070251e1
QQN-GoldenSection,215,2.068551e1
QQN-GoldenSection,263,2.057028e1
QQN-GoldenSection,311,2.033052e1
QQN-GoldenSection,359,1.959903e1
QQN-GoldenSection,407,1.866050e1
QQN-GoldenSection,455,1.714704e1
QQN-GoldenSection,503,1.381215e1
QQN-GoldenSection,551,1.154968e1
QQN-GoldenSection,613,1.072867e1
QQN-GoldenSection,661,9.380615e0
QQN-GoldenSection,709,7.879577e0
QQN-GoldenSection,757,7.259118e0
QQN-GoldenSection,818,6.315419e0
QQN-GoldenSection,878,6.051231e0
QQN-GoldenSection,939,5.834185e0
QQN-GoldenSection,1000,5.622411e0
QQN-GoldenSection,2,1.330438e2
QQN-GoldenSection,55,1.330438e2
QQN-GoldenSection,109,2.059434e1
QQN-GoldenSection,167,2.014529e1
QQN-GoldenSection,215,2.012685e1
QQN-GoldenSection,263,2.002349e1
QQN-GoldenSection,311,1.978619e1
QQN-GoldenSection,372,1.882584e1
QQN-GoldenSection,433,1.817667e1
QQN-GoldenSection,494,1.813431e1
QQN-GoldenSection,555,1.809316e1
QQN-GoldenSection,616,1.805436e1
QQN-GoldenSection,677,1.801560e1
QQN-GoldenSection,738,1.797723e1
QQN-GoldenSection,799,1.793842e1
QQN-GoldenSection,860,1.789947e1
QQN-GoldenSection,921,1.785986e1
QQN-GoldenSection,969,1.781902e1
QQN-GoldenSection,1030,1.713896e1
QQN-GoldenSection,2,1.280952e2
QQN-GoldenSection,55,1.280952e2
QQN-GoldenSection,109,2.175507e1
QQN-GoldenSection,167,2.066786e1
QQN-GoldenSection,215,2.065066e1
QQN-GoldenSection,263,2.055189e1
QQN-GoldenSection,311,2.033365e1
QQN-GoldenSection,372,1.952606e1
QQN-GoldenSection,433,1.890677e1
QQN-GoldenSection,494,1.887050e1
QQN-GoldenSection,555,1.883522e1
QQN-GoldenSection,616,1.880075e1
QQN-GoldenSection,677,1.876658e1
QQN-GoldenSection,738,1.873242e1
QQN-GoldenSection,799,1.869832e1
QQN-GoldenSection,860,1.866402e1
QQN-GoldenSection,921,1.862974e1
