Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.427241e2,2.154497e0
QQN-GoldenSection,55,1.427241e2,2.154497e0
QQN-GoldenSection,109,2.128413e1,1.328056e0
QQN-GoldenSection,167,2.070251e1,1.316023e0
QQN-GoldenSection,215,2.068551e1,1.315666e0
QQN-GoldenSection,263,2.057028e1,1.313240e0
QQN-GoldenSection,311,2.033052e1,1.308148e0
QQN-GoldenSection,359,1.959903e1,1.292235e0
QQN-GoldenSection,407,1.866050e1,1.270923e0
QQN-GoldenSection,455,1.714704e1,1.234189e0
QQN-GoldenSection,503,1.381215e1,1.140261e0
QQN-GoldenSection,551,1.154968e1,1.062570e0
QQN-GoldenSection,613,1.072867e1,1.030546e0
QQN-GoldenSection,661,9.380615e0,9.722313e-1
QQN-GoldenSection,709,7.879577e0,8.965029e-1
QQN-GoldenSection,757,7.259118e0,8.608838e-1
QQN-GoldenSection,818,6.315419e0,8.004022e-1
QQN-GoldenSection,878,6.051231e0,7.818438e-1
QQN-GoldenSection,939,5.834185e0,7.659802e-1
QQN-GoldenSection,1000,5.622411e0,7.499226e-1
QQN-GoldenSection,2,1.330438e2,2.123995e0
QQN-GoldenSection,55,1.330438e2,2.123995e0
QQN-GoldenSection,109,2.059434e1,1.313748e0
QQN-GoldenSection,167,2.014529e1,1.304174e0
QQN-GoldenSection,215,2.012685e1,1.303776e0
QQN-GoldenSection,263,2.002349e1,1.301540e0
QQN-GoldenSection,311,1.978619e1,1.296362e0
QQN-GoldenSection,372,1.882584e1,1.274754e0
QQN-GoldenSection,433,1.817667e1,1.259514e0
QQN-GoldenSection,494,1.813431e1,1.258501e0
QQN-GoldenSection,555,1.809316e1,1.257514e0
QQN-GoldenSection,616,1.805436e1,1.256582e0
QQN-GoldenSection,677,1.801560e1,1.255649e0
QQN-GoldenSection,738,1.797723e1,1.254723e0
QQN-GoldenSection,799,1.793842e1,1.253784e0
QQN-GoldenSection,860,1.789947e1,1.252840e0
QQN-GoldenSection,921,1.785986e1,1.251878e0
QQN-GoldenSection,969,1.781902e1,1.250884e0
QQN-GoldenSection,1030,1.713896e1,1.233985e0
QQN-GoldenSection,2,1.280952e2,2.107533e0
QQN-GoldenSection,55,1.280952e2,2.107533e0
QQN-GoldenSection,109,2.175507e1,1.337561e0
QQN-GoldenSection,167,2.066786e1,1.315296e0
QQN-GoldenSection,215,2.065066e1,1.314934e0
QQN-GoldenSection,263,2.055189e1,1.312852e0
QQN-GoldenSection,311,2.033365e1,1.308215e0
QQN-GoldenSection,372,1.952606e1,1.290615e0
QQN-GoldenSection,433,1.890677e1,1.276617e0
QQN-GoldenSection,494,1.887050e1,1.275783e0
QQN-GoldenSection,555,1.883522e1,1.274971e0
QQN-GoldenSection,616,1.880075e1,1.274175e0
QQN-GoldenSection,677,1.876658e1,1.273385e0
QQN-GoldenSection,738,1.873242e1,1.272594e0
QQN-GoldenSection,799,1.869832e1,1.271803e0
QQN-GoldenSection,860,1.866402e1,1.271005e0
QQN-GoldenSection,921,1.862974e1,1.270207e0
QQN-GoldenSection,969,1.859516e1,1.269400e0
QQN-GoldenSection,1030,1.800369e1,1.255362e0
QQN-GoldenSection,2,9.963354e1,1.998406e0
QQN-GoldenSection,55,9.963354e1,1.998406e0
QQN-GoldenSection,109,2.110304e1,1.324345e0
QQN-GoldenSection,167,2.010453e1,1.303294e0
QQN-GoldenSection,215,2.008583e1,1.302890e0
QQN-GoldenSection,263,1.999917e1,1.301012e0
QQN-GoldenSection,311,1.980121e1,1.296692e0
QQN-GoldenSection,372,1.912790e1,1.281667e0
QQN-GoldenSection,433,1.856859e1,1.268779e0
QQN-GoldenSection,494,1.852906e1,1.267853e0
QQN-GoldenSection,555,1.849023e1,1.266942e0
QQN-GoldenSection,616,1.845277e1,1.266062e0
QQN-GoldenSection,677,1.841542e1,1.265182e0
QQN-GoldenSection,738,1.837848e1,1.264310e0
QQN-GoldenSection,799,1.834135e1,1.263431e0
QQN-GoldenSection,860,1.830435e1,1.262554e0
QQN-GoldenSection,921,1.826706e1,1.261669e0
QQN-GoldenSection,969,1.822983e1,1.260783e0
QQN-GoldenSection,1030,1.757651e1,1.244933e0
QQN-GoldenSection,2,2.242929e2,2.350816e0
QQN-GoldenSection,55,2.242929e2,2.350816e0
QQN-GoldenSection,109,2.080929e1,1.318257e0
QQN-GoldenSection,167,2.047257e1,1.311172e0
QQN-GoldenSection,215,2.045517e1,1.310803e0
QQN-GoldenSection,263,2.029921e1,1.307479e0
QQN-GoldenSection,311,2.000357e1,1.301107e0
QQN-GoldenSection,359,1.929292e1,1.285398e0
QQN-GoldenSection,407,1.845204e1,1.266044e0
QQN-GoldenSection,468,1.689022e1,1.227635e0
QQN-GoldenSection,516,1.471171e1,1.167663e0
QQN-GoldenSection,564,1.359367e1,1.133337e0
QQN-GoldenSection,612,1.199433e1,1.078976e0
QQN-GoldenSection,674,1.061485e1,1.025914e0
QQN-GoldenSection,734,1.027790e1,1.011904e0
QQN-GoldenSection,796,1.007052e1,1.003052e0
QQN-GoldenSection,856,9.858442e0,9.938083e-1
QQN-GoldenSection,918,9.649331e0,9.844972e-1
QQN-GoldenSection,978,9.436114e0,9.747932e-1
QQN-GoldenSection,1040,9.224865e0,9.649600e-1
QQN-GoldenSection,2,2.724025e2,2.435211e0
QQN-GoldenSection,55,2.724025e2,2.435211e0
QQN-GoldenSection,109,2.086871e1,1.319496e0
QQN-GoldenSection,167,2.033119e1,1.308163e0
QQN-GoldenSection,215,2.031406e1,1.307797e0
QQN-GoldenSection,263,2.015004e1,1.304276e0
QQN-GoldenSection,311,1.983913e1,1.297523e0
QQN-GoldenSection,359,1.908652e1,1.280727e0
QQN-GoldenSection,407,1.821489e1,1.260427e0
QQN-GoldenSection,468,1.655877e1,1.219028e0
QQN-GoldenSection,516,1.427640e1,1.154619e0
QQN-GoldenSection,564,1.353003e1,1.131299e0
QQN-GoldenSection,612,1.191483e1,1.076088e0
QQN-GoldenSection,674,1.060871e1,1.025663e0
QQN-GoldenSection,735,1.036979e1,1.015770e0
QQN-GoldenSection,797,1.020727e1,1.008909e0
QQN-GoldenSection,858,1.004382e1,1.001899e0
QQN-GoldenSection,920,9.886528e0,9.950438e-1
QQN-GoldenSection,981,9.727761e0,9.880129e-1
QQN-GoldenSection,1043,9.566553e0,9.807555e-1
QQN-GoldenSection,2,2.633679e2,2.420563e0
QQN-GoldenSection,55,2.633679e2,2.420563e0
QQN-GoldenSection,109,2.176081e1,1.337675e0
QQN-GoldenSection,167,2.109541e1,1.324188e0
QQN-GoldenSection,215,2.107912e1,1.323852e0
QQN-GoldenSection,263,2.097714e1,1.321746e0
QQN-GoldenSection,311,2.077409e1,1.317522e0
QQN-GoldenSection,359,2.022382e1,1.305863e0
QQN-GoldenSection,407,1.941866e1,1.288219e0
QQN-GoldenSection,468,1.830770e1,1.262634e0
QQN-GoldenSection,516,1.621858e1,1.210013e0
QQN-GoldenSection,564,1.478348e1,1.169777e0
QQN-GoldenSection,612,1.332898e1,1.124797e0
QQN-GoldenSection,673,1.184364e1,1.073485e0
QQN-GoldenSection,734,1.150180e1,1.060766e0
QQN-GoldenSection,795,1.137941e1,1.056120e0
QQN-GoldenSection,856,1.125790e1,1.051458e0
QQN-GoldenSection,917,1.114003e1,1.046886e0
QQN-GoldenSection,978,1.102141e1,1.042237e0
QQN-GoldenSection,1040,1.090006e1,1.037429e0
QQN-GoldenSection,2,1.621271e2,2.209856e0
QQN-GoldenSection,55,1.621271e2,2.209856e0
QQN-GoldenSection,109,2.202895e1,1.342994e0
QQN-GoldenSection,167,2.080786e1,1.318227e0
QQN-GoldenSection,215,2.079018e1,1.317858e0
QQN-GoldenSection,263,2.071134e1,1.316208e0
QQN-GoldenSection,311,2.053389e1,1.312471e0
QQN-GoldenSection,359,1.995578e1,1.300069e0
QQN-GoldenSection,407,1.790736e1,1.253032e0
QQN-GoldenSection,455,1.624986e1,1.210850e0
QQN-GoldenSection,516,1.282859e1,1.108179e0
QQN-GoldenSection,577,1.057148e1,1.024136e0
QQN-GoldenSection,639,1.041963e1,1.017852e0
QQN-GoldenSection,700,1.027292e1,1.011694e0
QQN-GoldenSection,762,1.014558e1,1.006277e0
QQN-GoldenSection,823,1.001305e1,1.000566e0
QQN-GoldenSection,885,9.879451e0,9.947328e-1
QQN-GoldenSection,946,9.739681e0,9.885447e-1
QQN-GoldenSection,1008,9.598127e0,9.821865e-1
QQN-GoldenSection,2,1.352180e2,2.131034e0
QQN-GoldenSection,55,1.352180e2,2.131034e0
QQN-GoldenSection,109,2.074517e1,1.316917e0
QQN-GoldenSection,167,1.999489e1,1.300919e0
QQN-GoldenSection,215,1.997471e1,1.300481e0
QQN-GoldenSection,263,1.990549e1,1.298973e0
QQN-GoldenSection,311,1.973134e1,1.295157e0
QQN-GoldenSection,372,1.913615e1,1.281855e0
QQN-GoldenSection,433,1.867403e1,1.271238e0
QQN-GoldenSection,494,1.863649e1,1.270364e0
QQN-GoldenSection,555,1.860019e1,1.269517e0
QQN-GoldenSection,616,1.856526e1,1.268701e0
QQN-GoldenSection,677,1.853031e1,1.267883e0
QQN-GoldenSection,738,1.849557e1,1.267068e0
QQN-GoldenSection,799,1.846053e1,1.266244e0
QQN-GoldenSection,860,1.842556e1,1.265421e0
QQN-GoldenSection,921,1.839024e1,1.264587e0
QQN-GoldenSection,969,1.835493e1,1.263753e0
QQN-GoldenSection,1030,1.774376e1,1.249046e0
QQN-GoldenSection,2,1.483390e2,2.171255e0
QQN-GoldenSection,55,1.483390e2,2.171255e0
QQN-GoldenSection,109,2.132146e1,1.328817e0
QQN-GoldenSection,167,2.099409e1,1.322097e0
