Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,9.970476e0,9.987159e-1
QQN-GoldenSection,50,9.970476e0,9.987159e-1
QQN-GoldenSection,54,1.605209e-13,-1.279447e1
QQN-GoldenSection,2,9.609486e0,9.827002e-1
QQN-GoldenSection,50,9.609486e0,9.827002e-1
QQN-GoldenSection,54,1.547091e-13,-1.281048e1
QQN-GoldenSection,2,1.023989e1,1.010295e0
QQN-GoldenSection,50,1.023989e1,1.010295e0
QQN-GoldenSection,54,1.648584e-13,-1.278289e1
QQN-GoldenSection,2,1.073047e1,1.030619e0
QQN-GoldenSection,50,1.073047e1,1.030619e0
QQN-GoldenSection,54,1.727566e-13,-1.276257e1
QQN-GoldenSection,2,1.151765e1,1.061364e0
QQN-GoldenSection,50,1.151765e1,1.061364e0
QQN-GoldenSection,54,1.854298e-13,-1.273182e1
QQN-GoldenSection,2,8.951634e0,9.519023e-1
QQN-GoldenSection,50,8.951634e0,9.519023e-1
QQN-GoldenSection,54,1.441179e-13,-1.284128e1
QQN-GoldenSection,2,9.916753e0,9.963695e-1
QQN-GoldenSection,50,9.916753e0,9.963695e-1
QQN-GoldenSection,54,1.596560e-13,-1.279681e1
QQN-GoldenSection,2,8.637832e0,9.364047e-1
QQN-GoldenSection,50,8.637832e0,9.364047e-1
QQN-GoldenSection,54,1.390658e-13,-1.285678e1
QQN-GoldenSection,2,1.064307e1,1.027067e0
QQN-GoldenSection,50,1.064307e1,1.027067e0
QQN-GoldenSection,54,1.713495e-13,-1.276612e1
QQN-GoldenSection,2,9.556771e0,9.803112e-1
QQN-GoldenSection,50,9.556771e0,9.803112e-1
QQN-GoldenSection,54,1.538604e-13,-1.281287e1
QQN-GoldenSection,2,1.027596e1,1.011822e0
QQN-GoldenSection,50,1.027596e1,1.011822e0
QQN-GoldenSection,54,1.654390e-13,-1.278136e1
QQN-GoldenSection,2,1.071068e1,1.029817e0
QQN-GoldenSection,50,1.071068e1,1.029817e0
