Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.955349e0
QQN-GoldenSection,50,1.955349e0
QQN-GoldenSection,54,3.148038e-14
QQN-GoldenSection,2,1.607916e0
QQN-GoldenSection,50,1.607916e0
QQN-GoldenSection,54,2.588684e-14
QQN-GoldenSection,2,2.078263e0
QQN-GoldenSection,50,2.078263e0
QQN-GoldenSection,54,3.345925e-14
QQN-GoldenSection,2,2.239424e0
QQN-GoldenSection,50,2.239424e0
QQN-GoldenSection,54,3.605388e-14
QQN-GoldenSection,2,2.133280e0
QQN-GoldenSection,50,2.133280e0
QQN-GoldenSection,54,3.434501e-14
QQN-GoldenSection,2,1.395801e0
QQN-GoldenSection,50,1.395801e0
QQN-GoldenSection,54,2.247187e-14
QQN-GoldenSection,2,2.430248e0
QQN-GoldenSection,50,2.430248e0
QQN-GoldenSection,54,3.912608e-14
QQN-GoldenSection,2,2.220550e0
QQN-GoldenSection,50,2.220550e0
QQN-GoldenSection,54,3.575002e-14
QQN-GoldenSection,2,2.494996e0
QQN-GoldenSection,50,2.494996e0
QQN-GoldenSection,54,4.016850e-14
QQN-GoldenSection,2,1.942431e0
QQN-GoldenSection,50,1.942431e0
QQN-GoldenSection,54,3.127241e-14
QQN-GoldenSection,2,1.544836e0
QQN-GoldenSection,50,1.544836e0
QQN-GoldenSection,54,2.487127e-14
QQN-GoldenSection,2,1.689830e0
QQN-GoldenSection,50,1.689830e0
QQN-GoldenSection,54,2.720563e-14
QQN-GoldenSection,2,1.435724e0
QQN-GoldenSection,50,1.435724e0
QQN-GoldenSection,54,2.311462e-14
QQN-GoldenSection,2,1.813788e0
QQN-GoldenSection,50,1.813788e0
QQN-GoldenSection,54,2.920130e-14
QQN-GoldenSection,2,2.295261e0
QQN-GoldenSection,50,2.295261e0
QQN-GoldenSection,54,3.695283e-14
QQN-GoldenSection,2,1.729670e0
QQN-GoldenSection,50,1.729670e0
QQN-GoldenSection,54,2.784703e-14
QQN-GoldenSection,2,1.590693e0
QQN-GoldenSection,50,1.590693e0
QQN-GoldenSection,54,2.560956e-14
QQN-GoldenSection,2,1.810661e0
QQN-GoldenSection,50,1.810661e0
QQN-GoldenSection,54,2.915097e-14
QQN-GoldenSection,2,1.547724e0
QQN-GoldenSection,50,1.547724e0
QQN-GoldenSection,54,2.491777e-14
QQN-GoldenSection,2,1.822555e0
QQN-GoldenSection,50,1.822555e0
QQN-GoldenSection,54,2.934245e-14
QQN-Bisection-1,2,2.193689e0
QQN-Bisection-1,23,2.193689e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.776611e0
QQN-Bisection-1,23,1.776611e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,2.326834e0
QQN-Bisection-1,23,2.326834e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.973840e0
QQN-Bisection-1,23,1.973840e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.992279e0
QQN-Bisection-1,23,1.992279e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.760045e0
QQN-Bisection-1,23,1.760045e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,2.306396e0
QQN-Bisection-1,23,2.306396e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.813222e0
QQN-Bisection-1,23,1.813222e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,2.088945e0
QQN-Bisection-1,23,2.088945e0
QQN-Bisection-1,27,0.000000e0
