Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,-2.123013e0
QQN-GoldenSection,50,-2.123013e0
QQN-GoldenSection,102,-2.329027e2
QQN-GoldenSection,160,-2.799200e2
QQN-GoldenSection,218,-3.006448e2
QQN-GoldenSection,276,-3.256204e2
QQN-GoldenSection,324,-3.372123e2
QQN-GoldenSection,372,-3.395417e2
QQN-GoldenSection,420,-3.448588e2
QQN-GoldenSection,479,-3.584206e2
QQN-GoldenSection,538,-3.631772e2
QQN-GoldenSection,597,-3.633863e2
QQN-GoldenSection,645,-3.633882e2
QQN-GoldenSection,704,-3.633882e2
QQN-GoldenSection,718,-3.633882e2
QQN-GoldenSection,732,-3.633882e2
QQN-GoldenSection,746,-3.633882e2
QQN-GoldenSection,760,-3.633882e2
QQN-GoldenSection,764,-3.633882e2
QQN-GoldenSection,2,-4.782722e-1
QQN-GoldenSection,50,-4.782722e-1
QQN-GoldenSection,102,-1.781289e2
QQN-GoldenSection,160,-2.100146e2
QQN-GoldenSection,218,-2.318898e2
QQN-GoldenSection,276,-2.681300e2
QQN-GoldenSection,334,-3.049915e2
QQN-GoldenSection,393,-3.466141e2
QQN-GoldenSection,452,-3.627960e2
QQN-GoldenSection,511,-3.633868e2
QQN-GoldenSection,570,-3.633882e2
QQN-GoldenSection,584,-3.633882e2
QQN-GoldenSection,2,-1.111841e0
QQN-GoldenSection,50,-1.111841e0
QQN-GoldenSection,102,-1.701293e2
QQN-GoldenSection,160,-2.290618e2
QQN-GoldenSection,208,-2.436145e2
QQN-GoldenSection,256,-2.689153e2
QQN-GoldenSection,304,-2.952241e2
QQN-GoldenSection,352,-3.179969e2
QQN-GoldenSection,400,-3.363246e2
QQN-GoldenSection,459,-3.466964e2
QQN-GoldenSection,507,-3.492321e2
QQN-GoldenSection,555,-3.492502e2
QQN-GoldenSection,603,-3.492514e2
QQN-GoldenSection,651,-3.492515e2
QQN-GoldenSection,699,-3.492515e2
QQN-GoldenSection,713,-3.492515e2
QQN-GoldenSection,727,-3.492515e2
QQN-GoldenSection,731,-3.492515e2
QQN-GoldenSection,2,-9.927616e-1
QQN-GoldenSection,50,-9.927616e-1
QQN-GoldenSection,102,-2.236942e2
QQN-GoldenSection,160,-2.628089e2
QQN-GoldenSection,208,-2.777719e2
QQN-GoldenSection,266,-2.984888e2
QQN-GoldenSection,324,-3.198283e2
QQN-GoldenSection,382,-3.421220e2
QQN-GoldenSection,441,-3.654431e2
QQN-GoldenSection,500,-3.772770e2
QQN-GoldenSection,559,-3.775246e2
QQN-GoldenSection,618,-3.775249e2
QQN-GoldenSection,632,-3.775249e2
QQN-GoldenSection,2,-6.875312e-1
QQN-GoldenSection,50,-6.875312e-1
QQN-GoldenSection,102,-1.719778e2
QQN-GoldenSection,160,-2.233794e2
QQN-GoldenSection,208,-2.498049e2
QQN-GoldenSection,256,-2.685083e2
