Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.833881e-1,-3.157041e-1
QQN-GoldenSection,49,4.833881e-1,-3.157041e-1
QQN-GoldenSection,2,2.800433e-1,-5.527748e-1
QQN-GoldenSection,49,2.800433e-1,-5.527748e-1
QQN-GoldenSection,2,7.516446e-1,-1.239875e-1
QQN-GoldenSection,49,7.516446e-1,-1.239875e-1
QQN-GoldenSection,2,7.553005e-1,-1.218802e-1
QQN-GoldenSection,49,7.553005e-1,-1.218802e-1
QQN-Bisection-1,2,2.248307e-1,-6.481444e-1
QQN-Bisection-1,61,2.248307e-1,-6.481444e-1
QQN-Bisection-1,2,6.800444e-1,-1.674628e-1
QQN-Bisection-1,63,6.800444e-1,-1.674628e-1
QQN-CubicQuadraticInterpolation,2,2.176381e-1,-6.622651e-1
QQN-CubicQuadraticInterpolation,64,2.176381e-1,-6.622651e-1
QQN-CubicQuadraticInterpolation,2,5.444529e-1,-2.640397e-1
QQN-CubicQuadraticInterpolation,64,5.444529e-1,-2.640397e-1
QQN-CubicQuadraticInterpolation,2,6.354103e-1,-1.969457e-1
QQN-CubicQuadraticInterpolation,64,6.354103e-1,-1.969457e-1
QQN-CubicQuadraticInterpolation,2,3.649114e-1,-4.378126e-1
QQN-CubicQuadraticInterpolation,64,3.649114e-1,-4.378126e-1
QQN-CubicQuadraticInterpolation,2,4.643421e-1,-3.331620e-1
QQN-CubicQuadraticInterpolation,64,4.643421e-1,-3.331620e-1
QQN-CubicQuadraticInterpolation,2,6.629943e-1,-1.784902e-1
QQN-CubicQuadraticInterpolation,64,6.629943e-1,-1.784902e-1
L-BFGS-Aggressive,2,4.844380e-1,-3.147618e-1
L-BFGS-Aggressive,11,4.844380e-1,-3.147618e-1
L-BFGS-Aggressive,2,4.337857e-2,-1.362725e0
L-BFGS-Aggressive,12,4.337857e-2,-1.362725e0
L-BFGS-Aggressive,2,9.170867e-2,-1.037590e0
L-BFGS-Aggressive,11,9.170867e-2,-1.037590e0
L-BFGS-Aggressive,2,5.112474e-1,-2.913689e-1
L-BFGS-Aggressive,11,5.112474e-1,-2.913689e-1
L-BFGS-Aggressive,2,3.943939e-2,-1.404070e0
L-BFGS-Aggressive,12,3.943939e-2,-1.404070e0
L-BFGS-Aggressive,2,2.037143e-2,-1.690978e0
L-BFGS-Aggressive,11,2.037143e-2,-1.690978e0
L-BFGS-Aggressive,2,1.951295e-1,-7.096770e-1
L-BFGS-Aggressive,11,1.951295e-1,-7.096770e-1
L-BFGS-Aggressive,2,2.124226e-1,-6.727994e-1
L-BFGS-Aggressive,11,2.124226e-1,-6.727994e-1
L-BFGS-Aggressive,2,1.076365e-1,-9.680404e-1
