Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.212945e1,1.083841e0
QQN-GoldenSection,55,1.212945e1,1.083841e0
QQN-GoldenSection,109,5.178849e0,7.142333e-1
QQN-GoldenSection,167,2.767783e0,4.421320e-1
QQN-GoldenSection,215,1.836237e0,2.639288e-1
QQN-GoldenSection,263,1.283940e0,1.085448e-1
QQN-GoldenSection,311,8.800562e-1,-5.548957e-2
QQN-GoldenSection,359,6.209554e-1,-2.069396e-1
QQN-GoldenSection,407,4.951661e-1,-3.052491e-1
QQN-GoldenSection,455,4.265359e-1,-3.700444e-1
QQN-GoldenSection,503,2.728726e-1,-5.640401e-1
QQN-GoldenSection,551,1.677890e-1,-7.752365e-1
QQN-GoldenSection,599,1.046571e-1,-9.802314e-1
QQN-GoldenSection,647,9.268316e-2,-1.032999e0
QQN-GoldenSection,695,8.554726e-2,-1.067794e0
QQN-GoldenSection,743,6.210395e-2,-1.206881e0
QQN-GoldenSection,791,6.043120e-2,-1.218739e0
QQN-GoldenSection,839,4.297817e-2,-1.366752e0
QQN-GoldenSection,887,4.209035e-2,-1.375817e0
QQN-GoldenSection,935,4.142322e-2,-1.382756e0
QQN-GoldenSection,983,3.893799e-2,-1.409627e0
QQN-GoldenSection,1044,3.164492e-2,-1.499696e0
QQN-GoldenSection,2,5.385916e0,7.312596e-1
QQN-GoldenSection,55,5.385916e0,7.312596e-1
QQN-GoldenSection,109,1.632382e0,2.128219e-1
QQN-GoldenSection,167,8.377572e-1,-7.688184e-2
QQN-GoldenSection,215,5.622268e-1,-2.500885e-1
QQN-GoldenSection,263,4.364464e-1,-3.600691e-1
QQN-GoldenSection,311,3.048403e-1,-5.159276e-1
QQN-GoldenSection,359,1.874447e-1,-7.271268e-1
QQN-GoldenSection,407,1.306072e-1,-8.840330e-1
QQN-GoldenSection,455,6.186985e-2,-1.208521e0
QQN-GoldenSection,503,5.496778e-2,-1.259892e0
QQN-GoldenSection,551,5.112475e-2,-1.291369e0
QQN-GoldenSection,599,5.065573e-2,-1.295371e0
QQN-GoldenSection,647,5.043057e-2,-1.297306e0
QQN-GoldenSection,695,4.981260e-2,-1.302661e0
QQN-GoldenSection,743,4.858365e-2,-1.313510e0
QQN-GoldenSection,791,4.658899e-2,-1.331717e0
QQN-GoldenSection,852,4.315848e-2,-1.364934e0
QQN-GoldenSection,900,4.063710e-2,-1.391077e0
QQN-GoldenSection,960,3.440892e-2,-1.463329e0
QQN-GoldenSection,1008,3.079630e-2,-1.511502e0
QQN-GoldenSection,2,1.536592e1,1.186559e0
QQN-GoldenSection,55,1.536592e1,1.186559e0
QQN-GoldenSection,109,4.533059e0,6.563914e-1
QQN-GoldenSection,167,2.512241e0,4.000614e-1
QQN-GoldenSection,215,1.517645e0,1.811703e-1
QQN-GoldenSection,263,1.138864e0,5.647178e-2
QQN-GoldenSection,311,8.379574e-1,-7.677804e-2
QQN-GoldenSection,359,7.913365e-1,-1.016388e-1
QQN-GoldenSection,407,7.292233e-1,-1.371395e-1
QQN-GoldenSection,467,6.492533e-1,-1.875858e-1
QQN-GoldenSection,528,5.945166e-1,-2.258360e-1
QQN-GoldenSection,588,5.597377e-1,-2.520154e-1
QQN-GoldenSection,649,5.275818e-1,-2.777102e-1
QQN-GoldenSection,709,4.975667e-1,-3.031486e-1
QQN-GoldenSection,770,4.677861e-1,-3.299527e-1
QQN-GoldenSection,830,4.395970e-1,-3.569453e-1
QQN-GoldenSection,891,4.122561e-1,-3.848329e-1
QQN-GoldenSection,951,3.870098e-1,-4.122780e-1
QQN-GoldenSection,1012,3.631764e-1,-4.398824e-1
QQN-GoldenSection,2,1.234917e1,1.091638e0
QQN-GoldenSection,55,1.234917e1,1.091638e0
QQN-GoldenSection,109,8.994069e-1,-4.604379e-2
QQN-GoldenSection,167,4.481186e-1,-3.486070e-1
QQN-GoldenSection,215,2.170501e-1,-6.634400e-1
QQN-GoldenSection,263,1.157613e-1,-9.364365e-1
QQN-GoldenSection,311,8.787589e-2,-1.056130e0
QQN-GoldenSection,359,7.768415e-2,-1.109668e0
QQN-GoldenSection,407,7.407081e-2,-1.130353e0
QQN-GoldenSection,455,6.147249e-2,-1.211319e0
QQN-GoldenSection,503,5.677964e-2,-1.245807e0
QQN-GoldenSection,551,5.419544e-2,-1.266037e0
QQN-GoldenSection,599,5.318616e-2,-1.274201e0
QQN-GoldenSection,647,5.277597e-2,-1.277564e0
QQN-GoldenSection,695,5.251435e-2,-1.279722e0
QQN-GoldenSection,743,5.238491e-2,-1.280794e0
QQN-GoldenSection,791,5.208526e-2,-1.283285e0
QQN-GoldenSection,852,5.073564e-2,-1.294687e0
QQN-GoldenSection,907,4.966945e-2,-1.303911e0
QQN-GoldenSection,961,3.408702e-2,-1.467411e0
QQN-GoldenSection,1015,2.130994e-2,-1.671418e0
QQN-GoldenSection,2,5.933334e0,7.732988e-1
QQN-GoldenSection,55,5.933334e0,7.732988e-1
QQN-GoldenSection,109,3.086241e0,4.894298e-1
QQN-GoldenSection,167,1.676876e0,2.245011e-1
QQN-GoldenSection,215,8.750167e-1,-5.798365e-2
QQN-GoldenSection,263,3.151062e-1,-5.015431e-1
QQN-GoldenSection,311,1.497881e-1,-8.245226e-1
QQN-GoldenSection,359,8.059236e-2,-1.093706e0
QQN-GoldenSection,407,6.727683e-2,-1.172134e0
QQN-GoldenSection,455,5.887284e-2,-1.230085e0
QQN-GoldenSection,503,5.453395e-2,-1.263333e0
QQN-GoldenSection,551,5.355586e-2,-1.271193e0
QQN-GoldenSection,599,5.334559e-2,-1.272901e0
QQN-GoldenSection,647,5.318505e-2,-1.274210e0
QQN-GoldenSection,695,5.299062e-2,-1.275801e0
QQN-GoldenSection,743,5.261962e-2,-1.278852e0
QQN-GoldenSection,791,5.252463e-2,-1.279637e0
QQN-GoldenSection,839,5.221418e-2,-1.282212e0
QQN-GoldenSection,887,5.195688e-2,-1.284357e0
QQN-GoldenSection,935,5.122487e-2,-1.290519e0
QQN-GoldenSection,996,4.826807e-2,-1.316340e0
QQN-GoldenSection,1057,4.387340e-2,-1.357799e0
QQN-GoldenSection,2,1.105374e1,1.043509e0
QQN-GoldenSection,55,1.105374e1,1.043509e0
QQN-GoldenSection,109,3.048940e0,4.841489e-1
QQN-GoldenSection,167,8.466668e-1,-7.228746e-2
QQN-GoldenSection,215,4.101402e-1,-3.870677e-1
QQN-GoldenSection,263,1.668337e-1,-7.777161e-1
QQN-GoldenSection,311,1.369144e-1,-8.635510e-1
QQN-GoldenSection,359,1.284881e-1,-8.911371e-1
QQN-GoldenSection,407,1.141073e-1,-9.426866e-1
QQN-GoldenSection,455,8.755432e-2,-1.057722e0
QQN-GoldenSection,503,8.357871e-2,-1.077904e0
QQN-GoldenSection,551,5.589157e-2,-1.252654e0
QQN-GoldenSection,599,5.115608e-2,-1.291103e0
QQN-GoldenSection,647,4.955091e-2,-1.304948e0
QQN-GoldenSection,695,4.851766e-2,-1.314100e0
QQN-GoldenSection,743,4.787124e-2,-1.319925e0
QQN-GoldenSection,791,4.696645e-2,-1.328212e0
QQN-GoldenSection,839,4.437264e-2,-1.352885e0
QQN-GoldenSection,887,4.117729e-2,-1.385342e0
QQN-GoldenSection,935,3.313015e-2,-1.479777e0
QQN-GoldenSection,996,1.898950e-2,-1.721487e0
QQN-GoldenSection,1057,1.654582e-2,-1.781312e0
QQN-GoldenSection,2,1.329281e1,1.123617e0
QQN-GoldenSection,55,1.329281e1,1.123617e0
QQN-GoldenSection,109,4.257444e0,6.291489e-1
QQN-GoldenSection,167,2.160435e0,3.345413e-1
QQN-GoldenSection,215,1.153751e0,6.211227e-2
QQN-GoldenSection,263,7.112528e-1,-1.479760e-1
QQN-GoldenSection,311,5.550238e-1,-2.556884e-1
QQN-GoldenSection,359,2.931344e-1,-5.329332e-1
QQN-GoldenSection,407,2.160166e-1,-6.655129e-1
QQN-GoldenSection,455,1.904716e-1,-7.201697e-1
QQN-GoldenSection,503,1.752252e-1,-7.564034e-1
QQN-GoldenSection,551,1.451624e-1,-8.381460e-1
QQN-GoldenSection,599,1.072838e-1,-9.694658e-1
QQN-GoldenSection,647,7.651443e-2,-1.116257e0
QQN-GoldenSection,695,5.214534e-2,-1.282785e0
QQN-GoldenSection,743,4.723270e-2,-1.325757e0
QQN-GoldenSection,791,4.473244e-2,-1.349377e0
QQN-GoldenSection,839,4.432016e-2,-1.353399e0
QQN-GoldenSection,887,4.375861e-2,-1.358936e0
QQN-GoldenSection,935,4.284649e-2,-1.368085e0
QQN-GoldenSection,983,3.956828e-2,-1.402653e0
QQN-GoldenSection,1031,3.381610e-2,-1.470877e0
QQN-GoldenSection,2,1.447515e1,1.160623e0
QQN-GoldenSection,55,1.447515e1,1.160623e0
QQN-GoldenSection,109,2.979401e0,4.741289e-1
QQN-GoldenSection,167,1.047898e0,2.031895e-2
QQN-GoldenSection,215,3.689360e-1,-4.330489e-1
QQN-GoldenSection,263,2.245968e-1,-6.485964e-1
QQN-GoldenSection,311,1.939798e-1,-7.122436e-1
QQN-GoldenSection,359,1.089678e-1,-9.627018e-1
QQN-GoldenSection,407,7.204336e-2,-1.142406e0
QQN-GoldenSection,455,5.124823e-2,-1.290321e0
QQN-GoldenSection,503,4.519408e-2,-1.344918e0
QQN-GoldenSection,551,4.066930e-2,-1.390733e0
QQN-GoldenSection,599,2.771408e-2,-1.557300e0
QQN-GoldenSection,647,1.822926e-2,-1.739231e0
QQN-GoldenSection,695,1.538765e-2,-1.812828e0
