Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,8.391595e-2
QQN-GoldenSection,51,8.391595e-2
QQN-GoldenSection,109,2.220419e-2
QQN-GoldenSection,166,2.445165e-3
QQN-GoldenSection,216,7.653552e-6
QQN-GoldenSection,265,2.549194e-8
QQN-GoldenSection,327,1.148845e-11
QQN-GoldenSection,331,6.614536e-16
QQN-GoldenSection,2,5.139209e-2
QQN-GoldenSection,51,5.139209e-2
QQN-GoldenSection,109,3.955833e-2
QQN-GoldenSection,157,2.147193e-2
QQN-GoldenSection,205,1.921527e-2
QQN-GoldenSection,253,1.542815e-3
QQN-GoldenSection,301,6.511568e-5
QQN-GoldenSection,349,7.322322e-7
QQN-GoldenSection,397,6.303352e-10
QQN-GoldenSection,401,1.198457e-14
QQN-GoldenSection,2,2.127990e-1
QQN-GoldenSection,50,2.127990e-1
QQN-GoldenSection,108,1.584983e-2
QQN-GoldenSection,156,6.977417e-4
QQN-GoldenSection,204,3.338696e-4
QQN-GoldenSection,252,1.203782e-4
QQN-GoldenSection,300,9.955949e-7
QQN-GoldenSection,348,2.737331e-9
QQN-GoldenSection,396,1.950279e-11
QQN-GoldenSection,444,3.329809e-13
QQN-GoldenSection,448,5.960900e-17
QQN-GoldenSection,2,7.976966e-2
QQN-GoldenSection,51,7.976966e-2
QQN-GoldenSection,109,9.387711e-3
QQN-GoldenSection,157,2.942256e-3
QQN-GoldenSection,205,1.909996e-3
QQN-GoldenSection,253,9.625030e-5
QQN-GoldenSection,301,1.657755e-7
QQN-GoldenSection,349,3.108789e-9
QQN-GoldenSection,353,1.036695e-13
QQN-GoldenSection,2,2.287673e-1
QQN-GoldenSection,50,2.287673e-1
QQN-GoldenSection,108,5.422950e-2
QQN-GoldenSection,164,5.194980e-2
QQN-GoldenSection,212,5.098162e-2
QQN-GoldenSection,260,4.781658e-2
QQN-GoldenSection,308,4.292183e-2
QQN-GoldenSection,356,4.032383e-2
QQN-GoldenSection,404,3.760769e-2
QQN-GoldenSection,452,3.515984e-2
QQN-GoldenSection,500,3.273890e-2
QQN-GoldenSection,548,3.060889e-2
QQN-GoldenSection,596,2.882669e-2
QQN-GoldenSection,644,2.740357e-2
QQN-GoldenSection,693,2.635122e-2
QQN-GoldenSection,741,2.553042e-2
QQN-GoldenSection,789,1.887263e-3
QQN-GoldenSection,839,1.319345e-4
QQN-GoldenSection,888,2.956371e-6
QQN-GoldenSection,950,1.938870e-8
QQN-GoldenSection,998,2.446242e-11
QQN-GoldenSection,1002,4.508212e-18
QQN-GoldenSection,2,1.808502e-2
QQN-GoldenSection,51,1.808502e-2
QQN-GoldenSection,109,8.789671e-6
QQN-GoldenSection,157,8.579800e-6
QQN-GoldenSection,205,6.814481e-10
QQN-GoldenSection,262,2.391855e-11
QQN-GoldenSection,266,1.234374e-14
QQN-GoldenSection,2,5.312139e-2
QQN-GoldenSection,51,5.312139e-2
QQN-GoldenSection,101,3.420502e-2
QQN-GoldenSection,152,1.496176e-2
QQN-GoldenSection,200,7.277178e-3
QQN-GoldenSection,249,6.233221e-7
QQN-GoldenSection,300,4.900138e-8
QQN-GoldenSection,349,1.451772e-9
QQN-GoldenSection,411,1.055230e-12
QQN-GoldenSection,415,1.380973e-19
QQN-GoldenSection,2,5.571589e-2
QQN-GoldenSection,51,5.571589e-2
QQN-GoldenSection,109,4.729603e-2
QQN-GoldenSection,165,3.209465e-2
QQN-GoldenSection,215,6.688048e-4
QQN-GoldenSection,263,5.214138e-5
QQN-GoldenSection,311,4.634054e-6
QQN-GoldenSection,373,2.707751e-7
QQN-GoldenSection,421,3.390684e-9
QQN-GoldenSection,425,8.988317e-15
QQN-GoldenSection,2,2.454488e-1
QQN-GoldenSection,50,2.454488e-1
QQN-GoldenSection,108,2.600386e-2
QQN-GoldenSection,164,4.622836e-4
QQN-GoldenSection,212,1.403998e-4
