Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,5.349381e5,5.728304e0
QQN-GoldenSection,51,5.349381e5,5.728304e0
QQN-GoldenSection,100,1.942396e0,2.883378e-1
QQN-GoldenSection,154,8.727106e-4,-3.059130e0
QQN-GoldenSection,213,3.909076e-7,-6.407926e0
QQN-GoldenSection,217,1.346132e-19,-1.500000e1
QQN-GoldenSection,2,5.234734e5,5.718895e0
QQN-GoldenSection,51,5.234734e5,5.718895e0
QQN-GoldenSection,100,2.502969e0,3.984554e-1
QQN-GoldenSection,154,7.966081e-2,-1.098755e0
QQN-GoldenSection,213,2.870680e-3,-2.542015e0
QQN-GoldenSection,261,4.301186e-9,-8.366412e0
QQN-GoldenSection,309,2.650583e-12,-1.157666e1
QQN-GoldenSection,357,3.649464e-14,-1.343777e1
QQN-GoldenSection,361,3.398284e-20,-1.500000e1
QQN-GoldenSection,2,3.795157e5,5.579230e0
QQN-GoldenSection,52,3.795157e5,5.579230e0
QQN-GoldenSection,101,2.544292e0,4.055669e-1
QQN-GoldenSection,155,1.825069e-1,-7.387206e-1
QQN-GoldenSection,214,1.629453e-2,-1.787958e0
QQN-GoldenSection,262,7.212407e-7,-6.141920e0
QQN-GoldenSection,310,3.101682e-10,-9.508403e0
QQN-GoldenSection,358,1.495924e-11,-1.082509e1
QQN-GoldenSection,362,4.856498e-19,-1.500000e1
QQN-GoldenSection,2,5.473847e5,5.738293e0
QQN-GoldenSection,51,5.473847e5,5.738293e0
QQN-GoldenSection,100,2.539165e0,4.046909e-1
QQN-GoldenSection,154,4.686467e-3,-2.329154e0
QQN-GoldenSection,213,8.691529e-6,-5.060904e0
QQN-GoldenSection,217,4.052474e-16,-1.500000e1
QQN-GoldenSection,2,3.992022e5,5.601193e0
QQN-GoldenSection,52,3.992022e5,5.601193e0
QQN-GoldenSection,101,2.273196e0,3.566368e-1
QQN-GoldenSection,154,5.197108e-1,-2.842383e-1
QQN-GoldenSection,214,1.581687e-1,-8.008795e-1
QQN-GoldenSection,262,7.922716e-4,-3.101126e0
QQN-GoldenSection,310,6.364125e-8,-7.196261e0
QQN-GoldenSection,358,8.002216e-9,-8.096790e0
QQN-GoldenSection,362,2.618690e-19,-1.500000e1
QQN-GoldenSection,2,5.749047e5,5.759596e0
QQN-GoldenSection,51,5.749047e5,5.759596e0
QQN-GoldenSection,100,1.841588e0,2.651925e-1
QQN-GoldenSection,154,2.041093e-1,-6.901371e-1
QQN-GoldenSection,213,2.809726e-2,-1.551336e0
QQN-GoldenSection,261,6.886652e-6,-5.161992e0
QQN-GoldenSection,309,9.685219e-10,-9.013891e0
QQN-GoldenSection,357,5.099813e-11,-1.029245e1
QQN-GoldenSection,361,5.038008e-20,-1.500000e1
QQN-GoldenSection,2,4.719925e5,5.673935e0
QQN-GoldenSection,51,4.719925e5,5.673935e0
QQN-GoldenSection,100,2.563679e0,4.088636e-1
QQN-GoldenSection,153,9.347430e-1,-2.930778e-2
QQN-GoldenSection,203,4.431692e-1,-3.534305e-1
QQN-GoldenSection,258,1.266605e-2,-1.897359e0
QQN-GoldenSection,316,1.178840e-2,-1.928545e0
QQN-GoldenSection,364,2.640205e-11,-1.057836e1
QQN-GoldenSection,368,2.184838e-17,-1.500000e1
QQN-GoldenSection,2,6.614824e5,5.820518e0
QQN-GoldenSection,51,6.614824e5,5.820518e0
QQN-GoldenSection,101,2.549495e0,4.064542e-1
QQN-GoldenSection,154,1.154377e0,6.234777e-2
QQN-GoldenSection,215,6.524803e-1,-1.854326e-1
QQN-GoldenSection,263,4.362105e-2,-1.360304e0
QQN-GoldenSection,311,1.253714e-6,-5.901802e0
QQN-GoldenSection,359,2.145265e-7,-6.668519e0
QQN-GoldenSection,363,2.760320e-18,-1.500000e1
QQN-GoldenSection,2,7.085388e5,5.850364e0
QQN-GoldenSection,51,7.085388e5,5.850364e0
QQN-GoldenSection,100,2.980371e0,4.742703e-1
QQN-GoldenSection,154,1.040249e-2,-1.982863e0
QQN-GoldenSection,213,3.690974e-5,-4.432859e0
QQN-GoldenSection,261,1.653267e-14,-1.378166e1
QQN-GoldenSection,265,3.911359e-18,-1.500000e1
QQN-GoldenSection,2,6.162408e5,5.789750e0
QQN-GoldenSection,51,6.162408e5,5.789750e0
QQN-GoldenSection,100,2.475349e0,3.936364e-1
QQN-GoldenSection,153,9.460755e-1,-2.407423e-2
QQN-GoldenSection,213,4.649413e-1,-3.326018e-1
QQN-GoldenSection,261,1.678940e-2,-1.774965e0
QQN-GoldenSection,309,6.320140e-7,-6.199273e0
QQN-GoldenSection,357,1.046739e-7,-6.980162e0
QQN-GoldenSection,361,5.219579e-19,-1.500000e1
QQN-GoldenSection,2,5.777989e5,5.761777e0
QQN-GoldenSection,51,5.777989e5,5.761777e0
QQN-GoldenSection,100,2.179924e0,3.384413e-1
QQN-GoldenSection,153,6.104144e-1,-2.143752e-1
QQN-GoldenSection,213,2.243601e-1,-6.490543e-1
QQN-GoldenSection,261,2.447102e-3,-2.611348e0
QQN-GoldenSection,309,1.326741e-7,-6.877214e0
QQN-GoldenSection,357,1.781368e-8,-7.749246e0
QQN-GoldenSection,361,1.595752e-19,-1.500000e1
QQN-GoldenSection,2,6.917431e5,5.839945e0
QQN-GoldenSection,51,6.917431e5,5.839945e0
QQN-GoldenSection,100,2.382010e0,3.769437e-1
QQN-GoldenSection,153,7.236912e-1,-1.404467e-1
QQN-GoldenSection,213,2.899746e-1,-5.376401e-1
QQN-GoldenSection,261,4.417961e-3,-2.354778e0
QQN-GoldenSection,309,2.364211e-7,-6.626314e0
QQN-GoldenSection,357,3.564457e-8,-7.448007e0
QQN-GoldenSection,361,2.551077e-19,-1.500000e1
QQN-GoldenSection,2,6.900884e5,5.838905e0
QQN-GoldenSection,51,6.900884e5,5.838905e0
QQN-GoldenSection,100,2.172752e0,3.370102e-1
QQN-GoldenSection,154,3.100044e-1,-5.086321e-1
QQN-GoldenSection,213,5.759867e-2,-1.239588e0
QQN-GoldenSection,261,4.240901e-5,-4.372542e0
QQN-GoldenSection,309,6.275555e-9,-8.202348e0
QQN-GoldenSection,357,5.260324e-10,-9.278987e0
QQN-GoldenSection,361,2.403523e-19,-1.500000e1
QQN-GoldenSection,2,5.285061e5,5.723050e0
QQN-GoldenSection,51,5.285061e5,5.723050e0
QQN-GoldenSection,100,2.699443e0,4.312741e-1
QQN-GoldenSection,154,4.739662e-4,-3.324253e0
QQN-GoldenSection,213,8.276710e-8,-7.082142e0
QQN-GoldenSection,217,3.258840e-21,-1.500000e1
QQN-GoldenSection,2,5.610931e5,5.749035e0
QQN-GoldenSection,51,5.610931e5,5.749035e0
QQN-GoldenSection,100,2.604483e0,4.157216e-1
QQN-GoldenSection,154,2.950832e-1,-5.300555e-1
QQN-GoldenSection,213,4.398537e-2,-1.356692e0
QQN-GoldenSection,261,1.328297e-5,-4.876705e0
QQN-GoldenSection,309,3.686005e-9,-8.433444e0
QQN-GoldenSection,357,3.067963e-10,-9.513150e0
QQN-GoldenSection,361,9.298979e-19,-1.500000e1
QQN-GoldenSection,2,5.927735e5,5.772889e0
QQN-GoldenSection,51,5.927735e5,5.772889e0
QQN-GoldenSection,100,1.992515e0,2.994016e-1
QQN-GoldenSection,154,2.397152e-1,-6.203044e-1
QQN-GoldenSection,213,3.653011e-2,-1.437349e0
QQN-GoldenSection,261,1.291479e-5,-4.888913e0
QQN-GoldenSection,309,1.976829e-9,-8.704031e0
QQN-GoldenSection,357,1.260809e-10,-9.899351e0
QQN-GoldenSection,361,1.096779e-19,-1.500000e1
QQN-GoldenSection,2,7.155132e5,5.854618e0
QQN-GoldenSection,51,7.155132e5,5.854618e0
QQN-GoldenSection,100,2.371693e0,3.750585e-1
QQN-GoldenSection,154,8.994986e-2,-1.046000e0
QQN-GoldenSection,213,3.908242e-3,-2.408019e0
QQN-GoldenSection,261,1.185201e-8,-7.926208e0
QQN-GoldenSection,309,6.049072e-12,-1.121831e1
QQN-GoldenSection,357,1.035000e-13,-1.298506e1
QQN-GoldenSection,361,3.888391e-20,-1.500000e1
QQN-GoldenSection,2,6.307947e5,5.799888e0
QQN-GoldenSection,51,6.307947e5,5.799888e0
QQN-GoldenSection,101,2.177047e0,3.378678e-1
QQN-GoldenSection,154,9.503103e-1,-2.213458e-2
QQN-GoldenSection,214,5.144890e-1,-2.886239e-1
QQN-GoldenSection,262,2.934801e-2,-1.532421e0
QQN-GoldenSection,310,7.316777e-7,-6.135680e0
QQN-GoldenSection,358,1.095565e-7,-6.960362e0
QQN-GoldenSection,362,5.086362e-19,-1.500000e1
QQN-GoldenSection,2,5.021118e5,5.700800e0
QQN-GoldenSection,51,5.021118e5,5.700800e0
QQN-GoldenSection,100,2.708098e0,4.326643e-1
QQN-GoldenSection,154,2.757821e-1,-5.594339e-1
QQN-GoldenSection,213,3.678942e-2,-1.434277e0
QQN-GoldenSection,261,7.224896e-6,-5.141168e0
QQN-GoldenSection,309,2.459135e-9,-8.609218e0
QQN-GoldenSection,357,1.924415e-10,-9.715701e0
QQN-GoldenSection,361,1.210770e-18,-1.500000e1
QQN-GoldenSection,2,6.358338e5,5.803344e0
QQN-GoldenSection,51,6.358338e5,5.803344e0
QQN-GoldenSection,100,2.044413e0,3.105687e-1
QQN-GoldenSection,154,6.708867e-2,-1.173351e0
QQN-GoldenSection,213,2.450005e-3,-2.610833e0
QQN-GoldenSection,261,3.921968e-9,-8.406496e0
QQN-GoldenSection,309,1.326503e-12,-1.187729e1
QQN-GoldenSection,357,1.402776e-14,-1.385301e1
QQN-GoldenSection,361,3.934192e-21,-1.500000e1
QQN-Bisection-1,2,4.119294e5,5.614823e0
QQN-Bisection-1,76,4.119294e5,5.614823e0
QQN-Bisection-1,137,2.052900e0,3.123679e-1
QQN-Bisection-1,202,1.320323e0,1.206801e-1
QQN-Bisection-1,277,6.865732e-1,-1.633131e-1
QQN-Bisection-1,352,5.624340e-1,-2.499284e-1
QQN-Bisection-1,427,5.246454e-1,-2.801341e-1
QQN-Bisection-1,502,5.076136e-1,-2.944667e-1
QQN-Bisection-1,565,4.983037e-1,-3.025059e-1
QQN-Bisection-1,640,4.859428e-1,-3.134148e-1
QQN-Bisection-1,715,4.705371e-1,-3.274061e-1
QQN-Bisection-1,778,4.620332e-1,-3.353268e-1
