Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,3.549577e3
QQN-GoldenSection,54,3.549577e3
QQN-GoldenSection,103,1.037774e0
QQN-GoldenSection,154,1.300979e-6
QQN-GoldenSection,213,1.252018e-12
QQN-GoldenSection,217,6.536787e-32
QQN-GoldenSection,2,2.189481e3
QQN-GoldenSection,54,2.189481e3
QQN-GoldenSection,103,8.990911e-1
QQN-GoldenSection,154,1.031991e-6
QQN-GoldenSection,213,1.088375e-12
QQN-GoldenSection,217,1.413805e-31
QQN-GoldenSection,2,2.598241e3
QQN-GoldenSection,54,2.598241e3
QQN-GoldenSection,103,1.152849e0
QQN-GoldenSection,154,3.378283e-6
QQN-GoldenSection,213,8.344572e-12
QQN-GoldenSection,217,1.884381e-30
QQN-GoldenSection,2,3.073647e3
QQN-GoldenSection,54,3.073647e3
QQN-GoldenSection,103,8.580539e-1
QQN-GoldenSection,154,5.182056e-7
QQN-GoldenSection,158,2.063990e-13
QQN-GoldenSection,2,3.072585e3
QQN-GoldenSection,54,3.072585e3
QQN-GoldenSection,103,1.347713e0
QQN-GoldenSection,154,4.181754e-6
QQN-GoldenSection,213,1.270319e-11
QQN-GoldenSection,217,2.581623e-29
QQN-GoldenSection,2,3.405988e3
QQN-GoldenSection,54,3.405988e3
QQN-GoldenSection,103,9.855267e-1
QQN-GoldenSection,154,1.199861e-6
QQN-GoldenSection,213,1.190358e-12
QQN-GoldenSection,217,2.044598e-31
QQN-GoldenSection,2,2.454993e3
QQN-GoldenSection,54,2.454993e3
QQN-GoldenSection,103,1.213870e0
QQN-GoldenSection,154,4.210488e-6
QQN-GoldenSection,213,1.441867e-11
QQN-GoldenSection,217,2.485575e-29
QQN-GoldenSection,2,3.954496e3
QQN-GoldenSection,54,3.954496e3
QQN-GoldenSection,103,1.437793e0
QQN-GoldenSection,154,2.511987e-6
QQN-GoldenSection,213,4.199610e-12
QQN-GoldenSection,217,5.310036e-32
QQN-GoldenSection,2,2.571374e3
QQN-GoldenSection,54,2.571374e3
QQN-GoldenSection,103,7.933764e-1
QQN-GoldenSection,154,1.480472e-6
QQN-GoldenSection,213,2.724655e-12
QQN-GoldenSection,217,1.694545e-30
QQN-GoldenSection,2,2.401977e3
QQN-GoldenSection,54,2.401977e3
QQN-GoldenSection,103,1.387652e0
QQN-GoldenSection,154,4.100957e-6
QQN-GoldenSection,213,1.310171e-11
QQN-GoldenSection,217,1.280809e-29
QQN-GoldenSection,2,4.486732e3
QQN-GoldenSection,54,4.486732e3
QQN-GoldenSection,103,8.736449e-1
QQN-GoldenSection,154,4.997826e-7
QQN-GoldenSection,158,2.106288e-13
QQN-GoldenSection,2,4.077617e3
QQN-GoldenSection,54,4.077617e3
QQN-GoldenSection,103,1.115485e0
QQN-GoldenSection,154,4.529007e-7
QQN-GoldenSection,213,2.721363e-13
QQN-GoldenSection,217,2.874474e-33
QQN-GoldenSection,2,3.753794e3
QQN-GoldenSection,54,3.753794e3
QQN-GoldenSection,103,7.918023e-1
QQN-GoldenSection,154,1.370246e-6
QQN-GoldenSection,213,2.313541e-12
QQN-GoldenSection,217,1.128245e-32
QQN-GoldenSection,2,4.598669e3
QQN-GoldenSection,54,4.598669e3
QQN-GoldenSection,103,7.605620e-1
QQN-GoldenSection,154,8.901937e-7
QQN-GoldenSection,213,9.200174e-13
QQN-GoldenSection,217,1.061835e-32
QQN-GoldenSection,2,2.656229e3
QQN-GoldenSection,54,2.656229e3
QQN-GoldenSection,103,1.115490e0
QQN-GoldenSection,154,1.655643e-6
QQN-GoldenSection,213,2.433821e-12
QQN-GoldenSection,217,4.031676e-32
QQN-GoldenSection,2,2.466800e3
QQN-GoldenSection,54,2.466800e3
QQN-GoldenSection,103,1.013854e0
QQN-GoldenSection,154,1.313841e-6
QQN-GoldenSection,213,1.221509e-12
QQN-GoldenSection,217,5.059854e-32
QQN-GoldenSection,2,2.550064e3
QQN-GoldenSection,54,2.550064e3
QQN-GoldenSection,103,8.501045e-1
QQN-GoldenSection,154,9.560977e-7
QQN-GoldenSection,213,1.029835e-12
QQN-GoldenSection,217,2.033016e-32
QQN-GoldenSection,2,2.748307e3
QQN-GoldenSection,54,2.748307e3
QQN-GoldenSection,103,1.188784e0
QQN-GoldenSection,154,2.232686e-6
QQN-GoldenSection,213,4.081652e-12
QQN-GoldenSection,217,9.671926e-30
QQN-GoldenSection,2,2.206123e3
QQN-GoldenSection,54,2.206123e3
QQN-GoldenSection,103,1.285993e0
QQN-GoldenSection,154,3.125671e-6
QQN-GoldenSection,213,7.798777e-12
QQN-GoldenSection,217,7.544705e-31
QQN-GoldenSection,2,2.886388e3
QQN-GoldenSection,54,2.886388e3
QQN-GoldenSection,103,1.053752e0
QQN-GoldenSection,154,2.339985e-6
QQN-GoldenSection,213,4.574375e-12
QQN-GoldenSection,217,5.301975e-30
QQN-Bisection-1,2,3.565307e3
QQN-Bisection-1,76,3.565307e3
QQN-Bisection-1,147,1.157876e0
QQN-Bisection-1,187,7.410404e-1
QQN-Bisection-1,268,4.794696e-6
QQN-Bisection-1,289,2.439648e-6
QQN-Bisection-1,293,4.972875e-16
QQN-Bisection-1,2,3.079518e3
QQN-Bisection-1,76,3.079518e3
QQN-Bisection-1,147,7.920102e-1
QQN-Bisection-1,187,5.068865e-1
QQN-Bisection-1,268,1.200366e-5
QQN-Bisection-1,289,6.107657e-6
QQN-Bisection-1,293,7.802389e-15
QQN-Bisection-1,2,2.324521e3
QQN-Bisection-1,76,2.324521e3
QQN-Bisection-1,147,9.908469e-1
QQN-Bisection-1,187,6.341420e-1
QQN-Bisection-1,268,3.338800e-4
QQN-Bisection-1,289,1.697896e-4
QQN-Bisection-1,310,1.672458e-10
QQN-Bisection-1,314,1.457986e-17
QQN-Bisection-1,2,4.475375e3
QQN-Bisection-1,76,4.475375e3
QQN-Bisection-1,147,7.756918e-1
QQN-Bisection-1,187,4.964428e-1
QQN-Bisection-1,268,2.815327e-4
QQN-Bisection-1,289,1.431832e-4
QQN-Bisection-1,310,1.003347e-10
QQN-Bisection-1,314,6.219228e-18
QQN-Bisection-1,2,3.943487e3
QQN-Bisection-1,76,3.943487e3
QQN-Bisection-1,147,8.287342e-1
QQN-Bisection-1,187,5.303899e-1
QQN-Bisection-1,268,3.293344e-4
QQN-Bisection-1,289,1.674804e-4
QQN-Bisection-1,310,1.605176e-10
QQN-Bisection-1,314,1.361507e-17
QQN-Bisection-1,2,3.403944e3
QQN-Bisection-1,76,3.403944e3
QQN-Bisection-1,147,9.195257e-1
QQN-Bisection-1,187,5.884965e-1
QQN-Bisection-1,268,5.841298e-4
QQN-Bisection-1,289,2.969239e-4
QQN-Bisection-1,310,8.928794e-10
QQN-Bisection-1,314,2.382383e-16
QQN-Bisection-1,2,3.207954e3
QQN-Bisection-1,76,3.207954e3
QQN-Bisection-1,147,1.046747e0
QQN-Bisection-1,187,6.699179e-1
QQN-Bisection-1,268,5.564530e-4
QQN-Bisection-1,289,2.828665e-4
QQN-Bisection-1,310,7.721332e-10
QQN-Bisection-1,314,1.869587e-16
QQN-Bisection-1,2,3.228952e3
QQN-Bisection-1,76,3.228952e3
QQN-Bisection-1,147,7.478316e-1
QQN-Bisection-1,187,4.786122e-1
QQN-Bisection-1,268,4.261110e-6
QQN-Bisection-1,289,2.168150e-6
QQN-Bisection-1,293,3.490563e-16
QQN-Bisection-1,2,2.538751e3
QQN-Bisection-1,76,2.538751e3
QQN-Bisection-1,147,9.037060e-1
QQN-Bisection-1,187,5.783719e-1
QQN-Bisection-1,268,9.507445e-4
QQN-Bisection-1,289,4.829787e-4
QQN-Bisection-1,310,3.832877e-9
QQN-Bisection-1,314,2.709079e-15
QQN-Bisection-1,2,2.754720e3
QQN-Bisection-1,76,2.754720e3
QQN-Bisection-1,147,1.175147e0
QQN-Bisection-1,187,7.520941e-1
QQN-Bisection-1,268,5.289466e-4
QQN-Bisection-1,289,2.688952e-4
QQN-Bisection-1,310,6.634143e-10
QQN-Bisection-1,314,1.451454e-16
QQN-Bisection-1,2,4.061224e3
QQN-Bisection-1,76,4.061224e3
QQN-Bisection-1,147,9.150178e-1
QQN-Bisection-1,187,5.856114e-1
QQN-Bisection-1,268,5.908004e-4
QQN-Bisection-1,289,3.003114e-4
QQN-Bisection-1,310,9.237450e-10
QQN-Bisection-1,314,2.521352e-16
QQN-Bisection-1,2,3.022513e3
QQN-Bisection-1,76,3.022513e3
QQN-Bisection-1,147,1.127143e0
QQN-Bisection-1,187,7.213717e-1
QQN-Bisection-1,268,3.479246e-4
QQN-Bisection-1,289,1.769267e-4
QQN-Bisection-1,310,1.892183e-10
QQN-Bisection-1,314,1.791209e-17
QQN-Bisection-1,2,3.444039e3
QQN-Bisection-1,76,3.444039e3
