Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,6.639843e-15,6.368248e-7,16,655,93,0.011,true
QQN-GoldenSection,1,1.230258e-17,2.275702e-8,16,656,93,0.011,true
QQN-GoldenSection,2,5.224114e-15,4.932206e-7,14,573,81,0.010,true
QQN-GoldenSection,3,4.280050e-19,6.120561e-9,17,695,99,0.012,true
QQN-GoldenSection,4,7.271677e-17,4.779580e-8,16,655,93,0.011,true
QQN-GoldenSection,5,8.227210e-16,2.786533e-7,15,614,87,0.010,true
QQN-GoldenSection,6,3.543348e-17,5.191843e-8,15,613,87,0.010,true
QQN-GoldenSection,7,1.504373e-15,3.713875e-7,15,615,87,0.010,true
QQN-GoldenSection,8,4.681219e-16,2.074068e-7,15,613,87,0.010,true
QQN-GoldenSection,9,7.263235e-16,2.624217e-7,15,613,87,0.010,true
QQN-GoldenSection,10,5.218991e-20,2.120032e-9,17,696,99,0.012,true
QQN-GoldenSection,11,4.635844e-17,6.122262e-8,15,613,87,0.010,true
QQN-GoldenSection,12,8.468932e-16,2.833769e-7,15,613,87,0.010,true
QQN-GoldenSection,13,5.209671e-15,7.011158e-7,15,615,87,0.010,true
QQN-GoldenSection,14,2.076194e-16,1.417750e-7,15,614,87,0.010,true
QQN-GoldenSection,15,1.096440e-19,3.066584e-9,17,696,99,0.012,true
QQN-GoldenSection,16,2.720898e-16,1.577188e-7,15,613,87,0.010,true
QQN-GoldenSection,17,2.225173e-17,4.188233e-8,15,613,87,0.011,true
QQN-GoldenSection,18,1.585859e-18,1.240214e-8,15,615,87,0.010,true
QQN-GoldenSection,19,1.980470e-19,4.299469e-9,15,613,87,0.010,true
QQN-Bisection-1,0,5.791449e-20,2.174605e-9,14,224,258,0.005,true
QQN-Bisection-1,1,6.596609e-16,2.292886e-7,14,224,258,0.005,true
QQN-Bisection-1,2,9.480938e-15,8.374250e-8,16,303,340,0.006,true
QQN-Bisection-1,3,9.452065e0,3.611241e-1,18,425,599,0.013,false
QQN-Bisection-1,4,2.889411e-16,3.599400e-8,13,184,227,0.004,true
QQN-Bisection-1,5,8.608615e-16,1.588394e-7,14,224,258,0.005,true
QQN-Bisection-1,6,9.307106e-17,1.481179e-8,13,184,227,0.004,true
QQN-Bisection-1,7,6.539153e-16,2.677696e-8,13,184,227,0.004,true
QQN-Bisection-1,8,7.387319e-17,8.304002e-8,17,343,371,0.007,true
QQN-Bisection-1,9,1.090566e-15,2.340964e-7,17,314,350,0.006,true
QQN-Bisection-1,10,1.783218e-15,2.303593e-7,13,185,228,0.004,true
QQN-Bisection-1,11,2.652477e-22,7.961722e-11,14,195,237,0.004,true
QQN-Bisection-1,12,3.662531e-18,8.196916e-9,18,354,381,0.007,true
QQN-Bisection-1,13,1.344833e-15,2.692952e-7,13,184,227,0.004,true
QQN-Bisection-1,14,1.129709e-12,9.136675e-7,15,273,310,0.005,true
QQN-Bisection-1,15,1.380014e-14,2.417936e-7,16,303,340,0.006,true
QQN-Bisection-1,16,2.509147e-15,3.941422e-7,13,184,227,0.004,true
QQN-Bisection-1,17,1.928351e-19,3.043356e-9,15,252,241,0.005,true
QQN-Bisection-1,18,2.130712e-15,4.297958e-7,13,184,227,0.004,true
QQN-Bisection-1,19,5.282500e-16,2.199499e-7,14,224,258,0.005,true
QQN-CubicQuadraticInterpolation,0,8.934288e-19,4.967970e-9,14,302,470,0.010,true
QQN-CubicQuadraticInterpolation,1,4.856709e-2,8.203879e-2,14,381,629,0.014,false
QQN-CubicQuadraticInterpolation,2,7.212002e-15,1.458825e-7,11,191,288,0.006,true
QQN-CubicQuadraticInterpolation,3,8.793912e-16,2.934448e-7,14,300,466,0.010,true
QQN-CubicQuadraticInterpolation,4,9.385839e-2,8.985547e-2,11,370,632,0.014,false
QQN-CubicQuadraticInterpolation,5,9.418185e-17,9.005717e-8,14,252,370,0.008,true
QQN-CubicQuadraticInterpolation,6,3.472396e-22,1.888338e-11,15,264,406,0.010,true
QQN-CubicQuadraticInterpolation,7,1.054129e-15,2.461944e-7,15,266,408,0.010,true
QQN-CubicQuadraticInterpolation,8,1.931234e-20,2.623369e-10,15,290,456,0.011,true
QQN-CubicQuadraticInterpolation,9,4.286208e-18,1.791690e-8,16,285,436,0.010,true
QQN-CubicQuadraticInterpolation,10,3.415147e-2,2.149458e-1,13,392,660,0.015,false
QQN-CubicQuadraticInterpolation,11,2.932061e-4,1.375701e-1,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,12,2.309049e-14,4.866732e-7,15,332,522,0.012,true
QQN-CubicQuadraticInterpolation,13,2.350007e-5,4.783448e-2,13,386,650,0.015,false
QQN-CubicQuadraticInterpolation,14,1.016666e-19,2.266008e-9,17,348,538,0.012,true
QQN-CubicQuadraticInterpolation,15,4.311006e-16,1.607939e-7,15,290,456,0.011,true
QQN-CubicQuadraticInterpolation,16,9.526332e-17,8.960170e-8,17,372,586,0.013,true
QQN-CubicQuadraticInterpolation,17,2.428739e-23,1.622779e-11,16,364,578,0.013,true
QQN-CubicQuadraticInterpolation,18,3.746800e-17,2.763814e-8,15,308,474,0.011,true
QQN-CubicQuadraticInterpolation,19,5.787075e-19,1.365028e-9,15,290,456,0.011,true
