Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.292824e-26,9.081840e-13,6,233,33,0.003,true
QQN-GoldenSection,1,1.934287e-27,2.637875e-13,6,233,33,0.003,true
QQN-GoldenSection,2,2.720781e-27,3.127851e-13,6,233,33,0.003,true
QQN-GoldenSection,3,3.056047e-27,3.316130e-13,6,233,33,0.003,true
QQN-GoldenSection,4,1.181477e-26,6.519326e-13,6,233,33,0.003,true
QQN-GoldenSection,5,3.094859e-26,1.055150e-12,6,233,33,0.003,true
QQN-GoldenSection,6,1.108350e-27,1.997197e-13,6,233,33,0.003,true
QQN-GoldenSection,7,1.419950e-27,2.260933e-13,6,233,33,0.003,true
QQN-GoldenSection,8,4.027135e-27,3.806091e-13,6,233,33,0.003,true
QQN-GoldenSection,9,1.928931e-25,2.634119e-12,6,233,33,0.003,true
QQN-GoldenSection,10,2.551933e-25,3.029800e-12,6,233,33,0.003,true
QQN-GoldenSection,11,2.058012e-25,2.720797e-12,6,233,33,0.003,true
QQN-GoldenSection,12,1.478594e-25,2.306263e-12,6,233,33,0.003,true
QQN-GoldenSection,13,9.605170e-27,5.878641e-13,6,233,33,0.003,true
QQN-GoldenSection,14,5.493627e-27,4.446573e-13,6,233,33,0.003,true
QQN-GoldenSection,15,1.577722e-28,7.536444e-14,6,233,33,0.003,true
QQN-GoldenSection,16,1.719717e-27,2.487153e-13,6,233,33,0.003,true
QQN-GoldenSection,17,3.576774e-26,1.134291e-12,6,233,33,0.003,true
QQN-GoldenSection,18,2.666350e-28,9.797377e-14,6,233,33,0.003,true
QQN-GoldenSection,19,2.401293e-27,2.939320e-13,6,233,33,0.003,true
QQN-Bisection-1,0,1.013280e-16,4.929818e-8,11,209,224,0.004,true
QQN-Bisection-1,1,2.166573e-17,2.772962e-8,10,198,214,0.004,true
QQN-Bisection-1,2,3.927546e-17,3.731098e-8,10,198,214,0.004,true
QQN-Bisection-1,3,2.509011e-14,9.417632e-7,10,198,214,0.004,true
QQN-Bisection-1,4,9.745728e-17,4.848040e-8,11,209,224,0.004,true
QQN-Bisection-1,5,2.765149e-14,9.887995e-7,10,198,214,0.004,true
QQN-Bisection-1,6,1.379836e-15,1.285937e-7,10,227,235,0.004,true
QQN-Bisection-1,7,3.782446e-17,3.661006e-8,10,198,214,0.004,true
QQN-Bisection-1,8,1.048548e-16,5.041087e-8,11,209,224,0.004,true
QQN-Bisection-1,9,4.324773e-17,3.914390e-8,10,198,214,0.004,true
QQN-Bisection-1,10,2.044311e-16,5.001788e-8,10,227,235,0.004,true
QQN-Bisection-1,11,4.229573e-17,3.871055e-8,10,198,214,0.004,true
QQN-Bisection-1,12,4.379630e-17,3.938672e-8,10,198,214,0.004,true
QQN-Bisection-1,13,1.831020e-17,2.549414e-8,10,198,214,0.004,true
QQN-Bisection-1,14,2.670977e-14,9.718686e-7,10,198,214,0.004,true
QQN-Bisection-1,15,2.756128e-14,9.869547e-7,10,198,214,0.004,true
QQN-Bisection-1,16,3.400365e-15,2.009241e-7,10,227,235,0.004,true
QQN-Bisection-1,17,9.178196e-17,4.665112e-8,11,209,224,0.004,true
QQN-Bisection-1,18,1.983444e-17,2.653089e-8,10,198,214,0.004,true
QQN-Bisection-1,19,3.419008e-17,3.480974e-8,10,198,214,0.004,true
QQN-CubicQuadraticInterpolation,0,1.062538e-19,7.742471e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,1,7.003050e-20,6.258027e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,2,2.703272e-20,3.858372e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,3,1.752641e-14,7.943238e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,4,4.825390e-21,1.601648e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,5,5.769331e-15,4.557365e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,6,1.838802e-21,9.805859e-11,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,7,1.408428e-20,2.765110e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,8,2.085563e-14,8.664886e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,9,2.610954e-19,1.227747e-9,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,10,4.096470e-19,1.546288e-9,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,11,1.301151e-20,2.653131e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,12,2.503978e-19,1.198850e-9,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,13,1.106951e-14,6.312702e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,14,6.007334e-19,1.876517e-9,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,15,2.164108e-19,1.114290e-9,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,16,1.548136e-19,9.400290e-10,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,17,7.741995e-15,5.279315e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,18,1.865581e-19,1.031473e-9,8,132,178,0.004,true
QQN-CubicQuadraticInterpolation,19,3.998225e-15,3.793889e-7,7,124,170,0.003,true
L-BFGS-Aggressive,0,7.907367e1,5.286055e1,76,772,233,0.006,false
L-BFGS-Aggressive,1,8.349177e1,5.415185e1,76,772,233,0.006,false
L-BFGS-Aggressive,2,7.666636e1,5.195296e1,76,772,233,0.006,false
L-BFGS-Aggressive,3,7.523087e1,5.145976e1,76,772,233,0.006,false
