Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.026027e-18,4.487877e-8,14,596,81,0.010,true
QQN-GoldenSection,1,1.938983e0,2.424229e0,19,902,121,0.016,false
QQN-GoldenSection,2,1.167666e-2,2.678725e-1,18,887,115,0.015,false
QQN-GoldenSection,3,1.741334e-7,1.127353e-2,19,897,121,0.016,false
QQN-GoldenSection,4,2.152370e-12,3.083188e-5,19,903,121,0.016,false
QQN-GoldenSection,5,3.434897e-2,2.929246e-1,18,896,115,0.015,false
QQN-GoldenSection,6,1.261020e-1,3.296127e-1,19,910,121,0.016,false
QQN-GoldenSection,7,2.252168e-19,4.785180e-9,14,612,81,0.010,true
QQN-GoldenSection,8,1.335255e-1,3.347839e-1,19,910,121,0.016,false
QQN-GoldenSection,9,2.661754e0,2.106548e0,19,888,121,0.015,false
QQN-GoldenSection,10,2.235683e-1,6.772521e-1,19,910,121,0.016,false
QQN-GoldenSection,11,2.049351e0,2.363142e0,19,896,121,0.016,false
QQN-GoldenSection,12,7.064313e-2,2.820844e-1,19,918,121,0.016,false
QQN-GoldenSection,13,5.862506e-4,2.746182e-2,18,887,115,0.015,false
QQN-GoldenSection,14,2.149316e0,2.309507e0,19,900,121,0.016,false
QQN-GoldenSection,15,2.580617e0,2.133821e0,19,889,121,0.015,false
QQN-GoldenSection,16,1.141673e-15,8.797050e-7,18,770,105,0.013,true
QQN-GoldenSection,17,2.392730e0,2.200638e0,19,885,121,0.015,false
QQN-GoldenSection,18,1.370093e-17,4.978161e-8,14,612,81,0.010,true
QQN-GoldenSection,19,1.331445e-2,1.465499e-1,19,925,121,0.016,false
QQN-Bisection-1,0,3.104519e0,2.915828e0,14,480,573,0.012,false
QQN-Bisection-1,1,3.531759e0,1.995254e1,15,481,527,0.011,false
QQN-Bisection-1,2,3.808574e-2,1.943983e-1,14,491,560,0.010,false
QQN-Bisection-1,3,3.135094e0,5.275767e0,13,511,528,0.010,false
QQN-Bisection-1,4,1.107132e0,2.880267e0,16,501,536,0.010,false
QQN-Bisection-1,5,2.479635e-2,1.404259e-1,14,490,559,0.010,false
QQN-Bisection-1,6,7.851526e-16,3.949083e-7,26,360,390,0.009,true
QQN-Bisection-1,7,3.379104e0,4.728034e0,13,511,528,0.010,false
QQN-Bisection-1,8,3.720481e-2,1.084844e0,17,465,564,0.013,false
QQN-Bisection-1,9,3.966504e0,1.892024e0,15,440,590,0.012,false
QQN-Bisection-1,10,2.430194e0,1.067629e1,15,517,560,0.011,false
QQN-Bisection-1,11,2.946579e0,5.031609e0,13,500,527,0.010,false
QQN-Bisection-1,12,1.405109e0,3.208807e0,17,484,540,0.012,false
QQN-Bisection-1,13,3.308205e0,4.085477e0,13,501,520,0.010,false
QQN-Bisection-1,14,3.639753e0,4.864353e0,13,511,528,0.010,false
QQN-Bisection-1,15,2.985886e0,5.053524e0,13,510,529,0.010,false
QQN-Bisection-1,16,2.125418e-16,6.385513e-7,25,320,345,0.008,true
QQN-Bisection-1,17,2.655965e-1,1.861397e0,20,493,551,0.012,false
QQN-Bisection-1,18,3.615969e0,2.830003e0,13,501,520,0.010,false
QQN-Bisection-1,19,2.996427e0,6.732409e0,14,489,526,0.010,false
QQN-CubicQuadraticInterpolation,0,8.177201e-3,1.335029e-1,16,405,646,0.015,false
QQN-CubicQuadraticInterpolation,1,7.371454e-2,4.853439e0,13,402,664,0.015,false
QQN-CubicQuadraticInterpolation,2,1.308972e-2,1.849449e-1,16,405,646,0.015,false
QQN-CubicQuadraticInterpolation,3,3.093324e0,3.098368e0,12,398,662,0.014,false
QQN-CubicQuadraticInterpolation,4,2.002257e-1,4.787858e0,14,390,632,0.014,false
QQN-CubicQuadraticInterpolation,5,2.953059e0,2.021336e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,6,1.154779e-1,2.030690e0,13,407,674,0.015,false
QQN-CubicQuadraticInterpolation,7,3.270049e0,3.420330e0,15,406,656,0.015,false
QQN-CubicQuadraticInterpolation,8,2.103162e0,4.337058e0,14,389,630,0.014,false
QQN-CubicQuadraticInterpolation,9,1.803141e0,4.217581e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,10,2.151908e0,2.756653e0,12,389,651,0.014,false
QQN-CubicQuadraticInterpolation,11,3.563525e0,3.650694e0,13,384,628,0.014,false
QQN-CubicQuadraticInterpolation,12,3.644823e0,2.858871e0,13,384,628,0.014,false
QQN-CubicQuadraticInterpolation,13,1.086790e-1,2.860206e0,13,402,664,0.015,false
QQN-CubicQuadraticInterpolation,14,2.908173e0,1.495127e1,12,394,656,0.014,false
QQN-CubicQuadraticInterpolation,15,1.293778e0,7.539762e0,13,388,636,0.014,false
QQN-CubicQuadraticInterpolation,16,1.784451e0,2.806207e0,12,397,662,0.014,false
QQN-CubicQuadraticInterpolation,17,3.826913e0,2.218125e0,13,409,676,0.015,false
QQN-CubicQuadraticInterpolation,18,1.809216e-1,5.718919e0,13,383,626,0.014,false
QQN-CubicQuadraticInterpolation,19,1.157533e-1,4.353194e-1,13,402,664,0.015,false
L-BFGS-Aggressive,0,1.579825e1,1.319542e2,77,777,236,0.009,false
L-BFGS-Aggressive,1,9.193827e0,1.083136e2,76,772,233,0.005,false
L-BFGS-Aggressive,2,7.119558e0,7.073027e1,77,771,236,0.010,false
L-BFGS-Aggressive,3,5.323059e0,2.136596e1,77,771,236,0.010,false
L-BFGS-Aggressive,4,1.112450e1,1.329355e2,76,772,233,0.005,false
L-BFGS-Aggressive,5,1.662580e1,1.448259e2,77,777,236,0.009,false
L-BFGS-Aggressive,6,1.813897e1,1.598295e2,77,777,236,0.009,false
L-BFGS-Aggressive,7,4.985983e0,4.669445e1,76,772,233,0.006,false
L-BFGS-Aggressive,8,1.955029e1,1.640856e2,77,777,236,0.009,false
L-BFGS-Aggressive,9,1.897707e2,2.747959e2,5,52,17,0.000,false
L-BFGS-Aggressive,10,1.368398e1,1.221043e2,77,777,236,0.009,false
L-BFGS-Aggressive,11,7.608979e0,7.803467e1,77,771,236,0.010,false
L-BFGS-Aggressive,12,1.584542e1,1.398803e2,77,777,236,0.009,false
L-BFGS-Aggressive,13,1.907836e1,1.522968e2,77,777,236,0.009,false
L-BFGS-Aggressive,14,1.803002e1,1.458920e2,77,777,236,0.009,false
L-BFGS-Aggressive,15,1.848889e1,1.534428e2,77,777,236,0.009,false
L-BFGS-Aggressive,16,9.891524e0,1.184512e2,76,772,233,0.005,false
L-BFGS-Aggressive,17,5.726085e0,3.912926e1,77,776,236,0.010,false
L-BFGS-Aggressive,18,1.025506e1,1.005880e2,77,777,236,0.009,false
L-BFGS-Aggressive,19,5.262537e0,4.680938e1,76,772,233,0.006,false
Adam-Fast,0,2.751919e-5,8.132101e-2,249,502,502,0.009,false
Adam-Fast,1,4.913798e0,4.206878e1,11,25,24,0.000,false
Adam-Fast,2,4.653949e0,2.898882e1,16,35,34,0.001,false
Adam-Fast,3,5.799710e0,6.203685e1,7,17,16,0.000,false
Adam-Fast,4,2.239947e-2,6.508695e0,103,209,208,0.004,false
Adam-Fast,5,3.237166e-5,5.190805e-3,249,502,502,0.009,false
Adam-Fast,6,5.279881e0,5.049353e1,10,23,22,0.000,false
Adam-Fast,7,6.535093e0,7.301834e1,8,19,18,0.000,false
Adam-Fast,8,2.172618e-3,2.000615e0,169,341,340,0.006,false
Adam-Fast,9,1.915989e-3,1.896255e0,193,389,388,0.007,false
Adam-Fast,10,2.258709e-5,5.225154e-3,249,502,502,0.010,false
Adam-Fast,11,9.610586e-3,4.215089e0,122,247,246,0.005,false
Adam-Fast,12,4.873949e0,4.769824e1,10,23,22,0.000,false
Adam-Fast,13,6.956511e-5,2.849675e-1,249,502,502,0.010,false
Adam-Fast,14,5.610674e0,5.942159e1,14,31,30,0.001,false
Adam-Fast,15,5.317125e0,4.664346e1,8,19,18,0.000,false
Adam-Fast,16,6.351577e0,7.109311e1,7,17,16,0.000,false
Adam-Fast,17,4.779870e0,3.741211e1,8,19,18,0.000,false
Adam-Fast,18,3.739798e-4,1.853502e-2,249,502,502,0.010,false
Adam-Fast,19,4.248922e0,2.849934e1,11,25,24,0.000,false
GD,0,7.564654e-1,1.853885e1,332,335,668,0.008,false
GD,1,7.487282e-1,1.958325e1,332,335,668,0.008,false
