Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.980921e0,2.061215e-7,7,246,39,0.004,false
QQN-GoldenSection,1,8.388212e-18,4.207417e-8,9,364,51,0.005,true
QQN-GoldenSection,2,2.887115e-1,1.558238e-7,12,451,69,0.007,true
QQN-GoldenSection,3,1.426633e0,1.842844e-7,10,333,57,0.005,false
QQN-GoldenSection,4,1.951775e0,5.815872e-7,8,332,45,0.005,false
QQN-GoldenSection,5,2.865342e-8,5.962013e-4,19,928,121,0.016,false
QQN-GoldenSection,6,1.182317e0,4.715872e-7,8,282,45,0.004,false
QQN-GoldenSection,7,3.275150e-4,3.739788e-2,19,887,121,0.015,false
QQN-GoldenSection,8,1.098737e-1,2.607435e-7,9,359,51,0.006,true
QQN-GoldenSection,9,2.752709e0,2.372286e-8,9,327,51,0.005,false
QQN-GoldenSection,10,1.460911e-2,5.202348e-1,19,904,121,0.015,false
QQN-GoldenSection,11,1.980921e0,1.320960e-8,7,246,39,0.003,false
QQN-GoldenSection,12,1.194252e-15,5.111162e-7,12,501,69,0.008,true
QQN-GoldenSection,13,4.062657e-5,1.531485e-2,18,895,115,0.015,false
QQN-GoldenSection,14,1.098737e-1,2.735256e-4,18,890,115,0.015,false
QQN-GoldenSection,15,1.098737e-1,5.504286e-8,14,632,81,0.010,true
QQN-GoldenSection,16,8.360632e-7,1.831950e-3,17,900,109,0.015,false
QQN-GoldenSection,17,1.980921e0,1.842820e-7,7,245,39,0.004,false
QQN-GoldenSection,18,1.757856e0,6.456411e-7,8,285,45,0.004,false
QQN-GoldenSection,19,6.316425e-1,1.769633e-8,8,285,45,0.004,false
QQN-Bisection-1,0,1.951775e0,2.232853e-7,15,288,333,0.007,false
QQN-Bisection-1,1,1.980921e0,1.820856e-7,10,188,234,0.004,false
QQN-Bisection-1,2,1.098737e-1,7.175802e-7,14,332,384,0.008,true
QQN-Bisection-1,3,1.980921e0,8.324938e-8,8,120,160,0.003,false
QQN-Bisection-1,4,2.887115e-1,1.001610e-7,15,289,272,0.006,true
QQN-Bisection-1,5,1.980921e0,5.771389e-8,8,118,158,0.003,false
QQN-Bisection-1,6,1.426633e0,4.107331e-11,10,167,147,0.003,false
QQN-Bisection-1,7,1.980921e0,8.382423e-9,8,121,161,0.003,false
QQN-Bisection-1,8,1.980921e0,4.686319e-7,10,193,249,0.004,false
QQN-Bisection-1,9,1.701971e0,4.926411e-8,9,128,163,0.003,false
QQN-Bisection-1,10,1.644270e-2,3.819131e-1,18,496,521,0.010,false
QQN-Bisection-1,11,1.980921e0,3.097098e-9,6,98,140,0.002,false
QQN-Bisection-1,12,2.438389e0,4.084084e-7,11,177,190,0.004,false
QQN-Bisection-1,13,1.098737e-1,1.149055e-8,17,360,423,0.009,true
QQN-Bisection-1,14,9.888265e-1,1.117077e-8,6,96,134,0.002,false
QQN-Bisection-1,15,1.701971e0,8.112980e-7,7,107,148,0.002,false
QQN-Bisection-1,16,1.182324e0,5.152023e-2,13,524,506,0.010,false
QQN-Bisection-1,17,1.073325e0,2.910619e-7,13,221,250,0.005,false
QQN-Bisection-1,18,1.980921e0,3.219398e-7,7,110,151,0.002,false
QQN-Bisection-1,19,2.438389e0,5.840369e-10,9,146,141,0.003,false
QQN-CubicQuadraticInterpolation,0,1.980921e0,1.808192e-9,8,89,86,0.002,false
QQN-CubicQuadraticInterpolation,1,2.499160e0,9.990419e-7,8,111,136,0.003,false
