Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,4.841624e-17,1.398982e-8,9,369,51,0.006,true
QQN-GoldenSection,1,4.826731e-14,3.083932e-7,10,410,57,0.007,true
QQN-GoldenSection,2,1.978553e-16,1.008131e-8,11,452,63,0.008,true
QQN-GoldenSection,3,2.075854e-14,2.145643e-7,10,410,57,0.007,true
QQN-GoldenSection,4,1.161715e-15,1.807749e-8,11,452,63,0.008,true
QQN-GoldenSection,5,2.710663e-15,3.516582e-8,11,452,63,0.008,true
QQN-GoldenSection,6,4.650394e-17,1.373157e-8,9,369,51,0.006,true
QQN-GoldenSection,7,3.383908e-15,2.944452e-8,10,392,57,0.007,true
QQN-GoldenSection,8,2.692677e-15,2.638329e-8,10,392,57,0.007,true
QQN-GoldenSection,9,2.683812e-14,8.254635e-8,11,452,63,0.008,true
QQN-GoldenSection,10,2.703250e-15,2.600009e-8,10,392,57,0.007,true
QQN-GoldenSection,11,6.123693e-16,1.357928e-8,11,452,63,0.008,true
QQN-GoldenSection,12,1.146772e-14,5.417742e-8,11,452,63,0.008,true
QQN-GoldenSection,13,1.624785e-15,2.805526e-8,11,452,63,0.008,true
QQN-GoldenSection,14,2.885200e-15,2.839268e-8,10,392,57,0.007,true
QQN-GoldenSection,15,2.294767e-15,2.419589e-8,10,392,57,0.007,true
QQN-GoldenSection,16,3.162591e-15,2.815201e-8,10,392,57,0.007,true
QQN-GoldenSection,17,2.366545e-15,2.450911e-8,10,392,57,0.007,true
QQN-GoldenSection,18,2.173019e-16,1.058451e-8,11,452,63,0.008,true
QQN-GoldenSection,19,2.754656e-14,8.523420e-8,11,452,63,0.008,true
QQN-Bisection-1,0,2.389178e-15,2.621221e-8,12,167,213,0.004,true
QQN-Bisection-1,1,5.909159e-16,1.309015e-8,12,167,213,0.004,true
QQN-Bisection-1,2,1.294793e-14,9.782065e-8,10,134,190,0.004,true
QQN-Bisection-1,3,4.082368e-15,3.334115e-8,12,167,213,0.004,true
QQN-Bisection-1,4,2.929281e-14,1.918303e-7,8,85,127,0.002,true
QQN-Bisection-1,5,2.094490e-15,2.335744e-8,10,107,147,0.003,true
QQN-Bisection-1,6,3.305601e-15,2.874797e-8,12,167,213,0.004,true
QQN-Bisection-1,7,2.359285e-15,2.612029e-8,12,167,213,0.004,true
QQN-Bisection-1,8,2.840493e-15,2.864394e-8,10,107,147,0.003,true
QQN-Bisection-1,9,3.152690e-15,2.962385e-8,12,167,213,0.004,true
QQN-Bisection-1,10,2.163781e-15,2.553732e-8,11,145,200,0.004,true
QQN-Bisection-1,11,2.885275e-17,1.135608e-8,10,134,190,0.004,true
QQN-Bisection-1,12,2.299618e-15,2.552262e-8,12,167,213,0.004,true
QQN-Bisection-1,13,4.200928e-15,3.376584e-8,12,167,213,0.004,true
QQN-Bisection-1,14,3.479944e-15,3.095299e-8,12,167,213,0.004,true
QQN-Bisection-1,15,1.511996e-15,2.114925e-8,10,107,147,0.003,true
QQN-Bisection-1,16,2.153306e-15,2.767553e-8,12,167,213,0.004,true
QQN-Bisection-1,17,4.805419e-15,3.535954e-8,12,167,213,0.004,true
QQN-Bisection-1,18,1.003839e-15,1.628493e-8,12,167,213,0.004,true
QQN-Bisection-1,19,1.298666e-15,1.850960e-8,12,167,213,0.004,true
QQN-CubicQuadraticInterpolation,0,3.872263e-15,8.071329e-8,11,183,256,0.006,true
QQN-CubicQuadraticInterpolation,1,1.977578e-13,6.579831e-7,10,172,242,0.006,true
QQN-CubicQuadraticInterpolation,2,3.690400e-15,6.444057e-8,11,204,298,0.007,true
QQN-CubicQuadraticInterpolation,3,1.627263e-15,2.737994e-8,12,260,402,0.009,true
QQN-CubicQuadraticInterpolation,4,2.342579e-13,6.950949e-7,11,180,250,0.006,true
QQN-CubicQuadraticInterpolation,5,8.914282e-16,1.508074e-8,12,215,312,0.007,true
QQN-CubicQuadraticInterpolation,6,3.490508e-14,3.310315e-7,10,148,194,0.005,true
QQN-CubicQuadraticInterpolation,7,3.517282e-19,3.578568e-10,12,215,312,0.007,true
QQN-CubicQuadraticInterpolation,8,7.551327e-14,1.392166e-7,12,236,354,0.008,true
QQN-CubicQuadraticInterpolation,9,1.125253e-13,1.764103e-7,12,260,402,0.009,true
QQN-CubicQuadraticInterpolation,10,3.354538e-15,2.973064e-8,13,268,410,0.010,true
QQN-CubicQuadraticInterpolation,11,1.994860e-21,8.672271e-11,12,215,312,0.007,true
QQN-CubicQuadraticInterpolation,12,3.374204e-15,1.126760e-7,10,148,194,0.005,true
QQN-CubicQuadraticInterpolation,13,1.469131e-19,8.096196e-10,12,260,402,0.009,true
QQN-CubicQuadraticInterpolation,14,1.823412e-17,2.296998e-9,12,191,264,0.006,true
QQN-CubicQuadraticInterpolation,15,4.233563e-15,8.632518e-8,11,183,256,0.006,true
QQN-CubicQuadraticInterpolation,16,4.922051e-14,4.698920e-7,10,172,242,0.006,true
QQN-CubicQuadraticInterpolation,17,1.480628e-16,2.461539e-8,10,172,242,0.006,true
QQN-CubicQuadraticInterpolation,18,5.867912e-20,1.225639e-10,12,215,312,0.007,true
QQN-CubicQuadraticInterpolation,19,2.802881e-14,3.522301e-7,9,164,234,0.005,true
L-BFGS-Aggressive,0,8.745139e-11,4.912012e-6,116,656,353,0.015,false
L-BFGS-Aggressive,1,2.549061e-12,8.116589e-7,59,374,179,0.007,true
L-BFGS-Aggressive,2,4.838603e-10,4.451485e-5,103,692,314,0.013,false
L-BFGS-Aggressive,3,1.349070e-6,7.364855e-4,79,761,242,0.009,false
L-BFGS-Aggressive,4,4.094087e-2,2.992851e-1,77,768,236,0.009,false
L-BFGS-Aggressive,5,3.123531e-10,3.420302e-5,103,693,314,0.013,false
L-BFGS-Aggressive,6,2.351405e-12,7.760289e-7,102,669,308,0.013,true
L-BFGS-Aggressive,7,3.539743e-9,1.258646e-4,101,700,308,0.013,false
L-BFGS-Aggressive,8,1.420326e-8,9.237722e-5,119,644,362,0.015,false
L-BFGS-Aggressive,9,2.777493e-2,1.321958e-1,123,628,374,0.012,false
L-BFGS-Aggressive,10,5.619374e-10,4.828684e-5,103,692,314,0.013,false
L-BFGS-Aggressive,11,3.061286e-12,8.770905e-7,84,542,254,0.010,true
L-BFGS-Aggressive,12,1.761996e-12,6.862754e-7,104,674,314,0.013,true
L-BFGS-Aggressive,13,1.562800e-12,6.367466e-7,101,659,305,0.012,true
L-BFGS-Aggressive,14,4.070205e-6,1.038270e-3,79,760,242,0.009,false
L-BFGS-Aggressive,15,2.225070e-12,7.781561e-7,99,644,299,0.012,true
L-BFGS-Aggressive,16,2.817226e-12,9.897452e-7,90,566,272,0.011,true
L-BFGS-Aggressive,17,2.988546e-11,2.768438e-6,103,688,314,0.013,false
L-BFGS-Aggressive,18,2.830886e-12,8.592159e-7,92,595,278,0.012,true
L-BFGS-Aggressive,19,8.522016e-12,1.830366e-6,100,704,305,0.013,false
Adam-Fast,0,8.159999e-2,5.052406e-1,18,39,38,0.001,false
Adam-Fast,1,7.643408e-2,4.991318e-1,16,35,34,0.001,false
Adam-Fast,2,8.340212e-2,5.099382e-1,18,39,38,0.001,false
Adam-Fast,3,7.363044e-2,4.913251e-1,16,35,34,0.001,false
Adam-Fast,4,8.162446e-2,5.100741e-1,17,37,36,0.001,false
Adam-Fast,5,7.504187e-2,4.937232e-1,16,35,34,0.001,false
Adam-Fast,6,8.614374e-2,5.167926e-1,18,39,38,0.001,false
Adam-Fast,7,7.241280e-2,4.866632e-1,16,35,34,0.001,false
Adam-Fast,8,7.299766e-2,4.870263e-1,15,33,32,0.001,false
Adam-Fast,9,7.292647e-2,4.905900e-1,16,35,34,0.001,false
Adam-Fast,10,7.093691e-2,4.867374e-1,15,33,32,0.001,false
Adam-Fast,11,7.572157e-2,4.956952e-1,17,37,36,0.001,false
Adam-Fast,12,8.353501e-2,5.136665e-1,18,39,38,0.001,false
Adam-Fast,13,7.990512e-2,5.014537e-1,17,37,36,0.001,false
Adam-Fast,14,7.954558e-2,5.014696e-1,16,35,34,0.001,false
Adam-Fast,15,7.428458e-2,4.931637e-1,16,35,34,0.001,false
Adam-Fast,16,7.913601e-2,5.003711e-1,17,37,36,0.001,false
