Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,4.816489e-1,2.281235e-7,13,385,75,0.134,true
QQN-GoldenSection,1,4.816489e-1,6.238119e-7,10,362,57,0.120,true
QQN-GoldenSection,2,4.816489e-1,1.049174e-7,12,445,69,0.149,true
QQN-GoldenSection,3,4.816489e-1,9.264585e-7,10,362,57,0.120,true
QQN-GoldenSection,4,4.816489e-1,1.169979e-7,11,404,63,0.134,true
QQN-GoldenSection,5,4.816489e-1,9.459624e-7,10,362,57,0.121,true
QQN-GoldenSection,6,4.816489e-1,4.594717e-7,10,328,57,0.110,true
QQN-GoldenSection,7,4.816489e-1,5.300359e-7,10,362,57,0.121,true
QQN-GoldenSection,8,4.816489e-1,5.824692e-7,10,396,57,0.131,true
QQN-GoldenSection,9,4.816489e-1,9.014227e-7,11,336,63,0.116,true
QQN-GoldenSection,10,4.816489e-1,9.236954e-7,10,396,57,0.131,true
QQN-GoldenSection,11,4.816489e-1,7.819929e-7,10,328,57,0.110,true
QQN-GoldenSection,12,4.816489e-1,1.679938e-7,11,370,63,0.125,true
QQN-GoldenSection,13,4.816489e-1,8.087700e-8,11,403,63,0.135,true
QQN-GoldenSection,14,4.816489e-1,9.694131e-8,12,445,69,0.149,true
QQN-GoldenSection,15,4.816489e-1,7.722006e-8,11,403,63,0.135,true
QQN-GoldenSection,16,4.816489e-1,1.272563e-7,11,404,63,0.135,true
QQN-GoldenSection,17,4.816489e-1,8.752902e-7,10,396,57,0.130,true
QQN-GoldenSection,18,4.816489e-1,7.857967e-8,11,403,63,0.135,true
QQN-GoldenSection,19,4.816489e-1,1.105753e-7,11,403,63,0.135,true
QQN-Bisection-1,0,4.816489e-1,7.313417e-7,10,137,169,0.096,true
QQN-Bisection-1,1,4.816489e-1,3.422666e-7,11,148,179,0.103,true
QQN-Bisection-1,2,4.816489e-1,2.470963e-7,11,148,179,0.103,true
QQN-Bisection-1,3,4.816489e-1,2.630802e-7,11,148,179,0.104,true
